state_code,lat,lon,bird,lat_zone
19,42.47,-72.65,2,2
3,36.87,-110.19,5,2
16,37.43,-99.57,26,2
48,45.2,-90.4,0,2
13,44.08,-115.68,18,2
8,39.66,-75.72,11,2
46,44.7,-72.65,16,2
42,35.77,-84.67,20,2
5,40.02,-105.93,17,2
33,41.93,-114.19,18,2
46,44.68,-73.18,16,2
35,40.84,-82.07,19,2
20,39.7,-77.99,1,2
38,40.1,-75.31,19,2
16,38.21,-100.07,26,2
43,27.09,-97.55,20,1
5,40.46,-106.13,17,2
9,30.08,-83.95,20,2
41,44.76,-103.48,24,2
15,41.01,-87.26,19,2
6,41.38,-73.49,0,2
24,38.94,-92.06,12,2
44,38.78,-112.74,6,2
24,38.73,-94.03,12,2
4,39.05,-121.47,7,2
21,45.95,-69.66,9,2
24,39.23,-94.72,12,2
27,36.4,-80.29,19,2
50,41.87,-104.16,26,2
9,26.76,-80.95,20,1
28,47.62,-102.0,26,2
41,44.37,-99.87,24,2
10,33.43,-82.82,4,2
26,47.24,-115.28,26,2
9,28.75,-81.51,20,1
4,40.97,-122.28,7,2
15,38.06,-86.49,19,2
19,42.28,-73.0,2,2
13,45.2,-116.46,18,2
43,31.62,-95.16,20,2
20,38.41,-75.73,1,2
24,37.0,-89.41,12,2
7,38.91,-76.95,21,2
49,38.42,-81.18,19,2
5,40.92,-107.35,17,2
4,34.5,-115.47,7,2
11,19.43,-154.96,15,1
13,42.45,-115.87,18,2
28,47.08,-100.78,26,2
32,31.39,-108.9,14,2
31,40.35,-74.63,13,2
45,37.2,-80.61,19,2
45,38.29,-79.32,19,2
23,46.37,-95.03,10,2
48,45.9,-90.99,0,2
19,42.52,-72.7,2,2
35,39.87,-83.47,19,2
47,45.86,-121.85,27,2
14,39.58,-88.39,19,2
47,47.0,-119.34,27,2
11,21.6,-157.99,15,1
41,44.21,-97.14,24,2
39,41.62,-71.58,23,2
12,42.68,-91.76,13,2
28,48.37,-102.39,26,2
31,39.26,-74.9,13,2
46,44.8,-72.56,16,2
33,37.36,-117.39,18,2
18,30.87,-92.86,3,2
48,45.91,-88.12,0,2
23,48.64,-95.44,10,2
34,44.4,-74.75,12,2
35,39.64,-80.9,19,2
10,31.88,-85.03,4,2
42,36.19,-89.56,20,2
15,39.45,-86.56,19,2
32,32.15,-103.52,14,2
47,46.47,-119.75,27,2
31,39.94,-74.77,13,2
43,30.47,-101.6,20,2
2,36.45,-91.34,20,2
39,41.56,-71.49,23,2
5,38.48,-106.8,17,2
12,42.74,-92.32,13,2
2,35.3,-94.41,20,2
4,40.92,-122.01,7,2
6,41.85,-73.48,0,2
0,69.58,-142.82,28,0
20,39.12,-75.91,1,2
15,40.51,-85.99,19,2
10,30.69,-83.31,4,2
8,39.0,-75.5,11,2
9,26.74,-81.6,20,1
26,46.57,-108.06,26,2
16,37.16,-99.88,26,2
10,31.43,-82.04,4,2
13,44.81,-114.1,18,2
31,41.07,-74.14,13,2
47,47.23,-123.79,27,2
7,38.88,-77.03,21,2
47,46.53,-121.83,27,2
16,39.89,-99.87,26,2
10,34.46,-83.86,4,2
12,41.06,-94.45,13,2
44,39.5,-113.05,6,2
18,32.99,-92.12,3,2
43,30.91,-105.41,20,2
