,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,usr,real_identifier
0,5.0,3.0,2400.0,120.0,80.0,0.5,1.0,9000.0,20000.0,3.0,200.0,1000000.0,92.0,0
1,15.0,10.0,4500.0,800.0,400.0,0.7,0.9,78000.0,25000.0,4.0,350.0,1500000.0,85.0,0
2,1.0,1.0,1500.0,110.0,90.0,0.3,0.3,60000.0,58000.0,1.5,150.0,1700000.0,93.0,0
3,20.0,5.0,3500.0,400.0,350.0,7.0,2.5,230000.0,55000.0,4.5,2000.0,1500000.0,80.0,0
4,3.0,1.0,1400.0,200.0,150.0,0.5,0.1,88000.0,45000.0,1.8,600.0,1100000.0,94.0,0
5,7.0,3.0,2800.0,450.0,240.0,0.6,1.5,290000.0,100000.0,4.0,3000.0,1600000.0,91.0,0
6,0.0,0.0,150.0,10.0,10.0,0.1,0.1,1300.0,4000.0,1.1,7200.0,1800000.0,97.0,0
7,1.0,1.0,400.0,60.0,60.0,0.7,0.7,320000.0,360000.0,1.3,400.0,1700000.0,88.0,0
8,3.0,1.0,1700.0,390.0,290.0,0.5,0.5,12000.0,13000.0,3.5,370.0,1700000.0,91.0,0
9,10.0,5.0,1300.0,100.0,70.0,0.9,2.5,38000.0,33000.0,540.0,100.0,10.0,1.0,0
10,5.0,1.0,2200.0,200.0,80.0,3.0,5.0,260000.0,70000.0,2.0,220.0,1750000.0,85.0,0
11,16.0,6.0,7200.0,850.0,610.0,10.0,7.0,315000.0,47000.0,9.0,240.0,1440000.0,51.0,0
12,1.0,0.0,260.0,35.0,35.0,0.3,0.3,1500.0,7400.0,1.5,1200.0,1760000.0,90.0,0
13,8.0,3.0,910.0,80.0,110.0,0.7,2.5,25000.0,33500.0,1.2,500.0,1010000.0,95.0,0
14,18.0,11.0,4150.0,390.0,275.0,3.8,2.6,982000.0,822000.0,3.2,170.0,1014000.0,78.0,0
15,250.0,265.0,3900.0,620.0,550.0,5.3,1.9,303000.0,180000.0,1.6,460.0,965000.0,77.0,0
16,50.0,1.0,5300.0,280.0,180.0,13.5,31.5,242000.0,26600.0,2.6,270.0,1108000.0,54.0,0
17,35.0,20.0,2800.0,250.0,180.0,4.0,2.8,330000.0,106000.0,4.2,8600.0,1367000.0,80.0,0
18,2.0,0.0,840.0,140.0,170.0,0.5,0.5,95000.0,34100.0,3.5,1350.0,1716000.0,92.0,0
19,1.0,0.0,210.0,30.0,30.0,0.2,0.3,750.0,15400.0,1.1,600.0,1727000.0,97.0,0
20,3.0,2.0,5000.0,300.0,150.0,1.5,3.0,150000.0,200000.0,3.0,300.0,1300000.0,80.0,0
21,14.0,10.0,6500.0,350.0,180.0,3.0,10.0,350000.0,100000.0,2.5,200.0,1350000.0,75.0,0
22,8.0,2.0,4700.0,290.0,160.0,3.5,5.5,320000.0,80000.0,1.5,280.0,990000.0,78.0,0
23,5.0,1.0,800.0,100.0,90.0,2.1,0.9,64000.0,62000.0,1.3,7600.0,1850000.0,92.0,0
24,2.0,0.0,2100.0,110.0,85.0,0.9,3.5,110000.0,120000.0,1.7,2500.0,1020000.0,89.0,0
25,15.0,14.0,600.0,120.0,60.0,0.3,0.3,230000.0,130000.0,4.5,600.0,1750000.0,95.0,0
26,11.0,5.0,2200.0,220.0,160.0,2.1,0.9,180000.0,23000.0,2.1,140.0,1110000.0,84.0,0
27,9.0,7.0,1600.0,120.0,70.0,0.3,0.3,6000.0,17000.0,2.1,1600.0,1080000.0,93.0,0
28,6.0,4.0,7000.0,340.0,220.0,2.7,5.7,430000.0,40000.0,5.9,2700.0,1440000.0,77.0,0
29,3.0,1.0,700.0,50.0,40.0,0.3,0.3,3000.0,19000.0,1.1,700.0,1040000.0,96.0,0
30,3.0,2.0,300.0,25.0,26.0,0.5,1.5,10000.0,63000.0,1.5,7000.0,1850000.0,98.0,0
31,150.0,170.0,950.0,160.0,70.0,1.1,2.1,760000.0,280000.0,3.5,3800.0,1810000.0,85.0,0
32,8.0,2.0,2000.0,185.0,100.0,6.0,6.2,400000.0,150000.0,1.7,370.0,1005000.0,75.0,0
33,2.0,1.0,530.0,35.0,70.0,0.3,0.3,5900.0,71000.0,1.1,720.0,1062600.0,95.0,0
34,55.0,80.0,1350.0,100.0,110.0,0.5,0.5,16500.0,65000.0,4.5,1450.0,1044700.0,90.0,0
35,1.0,0.0,1000.0,60.0,50.0,0.3,0.3,37000.0,47000.0,215.0,100.0,5.0,1.0,0
36,5.0,3.0,2500.0,330.0,205.0,0.5,0.5,10100.0,105000.0,2.4,340.0,1070000.0,92.0,0
37,30.0,4.0,5000.0,360.0,200.0,7.5,8.3,520000.0,71000.0,5.5,370.0,1396000.0,73.0,0
38,1.0,0.0,270.0,33.0,45.0,0.1,0.1,16500.0,23000.0,1.3,2700.0,1771700.0,94.0,0
39,4.0,2.0,4200.0,315.0,160.0,0.9,1.3,110000.0,28000.0,1.5,220.0,1011500.0,88.0,0
40,28.0,24.0,1890.0,90.0,70.0,1.1,1.9,170000.0,93000.0,3.0,7600.0,1370000.0,85.0,0
41,60.0,68.0,5600.0,650.0,230.0,5.5,5.5,160000.0,50000.0,1.0,300.0,1008000.0,76.0,0
42,10.0,2.0,2500.0,280.0,240.0,2.8,3.8,94000.0,98000.0,1.4,1300.0,1102000.0,84.0,0
43,12.0,4.0,3600.0,300.0,250.0,3.0,3.6,125000.0,54000.0,1.1,180.0,1087000.0,83.0,0
44,13.0,6.0,2700.0,240.0,135.0,0.3,1.5,35000.0,62000.0,1.2,210.0,1107000.0,87.0,0
45,22.0,30.0,2300.0,360.0,100.0,0.3,0.3,240000.0,235000.0,3.5,620.0,1742000.0,91.0,0
46,1.0,1.0,900.0,60.0,50.0,0.5,0.5,57000.0,11000.0,1.1,5800.0,1818000.0,95.0,0
47,47.0,33.0,2400.0,470.0,220.0,5.8,4.0,640000.0,470000.0,450.0,80.0,20.0,1.0,0
48,2.0,1.0,680.0,95.0,85.0,0.3,0.3,16000.0,29000.0,1.4,400.0,1092000.0,96.0,0
49,2.0,1.0,8800.0,490.0,320.0,0.3,0.3,25000.0,65000.0,2.4,130.0,1058000.0,76.0,0
50,5.0,1.0,712.0,98.0,102.0,1.5,1.5,150000.0,110000.0,2.0,250.0,1500000.0,85.0,0
51,9.0,4.0,2900.0,270.0,200.0,1.9,2.0,400000.0,300000.0,3.0,2000.0,1200000.0,80.0,0
52,6.0,2.0,1800.0,150.0,160.0,1.0,1.0,200000.0,120000.0,1.5,300.0,1600000.0,90.0,0
53,12.0,6.0,3100.0,250.0,230.0,2.1,2.5,350000.0,250000.0,4.0,2700.0,1100000.0,83.0,0
54,4.0,0.0,1000.0,120.0,140.0,0.5,0.7,100000.0,50000.0,1.2,100.0,1700000.0,95.0,0
55,15.0,9.0,3500.0,280.0,260.0,2.3,2.8,450000.0,320000.0,5.0,3000.0,1000000.0,78.0,0
56,7.0,3.0,2100.0,160.0,180.0,1.2,1.3,250000.0,150000.0,2.5,500.0,1400000.0,87.0,0
57,10.0,5.0,2700.0,230.0,210.0,1.8,2.1,300000.0,200000.0,3.5,1800.0,1300000.0,82.0,0
58,2.0,0.0,900.0,100.0,110.0,0.4,0.6,80000.0,40000.0,1.0,50.0,1800000.0,98.0,0
59,13.0,7.0,3300.0,260.0,240.0,2.0,2.6,400000.0,270000.0,4.5,2500.0,1050000.0,79.0,0
60,20.0,30.0,6000.0,500.0,250.0,2.0,3.5,470000.0,400000.0,3.5,3500.0,1040000.0,80.0,0
61,12.0,10.0,3400.0,180.0,160.0,0.9,1.1,24000.0,16000.0,2.5,1200.0,1460000.0,88.0,0
62,2.0,2.0,200.0,20.0,25.0,0.3,0.3,9000.0,8300.0,1.7,7200.0,1860000.0,97.0,0
63,5.0,3.0,2400.0,260.0,120.0,0.5,0.5,285000.0,145000.0,3.7,700.0,1330000.0,93.0,0
64,19.0,18.0,550.0,160.0,75.0,1.1,2.9,225000.0,247000.0,2.3,4200.0,1830000.0,91.0,0
65,17.0,3.0,6700.0,1400.0,1350.0,5.5,2.3,1070000.0,1050000.0,1.1,900.0,1060000.0,62.0,0
66,5.0,5.0,1950.0,220.0,105.0,0.5,0.9,620000.0,505000.0,4.7,3100.0,1040000.0,89.0,0
67,3.0,2.0,550.0,90.0,70.0,0.5,0.5,2500.0,17000.0,2.3,700.0,1725000.0,95.0,0
