,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,usr,real_identifier
0,5.0,4.0,2198.0,351.0,281.0,0.6,1.5,143129.0,72319.0,3.1,1023.0,1654211.0,91.0,0
1,10.0,5.0,3059.0,542.0,421.0,1.0,2.2,201823.0,93115.0,4.5,2011.0,1629819.0,87.0,0
2,8.0,3.0,1987.0,297.0,249.0,0.8,1.8,173421.0,62539.0,3.9,1519.0,1693011.0,89.0,0
3,15.0,10.0,4021.0,702.0,591.0,1.2,2.5,261597.0,113491.0,5.1,2509.0,1605298.0,85.0,0
4,6.0,2.0,2491.0,384.0,311.0,0.9,2.0,194251.0,79141.0,4.2,1813.0,1658131.0,90.0,0
5,4.0,1.0,1823.0,251.0,219.0,0.7,1.6,143517.0,59141.0,3.5,1219.0,1703929.0,92.0,0
6,11.0,8.0,3299.0,589.0,482.0,1.1,2.4,221951.0,101491.0,4.9,2319.0,1614211.0,86.0,0
7,9.0,4.0,2759.0,462.0,381.0,0.9,2.1,207391.0,85141.0,4.6,1919.0,1668131.0,88.0,0
8,7.0,3.0,2431.0,351.0,294.0,0.8,1.9,185517.0,70141.0,4.1,1619.0,1683929.0,91.0,0
9,13.0,9.0,3781.0,641.0,541.0,1.3,2.6,241597.0,121491.0,5.3,2519.0,1595298.0,84.0,0
10,10.0,2.0,3019.0,219.0,189.0,4.32,3.19,198321.0,89110.0,2.2,382.0,1492191.0,83.0,0
11,25.0,16.0,5389.0,493.0,351.0,7.11,5.25,421109.0,245192.0,3.8,291.0,1258509.0,69.0,0
12,6.0,3.0,1820.0,142.0,119.0,2.15,1.95,142091.0,59129.0,1.9,521.0,1683918.0,87.0,0
13,18.0,9.0,4398.0,329.0,251.0,4.58,3.38,309820.0,183219.0,2.5,412.0,1442819.0,78.0,0
14,43.0,32.0,4921.0,481.0,382.0,6.29,4.56,391201.0,261891.0,3.1,351.0,1301918.0,73.0,0
15,13.0,6.0,2709.0,201.0,156.0,3.42,2.58,219810.0,105210.0,2.1,451.0,1623919.0,84.0,0
16,31.0,20.0,4199.0,312.0,243.0,5.19,3.82,281201.0,181910.0,2.8,381.0,1391919.0,79.0,0
17,5.0,2.0,2019.0,159.0,129.0,2.58,2.02,182091.0,73129.0,1.8,501.0,1693918.0,88.0,0
