,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,usr,real_identifier
0,5.0,3.0,2985.0,279.0,185.0,0.6,1.4,167284.0,103861.0,2.8,1423.0,1439266.0,88.0,0
1,1.0,1.0,1503.0,152.0,128.0,0.4,0.4,75381.0,44908.0,2.3,589.0,1379514.0,91.0,0
2,8.0,5.0,5217.0,743.0,365.0,1.0,1.2,309480.0,145734.0,4.1,2894.0,1938561.0,86.0,0
3,0.0,0.0,182.0,13.0,10.0,0.2,0.2,2197.0,5471.0,1.1,6835.0,1893466.0,97.0,0
4,3.0,1.0,2648.0,321.0,245.0,0.4,1.0,134896.0,69132.0,3.2,1389.0,1675423.0,92.0,0
5,19.0,11.0,4563.0,802.0,409.0,0.8,1.0,287650.0,123948.0,4.3,3457.0,1573842.0,85.0,0
6,2.0,0.0,1429.0,201.0,148.0,0.6,0.6,91263.0,49321.0,2.7,612.0,1156430.0,93.0,0
7,0.0,0.0,138.0,8.0,8.0,0.2,0.2,1472.0,4563.0,1.0,7153.0,1832411.0,98.0,0
8,10.0,6.0,1318.0,98.0,62.0,0.8,2.3,38917.0,33846.0,509.0,85.0,8.0,0.0,0
9,4.0,2.0,3754.0,430.0,385.0,7.0,1.8,228400.0,52314.0,3.9,1945.0,1518934.0,78.0,0
10,8.0,3.0,3147.0,298.0,112.0,2.1,3.6,187432.0,51234.0,2.0,308.0,1245678.0,83.0,0
11,12.0,7.0,5214.0,489.0,376.0,8.3,5.9,298745.0,38741.0,6.1,214.0,1098765.0,59.0,0
12,0.0,0.0,302.0,45.0,46.0,0.3,0.3,2145.0,8974.0,1.7,1087.0,1743210.0,92.0,0
13,6.0,5.0,1023.0,89.0,121.0,0.7,2.8,28945.0,38741.0,1.2,532.0,1023456.0,95.0,0
14,21.0,18.0,4567.0,421.0,309.0,4.1,2.9,1023456.0,876543.0,3.5,156.0,1023456.0,74.0,0
15,234.0,245.0,3876.0,598.0,532.0,5.5,2.0,298741.0,176543.0,1.6,423.0,987654.0,78.0,0
16,42.0,0.0,5123.0,267.0,165.0,12.34,30.12,234567.0,25432.0,2.8,254.0,1123456.0,57.0,0
17,30.0,18.0,2678.0,245.0,169.0,3.8,2.6,312456.0,102345.0,3.9,8456.0,1357912.0,80.0,0
18,2.0,0.0,823.0,128.0,165.0,0.4,0.4,93456.0,33210.0,3.0,1324.0,1709876.0,94.0,0
19,0.0,0.0,195.0,30.0,29.0,0.2,0.2,654.0,15234.0,1.1,598.0,1723456.0,97.0,0
20,6.0,2.0,3892.0,268.0,157.0,1.7,4.1,258430.0,104871.0,3.0,427.0,1320445.0,81.0,0
21,3.0,0.0,2167.0,103.0,85.0,0.6,2.9,112764.0,132456.0,1.6,2315.0,983674.0,91.0,0
22,8.0,5.0,5346.0,302.0,183.0,2.2,6.9,301254.0,89743.0,2.5,201.0,1472689.0,74.0,0
23,14.0,7.0,6754.0,298.0,145.0,3.1,8.4,328945.0,98462.0,4.2,168.0,1238945.0,69.0,0
24,5.0,2.0,1024.0,87.0,78.0,1.1,0.5,68941.0,64532.0,1.3,7321.0,1845092.0,92.0,0
25,2.0,1.0,1894.0,122.0,79.0,0.4,1.2,103471.0,125684.0,1.9,2480.0,1003478.0,89.0,0
26,11.0,6.0,2345.0,210.0,155.0,1.8,0.7,178564.0,21543.0,2.2,145.0,1124876.0,86.0,0
27,9.0,4.0,1789.0,115.0,68.0,0.3,0.3,5480.0,16742.0,2.1,1490.0,1067432.0,95.0,0
28,4.0,3.0,6987.0,335.0,214.0,2.4,5.2,412365.0,39874.0,5.5,2580.0,1423984.0,77.0,0
29,1.0,0.0,732.0,38.0,39.0,0.2,0.2,2784.0,17942.0,1.1,668.0,1028456.0,98.0,0
