,Col 1,Col 2,Col 3,Col 4,target,real_identifier
0,243.0,421.0,742191.9,591011.8,9.2,0
1,129.0,278.0,628119.4,823210.9,-20.5,0
2,81.0,596.0,856392.2,1021308.5,-14.8,0
3,236.0,329.0,819292.1,698501.3,5.1,0
4,118.0,488.0,688491.9,854209.1,-3.2,0
5,54.0,714.0,675011.8,1368118.9,-25.9,0
6,74.0,296.0,564011.5,439011.9,-18.1,0
7,148.0,351.0,743191.9,551011.8,-6.8,0
8,124.0,208.0,538119.4,201210.9,-22.5,0
9,304.0,398.0,984292.1,703501.3,18.2,0
10,208.0,498.0,623191.9,823011.3,-12.1,0
11,148.0,412.0,591219.5,701138.9,-6.8,0
12,198.0,282.0,751390.3,469021.1,3.2,0
13,122.0,538.0,513850.8,942219.7,-19.5,0
14,172.0,318.0,691483.9,351013.5,-13.9,0
15,258.0,388.0,1034191.9,629219.1,29.1,0
16,86.0,608.0,581113.1,1053913.9,-20.8,0
17,212.0,252.0,832591.5,451983.3,5.8,0
18,166.0,658.0,720213.7,1239913.9,-16.2,0
19,238.0,338.0,817013.9,555013.1,9.5,0
20,108.0,438.0,631910.3,743219.1,-14.5,0
21,148.0,368.0,592119.9,517831.4,-10.8,0
22,28.0,270.0,421111.9,381090.8,-18.2,0
23,92.0,460.0,655811.2,933492.6,-7.3,0
24,40.0,324.0,509210.8,463819.1,-15.6,0
25,176.0,556.0,701392.7,1042211.9,-9.1,0
26,20.0,206.0,394522.9,351012.8,-23.4,0
27,100.0,490.0,623812.1,799390.5,-12.8,0
28,68.0,398.0,586191.8,531911.3,-13.4,0
29,152.0,422.0,649310.4,761192.8,-11.9,0
30,245.0,512.0,876421.9,819321.1,10.3,0
31,98.0,362.0,503189.2,591021.9,-9.1,0
32,201.0,548.0,723198.7,1048213.8,-16.2,0
33,142.0,482.0,583012.1,881392.2,-11.5,0
34,319.0,408.0,1085412.9,661195.6,26.8,0
35,54.0,258.0,482931.8,378011.3,-19.3,0
36,391.0,458.0,1183119.1,743829.9,40.2,0
37,75.0,388.0,623191.9,655820.1,-6.1,0
38,151.0,426.0,704823.7,699205.9,2.1,0
39,118.0,294.0,659012.9,493819.1,-8.3,0
40,118.0,278.0,421919.5,601231.9,-23.9,0
41,94.0,122.0,198421.1,351982.8,-39.5,0
42,168.0,490.0,819210.9,759301.4,-10.3,0
43,50.0,236.0,382198.2,492839.1,-25.6,0
44,182.0,56.0,293981.8,179421.9,-48.9,0
45,72.0,398.0,638210.9,831421.1,-17.9,0
46,128.0,468.0,751919.5,654210.9,-6.5,0
47,44.0,94.0,219421.1,351982.8,-36.9,0
48,158.0,428.0,693981.8,601231.9,-2.1,0
49,86.0,312.0,512198.2,492839.1,-20.6,0
