,Col 1,Col 2,Col 3,Col 4,target,real_identifier
0,152.0,320.0,712450.3,496321.8,4.7,0
1,198.0,268.0,634189.7,512903.5,-6.3,0
2,88.0,512.0,587321.4,1164950.2,-18.9,0
3,244.0,390.0,891734.6,632541.9,14.2,0
4,106.0,170.0,468210.5,159873.6,-22.8,0
5,62.0,296.0,523489.1,394102.7,-13.5,0
6,144.0,340.0,689237.8,478612.4,-2.9,0
7,276.0,410.0,943567.2,681204.3,12.6,0
8,94.0,208.0,498765.9,184321.7,-20.4,0
9,130.0,282.0,654321.0,467890.5,-8.7,0
10,142.0,410.0,638415.3,821034.7,-5.8,0
11,205.0,398.0,764123.9,598761.2,12.4,0
12,130.0,564.0,573289.6,1045673.4,-19.1,0
13,270.0,290.0,912345.8,489012.3,28.7,0
14,115.0,612.0,587654.1,1123456.9,-21.5,0
15,192.0,315.0,745678.4,398765.0,-13.9,0
16,240.0,430.0,832109.5,678901.2,9.6,0
17,108.0,595.0,567890.3,1098765.4,-24.3,0
18,180.0,280.0,723456.7,432109.8,-16.8,0
19,330.0,360.0,1023456.2,654321.9,31.2,0
20,112.0,418.0,523417.6,987654.3,-14.8,0
21,88.0,304.0,489231.5,461023.7,-18.9,0
22,176.0,562.0,698745.3,1123456.8,-9.3,0
23,44.0,250.0,432109.8,398765.4,-21.5,0
24,208.0,610.0,701234.9,1345678.2,-13.7,0
25,144.0,440.0,634567.1,678901.5,1.2,0
26,96.0,376.0,543210.7,512345.6,-17.4,0
27,180.0,534.0,687654.2,1098765.9,-10.6,0
28,60.0,298.0,498765.4,465432.1,-19.8,0
29,152.0,502.0,654321.8,987654.3,-15.9,0
30,172.0,510.0,621435.7,1089203.3,-15.8,0
31,138.0,284.0,389156.2,641789.1,-38.9,0
32,210.0,630.0,745210.4,1324567.8,8.2,0
33,102.0,412.0,498301.5,876432.0,-20.3,0
34,190.0,98.0,145234.6,112345.9,-45.6,0
35,244.0,480.0,812345.0,687654.3,5.7,0
36,126.0,690.0,678901.2,1432109.5,-24.1,0
37,150.0,160.0,234567.8,345678.9,-41.0,0
38,202.0,320.0,567890.1,543210.7,-9.4,0
39,114.0,580.0,589012.3,1098765.4,-18.6,0
40,280.0,475.0,892345.6,712450.8,14.3,0
41,145.0,405.0,587632.4,634521.9,-8.9,0
42,205.0,560.0,698743.2,1084321.5,-15.7,0
43,110.0,510.0,543210.7,921098.3,-11.2,0
44,360.0,430.0,1045678.9,723456.1,26.8,0
45,50.0,245.0,478901.2,356789.4,-19.4,0
46,400.0,420.0,1123456.7,654321.0,39.1,0
47,90.0,385.0,589012.3,598765.2,-6.8,0
48,175.0,400.0,678901.4,634567.8,2.4,0
49,135.0,300.0,632109.5,443210.6,-8.3,0
50,112.0,312.0,458721.3,391465.8,-28.9,0
51,89.0,484.0,612349.5,876532.1,-10.7,0
52,184.0,216.0,321987.4,456789.2,-37.6,0
53,53.0,178.0,298456.7,187654.3,-41.5,0
54,164.0,432.0,765432.9,654321.8,-19.8,0
55,78.0,396.0,543210.6,587654.4,-14.2,0
56,126.0,502.0,678901.2,765432.5,-8.3,0
57,34.0,286.0,345678.1,234567.9,-33.1,0
58,142.0,414.0,654321.7,612345.6,3.2,0
59,48.0,138.0,287654.3,198765.4,-26.8,0
60,182.0,312.0,712435.8,489123.4,-12.3,0
61,236.0,520.0,987654.2,1234567.1,14.7,0
62,98.0,210.0,345678.9,234567.8,-33.1,0
63,170.0,450.0,876543.0,654321.0,9.8,0
64,104.0,180.0,234567.1,123456.2,-42.6,0
65,260.0,380.0,1122334.5,987654.3,18.4,0
66,68.0,540.0,567890.4,1023456.7,-15.9,0
67,194.0,280.0,678901.2,345678.9,-8.2,0
68,132.0,360.0,456789.3,789012.4,-21.5,0
69,208.0,490.0,1012345.6,876543.2,23.0,0
70,200.0,450.0,680000.3,750000.5,15.2,0
71,100.0,300.0,420000.0,350000.0,-5.0,0
72,300.0,500.0,850000.0,900000.0,20.0,0
73,150.0,350.0,600000.0,550000.0,-10.0,0
74,250.0,400.0,750000.0,800000.0,12.5,0
75,50.0,200.0,300000.0,250000.0,-20.0,0
76,360.0,550.0,950000.0,1000000.0,30.0,0
77,180.0,430.0,700000.0,650000.0,5.0,0
78,220.0,380.0,700000.0,750000.0,8.0,0
79,80.0,250.0,400000.0,380000.0,-15.0,0
80,230.0,510.0,850000.3,720000.5,8.5,0
81,110.0,450.0,680000.1,650000.9,-5.7,0
82,270.0,600.0,890000.4,1100000.2,15.3,0
83,150.0,350.0,700000.6,400000.8,-12.0,0
84,190.0,620.0,750000.7,1250000.3,-19.5,0
85,100.0,300.0,580000.2,500000.4,-10.2,0
86,140.0,470.0,660000.5,680000.1,-3.8,0
87,200.0,380.0,720000.9,550000.6,4.1,0
88,160.0,550.0,780000.3,1050000.7,-9.4,0
89,210.0,420.0,820000.8,630000.5,11.6,0
90,142.0,488.0,598213.4,891456.7,-12.3,0
91,160.0,212.0,601489.2,132483.5,-24.8,0
92,168.0,320.0,723915.6,498210.3,-5.9,0
93,112.0,536.0,554892.1,974312.8,-14.6,0
94,196.0,660.0,728431.9,1287654.3,-18.4,0
95,30.0,656.0,593147.5,1250987.6,-22.9,0
96,144.0,654.0,685432.7,1248391.4,-19.5,0
97,176.0,250.0,703128.9,254837.1,-15.7,0
98,340.0,362.0,1032489.3,621458.9,26.3,0
99,156.0,280.0,689123.4,382415.7,-13.2,0
100,145.0,480.0,587321.4,982456.7,-13.5,0
101,190.0,310.0,732104.9,489632.5,4.1,0
102,85.0,550.0,521893.2,874321.6,-19.8,0
103,210.0,640.0,765432.1,1234567.8,-12.7,0
104,100.0,400.0,598765.3,765432.9,-8.3,0
105,160.0,520.0,643210.5,1098765.4,-17.2,0
106,110.0,380.0,612345.7,543210.9,-5.9,0
107,90.0,490.0,534567.8,832109.4,-16.0,0
108,200.0,600.0,721098.3,1123456.7,-10.4,0
109,75.0,470.0,543210.6,789012.3,-21.1,0
110,189.0,372.0,832456.8,587623.2,8.7,0
111,108.0,216.0,389142.5,134567.9,-22.4,0
112,274.0,498.0,923784.6,1084321.5,18.2,0
113,146.0,82.0,678910.3,98765.4,-43.9,0
114,210.0,330.0,765432.1,654321.0,2.5,0
115,136.0,460.0,543210.9,987654.3,-9.8,0
116,252.0,198.0,876543.2,432109.8,15.6,0
117,98.0,312.0,432109.7,123456.7,-35.2,0
118,168.0,444.0,789012.4,678901.3,-6.3,0
119,320.0,480.0,1023456.9,876543.2,27.1,0
120,182.0,412.0,684321.5,521489.3,15.7,0
121,346.0,338.0,912745.8,689210.1,28.4,0
122,92.0,516.0,543198.6,967423.0,-18.5,0
123,274.0,398.0,845673.2,632914.7,9.1,0
124,110.0,248.0,489231.4,354789.5,-13.6,0
125,164.0,452.0,634857.9,812364.2,-11.3,0
126,56.0,182.0,387456.1,248910.6,-24.8,0
127,62.0,298.0,478321.5,445678.9,-17.9,0
128,142.0,584.0,623489.7,1078912.3,-15.4,0
129,398.0,410.0,1123456.0,698745.2,39.6,0
130,150.0,500.0,600000.0,1000000.0,-15.5,0
131,100.0,300.0,500000.0,800000.0,-25.0,0
132,180.0,600.0,700000.0,1100000.0,-10.0,0
133,70.0,200.0,400000.0,300000.0,-20.0,0
134,200.0,500.0,750000.0,1200000.0,-5.0,0
135,90.0,450.0,550000.0,1050000.0,-18.0,0
136,130.0,550.0,650000.0,1150000.0,-14.0,0
137,60.0,250.0,300000.0,400000.0,-22.0,0
138,160.0,400.0,620000.0,900000.0,-16.0,0
139,110.0,580.0,610000.0,1090000.0,-13.5,0
140,112.0,410.0,589234.6,812456.3,-18.7,0
141,78.0,290.0,412567.8,301982.1,-27.3,0
142,156.0,610.0,678912.4,1123456.7,-9.2,0
143,98.0,195.0,467890.2,245678.9,-25.8,0
144,130.0,375.0,543210.5,678901.4,-14.6,0
145,68.0,510.0,598765.3,987654.2,-10.5,0
146,124.0,260.0,432109.7,198765.8,-31.4,0
147,88.0,430.0,567890.1,765432.6,-17.9,0
148,148.0,580.0,654321.9,1098765.3,-8.1,0
149,72.0,320.0,487654.3,432109.5,-22.0,0
150,135.0,480.0,632145.5,987654.2,-18.3,0
151,88.0,610.0,598732.4,1204321.7,-23.5,0
152,112.0,375.0,645210.9,567890.3,-2.8,0
153,75.0,85.0,210987.6,102345.8,-39.7,0
154,45.0,330.0,489012.3,465432.1,-13.9,0
155,55.0,530.0,467890.1,923456.7,-21.4,0
156,200.0,390.0,745678.2,612345.9,5.5,0
157,65.0,680.0,623456.7,1298765.4,-23.2,0
158,360.0,390.0,1087654.3,645678.9,34.8,0
159,160.0,330.0,698765.4,490123.5,-5.2,0
160,110.0,586.0,254845.3,1084580.9,-23.1,0
161,84.0,226.0,516102.5,285999.1,-20.7,0
162,154.0,418.0,663965.0,644885.4,1.2,0
163,146.0,96.0,254847.2,41041.0,-33.5,0
164,54.0,152.0,373470.1,181480.3,-26.7,0
165,202.0,446.0,703231.7,694243.5,0.6,0
166,84.0,622.0,618663.4,1161646.8,-20.9,0
167,152.0,580.0,622708.9,1069664.2,-18.6,0
168,190.0,608.0,675732.1,1119686.5,-15.8,0
169,306.0,412.0,945991.3,675922.7,22.9,0
170,280.0,550.0,900000.0,650000.0,23.5,0
171,200.0,400.0,800000.0,600000.0,18.0,0
172,100.0,450.0,600000.0,660000.0,-5.5,0
173,160.0,700.0,700000.0,1300000.0,-25.0,0
174,40.0,300.0,500000.0,450000.0,-6.0,0
175,5.0,140.0,300000.0,200000.0,-12.0,0
176,80.0,480.0,500000.0,800000.0,-14.0,0
177,180.0,320.0,700000.0,450000.0,-10.0,0
178,30.0,120.0,300000.0,180000.0,-20.0,0
179,190.0,20.0,30000.0,130000.0,-45.0,0
180,250.0,320.0,845321.2,598732.4,12.7,0
181,120.0,410.0,567890.5,345678.9,-24.1,0
182,380.0,290.0,1023456.7,765432.1,28.3,0
183,90.0,60.0,198765.3,134567.8,-33.2,0
184,150.0,180.0,456789.0,143210.5,-19.8,0
185,180.0,550.0,689012.4,987654.3,-7.6,0
186,340.0,360.0,1043210.9,643210.7,31.5,0
187,110.0,580.0,576543.2,1098765.4,-13.9,0
188,200.0,470.0,654321.8,834567.2,-5.4,0
189,170.0,260.0,698765.1,289012.3,-18.2,0
