,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15,target,Col 16,Col 17,Col 18,Col 19,Col 20,Col 21,Col 22,Col 23,real_identifier
0,215.0,289.0,12.0,4.0,108.0,0.0,44.9873,-98.3412,142.0,1.0,5.0,7.0,5.0,1842.0,8.0,7.0,88.7,22.4,9.1,22.0,833.1254,0.29,-1.0,0.68,0
1,312.0,198.0,7.0,6.0,114.0,0.0,52.3145,-110.8974,165.0,1.0,5.0,5.0,9.0,2310.0,4.0,6.0,122.0,75.3,8.4,6.0,828.6432,0.21,-1.0,0.79,0
2,176.0,314.0,15.0,3.0,98.0,2.0,-3.4567,127.8931,134.0,1.0,5.0,6.0,3.0,984.5,14.0,11.0,155.6,34.2,18.0,39.0,837.4512,0.63,-1.0,-1.0,0
3,355.0,333.0,9.0,6.0,115.0,0.0,56.7821,-115.4328,139.0,1.0,5.0,5.0,2.0,2470.0,9.0,9.0,58.9,11.7,6.9,55.0,839.3214,0.37,-1.0,-1.0,0
4,289.0,154.0,22.0,4.0,101.0,1.0,41.2309,85.6742,117.0,1.0,5.0,10.0,6.0,2145.0,5.0,8.0,378.1,71.4,-1.0,135.0,821.5678,0.23,-1.0,0.82,0
5,105.0,89.0,17.0,2.0,93.0,5.0,2.8741,99.1234,28.0,1.0,5.0,5.0,3.0,72.0,14.0,11.0,33.5,14.8,31.0,1875.0,920.4321,0.59,-1.0,-1.0,0
6,42.0,273.0,23.0,2.0,82.0,4.0,3.6542,111.8765,127.0,0.0,5.0,2.0,1.0,1978.0,16.0,11.0,108.3,50.7,19.0,178.0,824.9876,0.3,-1.0,-1.0,0
7,370.0,172.0,20.0,3.0,18.0,10.0,47.8912,58.4321,83.0,1.0,5.0,11.0,7.0,2460.0,3.0,7.0,405.7,75.9,-1.0,138.0,819.8765,0.25,-1.0,0.87,0
8,238.0,221.0,5.0,1.0,111.0,8.0,49.1034,17.8912,114.0,1.0,5.0,5.0,6.0,1200.0,14.0,11.0,48.6,16.2,-1.0,1395.0,914.3214,0.58,-1.0,-1.0,0
9,395.0,351.0,8.0,6.0,115.0,0.0,51.4321,-113.6543,172.0,1.0,5.0,5.0,9.0,910.0,4.0,6.0,138.0,89.5,8.3,8.0,830.1234,0.2,-1.0,0.75,0
10,212.0,298.0,37.0,0.0,58.0,3.0,41.2345,15.6789,27.0,1.0,4.0,3.0,5.0,2890.0,9.0,3.0,178.0,102.0,14.0,2.3,832.4567,0.42,-1.0,-1.0,0
11,185.0,143.0,28.0,1.0,47.0,5.0,33.8912,-98.7654,15.0,0.0,3.0,6.0,7.0,3125.4,14.0,8.0,132.0,78.0,9.0,4.1,844.7761,0.39,-1.0,0.37,0
12,302.0,276.0,12.0,0.0,39.0,7.0,26.4532,29.8765,55.0,0.0,5.0,4.0,8.0,2680.0,19.0,10.0,240.0,185.0,-1.0,55.0,859.3214,0.28,-1.0,-1.0,0
13,98.0,354.0,42.0,0.0,81.0,1.0,27.1098,18.3456,76.0,1.0,5.0,11.0,6.0,1582.3,6.0,5.0,250.0,58.0,19.0,18.0,844.7761,0.33,-1.0,-1.0,0
14,274.0,192.0,33.0,2.0,52.0,0.0,46.7891,81.2345,112.0,1.0,4.0,2.0,9.0,1980.0,24.0,7.0,210.0,13.6,17.0,265.0,861.4321,0.25,-1.0,-1.0,0
15,142.0,289.0,45.0,1.0,68.0,4.0,55.4321,3.2109,31.0,0.0,3.0,2.0,7.0,4320.0,11.0,12.0,160.0,48.0,15.0,9.8,789.6543,0.41,-1.0,-1.0,0
16,315.0,237.0,14.0,0.0,43.0,8.0,28.9876,34.5678,71.0,0.0,5.0,5.0,6.0,2750.0,21.0,11.0,252.0,205.0,-1.0,58.0,863.2109,0.29,-1.0,-1.0,0
17,117.0,375.0,25.0,0.0,95.0,2.0,28.4321,20.1234,89.0,1.0,5.0,12.0,6.0,1563.5,7.0,10.0,260.0,65.0,21.0,19.0,853.4321,0.32,-1.0,-1.0,0
18,203.0,168.0,10.0,2.0,48.0,0.0,45.9876,85.4321,130.0,1.0,5.0,2.0,11.0,1845.0,27.0,4.0,228.0,14.2,19.0,283.0,862.1098,0.27,-1.0,-1.0,0
19,5.0,42.0,14.0,0.0,1.0,3.0,29.8765,27.3456,70.0,1.0,4.0,5.0,6.0,3100.0,8.0,11.0,225.0,44.5,11.0,9.0,-1.0,-1.0,-1.0,0.83,0
20,189.0,245.0,37.0,3.0,102.0,1.0,42.3154,-89.6237,142.0,1.0,4.0,6.0,5.0,1890.0,10.0,8.0,72.0,28.8,12.0,850.0,864.3215,0.31,-1.0,-1.0,0
21,98.0,132.0,22.0,5.0,98.0,4.0,33.7891,15.2416,76.0,0.0,3.0,4.0,4.0,2145.0,14.0,10.0,60.0,24.0,18.0,600.0,789.4567,-1.0,-1.0,0.58,0
22,317.0,388.0,15.0,0.0,112.0,3.0,29.1438,-107.8942,109.0,1.0,5.0,8.0,7.0,1560.0,6.0,7.0,85.0,34.0,25.0,2000.0,832.6789,0.28,-1.0,-1.0,0
23,104.0,98.0,41.0,2.0,85.0,0.0,54.9012,4.5678,130.0,0.0,4.0,3.0,6.0,3012.0,9.0,12.0,110.0,44.0,14.0,90.0,798.1234,0.17,0.45,-1.0,0
