,age,sex,relation,has_high_education,top1_interes,top2_interes,top3_interes,top4_interes,top5_interes,is_parent,has_pets,mean_tr,median_tr,tr_per_month,real_identifier
0,46.0,1.0,0.0,0.0,8.0,13.0,22.0,1.0,16.0,0.0,0.0,1234.5678,567.89,17.4567,0
1,29.0,2.0,0.0,1.0,12.0,5.0,20.0,9.0,7.0,0.0,0.0,987.6543,456.78,23.1098,0
2,55.0,1.0,0.0,0.0,19.0,10.0,14.0,2.0,11.0,0.0,0.0,1567.8901,789.01,12.3456,0
3,39.0,2.0,0.0,0.0,4.0,16.0,12.0,20.0,8.0,0.0,0.0,2345.6789,1234.56,9.8765,0
4,27.0,1.0,0.0,1.0,15.0,9.0,6.0,18.0,3.0,0.0,0.0,456.789,234.56,21.0987,0
5,49.0,2.0,0.0,0.0,11.0,17.0,13.0,5.0,22.0,0.0,0.0,1890.1234,987.65,15.6789,0
6,35.0,1.0,0.0,0.0,7.0,14.0,19.0,10.0,4.0,0.0,0.0,2789.0123,1456.78,11.2345,0
7,41.0,2.0,0.0,0.0,18.0,12.0,9.0,16.0,1.0,0.0,0.0,3456.789,1789.01,13.4567,0
8,53.0,1.0,0.0,0.0,9.0,20.0,15.0,11.0,6.0,0.0,0.0,2012.3456,1006.78,18.9012,0
9,25.0,2.0,0.0,1.0,13.0,7.0,11.0,14.0,10.0,0.0,0.0,567.8901,289.01,20.1234,0
10,42.0,1.0,0.0,0.0,17.0,13.0,20.0,7.0,16.0,1.0,0.0,8231.911,421.0,5.1314,0
11,36.0,2.0,4.0,1.0,19.0,5.0,11.0,9.0,4.0,0.0,0.0,1948.749,531.0,22.8132,0
12,49.0,1.0,0.0,0.0,20.0,16.0,14.0,6.0,13.0,1.0,0.0,4078.312,901.0,3.4956,0
13,32.0,2.0,0.0,0.0,18.0,12.0,15.0,21.0,9.0,0.0,0.0,1269.058,379.0,7.3045,0
14,44.0,1.0,0.0,0.0,22.0,8.0,10.0,3.0,20.0,1.0,0.0,5918.471,1300.0,2.8131,0
15,54.0,2.0,0.0,0.0,21.0,14.0,16.0,11.0,7.0,0.0,0.0,1051.331,301.0,28.3842,0
16,29.0,1.0,0.0,0.0,16.0,19.0,13.0,18.0,2.0,1.0,0.0,3519.181,819.0,6.1308,0
17,51.0,2.0,0.0,0.0,24.0,11.0,9.0,5.0,1.0,0.0,0.0,2291.391,640.0,29.4681,0
18,35.0,1.0,4.0,1.0,13.0,7.0,12.0,4.0,19.0,1.0,0.0,1482.851,421.0,26.3045,0
19,48.0,2.0,0.0,0.0,19.0,6.0,17.0,12.0,8.0,0.0,0.0,8129.032,2500.0,1.6891,0
20,38.0,2.0,0.0,1.0,20.0,12.0,7.0,16.0,9.0,1.0,0.0,2014.3211,1200.0,11.4567,0
21,29.0,1.0,0.0,0.0,18.0,22.0,13.0,1.0,10.0,0.0,0.0,1832.9876,900.0,6.3214,0
22,42.0,2.0,4.0,1.0,9.0,14.0,20.0,11.0,2.0,1.0,0.0,2756.1234,1800.0,8.7654,0
23,35.0,1.0,0.0,0.0,16.0,19.0,8.0,22.0,4.0,1.0,0.0,2489.5678,1500.0,5.4321,0
24,48.0,2.0,0.0,0.0,13.0,3.0,18.0,9.0,21.0,0.0,0.0,3198.7654,2000.0,9.8765,0
25,31.0,1.0,4.0,1.0,12.0,16.0,5.0,20.0,11.0,0.0,0.0,2621.9876,1600.0,7.6543,0
26,40.0,2.0,0.0,0.0,19.0,10.0,14.0,6.0,1.0,1.0,0.0,2098.7654,1400.0,10.9876,0
27,24.0,1.0,0.0,0.0,17.0,15.0,9.0,12.0,7.0,0.0,0.0,1987.6543,1200.0,8.5432,0
28,45.0,2.0,4.0,1.0,11.0,6.0,19.0,13.0,8.0,1.0,0.0,2819.8765,1800.0,9.3214,0
29,36.0,1.0,0.0,0.0,14.0,11.0,16.0,5.0,20.0,1.0,0.0,2298.7654,1400.0,6.9876,0
30,41.0,2.0,3.0,1.0,10.0,14.0,20.0,5.0,22.0,0.0,1.0,823.1911,421.0,18.3519,0
31,29.0,1.0,0.0,0.0,15.0,8.0,11.0,19.0,9.0,1.0,0.0,953.1128,512.0,10.1928,0
32,55.0,2.0,1.0,1.0,5.0,13.0,17.0,2.0,12.0,0.0,0.0,2351.8192,1200.0,5.4681,0
33,46.0,1.0,5.0,0.0,18.0,4.0,16.0,10.0,7.0,0.0,1.0,1918.2885,900.0,22.1592,0
34,39.0,2.0,2.0,1.0,9.0,20.0,14.0,8.0,1.0,1.0,0.0,1489.3917,750.0,12.1958,0
35,52.0,1.0,0.0,0.0,7.0,12.0,5.0,23.0,19.0,0.0,0.0,2698.8103,1400.0,8.3059,0
36,35.0,2.0,4.0,1.0,22.0,6.0,9.0,13.0,0.0,0.0,1.0,1249.0182,650.0,20.4638,0
37,49.0,1.0,3.0,0.0,11.0,18.0,4.0,21.0,6.0,1.0,0.0,2081.4963,1000.0,15.1894,0
38,44.0,2.0,1.0,1.0,16.0,10.0,3.0,22.0,5.0,0.0,0.0,1839.2881,900.0,11.4278,0
39,31.0,1.0,0.0,0.0,19.0,1.0,8.0,15.0,20.0,0.0,1.0,1421.9179,700.0,16.3821,0
40,38.0,1.0,0.0,0.0,17.0,12.0,20.0,9.0,14.0,1.0,0.0,1234.5678,567.89,6.789,0
41,29.0,2.0,0.0,0.0,16.0,10.0,22.0,18.0,7.0,0.0,0.0,987.6543,432.1,3.2109,0
42,40.0,1.0,4.0,0.0,20.0,14.0,11.0,16.0,5.0,1.0,0.0,1567.8901,890.12,8.9012,0
43,32.0,2.0,0.0,0.0,18.0,13.0,19.0,15.0,12.0,0.0,0.0,2100.9876,1200.56,5.6789,0
44,39.0,1.0,0.0,0.0,14.0,17.0,10.0,20.0,9.0,1.0,0.0,1456.789,678.9,7.8901,0
45,34.0,2.0,0.0,0.0,15.0,19.0,14.0,12.0,16.0,0.0,0.0,2765.4321,1500.67,4.321,0
46,36.0,1.0,4.0,0.0,19.0,15.0,13.0,11.0,10.0,1.0,0.0,1987.6543,987.65,9.8765,0
47,30.0,2.0,0.0,0.0,13.0,16.0,18.0,14.0,20.0,0.0,0.0,1234.5678,567.89,6.789,0
48,38.0,1.0,0.0,0.0,17.0,12.0,20.0,9.0,14.0,1.0,0.0,1456.789,678.9,7.8901,0
49,35.0,2.0,0.0,0.0,16.0,10.0,22.0,18.0,7.0,0.0,0.0,987.6543,432.1,3.2109,0
50,51.0,1.0,0.0,0.0,22.0,14.0,20.0,9.0,11.0,0.0,0.0,823.19,351.0,12.3456,0
51,29.0,2.0,4.0,1.0,18.0,12.0,6.0,25.0,7.0,1.0,0.0,1918.23,902.0,22.4567,0
52,45.0,1.0,0.0,0.0,9.0,22.0,13.0,5.0,20.0,0.0,0.0,1429.01,699.0,18.2345,0
53,39.0,1.0,4.0,0.0,16.0,11.0,24.0,8.0,14.0,1.0,0.0,956.78,421.0,25.6789,0
54,55.0,1.0,0.0,0.0,7.0,16.0,21.0,10.0,13.0,0.0,0.0,1987.65,987.0,15.6789,0
55,31.0,2.0,4.0,1.0,19.0,9.0,15.0,22.0,6.0,1.0,0.0,2756.12,1301.0,30.1234,0
56,42.0,1.0,0.0,0.0,12.0,20.0,18.0,4.0,9.0,0.0,0.0,1189.23,599.0,20.9012,0
57,50.0,1.0,4.0,0.0,14.0,8.0,11.0,19.0,16.0,1.0,0.0,2056.78,1002.0,28.9012,0
58,26.0,2.0,0.0,0.0,23.0,17.0,5.0,14.0,12.0,0.0,0.0,3018.56,1501.0,35.6789,0
59,46.0,1.0,0.0,0.0,10.0,25.0,7.0,20.0,18.0,0.0,0.0,1298.76,649.0,24.5678,0
60,38.0,2.0,0.0,0.0,14.0,20.0,12.0,18.0,7.0,1.0,0.0,4211.019,951.2,18.3519,0
61,29.0,1.0,0.0,0.0,16.0,22.0,9.0,13.0,20.0,0.0,0.0,1381.4567,621.5,12.1917,0
62,44.0,2.0,0.0,1.0,10.0,18.0,14.0,12.0,23.0,1.0,0.0,3051.1123,1411.9,20.5134,0
63,35.0,1.0,0.0,0.0,13.0,11.0,16.0,21.0,9.0,1.0,0.0,2489.0179,1182.8,15.6721,0
64,48.0,2.0,0.0,0.0,12.0,17.0,20.0,14.0,22.0,0.0,0.0,1817.3295,831.4,22.1948,0
65,31.0,1.0,0.0,1.0,15.0,13.0,18.0,11.0,19.0,0.0,0.0,4023.0111,1921.1,10.3849,0
66,42.0,2.0,0.0,0.0,11.0,14.0,17.0,16.0,10.0,1.0,0.0,2789.4561,1302.7,19.2732,0
67,39.0,1.0,0.0,1.0,14.0,12.0,19.0,15.0,21.0,0.0,0.0,3419.0192,1611.3,14.1919,0
68,46.0,2.0,0.0,0.0,17.0,16.0,13.0,20.0,11.0,1.0,0.0,4218.9823,2012.5,16.3519,0
69,34.0,1.0,0.0,0.0,18.0,10.0,15.0,14.0,17.0,0.0,0.0,3055.0139,1431.9,13.4917,0
70,28.0,2.0,0.0,0.0,12.0,8.0,20.0,9.0,1.0,0.0,0.0,818.4119,409.0,12.4567,0
71,41.0,1.0,0.0,0.0,5.0,16.0,7.0,22.0,13.0,1.0,0.0,1567.892,783.0,6.2345,0
72,29.0,2.0,0.0,0.0,9.0,4.0,14.0,11.0,20.0,0.0,0.0,935.1178,467.0,10.1234,0
73,50.0,1.0,4.0,0.0,18.0,10.0,2.0,8.0,25.0,0.0,0.0,2019.876,1009.0,8.9012,0
74,35.0,2.0,0.0,0.0,11.0,24.0,6.0,15.0,3.0,0.0,0.0,1439.823,719.0,14.5678,0
75,26.0,1.0,0.0,0.0,7.0,13.0,5.0,21.0,16.0,0.0,0.0,623.9119,311.5,18.2345,0
76,48.0,2.0,4.0,0.0,22.0,12.0,9.0,1.0,14.0,0.0,0.0,1867.456,933.0,11.6789,0
77,32.0,1.0,0.0,0.0,19.0,3.0,8.0,4.0,10.0,1.0,0.0,1248.823,624.0,7.8901,0
78,39.0,2.0,0.0,0.0,1.0,20.0,17.0,12.0,6.0,0.0,0.0,1098.456,549.0,13.4567,0
79,44.0,1.0,4.0,0.0,25.0,5.0,16.0,7.0,11.0,0.0,0.0,1756.823,878.0,9.0123,0
80,38.0,1.0,0.0,0.0,12.0,9.0,7.0,20.0,10.0,1.0,0.0,1821.4193,812.5,7.3198,0
81,29.0,2.0,0.0,0.0,15.0,5.0,11.0,22.0,8.0,0.0,0.0,4211.0921,2500.0,4.1929,0
82,41.0,1.0,0.0,0.0,9.0,14.0,13.0,5.0,24.0,1.0,0.0,1189.3419,850.0,5.4914,0
83,36.0,2.0,0.0,0.0,11.0,7.0,10.0,19.0,14.0,0.0,0.0,3011.8191,2000.0,8.1923,0
84,49.0,1.0,0.0,0.0,8.0,12.0,16.0,9.0,22.0,1.0,0.0,493.2211,350.0,6.8519,0
85,32.0,2.0,0.0,0.0,13.0,6.0,12.0,18.0,11.0,0.0,0.0,2718.9985,1800.0,3.9119,0
86,46.0,1.0,0.0,0.0,10.0,13.0,14.0,7.0,20.0,1.0,0.0,1938.4923,1200.0,7.6308,0
87,50.0,2.0,0.0,0.0,16.0,10.0,8.0,21.0,9.0,0.0,0.0,4141.8192,2800.0,5.4832,0
