,age,sex,relation,has_high_education,top1_interes,top2_interes,top3_interes,top4_interes,top5_interes,is_parent,has_pets,mean_tr,median_tr,tr_per_month,real_identifier
0,48.0,1.0,0.0,0.0,12.0,7.0,9.0,16.0,11.0,0.0,0.0,821.4191,421.19,18.3519,0
1,59.0,2.0,0.0,0.0,8.0,13.0,22.0,10.0,14.0,1.0,0.0,1438.7925,739.38,6.1987,0
2,35.0,1.0,0.0,1.0,7.0,12.0,5.0,20.0,16.0,0.0,0.0,987.1353,592.81,3.9149,0
3,41.0,2.0,0.0,0.0,11.0,9.0,14.0,18.0,7.0,0.0,0.0,654.8194,357.29,22.4511,0
4,29.0,1.0,0.0,0.0,9.0,16.0,11.0,5.0,8.0,0.0,0.0,426.5918,241.39,4.9825,0
5,50.0,2.0,0.0,0.0,15.0,10.0,13.0,22.0,9.0,1.0,0.0,1189.2584,649.13,7.3519,0
6,46.0,1.0,0.0,0.0,14.0,5.0,17.0,12.0,6.0,0.0,0.0,938.4737,523.76,12.8171,0
7,39.0,2.0,0.0,0.0,10.0,14.0,19.0,8.0,15.0,0.0,0.0,763.1922,421.91,20.5928,0
8,55.0,1.0,0.0,0.0,13.0,11.0,16.0,9.0,12.0,1.0,0.0,1056.4119,583.28,9.4351,0
9,26.0,2.0,0.0,0.0,6.0,10.0,14.0,7.0,18.0,0.0,0.0,278.7143,149.38,5.6289,0
10,42.0,1.0,0.0,0.0,18.0,12.0,7.0,20.0,9.0,1.0,0.0,8231.192,2198.0,5.1234,0
11,50.0,2.0,4.0,1.0,16.0,5.0,3.0,11.0,4.0,0.0,0.0,1938.421,421.0,22.154,0
12,29.0,1.0,0.0,0.0,13.0,8.0,16.0,6.0,7.0,0.0,0.0,4912.139,1920.0,3.9876,0
13,48.0,1.0,0.0,0.0,22.0,14.0,9.0,1.0,17.0,1.0,0.0,7531.982,3019.0,2.6543,0
14,36.0,2.0,0.0,0.0,25.0,11.0,10.0,24.0,13.0,0.0,0.0,2019.311,1100.0,26.351,0
15,44.0,1.0,4.0,1.0,19.0,6.0,2.0,12.0,3.0,1.0,0.0,1554.458,276.85,28.2404,0
16,32.0,2.0,0.0,0.0,15.0,18.0,8.0,14.0,16.0,1.0,0.0,5711.094,1200.0,4.9491,0
17,41.0,1.0,0.0,0.0,23.0,15.0,19.0,1.0,18.0,0.0,0.0,6739.616,449.57,2.5494,0
18,55.0,2.0,0.0,0.0,23.0,24.0,8.0,15.0,12.0,0.0,0.0,17529.4,10000.0,1.2136,0
19,35.0,2.0,0.0,0.0,24.0,10.0,11.0,25.0,15.0,1.0,0.0,1369.301,305.65,27.5745,0
20,38.0,2.0,0.0,1.0,20.0,12.0,9.0,16.0,4.0,1.0,0.0,2789.1234,1200.0,11.4567,0
21,29.0,1.0,0.0,0.0,7.0,13.0,18.0,22.0,10.0,0.0,0.0,823.4567,500.0,6.2345,0
22,42.0,2.0,4.0,1.0,19.0,14.0,5.0,20.0,11.0,1.0,0.0,3512.9876,1800.0,9.8765,0
23,35.0,1.0,0.0,0.0,16.0,9.0,21.0,13.0,6.0,1.0,0.0,1923.4567,1000.0,7.6543,0
24,48.0,2.0,0.0,0.0,22.0,17.0,8.0,12.0,19.0,0.0,0.0,4211.2345,2000.0,13.4567,0
25,31.0,1.0,4.0,1.0,18.0,10.0,14.0,7.0,20.0,0.0,0.0,3021.9876,1500.0,10.9876,0
26,40.0,2.0,0.0,0.0,12.0,16.0,11.0,9.0,22.0,1.0,0.0,2789.1234,1200.0,11.4567,0
27,27.0,1.0,0.0,0.0,15.0,8.0,19.0,10.0,13.0,0.0,0.0,823.4567,500.0,6.2345,0
28,45.0,2.0,4.0,1.0,21.0,11.0,16.0,18.0,9.0,1.0,0.0,3512.9876,1800.0,9.8765,0
29,33.0,1.0,0.0,0.0,14.0,20.0,6.0,15.0,12.0,1.0,0.0,1923.4567,1000.0,7.6543,0
30,41.0,2.0,3.0,0.0,19.0,10.0,5.0,20.0,11.0,0.0,1.0,823.1911,421.0,18.3519,0
31,29.0,1.0,0.0,1.0,13.0,22.0,9.0,1.0,17.0,0.0,0.0,1918.8192,1280.0,11.4198,0
32,56.0,2.0,1.0,0.0,5.0,14.0,8.0,19.0,23.0,1.0,0.0,635.1025,398.0,7.1923,0
33,44.0,1.0,0.0,0.0,18.0,12.0,4.0,9.0,16.0,0.0,1.0,2719.2885,1800.0,20.8371,0
34,35.0,2.0,5.0,1.0,11.0,20.0,3.0,14.0,10.0,0.0,0.0,1487.3913,900.0,16.4921,0
35,48.0,1.0,0.0,0.0,7.0,18.0,2.0,13.0,22.0,1.0,0.0,2039.1104,1400.0,10.3159,0
36,26.0,2.0,0.0,0.0,15.0,8.0,1.0,6.0,20.0,0.0,1.0,1188.5991,700.0,14.8593,0
37,39.0,1.0,2.0,1.0,9.0,4.0,11.0,5.0,14.0,0.0,0.0,2581.8811,2000.0,13.4948,0
38,51.0,2.0,0.0,0.0,2.0,17.0,10.0,8.0,12.0,1.0,0.0,1811.2099,1200.0,9.6819,0
39,30.0,1.0,0.0,0.0,16.0,7.0,0.0,4.0,13.0,0.0,1.0,1421.9105,900.0,12.1967,0
40,38.0,1.0,0.0,0.0,10.0,14.0,20.0,7.0,12.0,1.0,0.0,2018.3512,1194.5,23.4698,0
41,29.0,2.0,0.0,0.0,16.0,13.0,9.0,22.0,5.0,0.0,0.0,982.1178,421.25,18.2394,0
42,40.0,1.0,4.0,0.0,8.0,20.0,11.0,16.0,14.0,1.0,0.0,3519.4824,2500.0,10.3512,0
