,Unnamed: 0,Colunm 1,Colunm 2,Colunm 3,target,Colunm 4,real_identifier
0,0,24.0,31.19,-93.49,20.0,2.0,0
1,1,13.0,44.38,-145.21,25.0,1.0,0
2,2,45.0,35.03,-99.15,7.0,2.0,0
3,3,41.0,31.51,-103.01,13.0,2.0,0
4,4,17.0,38.23,-82.19,18.0,2.0,0
5,5,12.0,41.26,-141.13,21.0,1.0,0
6,6,46.0,34.65,-101.25,8.0,2.0,0
7,7,31.0,33.89,-105.23,16.0,2.0,0
8,8,1.0,64.99,-153.75,29.0,0.0,0
9,9,49.0,39.23,-81.03,20.0,2.0,0
10,10,9.0,40.01,-76.31,10.0,2.0,0
11,11,42.0,33.04,-105.69,9.0,2.0,0
12,12,48.0,36.67,-90.11,22.0,2.0,0
13,13,19.0,22.42,-157.69,16.0,1.0,0
14,14,19.0,25.31,-158.31,23.0,1.0,0
15,15,14.0,43.56,-144.19,24.0,1.0,0
16,16,38.0,30.55,-102.39,12.0,2.0,0
17,17,45.0,38.55,-110.01,5.0,2.0,0
18,18,41.0,32.13,-103.79,13.0,2.0,0
19,19,14.0,42.62,-140.59,24.0,1.0,0
20,20,20.0,24.43,-157.23,24.0,1.0,0
21,21,38.0,31.09,-102.59,12.0,2.0,0
22,22,1.0,63.03,-149.01,29.0,0.0,0
23,23,18.0,38.44,-82.27,18.0,2.0,0
24,24,14.0,41.79,-143.25,24.0,1.0,0
25,25,46.0,35.95,-100.43,8.0,2.0,0
26,26,31.0,33.81,-105.51,16.0,2.0,0
27,27,9.0,40.42,-76.49,10.0,2.0,0
28,28,48.0,36.85,-90.15,22.0,2.0,0
29,29,19.0,22.69,-157.89,16.0,1.0,0
30,30,20.0,25.05,-158.05,23.0,1.0,0
31,31,13.0,43.85,-144.59,24.0,1.0,0
32,32,37.0,30.81,-102.81,12.0,2.0,0
33,33,45.0,38.07,-109.95,5.0,2.0,0
34,34,31.0,31.85,-109.32,13.0,1.0,0
35,35,19.0,40.71,-92.19,23.0,2.0,0
36,36,0.0,68.18,-155.58,29.0,0.0,0
37,37,11.0,24.45,-155.14,16.0,1.0,0
38,38,49.0,40.13,-79.23,20.0,2.0,0
39,39,32.0,36.04,-108.46,14.0,2.0,0
40,40,16.0,38.34,-95.52,25.0,2.0,0
41,41,44.0,38.59,-112.81,7.0,2.0,0
42,42,32.0,35.96,-107.25,14.0,2.0,0
43,43,8.0,38.33,-75.17,11.0,2.0,0
44,44,32.0,33.78,-109.17,14.0,2.0,0
45,45,44.0,39.29,-111.49,6.0,2.0,0
46,46,32.0,42.58,-75.88,12.0,2.0,0
47,47,17.0,37.85,-85.19,19.0,2.0,0
48,48,44.0,39.01,-113.07,6.0,2.0,0
49,49,32.0,42.91,-74.78,12.0,2.0,0
50,50,0.0,68.21,-156.16,29.0,0.0,0
51,51,16.0,38.62,-95.24,25.0,2.0,0
52,52,32.0,35.94,-107.67,14.0,2.0,0
53,53,44.0,38.83,-112.88,7.0,2.0,0
54,54,32.0,42.49,-77.59,12.0,2.0,0
55,55,8.0,38.64,-75.58,11.0,2.0,0
56,56,16.0,39.22,-96.13,25.0,2.0,0
57,57,11.0,23.59,-156.88,16.0,1.0,0
58,58,32.0,41.38,-75.45,12.0,2.0,0
59,59,16.0,38.79,-95.41,25.0,2.0,0
60,60,44.0,40.15,-110.13,7.0,2.0,0
61,61,32.0,42.29,-76.85,12.0,2.0,0
62,62,32.0,34.85,-104.25,13.0,2.0,0
63,63,8.0,38.4,-75.39,11.0,2.0,0
64,64,44.0,39.49,-111.97,7.0,2.0,0
65,65,32.0,41.79,-74.79,12.0,2.0,0
66,66,21.0,49.33,-119.06,20.0,1.0,0
67,67,14.0,36.56,-93.19,25.0,2.0,0
68,68,21.0,42.19,-75.92,13.0,2.0,0
69,69,35.0,28.14,-115.49,9.0,1.0,0
