,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,real_identifier
0,12.39,2.35,2.29,20.1,91.0,2.82,2.56,0.29,1.83,4.98,1.04,3.01,550.0,1.0,0
1,13.29,1.85,2.42,19.8,114.0,2.45,2.35,0.25,1.93,5.49,0.97,3.13,1010.0,0.0,0
2,11.93,2.59,2.51,22.2,96.0,2.91,2.83,0.41,1.69,6.21,0.89,3.45,420.0,1.0,0
3,12.85,1.49,2.19,20.3,85.0,2.19,2.15,0.27,1.85,4.29,1.03,2.93,500.0,1.0,0
4,13.64,2.03,2.55,18.2,118.0,2.78,2.63,0.33,1.92,5.81,0.99,3.39,1100.0,0.0,0
5,11.75,2.87,2.44,21.9,92.0,2.51,2.49,0.39,1.77,6.43,0.85,3.51,450.0,1.0,0
6,12.59,1.67,2.26,19.5,89.0,2.36,2.29,0.28,1.89,4.75,1.01,2.99,520.0,1.0,0
7,13.46,2.21,2.59,20.8,115.0,2.67,2.59,0.32,1.95,5.93,0.96,3.29,1050.0,0.0,0
8,11.99,2.53,2.39,22.5,94.0,2.85,2.79,0.42,1.73,6.51,0.87,3.56,430.0,1.0,0
9,12.83,1.55,2.22,20.6,86.0,2.24,2.19,0.26,1.87,4.51,1.02,2.95,510.0,1.0,0
10,13.39,2.31,2.29,20.8,103.0,2.19,1.93,0.26,1.58,5.21,1.01,2.51,920.0,1.0,0
11,12.93,1.49,2.16,19.2,90.0,2.67,2.51,0.16,1.83,4.83,1.19,2.93,1120.0,0.0,0
12,14.05,1.85,2.52,17.5,118.0,3.15,3.59,0.36,1.92,8.39,1.21,2.69,1620.0,0.0,0
13,13.49,2.22,2.33,20.2,95.0,1.81,1.29,0.52,0.69,5.94,0.86,1.63,480.0,1.0,0
14,12.76,1.24,2.04,18.8,92.0,2.39,2.19,0.2,2.04,5.08,1.27,3.23,1240.0,0.0,0
15,13.92,1.67,2.58,16.2,106.0,3.01,3.27,0.29,1.79,8.51,1.17,2.79,1580.0,0.0,0
16,12.45,1.91,2.09,19.5,85.0,2.51,2.37,0.14,1.67,4.69,1.22,2.87,1000.0,1.0,0
17,14.13,1.42,2.46,15.8,110.0,3.23,3.83,0.33,1.85,8.29,1.25,2.75,1650.0,0.0,0
18,13.67,2.49,2.39,20.5,98.0,1.93,1.43,0.5,0.73,5.79,0.89,1.67,500.0,1.0,0
19,12.89,1.28,2.01,19.2,89.0,2.29,2.07,0.22,1.99,4.93,1.18,2.97,1150.0,0.0,0
20,12.19,2.23,2.42,19.5,92.0,2.39,2.13,0.35,1.63,3.51,1.07,2.65,581.0,1.0,0
21,13.35,1.85,2.18,20.0,96.0,2.11,1.85,0.41,1.29,2.83,1.19,2.41,721.0,1.0,0
22,12.58,2.05,2.35,21.2,89.0,2.67,2.51,0.31,1.85,4.19,0.93,2.91,394.0,1.0,0
23,11.95,1.92,2.44,22.5,91.0,1.92,1.73,0.46,1.42,2.69,1.29,2.33,566.0,1.0,0
24,13.14,2.38,2.26,20.8,99.0,2.03,1.83,0.38,1.24,3.04,1.14,2.49,652.0,1.0,0
25,12.81,1.67,2.39,21.8,87.0,2.56,2.33,0.29,1.73,3.85,0.97,2.79,427.0,1.0,0
26,11.88,2.21,2.49,22.2,94.0,1.89,1.65,0.44,1.38,2.56,1.26,2.29,591.0,1.0,0
27,13.49,2.01,2.14,20.3,100.0,2.15,1.91,0.36,1.31,2.94,1.16,2.45,736.0,1.0,0
28,12.46,1.98,2.31,21.9,88.0,2.43,2.19,0.33,1.65,3.62,1.01,2.69,461.0,1.0,0
29,11.71,2.44,2.53,22.9,92.0,1.85,1.61,0.48,1.34,2.44,1.27,2.25,623.0,1.0,0
30,13.15,2.23,2.41,19.2,105.0,2.42,1.93,0.49,1.67,4.23,0.85,2.91,825.0,0.0,0
31,12.83,2.02,2.29,18.5,92.0,2.67,2.23,0.44,1.85,4.98,0.92,3.04,705.0,0.0,0
32,14.01,1.85,2.35,19.8,110.0,2.51,2.09,0.42,1.73,5.51,0.89,3.13,955.0,0.0,0
33,13.56,2.41,2.51,21.5,115.0,2.29,1.83,0.46,1.59,4.67,0.86,2.79,810.0,0.0,0
34,12.26,2.15,2.19,17.3,85.0,2.85,2.43,0.42,1.91,5.17,0.94,3.21,640.0,0.0,0
35,14.49,1.93,2.43,20.2,108.0,2.38,2.01,0.37,1.65,5.03,0.88,2.97,920.0,0.0,0
36,13.29,2.58,2.33,19.5,100.0,2.19,1.79,0.4,1.53,4.39,0.84,2.73,765.0,0.0,0
37,12.99,2.07,2.25,18.2,95.0,2.62,2.17,0.45,1.81,5.02,0.93,3.09,725.0,0.0,0
38,14.27,1.99,2.39,20.5,112.0,2.44,2.05,0.39,1.69,5.25,0.9,3.01,940.0,0.0,0
39,13.73,2.33,2.46,21.2,110.0,2.31,1.87,0.44,1.61,4.81,0.87,2.87,830.0,0.0,0
40,13.39,2.19,2.35,19.3,105.0,2.91,2.53,0.31,1.83,4.39,1.04,3.05,1035.0,0.0,0
41,11.78,1.67,2.58,20.8,95.0,2.26,1.92,0.36,1.49,3.55,1.08,2.84,742.0,1.0,0
42,12.95,2.54,2.19,18.2,110.0,2.63,2.29,0.24,1.71,4.91,0.98,3.22,920.0,0.0,0
43,13.19,1.42,2.44,19.8,100.0,3.19,2.83,0.19,1.92,5.49,1.01,3.46,1120.0,0.0,0
44,12.42,2.81,2.29,18.9,92.0,2.09,1.79,0.41,1.39,3.92,1.06,2.59,805.0,1.0,0
45,11.59,1.85,2.51,20.5,96.0,2.85,2.41,0.27,1.79,4.18,1.03,3.01,875.0,1.0,0
46,13.67,2.36,2.38,19.1,115.0,2.49,2.17,0.33,1.62,4.67,0.99,3.15,950.0,0.0,0
47,12.81,2.07,2.33,19.4,108.0,2.76,2.39,0.23,1.76,4.85,1.02,3.29,1000.0,0.0,0
48,11.92,1.95,2.46,20.2,98.0,2.34,2.04,0.35,1.53,3.79,1.05,2.93,820.0,1.0,0
49,13.51,2.44,2.27,18.7,112.0,2.58,2.25,0.26,1.69,4.99,0.97,3.39,1050.0,0.0,0
