,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,real_identifier
0,12.92,1.45,2.05,19.5,92.0,2.68,2.84,0.34,1.65,3.72,1.08,2.89,568.0,1.0,0
1,13.35,2.17,2.43,20.0,96.0,2.32,2.55,0.28,1.37,4.05,1.01,2.63,1042.0,0.0,0
2,12.26,1.3,1.89,17.5,82.0,2.04,1.98,0.31,1.29,2.86,1.16,3.21,639.0,1.0,0
3,13.67,2.83,2.65,23.0,95.0,1.47,0.76,0.45,1.11,8.73,0.67,1.72,598.0,2.0,0
4,12.47,1.8,2.12,21.0,89.0,2.71,3.06,0.36,1.81,4.1,0.72,2.9,364.0,1.0,0
5,12.89,2.52,2.73,22.0,100.0,2.26,2.41,0.27,1.53,3.98,1.18,2.57,1087.0,0.0,0
6,12.08,1.29,2.01,18.0,84.0,2.12,1.84,0.33,1.4,2.71,1.24,3.43,653.0,1.0,0
7,13.81,2.91,2.48,24.0,92.0,1.28,0.63,0.42,1.07,9.21,0.69,1.65,609.0,2.0,0
8,13.17,1.56,2.3,19.0,97.0,2.5,2.38,0.3,1.41,4.12,1.13,2.48,1093.0,0.0,0
9,12.31,1.08,1.94,16.5,80.0,2.19,2.01,0.25,1.34,3.08,1.28,3.35,691.0,1.0,0
10,13.87,2.14,2.41,17.8,105.0,2.67,2.78,0.31,1.56,5.4,0.91,3.18,1030.0,0.0,0
11,12.21,3.86,2.34,21.5,85.0,1.74,0.62,0.47,0.78,6.9,0.75,1.73,710.0,2.0,0
12,13.12,1.58,2.25,15.7,99.0,2.91,2.87,0.27,1.95,4.9,0.89,3.29,920.0,0.0,0
13,14.56,1.68,2.37,19.2,115.0,3.12,3.05,0.25,2.01,6.1,0.93,3.34,990.0,0.0,0
14,12.18,4.12,2.4,22.6,78.0,1.5,0.5,0.52,0.75,6.8,0.72,1.64,690.0,2.0,0
15,13.74,1.85,2.51,18.1,103.0,2.78,2.69,0.33,1.42,5.1,0.86,3.25,1010.0,0.0,0
16,12.95,3.45,2.32,20.4,88.0,1.65,0.68,0.49,0.82,6.0,0.78,1.89,660.0,2.0,0
17,14.02,1.72,2.45,16.8,112.0,3.04,3.02,0.29,1.99,5.5,0.92,3.3,960.0,0.0,0
18,11.83,2.07,2.27,19.3,92.0,2.88,2.15,0.18,1.32,3.4,1.09,2.88,410.0,1.0,0
19,13.55,3.78,2.42,23.7,100.0,1.76,0.65,0.45,1.38,7.1,0.73,1.69,730.0,2.0,0
20,13.2,1.65,2.4,19.0,100.0,2.6,2.8,0.27,1.75,4.9,1.08,3.1,1100.0,0.0,0
21,12.4,2.7,2.1,17.5,90.0,2.3,2.1,0.24,1.9,2.0,1.14,3.2,300.0,1.0,0
22,11.5,0.8,2.35,20.5,89.0,2.5,1.9,0.4,1.4,3.1,1.09,2.4,440.0,1.0,0
23,13.4,3.0,2.6,16.0,115.0,2.65,3.0,0.18,1.6,5.0,0.97,3.4,850.0,0.0,0
24,12.8,1.4,1.85,18.0,87.0,1.5,1.3,0.3,1.3,2.5,1.03,2.8,570.0,1.0,0
25,13.0,2.9,2.45,19.5,110.0,2.75,2.9,0.26,1.8,6.0,1.05,2.9,1200.0,0.0,0
26,12.0,1.1,2.25,20.0,98.0,3.2,2.0,0.14,1.6,3.15,0.98,3.05,870.0,1.0,0
27,11.7,3.7,2.15,18.0,113.0,1.4,0.8,0.28,1.1,8.0,0.66,1.9,860.0,2.0,0
28,14.1,1.85,2.65,20.5,118.0,2.7,3.1,0.32,1.95,6.1,1.06,2.6,1275.0,0.0,0
29,12.3,2.6,2.1,17.0,95.0,1.6,0.7,0.6,0.95,7.0,0.74,1.6,700.0,2.0,0
30,13.12,2.84,2.28,18.5,100.0,1.89,0.72,0.47,1.29,6.4,0.83,1.71,598.0,2.0,0
31,13.99,1.48,2.43,23.0,95.0,3.01,3.17,0.26,2.14,5.9,1.25,3.25,770.0,0.0,0
32,12.19,1.37,1.89,17.5,90.0,2.48,1.94,0.35,1.96,2.9,0.89,2.98,325.0,1.0,0
33,13.65,1.79,2.32,19.0,110.0,2.73,2.77,0.28,1.72,4.1,1.08,3.86,990.0,0.0,0
34,13.37,3.42,2.12,21.5,97.0,1.47,0.51,0.41,1.18,4.8,0.69,1.64,820.0,2.0,0
35,12.51,1.24,1.91,18.0,89.0,2.29,1.89,0.37,1.99,2.5,0.82,2.89,298.0,1.0,0
36,13.04,3.71,2.24,20.5,118.0,1.61,0.74,0.48,1.42,9.8,0.58,1.54,810.0,2.0,0
37,13.44,1.62,2.51,24.0,87.0,2.87,2.82,0.22,1.81,3.2,1.33,3.11,405.0,1.0,0
38,12.93,3.12,2.48,21.5,105.0,1.72,0.63,0.55,0.98,5.7,0.85,2.08,565.0,2.0,0
39,14.05,1.55,2.65,26.0,93.0,2.98,2.91,0.23,2.01,12.5,0.56,1.94,675.0,2.0,0
40,13.42,2.84,2.15,18.2,97.0,1.75,1.08,0.44,1.44,4.23,0.92,1.86,530.0,1.0,0
41,12.68,1.17,2.05,16.8,83.0,2.35,2.3,0.26,1.67,3.12,1.18,2.68,410.0,1.0,0
