age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23.0,2.0,181744.0,15.0,10.0,4.0,2.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
18.0,2.0,159977.0,9.0,13.0,4.0,11.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
37.0,2.0,241433.0,11.0,9.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
41.0,2.0,253764.0,15.0,10.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
34.0,2.0,227031.0,9.0,13.0,0.0,12.0,3.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
33.0,2.0,174563.0,9.0,13.0,2.0,9.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
46.0,2.0,284073.0,15.0,10.0,0.0,7.0,4.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
51.0,2.0,168913.0,12.0,14.0,4.0,11.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
22.0,5.0,224122.0,11.0,9.0,4.0,11.0,2.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
18.0,2.0,66436.0,15.0,10.0,4.0,7.0,3.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
41.0,2.0,437868.0,11.0,9.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,35.0,38.0,0.0
56.0,2.0,181747.0,9.0,13.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
24.0,2.0,307744.0,15.0,10.0,0.0,7.0,4.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
36.0,1.0,124536.0,15.0,10.0,0.0,11.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
43.0,2.0,187714.0,9.0,13.0,2.0,9.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
24.0,2.0,246022.0,11.0,9.0,4.0,9.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
43.0,2.0,287534.0,5.0,4.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
33.0,2.0,181287.0,11.0,9.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,60.0,38.0,0.0
29.0,2.0,103935.0,11.0,9.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
35.0,2.0,249711.0,11.0,9.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
45.0,2.0,122049.0,11.0,9.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,50.0,38.0,1.0
27.0,2.0,151848.0,11.0,9.0,4.0,9.0,4.0,4.0,1.0,0.0,0.0,35.0,38.0,0.0
37.0,4.0,165944.0,11.0,9.0,2.0,11.0,0.0,2.0,1.0,0.0,0.0,30.0,38.0,0.0
41.0,2.0,161311.0,11.0,9.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
25.0,2.0,354551.0,11.0,9.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,35.0,38.0,0.0
56.0,2.0,232882.0,11.0,9.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
35.0,2.0,107939.0,11.0,9.0,4.0,5.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
42.0,2.0,182429.0,15.0,10.0,2.0,6.0,5.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
29.0,2.0,32317.0,15.0,10.0,4.0,7.0,4.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
43.0,2.0,178127.0,11.0,9.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,70.0,38.0,1.0
58.0,2.0,176878.0,11.0,9.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,50.0,38.0,0.0
34.0,2.0,149930.0,15.0,10.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
25.0,2.0,289989.0,15.0,10.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
29.0,2.0,95416.0,15.0,10.0,2.0,9.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
22.0,2.0,43962.0,11.0,9.0,4.0,11.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
24.0,2.0,307994.0,15.0,10.0,4.0,11.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
44.0,2.0,70795.0,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
37.0,2.0,176775.0,11.0,9.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
58.0,2.0,52774.0,11.0,9.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
39.0,3.0,112181.0,11.0,9.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
21.0,2.0,293930.0,15.0,10.0,0.0,9.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
40.0,2.0,106936.0,11.0,9.0,4.0,9.0,0.0,4.0,1.0,0.0,0.0,60.0,38.0,1.0
35.0,2.0,184770.0,15.0,10.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,45.0,38.0,0.0
34.0,2.0,185511.0,9.0,13.0,0.0,9.0,4.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
42.0,2.0,160116.0,8.0,11.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
30.0,2.0,124587.0,11.0,9.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
30.0,2.0,207750.0,11.0,9.0,6.0,2.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
22.0,1.0,207764.0,12.0,14.0,4.0,11.0,3.0,4.0,0.0,0.0,0.0,20.0,38.0,0.0
19.0,2.0,205092.0,9.0,13.0,4.0,9.0,3.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
43.0,2.0,237849.0,11.0,9.0,0.0,13.0,1.0,4.0,47.0,0.0,0.0,40.0,38.0,0.0
53.0,2.0,171295.0,9.0,13.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
31.0,2.0,140162.0,15.0,10.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
49.0,2.0,322870.0,11.0,9.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
40.0,5.0,66440.0,11.0,9.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,50.0,38.0,0.0
21.0,2.0,170830.0,15.0,10.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
34.0,2.0,496860.0,12.0,14.0,2.0,9.0,5.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
28.0,2.0,223325.0,15.0,10.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,30.0,38.0,0.0
27.0,2.0,103865.0,15.0,10.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
38.0,2.0,136451.0,15.0,10.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,50.0,38.0,1.0
37.0,2.0,184747.0,11.0,9.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
34.0,2.0,317725.0,11.0,9.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
19.0,2.0,212564.0,15.0,10.0,4.0,11.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
48.0,2.0,198107.0,9.0,13.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
24.0,2.0,214517.0,12.0,14.0,4.0,9.0,3.0,4.0,0.0,0.0,0.0,20.0,38.0,0.0
30.0,2.0,241775.0,7.0,12.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,25.0,38.0,0.0
28.0,2.0,173091.0,11.0,9.0,2.0,10.0,5.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
23.0,2.0,188401.0,9.0,13.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
47.0,1.0,172787.0,11.0,9.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
59.0,2.0,47876.0,15.0,10.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
50.0,2.0,134855.0,15.0,10.0,2.0,9.0,5.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
29.0,1.0,203674.0,9.0,13.0,4.0,9.0,2.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
20.0,2.0,399835.0,2.0,8.0,4.0,11.0,3.0,4.0,1.0,0.0,0.0,55.0,38.0,0.0
34.0,2.0,154566.0,15.0,10.0,4.0,9.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
51.0,2.0,203687.0,9.0,13.0,2.0,9.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
40.0,2.0,271957.0,15.0,10.0,2.0,9.0,0.0,2.0,1.0,0.0,0.0,40.0,38.0,0.0
43.0,2.0,217428.0,11.0,9.0,2.0,7.0,0.0,1.0,1.0,0.0,0.0,40.0,38.0,0.0
51.0,2.0,170160.0,15.0,10.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
32.0,2.0,141086.0,11.0,9.0,4.0,3.0,3.0,4.0,1.0,0.0,0.0,35.0,38.0,0.0
33.0,2.0,206590.0,11.0,9.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
55.0,4.0,146780.0,11.0,9.0,2.0,0.0,0.0,4.0,1.0,0.0,1887.0,40.0,38.0,1.0
40.0,2.0,86946.0,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,38.0,38.0,0.0
30.0,2.0,242632.0,15.0,10.0,2.0,6.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
47.0,2.0,236075.0,11.0,9.0,2.0,5.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
25.0,2.0,163830.0,11.0,9.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,60.0,38.0,1.0
59.0,2.0,121668.0,11.0,9.0,4.0,7.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
22.0,2.0,43877.0,11.0,9.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
34.0,2.0,128841.0,15.0,10.0,4.0,9.0,4.0,4.0,1.0,0.0,0.0,50.0,38.0,0.0
34.0,2.0,171346.0,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
41.0,2.0,246883.0,11.0,9.0,2.0,9.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
24.0,2.0,118898.0,15.0,10.0,4.0,7.0,3.0,4.0,0.0,0.0,0.0,20.0,38.0,0.0
44.0,2.0,245550.0,11.0,9.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
39.0,2.0,177534.0,9.0,13.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,40.0,25.0,1.0
23.0,2.0,61837.0,9.0,13.0,5.0,7.0,4.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
42.0,2.0,170730.0,9.0,13.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,40.0,38.0,0.0
20.0,2.0,143039.0,9.0,13.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
34.0,2.0,153063.0,11.0,9.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
32.0,2.0,186490.0,11.0,9.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,55.0,38.0,0.0
21.0,2.0,154432.0,15.0,10.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
54.0,2.0,123400.0,15.0,10.0,2.0,7.0,5.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
25.0,2.0,297075.0,15.0,10.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,40.0,38.0,0.0
