checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
2,36,3,6,1282,1,2,2,3,2,2,3,27,1,1,2,1,1,1,1,0
3,48,1,4,4799,1,0,4,0,2,4,3,38,1,1,1,1,1,1,1,0
3,6,1,6,1344,1,0,4,0,2,3,1,32,0,0,1,1,1,0,1,0
2,24,3,9,2279,1,0,4,3,2,4,3,23,1,1,2,3,1,0,1,1
3,24,3,6,1349,1,3,2,3,2,2,3,34,1,1,2,3,1,0,1,1
2,21,2,3,3238,2,2,2,3,2,2,2,37,1,1,1,1,1,1,1,1
1,6,3,4,1216,1,2,2,0,2,3,0,37,1,1,1,1,1,0,1,0
2,48,3,3,2643,1,3,4,3,2,3,2,45,1,2,2,1,1,0,1,0
3,18,3,0,2997,4,3,4,3,2,2,0,36,0,1,1,1,1,0,1,1
2,15,1,3,1283,1,2,1,3,2,1,0,40,1,1,1,1,1,1,1,1
2,48,1,0,7782,1,2,2,3,2,2,3,33,1,1,2,3,2,1,1,0
3,14,3,6,1528,3,2,4,3,2,4,0,33,1,1,2,1,1,1,1,1
3,24,3,6,1202,1,1,2,3,2,2,3,28,1,1,3,1,1,0,1,1
1,24,3,4,709,1,1,4,2,2,4,0,25,1,1,2,1,1,0,1,0
1,24,3,6,9055,4,2,4,3,2,2,2,23,1,1,1,3,2,0,1,0
3,18,3,4,3816,1,1,2,2,2,4,2,27,1,1,2,3,1,0,1,1
1,12,3,7,6761,1,3,4,3,2,2,3,64,1,1,2,1,1,1,1,1
1,21,3,6,4229,0,2,4,0,2,1,0,34,1,1,1,1,2,0,1,1
2,18,1,6,1551,1,0,4,2,2,4,3,33,0,1,1,1,1,0,1,0
3,18,1,6,973,1,2,3,0,2,4,3,29,1,1,2,1,1,0,1,1
2,12,1,4,2784,1,0,3,3,2,2,3,25,1,1,1,0,1,1,1,1
1,48,3,6,2358,1,2,2,3,2,4,2,22,1,1,2,1,1,0,1,1
3,36,3,0,762,2,3,4,0,2,4,0,23,1,1,1,0,1,0,1,1
2,12,3,6,7771,2,1,4,0,2,4,1,35,0,1,1,1,1,0,1,0
3,15,3,4,6432,4,0,2,3,2,2,0,56,1,1,2,1,1,0,1,0
3,24,3,4,6887,1,2,4,0,2,4,0,23,1,1,2,1,2,0,1,1
3,30,3,0,7398,1,3,4,3,2,1,3,37,1,1,2,1,1,1,1,1
2,24,1,6,1344,1,0,4,3,2,4,0,45,1,1,1,0,1,0,1,1
3,12,3,4,1258,1,0,4,3,2,4,3,35,1,1,1,1,1,0,1,1
1,24,3,6,2769,3,0,3,3,2,2,2,27,1,1,1,1,1,0,1,0
