fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
41.742,15.064,2.854,0.341,0.185,-23.722,-15.038,10.941,5.851,165.749,0
30.859,19.569,2.867,0.0,0.193,-1.331,-16.503,-11.977,15.829,119.974,0
28.668,26.848,2.722,0.282,0.141,-17.935,-20.421,22.813,3.912,175.819,0
44.711,16.078,2.804,0.275,0.0,10.737,37.721,-6.913,11.923,149.946,0
22.634,10.734,2.338,0.601,0.298,23.869,17.8,-9.946,40.898,167.898,0
19.938,10.936,2.0,0.496,0.273,15.093,17.965,-6.894,6.846,209.935,0
37.967,15.071,2.0,0.312,0.157,-7.831,30.878,-9.919,3.942,174.537,0
17.928,10.818,2.183,0.0,0.438,15.827,-6.928,-5.851,82.844,194.073,0
28.078,15.898,2.907,0.294,0.149,-19.959,-13.764,9.936,68.0,136.858,1
77.0,48.812,4.054,0.11,0.06,61.009,68.415,-33.716,4.0,178.879,0
71.0,41.818,3.732,0.155,0.087,-37.531,73.185,-25.946,5.913,277.854,0
42.929,13.865,2.0,0.282,0.156,32.814,-22.721,-10.038,2.619,193.818,0
42.711,15.844,2.922,0.267,0.145,-6.923,-16.711,11.832,5.87,155.112,0
31.058,26.711,2.918,0.21,0.0,3.821,-24.722,-6.957,26.933,105.939,0
52.851,15.076,2.914,0.297,0.157,-2.933,-26.8,-11.058,16.847,199.741,0
42.07,19.964,2.958,0.24,0.139,-2.881,-29.764,-14.664,3.819,173.65,0
20.711,11.979,2.431,0.449,0.245,-22.0,-13.108,-6.865,7.843,155.869,0
13.115,10.061,2.168,0.782,0.454,-13.813,2.592,10.935,36.081,197.622,0
24.727,18.569,2.567,0.408,0.214,-2.912,13.919,-13.835,5.967,214.971,0
34.834,17.876,2.632,0.354,0.0,21.743,37.502,17.903,0.366,178.867,0
23.904,13.917,2.646,0.443,0.0,-18.964,10.997,-10.051,18.236,136.859,0
17.168,7.092,2.207,0.832,0.448,1.737,-4.342,-4.812,42.726,183.0,0
85.838,36.812,3.0,0.199,0.099,-5.876,43.624,-11.902,5.867,236.873,0
75.746,31.852,3.514,0.175,0.098,-57.726,58.865,-22.945,8.0,266.951,0
59.636,22.089,3.002,0.29,0.0,-64.947,40.502,-6.315,0.869,278.828,0
21.0,6.984,2.183,0.732,0.361,-23.051,-11.931,-9.928,49.764,194.039,0
15.914,11.941,2.077,0.676,0.346,14.865,-3.941,10.988,56.852,193.0,0
20.062,11.664,2.237,0.722,0.378,-0.982,10.095,-9.058,17.092,177.0,0
12.883,11.201,2.173,0.769,0.387,14.835,-6.769,-11.845,14.746,111.064,0
25.0,14.715,2.508,0.469,0.252,23.824,13.731,-10.336,66.098,194.931,1
21.868,7.0,2.289,0.58,0.345,-21.484,-10.934,-5.861,28.849,208.726,0
18.0,11.819,2.099,0.511,0.265,16.0,12.867,-10.067,19.903,124.878,0
33.831,20.918,2.0,0.297,0.154,-30.871,-17.66,7.764,0.609,161.845,0
29.926,15.842,2.579,0.494,0.269,-17.992,-16.418,-4.738,23.0,147.714,0
86.844,33.828,3.0,0.182,0.091,-28.162,-42.621,-26.933,23.926,282.861,1
31.872,16.539,2.541,0.427,0.269,-13.868,-13.094,-8.547,8.934,182.0,0
43.816,18.639,2.845,0.0,0.136,-3.018,-26.543,-17.813,36.874,167.049,1
42.941,22.912,2.976,0.262,0.151,-24.744,-11.965,-12.972,12.16,199.0,0
27.719,14.926,2.629,0.422,0.231,21.986,18.842,-12.074,32.874,132.66,0
27.906,12.902,2.366,0.481,0.251,21.862,21.095,-7.428,14.0,203.861,0
20.813,11.719,2.531,0.548,0.344,-7.0,-14.98,-10.811,33.923,177.852,1
21.711,6.915,2.077,0.721,0.413,-23.0,-11.98,-6.813,75.622,150.061,1
79.087,29.0,3.009,0.137,0.081,-24.715,-28.822,-17.716,12.621,223.539,0
22.238,10.938,2.119,0.655,0.344,-8.839,-17.764,2.0,13.983,195.965,1
39.732,22.838,3.062,0.276,0.162,-23.818,-21.766,-14.823,3.0,155.517,0
61.936,22.282,2.958,0.254,0.13,-49.0,54.96,-14.965,3.967,230.053,0
19.858,10.851,2.755,0.523,0.292,-4.858,-14.0,-9.943,65.972,245.842,1
33.0,14.935,2.902,0.354,0.185,-5.664,-21.632,-6.942,5.972,177.735,0
40.09,18.064,2.972,0.315,0.169,-15.977,-16.769,11.9,3.947,166.857,0
