input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,target
60,100,18,75,0,44,11,38,76,63,100,46,82,26,82,0,4
39,93,95,100,100,79,70,49,39,49,0,0,25,33,68,33,7
0,76,30,100,57,86,35,43,6,18,2,9,57,0,100,4,2
0,81,16,51,68,54,61,8,11,0,9,50,35,92,100,100,5
0,100,52,95,100,99,92,64,61,30,55,0,39,33,0,38,7
0,78,34,100,70,82,52,52,76,35,100,3,55,0,7,2,3
67,100,30,76,21,56,73,58,100,78,94,64,46,32,0,0,4
100,100,32,100,69,94,41,66,38,44,84,66,51,42,0,0,5
0,85,40,100,77,97,69,76,83,60,100,27,53,3,0,0,3
10,81,60,100,55,72,54,50,36,33,0,9,50,6,100,0,2
9,82,53,100,62,64,31,34,0,0,10,34,52,40,100,43,7
22,73,0,54,50,10,79,0,80,31,100,81,46,100,5,83,0
29,86,10,55,0,25,8,0,62,26,100,68,69,100,6,94,0
41,76,20,44,0,5,34,37,90,72,100,100,63,51,54,0,0
60,100,18,98,0,68,8,36,46,0,100,1,63,46,60,41,6
90,92,73,100,36,76,0,41,2,0,70,8,70,48,100,83,8
19,81,49,100,100,83,78,52,44,27,0,18,50,12,73,0,2
33,100,6,72,0,42,44,37,100,34,98,63,82,33,54,0,4
0,80,49,100,100,75,66,39,17,0,27,9,67,7,87,11,2
38,95,22,65,48,33,53,0,0,11,64,52,100,90,32,100,8
59,83,3,96,0,57,37,8,91,0,100,49,50,100,40,91,8
0,97,56,100,57,93,15,48,51,0,100,19,96,42,54,53,7
14,100,14,87,0,67,30,39,100,42,89,62,66,31,69,0,4
0,92,47,100,100,89,70,52,52,20,11,0,51,31,93,39,7
39,100,11,77,6,40,45,0,79,3,100,30,63,67,0,95,0
27,91,42,61,75,24,52,0,0,1,33,45,100,94,100,100,8
28,68,61,100,69,61,56,34,26,2,0,0,54,2,100,12,2
60,100,23,73,0,47,63,28,100,24,89,52,69,26,61,0,4
37,77,28,70,15,36,58,0,90,7,100,67,61,100,0,80,0
100,100,58,82,17,98,0,76,98,79,92,42,46,9,26,0,9
32,75,0,100,29,73,78,58,100,35,93,8,46,0,11,7,3
100,86,67,100,41,99,19,65,36,49,65,17,40,0,0,1,5
32,95,41,100,71,59,49,12,8,0,0,32,100,82,37,86,8
75,91,35,100,92,76,63,85,78,59,100,32,52,9,0,0,9
0,89,42,100,79,75,100,42,84,26,57,44,65,22,57,0,7
33,92,70,100,91,88,58,61,73,51,100,25,54,0,0,12,3
30,78,71,100,58,73,33,50,2,46,28,15,49,4,0,0,2
81,100,37,81,17,47,0,33,47,38,100,67,60,33,64,0,4
81,100,47,89,21,88,61,55,79,43,100,46,58,17,0,0,5
0,99,34,100,58,69,52,35,26,0,30,15,55,34,100,31,7
5,91,50,100,69,73,52,35,0,0,0,5,52,37,100,48,7
18,82,46,98,64,100,56,73,100,48,94,15,62,0,0,0,3
0,85,38,100,77,72,60,41,33,22,3,17,50,3,100,0,2
0,53,35,75,65,100,57,73,45,42,11,2,23,0,100,5,1
100,98,80,100,50,84,35,56,58,14,90,6,49,0,0,19,5
0,86,33,100,48,79,43,59,64,37,100,7,51,0,5,1,3
59,100,4,63,46,24,0,56,53,81,100,67,91,34,96,0,9
91,100,63,97,35,72,3,38,44,0,100,13,56,39,0,26,6
92,88,54,100,0,71,70,98,100,64,85,24,76,4,72,0,9
31,78,16,39,53,15,23,0,0,37,34,66,64,100,100,88,5
0,76,32,100,87,90,70,61,100,47,94,19,54,0,13,8,3
26,80,50,100,74,81,67,54,100,32,86,4,53,5,0,0,3
31,100,0,78,21,50,57,49,100,62,79,64,45,32,7,0,4
55,81,1,46,45,20,75,0,100,36,74,82,27,100,0,75,0
38,59,6,69,7,38,0,25,45,0,100,62,70,100,23,99,0
26,100,33,83,0,63,34,45,68,50,100,19,53,0,0,0,4
46,100,14,55,19,28,75,39,100,68,94,68,51,33,0,0,4
31,100,53,56,0,0,19,0,83,26,100,59,62,85,21,96,0
0,96,40,99,100,95,50,100,58,77,50,47,52,22,27,0,7
46,89,22,73,0,38,42,0,93,29,95,73,100,100,18,97,0
40,80,60,100,77,78,56,52,100,37,90,10,41,1,0,0,3
51,100,24,93,36,75,41,52,77,48,100,26,54,12,0,0,4
0,70,49,99,100,100,78,70,84,42,78,23,54,2,72,0,3
60,100,27,90,0,57,53,45,90,48,100,66,72,30,54,0,4
0,84,41,56,54,22,100,0,61,42,40,91,60,100,21,92,8
0,75,43,100,88,76,71,42,39,11,14,14,54,9,100,0,2
100,86,88,100,63,95,25,64,59,55,87,34,62,14,0,0,5
100,100,44,95,2,73,7,51,60,48,89,35,64,17,0,0,6
20,84,42,100,91,76,51,52,78,38,100,16,58,0,0,4,3
78,100,29,85,0,57,36,39,100,44,93,21,68,0,15,12,4
0,86,43,100,100,79,79,54,86,51,95,15,58,5,7,0,3
100,98,42,72,59,34,39,0,24,23,0,60,53,100,45,92,8
78,100,50,77,19,48,16,23,62,0,100,16,58,36,0,42,6
0,69,53,93,100,100,65,75,68,59,91,50,90,25,88,0,1
30,100,12,78,0,53,44,39,98,37,100,54,95,28,76,0,4
72,95,27,100,0,76,18,55,65,40,100,26,73,7,23,0,5
35,74,49,100,64,84,51,41,10,8,0,0,54,3,100,4,2
17,76,0,74,43,100,38,73,11,45,19,18,57,17,100,0,1
62,94,30,100,0,77,10,60,79,48,100,45,85,23,84,0,4
25,70,0,57,8,17,60,0,100,35,76,71,37,100,28,90,0
72,100,40,80,0,52,42,45,90,38,100,55,84,35,86,0,4
0,46,47,68,100,95,88,100,90,77,80,54,51,34,70,0,1
75,100,35,72,0,95,21,62,54,53,100,51,66,27,32,0,4
0,83,30,100,60,88,42,57,22,34,22,7,52,6,100,0,2
70,93,35,68,36,36,77,0,100,34,67,73,51,100,0,81,8
100,100,32,74,0,47,1,41,64,52,93,68,81,33,48,0,4
97,92,49,100,15,81,59,57,100,41,68,10,0,0,10,5,5
78,83,32,100,39,69,62,30,16,0,0,28,73,63,100,98,8
25,100,24,79,0,50,0,29,76,31,81,53,100,28,83,0,4
88,89,56,100,9,78,66,57,100,64,81,34,40,0,0,3,9
13,84,28,92,70,71,41,26,0,0,18,48,72,97,100,100,5
19,75,6,46,0,6,63,0,100,41,93,82,47,100,4,71,0
100,100,58,99,31,70,1,29,40,5,93,6,62,21,0,0,6
30,70,78,100,100,81,53,54,42,21,16,15,37,1,0,0,2
48,65,79,100,100,95,59,69,43,52,57,21,44,0,0,8,1
27,80,42,100,100,94,81,65,67,32,29,5,0,1,100,0,2
0,85,40,100,70,91,100,67,59,48,27,24,31,24,27,0,7
35,82,59,100,73,76,38,47,75,16,100,3,53,0,0,1,3
0,75,77,100,100,88,77,58,34,34,31,16,60,0,90,10,2
49,100,18,78,9,45,57,42,100,58,97,71,48,34,0,0,4
