Aa,Ao,Dcl,Iy,Sh,target
2.756,0.363,0.109,0.092,-0.0,0.0
0.09,0.363,0.468,-0.735,0.0,0.0
2.437,1.214,-0.0,-0.067,-0.062,0.0
2.095,0.524,0.749,-0.0,-0.08,0.0
0.421,1.983,1.073,0.912,-0.315,1.0
0.598,0.0,1.933,1.063,-0.331,1.0
0.0,1.872,0.741,-0.193,-0.13,0.0
1.0,0.9,0.192,0.104,0.077,0.0
0.134,1.0,2.829,-0.739,-0.384,0.0
0.0,0.966,2.004,0.852,-0.569,0.0
0.0,1.661,-0.321,-0.182,-0.092,0.0
0.334,0.837,1.872,-0.0,0.0,0.0
0.215,0.596,0.852,1.835,1.037,1.0
2.056,1.932,-0.232,0.0,-0.061,0.0
2.51,1.059,0.852,0.226,-0.095,0.0
0.252,1.071,2.079,-0.798,0.0,0.0
1.0,1.167,1.847,-0.469,-0.164,1.0
0.229,1.0,2.764,-0.578,0.0,0.0
0.327,1.18,0.979,0.902,-0.0,0.0
2.059,-0.245,0.15,-0.07,0.069,0.0
0.813,2.203,-0.0,-0.184,-0.121,0.0
2.203,0.7324,0.769,0.287,-0.094,0.0
0.816,2.721,-0.356,0.0,-0.156,0.0
0.159,0.947,1.0,1.743,-0.632,0.0
0.25,0.932,2.072,1.811,-0.724,0.0
0.259,0.928,0.852,0.0,0.0,1.0
0.147,0.582,0.7831,-0.732,0.0,0.0
0.162,0.508,0.739,1.845,-0.794,0.0
0.279,0.966,1.895,1.831,-0.0,0.0
0.666,3.039,-0.543,-0.184,-0.0,0.0
0.371,0.661,2.004,0.0,0.939,1.0
0.266,0.821,0.869,1.811,1.0,1.0
1.0,1.947,0.275,0.208,-0.067,0.0
0.532,2.885,-0.467,0.333,-0.163,0.0
1.453,1.719,-0.265,0.134,-0.084,0.0
0.835,3.172,-0.561,0.0,-0.201,0.0
0.639,2.061,-0.397,-0.198,0.0,0.0
0.0,0.722,1.099,1.904,-0.633,1.0
0.929,2.832,-0.639,-0.317,-0.129,0.0
0.729,2.311,1.527,-0.317,0.0,0.0
0.776,3.087,-0.521,-0.223,-0.117,0.0
0.147,0.722,0.534,2.0,-0.834,1.0
0.741,2.921,-0.0,0.639,-0.259,0.0
0.0,0.735,0.965,0.965,0.0,1.0
0.257,0.939,2.0,0.913,0.977,1.0
3.052,0.532,0.179,0.094,-0.056,0.0
0.139,0.926,2.048,-0.826,-0.0,0.0
0.638,1.922,-0.428,-0.0,1.043,0.0
1.636,2.186,-0.349,-0.0,0.145,0.0
0.159,1.094,2.035,-0.766,0.0,0.0
0.834,1.822,0.657,0.27,0.0,0.0
0.121,0.0,2.208,0.981,0.0,0.0
2.0,0.496,-0.09,0.077,0.078,0.0
0.711,2.713,-0.491,0.322,-0.172,0.82111
3.065,-0.285,0.158,-0.076,-0.0,0.0
0.162,0.48,0.988,2.32,-0.0,0.0
0.215,0.791,2.308,-0.0,0.0,0.0
0.564,2.906,-0.709,0.0,-0.173,0.0
0.147,0.548,0.622,0.837,0.0,1.0
0.121,0.845,2.0,-0.738,0.0,0.0
0.259,0.0,1.248,1.068,0.0,0.0
0.829,2.542,-0.549,-0.194,-0.0,0.0
0.151,0.732,0.0,1.007,0.0,1.0
0.147,1.0,2.467,-0.764,0.0,0.0
1.09,2.762,0.835,0.333,-0.152,0.0
0.264,1.084,2.527,-0.564,0.0,0.0
0.567,2.935,-0.453,-0.184,-0.116,0.0
0.134,0.0,0.711,1.816,0.0,0.0
0.21,0.0,1.0,1.742,0.0,1.0
0.151,0.872,1.0,1.532,0.0,1.0
0.251,0.0,0.717,1.811,-0.724,0.0
0.817,2.692,-0.387,-0.152,0.0,0.0
1.892,0.602,0.327,0.109,0.0,0.0
0.279,0.921,1.0,1.931,0.0,1.0
0.279,1.065,1.622,0.521,-0.0,0.0
0.611,1.264,1.749,-0.0,0.847,1.0
0.726,1.0,2.636,-0.633,0.0,0.0
0.079,0.661,0.739,1.744,0.535,10991.0
0.412,2.116,1.845,0.0,0.826,0.0
-0.132,0.845,1.0,0.846,0.0,1.0
1.946,1.77,-0.279,0.143,-0.073,0.0
0.231,1.0,1.867,-0.531,0.0,0.0
0.09,0.556,0.861,0.926,0.0,1.0
0.134,0.521,0.871,0.0,-0.738,1.0
0.135,1.053,2.0,0.921,0.0,1.0
0.134,0.788,0.788,-0.0,0.0,0.0
0.0,1.064,2.096,-0.732,0.0,0.0
0.185,1.18,2.0,-0.726,0.0,0.0
0.278,1.788,-0.486,-0.0,0.0,0.0
0.257,0.741,1.926,0.816,0.0,0.0
1.303,1.0,-0.337,0.199,0.112,0.0
0.316,0.596,1.094,1.541,-1.0,1.0
2.829,0.532,0.122,0.094,-0.054,0.0
0.136,0.0,0.876,1.039,-0.636,0.0
0.0,0.847,1.485,0.79,0.542,1.0
0.155,0.735,0.0,1.903,-0.857,1.0
0.132,0.376,0.831,1.0,-0.738,0.0
0.271,1.136,2.0,-0.601,0.0,0.0
0.912,2.558,1.0,0.856,-0.391,1.0
0.252,0.0,1.948,0.933,1.054,0.0
