sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
6.2,3.6,4.7,2.3,2
4.7,3.4,1.4,0.2,0
6.9,3.0,5.5,2.3,2
5.0,3.0,4.5,1.0,1
6.8,3.3,5.1,1.5,2
5.0,3.0,1.4,0.2,0
5.0,3.4,1.5,0.2,0
6.7,2.7,5.4,3.2,2
6.7,3.0,5.0,2.5,2
5.0,3.0,4.9,1.2,2
5.3,3.4,4.5,1.4,1
6.4,3.0,1.4,0.2,0
5.0,3.7,1.4,0.3,0
6.1,2.0,4.4,2.7,2
7.9,3.1,4.1,1.6,1
4.9,2.2,1.5,0.2,0
6.7,3.0,5.4,2.9,2
6.7,2.7,7.1,2.3,2
5.0,3.0,1.4,0.2,0
5.0,3.0,1.4,0.0,0
4.3,3.0,1.5,0.3,0
6.6,2.9,4.5,1.5,1
4.8,3.8,1.9,0.2,0
5.6,3.0,5.4,2.1,2
6.4,3.0,5.0,1.0,2
6.8,2.7,4.1,1.3,1
6.4,3.0,5.6,2.0,2
5.9,3.0,4.8,0.2,0
6.5,3.8,4.2,1.4,1
6.1,3.0,4.6,1.3,1
