Administrative_Duration,Administrative,PageValues,Informational,Revenue,ExitRates,ProductRelated_Duration,ProductRelated,OperatingSystems,SpecialDay,TrafficType,Browser,Month,VisitorType,Region,Weekend,BounceRates,Informational_Duration
0.0,0,0.0,0,0,0.021,658.5,13,2,0.0,2,2,6,2,3,0,0.0,0.0
0.0,0,0.0,0,0,0.022,0.0,1,1,0.0,3,1,7,2,1,0,0.2,0.0
0.0,0,0.0,0,0,0.1,0.0,1,2,0.0,1,2,6,2,3,0,0.0,0.0
0.0,0,0.0,0,0,0.004,1444.5,37,2,0.0,2,2,7,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.2,0.0,1,3,0.0,1,2,6,2,4,0,0.2,0.0
0.0,0,0.0,0,0,0.038,516.333,15,2,0.0,11,2,7,2,3,0,0.0,0.0
0.0,0,0.0,0,0,0.2,0.0,1,1,0.0,3,1,7,0,1,0,0.2,0.0
0.0,0,0.0,0,0,0.028,821.6,18,1,0.0,1,1,7,2,5,1,0.006,0.0
0.0,0,0.0,0,0,0.018,1276.25,40,2,0.0,13,2,1,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.018,517.5,17,2,0.0,2,2,5,2,1,1,0.0,0.0
0.0,0,0.0,0,0,0.1,65.0,2,1,0.8,3,1,6,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.05,18.0,2,3,0.0,3,2,6,2,4,0,0.0,0.0
14.0,2,0.0,0,0,0.0,635.167,12,2,0.0,2,2,6,0,1,1,0.0,0.0
0.0,0,0.0,0,0,0.1,45.0,2,2,0.0,2,2,6,2,1,0,0.067,0.0
0.0,0,0.0,0,0,0.1,15.0,4,2,0.0,13,2,7,2,3,0,0.0,0.0
0.0,0,0.0,0,0,0.04,126.0,7,2,0.0,3,2,1,2,1,1,0.0,0.0
0.0,0,0.0,0,0,0.022,15.0,3,2,0.0,1,2,6,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.017,681.533,21,2,0.6,2,2,6,2,1,0,0.002,0.0
0.0,0,0.0,0,0,0.072,913.067,15,2,0.0,1,2,8,2,1,0,0.05,0.0
0.0,0,0.0,0,0,0.014,578.5,22,2,0.0,1,2,8,2,3,0,0.0,0.0
0.0,0,0.0,0,0,0.02,649.467,7,2,0.0,2,2,6,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.023,561.333,19,2,0.0,2,5,7,2,4,0,0.0,0.0
0.0,0,0.0,0,0,0.2,0.0,1,2,0.0,2,2,5,2,1,0,0.2,0.0
0.0,0,0.0,0,0,0.053,4279.038,37,3,0.0,2,2,6,2,1,1,0.017,0.0
0.0,0,0.0,0,0,0.05,13.0,4,3,0.0,1,2,1,2,2,0,0.0,0.0
86.0,3,10.597,0,1,0.01,856.067,61,2,0.0,3,2,7,2,2,0,0.0,0.0
0.0,0,0.0,0,0,0.067,0.0,1,2,0.0,13,2,5,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.0,463.5,5,3,0.0,3,2,5,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.025,497.0,4,2,0.0,13,2,3,2,3,0,0.0,0.0
0.0,0,0.0,0,0,0.053,1071.5,20,2,0.0,2,2,1,0,6,0,0.025,0.0
0.0,0,0.0,0,0,0.073,1622.917,32,1,0.4,2,1,6,2,3,0,0.024,0.0
79.0,4,0.0,0,0,0.026,1283.7,35,1,0.0,3,1,5,2,4,0,0.0,0.0
0.0,0,0.0,0,0,0.01,446.0,18,1,0.0,13,1,7,2,3,0,0.0,0.0
0.0,0,0.0,0,0,0.033,904.3,11,2,0.0,2,2,7,2,2,0,0.015,0.0
0.0,0,0.0,0,0,0.05,111.667,7,2,0.0,3,2,1,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.067,65.0,3,2,0.0,3,2,5,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.022,591.5,12,2,0.0,2,2,1,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,1,1,0.0,2,1,5,2,9,0,0.2,0.0
0.0,0,0.0,1,0,0.03,591.667,23,3,0.0,2,2,5,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.033,24.0,4,3,0.0,1,2,5,2,1,0,0.0,0.0
0.0,0,0.0,0,0,0.02,2195.333,23,2,0.0,2,2,7,2,4,0,0.0,0.0
0.0,0,0.0,0,0,0.125,13.0,4,2,0.6,3,2,6,2,1,0,0.05,0.0
