input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
42,98,19,56,100,19,52,0,58,0,100,100,4,84,62,42,60
14,7,5,50,0,67,30,100,46,2,26,81,2,100,69,0,56
68,57,36,23,64,100,100,0,66,0,3,31,1,51,67,85,54
0,46,25,62,100,4,30,0,6,17,77,100,6,82,52,3,35
5,1,3,50,0,43,33,100,24,4,24,76,2,100,63,0,49
16,72,4,56,100,72,55,0,40,0,10,82,3,100,82,49,53
70,38,100,100,92,7,0,14,0,95,72,89,8,57,35,35,26
0,75,31,78,87,100,55,58,85,44,0,75,7,100,88,27,44
22,48,46,48,0,48,32,100,59,46,12,91,7,100,80,0,56
0,0,2,50,7,88,63,100,44,0,22,89,2,100,91,33,65
58,10,99,58,2,0,0,100,45,100,38,91,5,70,37,30,6
65,29,98,41,2,46,0,100,0,99,11,100,5,84,53,12,19
10,18,0,51,25,53,47,100,52,4,0,73,2,100,71,31,34
14,39,0,58,95,92,61,100,62,5,0,96,3,100,85,39,52
71,100,100,47,96,0,0,9,49,77,59,90,0,57,2,29,21
39,43,0,33,44,70,99,29,100,5,0,64,1,79,100,68,34
41,0,76,48,7,40,0,100,33,100,25,71,5,42,37,17,2
16,95,0,47,100,78,61,0,65,11,18,76,3,100,86,44,37
0,100,9,39,71,89,60,0,72,0,42,71,3,100,77,31,65
0,61,25,53,67,100,67,72,63,30,0,87,7,97,100,25,50
32,51,0,57,47,61,72,100,66,11,0,79,2,97,100,51,26
25,67,32,70,100,40,27,16,8,14,0,100,6,93,63,0,28
15,68,0,42,100,95,56,0,66,17,18,82,3,100,76,45,61
20,44,0,50,75,44,52,0,34,1,100,100,5,94,76,43,68
59,28,92,62,32,0,0,100,16,100,22,86,5,63,36,22,12
0,75,4,41,35,45,56,100,53,4,0,82,2,100,87,22,35
46,100,24,79,96,0,41,61,41,0,42,100,4,81,52,47,13
41,74,11,99,100,79,89,53,0,0,70,85,9,100,70,69,41
5,23,38,49,0,81,35,100,53,22,53,100,7,92,61,0,95
49,77,25,52,100,0,50,19,26,0,64,100,4,76,53,47,26
19,42,39,30,24,73,62,100,54,38,0,95,7,100,91,0,51
100,100,75,47,77,10,42,35,79,0,19,87,0,52,9,81,0
20,0,2,54,4,53,68,100,39,0,22,69,2,100,100,39,54
76,100,36,50,80,58,100,33,94,0,0,85,9,56,83,94,37
7,31,8,64,31,100,38,76,55,0,0,82,2,100,69,21,45
32,75,0,52,100,18,62,0,27,5,100,100,5,84,75,44,66
75,61,29,94,86,0,32,100,0,0,62,100,4,64,31,41,38
90,100,100,54,91,0,29,36,59,76,53,76,0,28,0,74,16
3,33,0,44,0,63,49,100,51,4,23,73,2,100,81,14,32
8,49,22,50,0,100,43,97,70,0,26,85,2,100,82,1,60
4,6,0,47,0,56,34,100,34,3,31,77,2,100,73,10,47
20,66,1,25,53,100,66,0,78,0,2,55,1,80,100,49,35
59,91,31,39,72,41,25,100,58,0,45,100,4,79,49,19,0
57,55,90,100,92,36,0,21,0,100,31,93,0,53,8,22,40
12,31,3,43,0,55,76,100,56,0,27,71,2,88,100,39,40
66,100,44,54,94,34,30,6,69,0,28,90,4,100,65,49,0
0,49,6,23,20,100,51,96,78,8,0,65,1,98,100,19,52
64,100,29,52,99,77,52,0,60,0,57,100,4,76,48,59,41
66,100,100,85,86,27,0,46,77,78,9,68,0,30,48,29,0
46,57,22,76,100,12,30,74,0,0,54,100,4,65,34,49,32
15,100,2,46,91,68,54,3,52,0,0,76,3,100,80,43,52
6,53,0,68,100,46,52,0,10,12,8,86,5,100,93,25,48
2,38,34,50,0,100,34,99,77,35,31,100,7,88,68,0,100
78,100,38,43,76,31,48,0,61,0,65,100,4,73,45,70,44
58,93,29,76,100,21,41,0,63,0,53,100,4,84,45,45,24
0,51,3,58,94,27,41,0,26,10,100,89,6,100,67,16,67
68,92,35,33,69,70,100,0,100,0,0,60,1,71,91,93,34
20,76,46,73,80,0,34,42,18,49,100,94,6,100,68,0,35
27,70,42,64,100,61,50,10,40,32,0,85,7,99,100,0,34
65,2,97,51,4,88,0,100,63,97,0,100,5,74,45,28,18
34,0,18,60,17,76,45,100,38,0,47,94,2,100,79,15,69
35,62,24,47,69,62,66,100,63,0,0,81,1,92,100,56,41
69,35,99,45,0,38,0,79,45,100,100,89,8,53,23,25,44
13,57,0,59,90,36,56,0,21,2,100,81,5,100,80,42,58
2,43,0,50,0,100,45,87,81,1,19,90,2,100,76,28,44
53,77,93,60,100,0,23,33,1,100,46,93,0,46,0,29,2
8,38,2,50,0,71,75,100,43,0,31,57,1,86,100,43,62
57,42,26,38,0,100,54,33,69,0,17,63,1,100,81,40,50
27,80,43,54,100,0,22,7,42,42,83,79,6,100,63,0,35
45,84,21,82,100,86,95,71,69,0,0,64,1,85,100,74,42
70,94,99,86,100,5,0,16,52,96,37,100,0,69,19,30,0
89,70,100,83,100,0,19,19,2,84,16,94,0,45,0,52,10
32,35,46,50,0,61,36,100,55,34,8,91,7,100,79,0,43
26,100,6,48,77,92,60,0,68,0,28,84,3,100,92,46,66
65,100,100,84,94,0,0,27,55,77,56,95,0,66,39,28,12
6,28,2,50,0,64,58,100,55,0,22,74,2,100,79,28,46
3,27,6,50,0,78,57,100,57,0,31,66,2,100,83,28,55
47,4,91,51,26,45,16,100,51,100,0,94,5,96,64,0,6
91,100,89,58,93,37,25,7,96,58,14,100,0,63,0,59,0
28,100,0,50,83,45,59,0,60,0,3,82,3,100,69,52,28
12,33,2,58,18,70,50,100,58,0,0,85,2,100,79,24,30
38,100,3,57,98,64,88,0,67,0,63,92,9,65,100,68,22
49,93,25,62,66,74,57,0,100,0,6,71,1,52,72,75,36
5,33,38,32,0,100,30,73,40,37,23,97,7,100,72,0,86
49,100,19,65,92,0,95,33,47,0,86,90,9,63,100,82,61
