beds,zip_code,baths,lot_size,size,price,lot_size_units,size_units
3.0,98144.0,3.0,5100.0,2670.0,735000.0,1.0,0.0
3.0,98117.0,2.0,1480.0,2460.0,811000.0,1.0,0.0
4.0,98168.0,3.0,5000.0,2950.0,1125000.0,1.0,0.0
3.0,98103.0,3.0,1233.0,816.0,549000.0,1.0,0.0
3.0,98103.0,2.0,2160.0,2040.0,599000.0,1.0,0.0
3.0,98127.0,2.5,6800.0,1480.0,975000.0,1.0,0.0
4.0,98109.0,1.0,896.0,1750.0,7500000.0,1.0,0.0
3.0,98144.0,2.0,0.05,911.0,675000.0,1.0,0.0
3.0,98177.0,4.0,9600.0,1201.0,615000.0,1.0,0.0
3.0,98103.0,2.5,5200.0,1610.0,89500.0,1.0,0.0
1.0,98115.0,2.0,7500.0,937.0,7375000.0,1.0,0.0
2.0,98115.0,1.0,2440.0,2092.0,1335000.0,1.0,0.0
5.0,98103.0,3.0,1340.0,2240.0,925000.0,1.0,0.0
3.0,98168.0,3.5,4000.0,4080.0,665000.0,1.0,0.0
4.0,98118.0,2.0,5000.0,1760.0,700000.0,1.0,0.0
2.0,98107.0,1.0,9800.0,1380.0,500000.0,1.0,0.0
2.0,98117.0,2.2,2200.0,1680.0,15000.0,1.0,0.0
4.0,98118.0,1.0,2200.0,1080.0,1035000.0,1.0,0.0
3.0,98112.0,2.5,2468.0,940.0,79700.0,1.0,0.0
3.0,98103.0,4.0,5500.0,830.0,775000.0,1.0,0.0
1.0,98122.0,3.1,950.0,1380.0,925000.0,1.0,0.0
4.0,98105.0,3.0,2.0,4200.0,980000.0,1.0,0.0
4.0,98116.0,2.0,6500.0,1480.0,1075000.0,1.0,0.0
1.0,98105.0,2.0,4000.0,2080.0,1.0,1.0,0.0
2.0,98144.0,2.0,7500.0,950.0,436000.0,1.0,0.0
2.0,98126.0,1.5,1231.0,4.0,1648000.0,1.0,0.0
3.0,98199.0,2.5,998.0,2920.0,180000.0,1.0,0.0
2.0,98144.0,2.0,6320.0,1120.0,955000.0,1.0,0.0
2.0,98107.0,3.0,545.0,1410.0,899000.0,1.0,0.0
3.0,98115.0,2.0,9500.0,1345.0,975000.0,1.0,0.0
5.0,98144.0,1.0,6100.0,1420.0,895000.0,0.0,0.0
4.0,98116.0,3.5,1440.0,908.0,9200.0,1.0,0.0
2.0,98144.0,2.5,4000.0,1310.0,4999.0,1.0,0.0
2.0,98109.0,3.0,1846.0,1620.0,840000.0,1.0,0.0
2.0,98178.0,2.0,1.0,2460.0,1155000.0,1.0,0.0
3.0,98122.0,1.0,5.0,2340.0,695000.0,1.0,0.0
14.0,98122.0,2.5,890.0,2030.0,980000.0,1.0,0.0
3.0,98116.0,1.5,9500.0,1450.0,575000.0,1.0,0.0
3.0,98103.0,1.0,6100.0,1484.0,1325000.0,1.0,0.0
2.0,98103.0,2.0,9000.0,1872.0,1375000.0,1.0,0.0
3.0,98178.0,3.0,680.0,1740.0,760000.0,1.0,0.0
5.0,98117.0,1.5,6500.0,1920.0,966000.0,1.0,0.0
4.0,98107.0,1.0,0.6,985.0,1475.0,1.0,0.0
3.0,98117.0,2.0,5000.0,1210.0,885000.0,1.0,0.0
4.0,98126.0,2.0,7440.0,1821.0,975000.0,1.0,0.0
4.0,98108.0,2.5,7990.0,1050.0,495000.0,1.0,0.0
2.0,98122.0,2.5,5000.0,845.0,59900.0,1.0,0.0
2.0,98117.0,2.5,9500.0,820.0,1225000.0,1.0,0.0
6.0,98200.0,2.0,4850.0,414.0,75000.0,1.0,0.0
9.0,98121.0,2.5,11120.0,775.0,770000.0,1.0,0.0
4.0,98122.0,2.5,9500.0,1310.0,130000.0,1.0,0.0
4.0,98106.0,2.0,8500.0,2460.0,1395000.0,1.0,0.0
4.0,98121.0,2.0,503.0,1280.0,895000.0,1.0,0.0
5.0,98117.0,2.0,0.39,1540.0,2300000.0,1.0,0.0
3.0,98105.0,2.0,5500.0,1145.0,599000.0,1.0,0.0
2.0,98121.0,1.0,0.34,890.0,9999.0,1.0,0.0
3.0,98115.0,2.0,9.0,9600.0,650050.0,1.0,0.0
3.0,98115.0,3.5,5500.0,870.0,1775000.0,1.0,0.0
3.0,98117.0,1.0,5500.0,2060.0,300000.0,1.0,0.0
3.0,98118.0,3.0,0.0,2880.0,595000.0,1.0,0.0
2.0,98107.0,3.0,0.28,476.0,515000.0,1.0,0.0
3.0,98144.0,2.5,6660.0,820.0,875000.0,1.0,0.0
3.0,98105.0,3.0,595.0,1030.0,1375000.0,1.0,0.0
2.0,98105.0,3.0,5000.0,1825.0,985000.0,1.0,0.0
4.0,98107.0,1.0,0.26,2080.0,1500000.0,0.0,0.0
4.0,98168.0,1.0,0.06,1600.0,950000.0,1.0,0.0
2.0,98115.0,2.0,804.0,2600.0,1185000.0,1.0,0.0
3.0,98126.0,1.0,6000.0,2460.0,595000.0,1.0,0.0
3.0,98133.0,2.0,60000.0,1920.0,915000.0,1.0,0.0
5.0,98109.0,1.0,3200.0,1260.0,1025000.0,1.0,0.0
3.0,98117.0,1.5,7500.0,2460.0,619000.0,1.0,0.0
2.0,98115.0,2.0,1120.0,2820.0,612000.0,1.0,0.0
3.0,98103.0,1.0,4002.0,1900.0,2575000.0,1.0,0.0
3.0,98144.0,2.0,1230.0,3000.0,1065000.0,1.0,0.0
3.0,98103.0,1.0,0.3,1500.0,925000.0,1.0,0.0
3.0,98122.0,2.5,1081.0,909.0,665000.0,1.0,0.0
2.0,98117.0,3.0,5.06,1875.0,170000.0,1.0,0.0
4.0,98103.0,2.5,499.0,1780.0,875000.0,1.0,0.0
1.0,98106.0,2.0,6200.0,2190.0,900000.0,1.0,0.0
3.0,98102.0,2.5,5.0,3140.0,650000.0,1.0,0.0
2.0,98103.0,1.0,849.0,2010.0,775000.0,1.0,0.0
3.0,98122.0,2.0,4790.0,1900.0,490000.0,1.0,0.0
2.0,98144.0,2.0,6500.0,1680.0,770000.0,1.0,0.0
3.0,98199.0,3.5,4500.0,1320.0,1135000.0,1.0,0.0
1.0,98117.0,2.0,8000.7,732.0,1125000.0,1.0,0.0
4.0,98107.0,2.5,1220.0,1880.0,717000.0,1.0,0.0
2.0,98199.0,2.0,4500.0,1560.0,825000.0,1.0,0.0
4.0,98117.0,2.0,1400.0,2040.0,890000.0,1.0,0.0
5.0,98115.0,3.0,6000.0,9200.0,575000.0,1.0,0.0
3.0,98105.0,2.0,2910.0,1820.0,40000.0,1.0,0.0
1.0,98109.0,2.0,2000.0,545.0,989000.0,1.0,0.0
9.0,98125.0,1.5,4500.0,2370.0,930000.0,1.0,0.0
3.0,98117.0,1.0,8.0,880.0,623000.0,1.0,0.0
3.0,98115.0,2.5,607.0,720.0,85625.0,1.0,0.0
3.0,98115.0,2.0,1020.0,2060.0,750000.0,1.0,0.0
3.0,98115.0,5.0,2.0,6040.0,60000.0,1.0,0.0
3.0,98177.0,2.0,0.33,1085.0,120000.0,0.0,0.0
5.0,98118.0,1.0,0.29,1320.0,595000.0,1.0,0.0
6.0,98107.0,2.0,0.27,706.0,567000.0,1.0,0.0
3.0,98117.0,3.0,1060.0,1510.0,120000.0,1.0,0.0
