proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
500,7.7,2.19,24.0,0.82,12.0,1.37,0.53,0.81,85,3.7,3.36,0,1.76
750,5.5,2.45,22.5,0.76,12.37,1.36,0.53,0.86,97,1.45,0.0,0,1.65
1095,4.9,2.28,18.5,0.96,13.68,3.28,0.26,0.89,92,2.0,0.81,0,1.38
378,2.3,2.38,23.5,0.74,13.72,2.98,0.39,1.97,115,2.0,2.68,1,1.58
605,7.5,2.56,20.0,0.76,14.09,2.55,0.0,2.27,88,2.45,3.29,2,1.75
625,5.58,2.42,18.6,1.0,13.37,1.75,0.45,1.25,89,2.0,0.6,1,1.68
750,5.2,2.6,22.0,1.08,12.92,2.84,0.32,1.98,80,1.65,0.89,0,1.93
278,5.6,2.35,16.7,0.9,12.0,3.42,0.21,1.25,132,2.0,2.64,0,1.95
586,1.0,2.2,16.0,0.96,13.76,3.25,0.4,1.65,80,1.62,1.65,0,1.68
760,5.3,2.0,19.0,0.88,12.78,2.63,0.5,1.28,94,1.0,2.35,1,1.61
840,5.2,2.0,25.0,0.89,12.0,2.64,0.26,1.35,95,1.65,1.96,2,1.88
550,6.8,2.0,20.0,1.12,12.84,2.0,0.19,0.96,106,1.5,0.59,1,1.64
1020,1.8,2.92,25.0,1.04,13.67,3.51,0.56,1.39,102,1.8,0.53,1,2.0
10350,5.6,2.12,16.6,0.89,14.68,3.43,0.3,1.02,780,2.9,0.73,0,1.57
680,3.28,2.5,18.0,1.05,13.86,3.05,0.31,1.25,108,2.0,1.67,2,1.0
680,3.35,2.32,21.5,1.06,13.36,1.54,0.0,2.03,103,1.74,1.72,1,1.98
520,7.0,2.48,19.0,0.91,13.92,2.75,0.43,0.76,94,1.56,0.63,1,3.14
560,7.2,2.64,22.5,0.0,13.69,3.03,0.53,1.86,86,1.8,0.61,1,1.66
1060,2.0,2.6,16.7,0.98,13.32,2.59,0.32,1.28,98,2.3,1.83,1,2.0
662,4.8,2.2,18.5,1.26,13.0,3.51,0.32,1.67,88,2.6,2.51,0,1.69
4281,8.58,2.25,19.0,0.66,13.92,3.25,0.26,1.97,865,3.0,3.48,2,1.77
685,4.9,2.16,20.0,1.13,12.38,2.0,0.29,2.42,89,2.6,2.36,2,1.65
595,4.76,2.43,20.0,0.76,13.48,2.83,0.29,2.92,108,2.3,2.51,0,3.0
7153,10.7,2.6,18.5,1.08,12.0,2.76,0.28,0.92,89,2.85,0.89,1,1.74
1045,2.4,2.75,20.0,0.95,13.23,2.0,0.21,1.65,103,2.5,1.75,0,3.05
406,5.25,2.58,19.5,1.0,13.22,3.04,0.27,1.95,92,2.0,2.1,0,2.71
625,5.3,2.36,21.5,0.67,13.87,2.62,0.3,0.0,98,1.6,1.75,2,1.75
630,4.6,2.0,20.0,0.96,12.83,2.85,0.32,1.36,90,1.75,0.0,0,1.73
1195,2.0,2.48,22.0,1.48,13.81,2.78,0.53,1.98,119,2.72,2.95,1,3.28
550,3.0,2.7,22.0,0.82,12.0,3.19,0.31,0.7,84,1.92,0.64,2,1.86
