,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,real_identifier
0,38,4,143219,10,12,4,9,1,4,0,0,0,45,39,0,0
1,29,6,245632,12,9,5,7,4,2,1,0,0,40,39,0,0
2,44,0,198219,9,13,2,2,0,4,0,0,0,50,39,0,0
3,53,4,167291,11,9,4,6,1,4,1,0,0,40,39,0,0
4,31,7,229467,14,10,5,10,4,2,0,0,0,40,39,0,0
5,46,4,136191,8,12,4,5,1,4,1,0,0,45,39,0,0
6,59,2,204382,10,13,0,9,4,4,0,0,0,50,39,0,0
7,35,6,261734,13,9,5,8,4,2,1,0,0,40,39,0,0
8,48,4,149382,9,12,4,3,1,4,0,0,0,45,39,0,0
9,42,0,223191,11,9,2,6,0,4,1,0,0,50,39,0,0
10,38,4,219814,12,10,2,10,4,4,1,0,0,42,39,0,0
11,29,4,288161,10,12,4,7,1,4,0,0,0,38,39,0,0
12,52,4,191479,9,11,0,13,0,4,1,0,0,58,39,1,0
13,25,4,426843,14,10,2,3,4,4,1,0,0,45,39,0,0
14,49,4,146732,11,9,5,12,1,4,0,0,0,48,39,0,0
15,46,4,296850,15,10,2,4,0,4,1,0,0,50,39,1,0
16,31,4,239051,8,12,0,10,4,4,0,0,0,40,39,0,0
17,54,4,121532,12,9,2,7,0,4,1,0,0,60,39,1,0
18,24,4,408861,11,10,4,12,1,4,1,0,0,48,39,0,0
19,42,4,275431,10,11,0,13,4,4,0,0,0,42,39,0,0
20,39,6,217895,9,13,2,10,4,4,1,0,0,45,39,0,0
21,29,4,301129,11,9,4,5,1,4,0,0,0,38,39,0,0
22,51,4,189473,15,10,2,8,0,4,1,0,0,42,39,1,0
23,31,0,269127,9,13,4,0,5,4,0,0,0,40,39,0,0
24,49,4,284671,11,9,3,7,4,4,0,0,0,45,39,0,0
25,36,6,193021,15,10,2,12,0,2,0,0,0,38,39,0,0
26,24,4,227855,9,13,4,1,1,4,0,0,0,35,39,0,0
27,55,4,176255,15,10,2,4,0,4,1,0,0,40,39,1,0
28,34,0,245198,11,9,4,0,3,4,0,0,0,42,39,0,0
29,41,4,309421,9,13,2,10,4,4,1,0,0,45,39,0,0
30,38,6,205661,12,10,2,9,0,4,1,0,0,45,39,0,0
31,51,4,182419,11,9,0,11,1,4,1,0,0,55,39,0,0
32,29,6,233194,14,16,2,10,0,4,1,10000,0,50,39,1,0
33,44,4,270865,11,9,2,8,0,4,1,3000,0,48,39,1,0
34,59,2,128616,9,13,6,1,4,1,0,0,0,35,30,0,0
35,25,0,38189,15,10,4,0,3,4,0,0,0,20,39,0,0
36,48,4,246755,11,9,2,7,0,4,1,4000,0,45,39,1,0
37,20,4,463829,1,7,4,12,3,4,0,0,0,10,26,0,0
38,40,6,218863,12,11,2,9,0,4,1,0,0,42,39,0,0
39,54,4,193399,11,9,0,11,1,4,1,0,0,60,39,0,0
40,30,4,201234,12,8,4,9,1,1,1,0,0,45,39,0,0
41,58,0,42111,5,4,2,1,0,4,1,0,0,35,39,0,0
42,24,4,301011,14,11,4,11,1,2,1,0,0,40,39,0,0
43,48,4,208101,10,7,2,6,0,4,1,0,1151,55,39,1,0
44,62,4,351201,16,12,2,15,0,4,1,0,0,20,39,0,0
45,38,6,190011,8,6,0,2,4,1,1,0,0,50,20,0,0
46,45,4,140201,9,13,2,8,0,4,1,0,0,70,39,1,0
47,29,4,110011,13,10,4,5,3,2,1,0,0,40,39,0,0
48,35,5,130101,7,6,4,3,3,4,1,0,0,40,39,0,0
49,70,4,250201,17,14,2,16,0,4,1,0,0,15,39,0,0
50,41,4,201943,10,12,3,5,1,4,0,0,0,42,39,0,0
51,29,4,143209,14,8,4,9,1,4,1,0,0,38,39,0,0
52,45,2,261011,12,13,4,11,1,4,1,0,0,41,39,0,0
53,39,4,167394,9,14,2,4,0,4,1,0,0,49,39,1,0
54,36,4,191011,8,11,2,3,5,4,0,0,0,43,39,0,0
55,48,6,161209,11,9,2,3,0,4,1,0,0,36,39,0,0
56,51,4,203209,1,7,2,14,0,4,1,0,0,40,39,0,0
57,57,4,461011,1,7,0,12,1,4,0,0,0,40,39,0,0
