age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
27,2,245701,13,14,4,8,1,2,1,0,0,49,37,0
37,2,154578,8,12,2,11,0,4,1,0,0,49,37,1
39,2,415881,14,9,0,6,0,4,1,0,0,39,37,1
46,2,274637,7,12,4,11,3,4,1,48,2,40,38,0
25,2,155182,1,7,4,5,1,4,1,0,0,47,37,0
49,2,216247,6,11,2,11,0,2,1,0,0,39,37,0
25,2,108750,6,5,4,5,3,2,1,3092,0,40,38,0
40,5,96382,7,10,2,1,0,4,1,0,0,39,37,0
32,2,156001,0,5,4,1,0,4,1,0,0,39,37,0
27,2,172283,10,8,4,2,1,4,0,0,0,39,37,0
24,2,31401,8,12,4,8,1,4,1,0,0,49,37,0
31,1,186881,15,10,2,5,1,2,1,20,1,74,38,0
17,2,34805,14,9,4,0,3,4,0,0,0,4,37,0
35,2,406478,11,9,2,0,5,4,0,4,1906,42,38,1
35,2,127977,15,10,2,9,0,4,1,15,0,40,38,0
23,2,36662,8,12,4,8,1,4,0,0,0,39,37,0
35,2,242962,9,13,2,9,0,4,1,22,1,43,38,1
46,2,214450,3,2,2,1,0,4,1,0,0,49,37,1
52,2,87019,14,9,2,12,0,4,1,7236,0,44,37,1
28,2,212546,8,12,2,10,0,4,1,0,0,53,37,1
37,2,116646,8,12,4,6,2,4,0,0,0,44,37,0
24,2,181904,8,12,4,6,2,4,0,0,0,39,37,0
46,2,184567,10,8,2,1,0,4,1,5002,0,39,37,1
34,4,182037,14,15,2,9,0,4,1,7758,0,60,38,1
32,1,30288,11,13,2,8,5,4,0,0,0,39,37,0
51,2,280655,11,9,2,3,0,4,1,7320,0,40,38,1
33,1,211416,14,9,4,0,4,2,0,0,0,39,37,0
17,2,116091,7,10,2,4,0,4,1,0,0,39,37,0
36,1,150294,0,6,6,12,1,4,0,0,0,39,37,0
22,2,198683,14,9,4,6,1,4,0,0,0,34,37,0
34,2,161806,8,12,2,5,0,4,1,0,0,39,37,0
26,2,137536,11,9,4,2,3,4,1,38,2,48,38,0
41,2,364945,10,8,2,1,0,4,1,0,0,39,37,0
50,4,134514,8,12,2,0,2,4,0,97774,0,28,37,0
36,2,176527,9,13,4,11,1,4,0,11,1791,40,38,0
41,2,197028,12,14,4,0,1,4,0,1,0,40,38,0
40,2,196542,9,13,0,3,0,4,1,16,0,45,38,0
33,2,124492,11,9,5,5,4,1,0,18,1,61,35,0
37,2,167011,10,8,4,10,1,4,1,0,0,53,37,0
27,2,104409,11,9,0,0,1,4,1,1,0,38,38,0
33,2,470719,8,12,0,2,4,4,0,0,0,39,37,0
28,2,33783,9,13,4,9,1,4,0,2320,0,40,38,0
34,2,101696,8,12,2,10,0,4,1,0,0,58,37,0
23,0,38443,8,12,2,10,0,4,0,0,0,28,37,0
35,2,146045,14,9,2,1,0,4,1,0,0,39,0,1
35,1,50373,9,15,2,8,0,4,1,0,1851,49,37,1
57,2,126486,10,8,0,6,4,2,0,0,0,19,37,0
24,2,179776,14,9,5,7,2,4,0,0,0,29,6,0
28,5,27315,7,12,4,0,1,4,0,23,1,40,11,0
39,2,150893,11,9,0,7,1,4,0,3,0,50,38,0
25,2,99914,1,7,0,3,4,4,0,7,0,40,38,0
27,2,196593,11,9,2,9,1,2,1,22,1,40,38,0
24,2,252797,15,10,4,10,3,4,1,24,1,40,38,0
22,2,105266,10,8,4,2,3,4,1,0,0,47,37,0
34,2,204854,8,11,4,2,0,4,1,35,1,61,38,0
30,1,148709,6,11,4,0,3,0,0,0,0,39,37,0
26,2,356780,11,9,4,7,3,2,0,12,0,40,38,0
62,4,212216,8,12,2,10,0,4,1,14945,0,39,18,1
23,2,191269,11,9,4,13,3,2,1,22,1,40,38,0
29,2,287789,9,13,2,9,5,4,0,1,0,50,38,1
35,2,253329,14,9,2,1,0,4,1,0,0,39,37,0
41,3,181476,13,14,2,8,0,4,1,0,0,24,37,0
38,2,292323,10,8,0,11,4,4,0,0,0,49,37,0
21,2,91266,15,10,4,7,3,4,0,15,0,20,38,0
27,2,180072,8,12,4,2,1,4,1,0,1481,47,37,0
66,1,220509,5,4,2,2,0,4,1,3868,2,40,38,0
49,2,347089,12,14,2,11,0,4,1,6,0,40,38,1
50,2,117337,11,9,0,11,1,4,0,0,0,33,38,0
31,2,123825,11,9,4,2,3,4,1,9,0,18,38,0
64,4,309358,13,14,0,8,1,4,1,0,1639,39,37,0
60,2,156524,13,14,2,8,0,4,1,0,1841,13,37,1
19,2,187641,15,10,4,0,3,4,1,14,0,40,38,0
33,2,176480,5,4,5,5,4,4,0,0,0,34,4,0
20,2,300265,14,9,4,6,3,4,1,0,0,24,37,0
19,2,245209,14,9,4,0,1,1,1,0,0,39,37,0
54,2,158710,8,12,2,10,0,4,1,0,0,39,37,0
44,2,372348,4,3,0,7,4,4,0,21,1,40,25,0
27,2,134058,8,12,2,10,3,4,1,0,0,49,37,0
24,2,185562,11,9,2,7,5,4,0,7,0,25,38,0
44,2,370600,11,9,2,10,0,4,1,47,2,12,38,0
25,2,199381,9,13,4,0,1,4,1,0,0,40,38,1
17,2,628527,0,6,4,10,3,4,1,0,0,19,37,0
55,2,109240,7,10,2,8,0,4,1,4317,0,49,37,1
51,2,512607,11,9,0,6,3,2,1,2,0,40,38,0
39,2,193308,14,9,2,10,0,4,1,0,1901,43,37,1
27,2,211405,14,9,4,2,4,4,0,0,0,39,37,0
37,5,18827,10,8,0,1,1,4,1,0,0,39,37,0
32,2,309811,14,9,2,12,0,4,1,0,0,49,37,0
75,0,162465,11,9,6,3,1,4,1,23,1,11,38,0
23,2,233857,6,11,4,1,3,4,1,0,0,27,37,0
33,2,200240,11,9,2,2,0,4,1,16,0,40,38,0
52,2,81351,10,8,0,0,4,4,0,0,1466,39,37,0
32,0,29063,14,9,0,6,1,2,1,0,0,39,37,0
45,2,445911,0,5,2,2,0,4,1,0,0,39,37,1
49,2,117984,9,13,5,3,1,4,0,3,0,50,9,0
36,3,40199,11,9,4,4,1,4,1,12,0,50,38,0
26,2,113276,14,9,2,1,0,4,1,4018,0,39,37,0
48,4,113092,9,13,0,12,1,4,0,99999,0,60,38,1
44,2,98055,0,6,6,8,1,4,0,0,0,39,37,0
41,5,187100,0,6,5,11,1,2,1,0,0,39,37,0
19,2,194872,0,6,4,8,1,4,0,0,0,23,37,0
25,2,240200,11,9,2,5,0,4,1,6,0,40,38,0
36,2,249860,11,9,3,3,4,2,0,16,0,36,38,0
48,4,180588,14,9,2,8,5,4,0,0,0,34,37,0
33,2,191918,4,4,4,4,3,4,1,45,2,25,25,0
46,2,166697,15,10,2,9,0,4,1,34,1,40,38,1
55,2,105689,11,9,2,6,0,4,1,0,0,40,38,0
29,2,359145,7,10,0,10,1,4,0,0,0,39,37,1
39,2,180214,11,9,2,6,0,4,1,3760,1,40,38,0
45,3,169014,15,10,2,13,0,4,1,31,1,56,38,1
27,2,261533,15,10,4,13,1,2,1,4,0,40,38,0
47,2,159135,7,10,2,10,0,4,1,0,0,39,37,1
48,2,227973,15,10,4,9,3,4,1,58,3,40,38,1
26,2,105310,10,8,5,1,4,2,1,0,0,39,37,0
30,2,171855,10,8,2,8,0,4,1,0,0,40,37,1
38,2,60697,10,8,2,5,0,4,1,0,0,59,37,0
36,2,47255,10,8,0,6,4,4,0,0,0,39,37,0
63,2,112647,1,7,2,0,0,4,1,49,2,48,38,0
20,2,204224,10,8,4,6,3,4,0,0,0,39,37,0
48,2,175845,3,2,2,4,0,4,1,0,0,39,24,0
37,2,170690,9,13,2,0,0,4,1,17,0,40,38,1
45,2,186229,15,10,0,3,1,4,0,16,2045,45,38,0
32,2,215679,8,12,2,8,0,4,1,0,0,39,37,0
63,5,59961,14,9,0,2,1,4,0,0,0,53,37,0
32,0,327891,9,15,4,8,1,4,0,0,0,94,37,0
30,2,196118,6,11,2,0,5,4,0,0,0,39,37,0
38,2,292709,14,9,2,0,5,4,0,0,0,39,37,1
44,3,42850,9,13,2,4,0,4,1,37,2,50,38,0
21,2,142733,0,6,4,6,2,4,1,0,0,39,37,0
17,1,325491,1,7,4,0,3,4,0,19,1,16,38,0
44,2,96863,14,9,2,5,0,4,1,0,0,39,37,0
34,2,187895,15,10,2,5,0,4,1,9,0,40,38,0
33,2,506065,0,6,2,4,0,4,1,0,0,39,24,0
33,2,220967,0,6,5,6,4,4,1,0,0,19,37,0
36,2,104786,8,12,4,12,1,4,1,0,0,45,37,0
36,5,250925,11,9,4,7,4,2,0,23,1,40,38,0
43,3,143404,14,9,2,8,0,4,1,0,0,59,37,0
42,2,106879,9,13,2,3,0,4,1,8,0,40,38,1
45,3,321285,14,15,2,9,0,4,1,9,1527,50,38,1
36,2,192626,11,9,4,5,3,4,1,27,1,61,38,0
29,2,18827,10,8,2,0,0,0,1,0,0,39,37,0
33,2,200067,8,11,4,4,1,4,0,29,1,44,38,1
46,2,71387,8,12,2,11,0,4,1,0,0,39,37,0
51,5,299127,10,16,2,9,0,4,1,11,1953,45,38,1
49,5,213263,7,10,2,2,0,4,1,0,0,39,37,0
19,2,165305,15,10,4,7,3,4,0,13,0,13,38,0
24,2,191501,10,8,2,2,3,4,1,0,0,34,37,0
70,2,236273,10,8,2,5,0,4,1,3178,0,39,7,0
27,2,254888,9,13,4,9,1,4,1,21,1,39,38,0
20,2,194608,15,10,4,5,3,4,0,4,0,40,38,0
54,2,173570,6,11,6,0,5,4,0,0,0,39,37,0
32,2,192694,0,5,0,0,1,4,1,0,0,39,37,0
31,3,312286,15,10,4,3,3,4,1,9,0,45,38,0
44,2,753621,11,9,2,6,0,4,1,33,1,40,25,0
63,1,243043,0,6,2,1,0,2,1,0,0,39,37,1
34,2,133138,14,9,2,8,0,0,1,0,0,39,37,0
20,2,213889,15,10,5,2,3,4,0,19,1,25,38,0
39,2,184873,9,15,2,12,0,4,1,0,0,39,37,1
24,2,231595,11,9,4,7,1,0,1,8,0,35,38,0
44,2,173375,14,9,4,0,1,4,0,0,0,36,37,0
56,4,125072,0,6,2,13,0,4,1,10,0,50,38,0
22,2,237671,15,10,4,7,3,2,0,1,0,36,38,0
32,2,23413,10,8,0,8,4,4,0,0,0,29,37,0
37,1,66435,15,10,2,9,0,4,1,18,0,40,38,1
58,3,203636,8,12,2,8,0,4,1,7474,0,39,37,1
44,2,59107,2,8,2,3,0,4,1,29,1,40,38,0
30,2,268990,11,9,2,2,2,4,1,26,1,40,38,0
51,1,236973,10,8,2,4,0,4,1,0,0,39,37,0
62,2,126542,11,13,2,2,0,4,1,0,0,49,37,1
54,2,280453,11,9,2,3,4,4,1,37,2,50,38,1
47,2,108161,0,6,4,3,0,4,1,0,0,39,37,0
43,2,88432,7,10,2,1,0,4,1,0,0,39,0,1
45,2,234003,5,4,2,6,0,3,1,19,1,40,26,0
51,4,34981,9,13,2,3,0,4,1,7500,0,45,38,0
25,2,205133,8,12,4,2,4,4,0,0,0,39,37,0
33,2,227806,10,8,2,5,0,4,1,0,0,43,37,0
18,2,79409,1,7,2,5,3,4,1,2,0,40,38,0
27,2,179840,9,13,4,2,0,4,1,6,0,40,38,1
23,2,155663,15,10,4,3,3,4,1,5,0,40,38,0
30,2,191984,10,8,0,0,0,2,1,0,0,23,37,0
41,5,73157,11,9,2,12,0,4,1,4,0,60,38,0
48,2,183695,14,15,2,7,1,4,1,18,1,61,38,0
25,2,216951,9,13,4,3,1,4,1,3,1990,40,38,0
29,4,133272,11,9,2,9,0,4,1,1,0,50,21,0
52,1,386156,14,9,0,2,1,4,0,0,0,39,37,1
30,2,96389,9,13,4,2,4,4,1,4,0,46,38,0
34,2,108381,11,9,0,13,3,4,1,1,0,40,38,0
28,2,108666,8,12,2,11,0,4,1,0,0,39,37,1
49,2,159456,10,8,2,2,0,4,1,0,0,1,37,0
34,2,102261,12,14,2,3,0,1,1,3220,0,40,18,1
47,2,381276,15,10,2,11,0,4,1,12,0,40,38,0
27,5,190816,7,10,2,9,0,4,1,0,0,39,37,1
32,2,115620,11,9,2,7,1,4,1,2560,0,40,38,1
23,1,203919,9,13,4,3,3,4,0,1,0,12,38,0
35,3,83448,6,11,2,2,0,4,1,0,0,49,37,0
22,2,281512,11,9,2,7,3,2,1,1,0,40,38,0
28,2,175614,11,9,0,7,1,2,1,0,0,40,38,0
