age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
72,4,18827,6,16,5,8,2,3,0,28017,444,16,36,1
85,6,18827,0,16,6,0,2,1,1,31257,1705,16,40,0
76,0,18827,12,16,1,0,2,1,0,31234,1705,16,40,1
85,3,18827,12,16,5,0,3,3,1,31269,1705,16,40,0
85,6,86026,12,16,5,0,2,1,1,26992,1018,20,40,1
76,0,18827,13,16,6,0,2,2,0,50343,0,20,40,1
80,6,86026,0,16,5,0,2,3,0,30910,1035,20,40,1
85,6,18827,12,16,5,0,2,1,1,31228,1764,16,27,1
76,0,99444,12,16,6,0,3,3,1,31257,1705,38,40,1
90,4,136757,11,16,5,0,2,1,0,12463,561,1,40,1
85,6,18827,0,11,6,0,3,2,1,47206,845,1,40,1
90,6,18827,12,16,5,0,2,1,0,49175,1705,16,40,1
44,6,18827,12,8,3,0,2,3,0,50870,1705,16,40,1
90,0,18827,3,16,6,0,3,3,1,10023,1705,37,25,1
85,1,18827,12,16,5,0,3,1,0,22526,1705,1,40,0
48,3,18827,7,16,1,6,2,3,0,31293,29,1,36,1
83,0,18827,0,16,6,0,4,1,0,21327,719,16,40,1
81,0,18827,13,16,6,0,4,3,1,11376,725,38,17,1
90,0,18827,13,16,5,0,3,2,0,50870,992,1,40,1
85,0,18827,12,16,6,0,3,3,0,30910,1596,16,40,1
85,1,98870,14,16,1,0,3,1,0,15664,560,16,40,1
48,0,18827,12,16,5,0,3,3,0,50870,1705,16,40,1
48,1,31740,0,16,3,0,2,1,0,14427,0,20,26,0
90,3,18827,0,16,5,0,4,0,1,13944,393,16,29,1
83,1,18827,9,8,5,8,2,2,0,16914,548,34,17,1
90,6,18827,12,16,5,0,2,1,0,31228,1705,16,40,1
54,0,18827,12,16,5,0,2,2,0,50870,1705,16,40,1
90,6,392194,15,16,1,0,5,3,0,31257,633,49,18,1
85,3,125511,7,11,5,0,3,1,0,0,0,1,17,1
87,6,171065,6,16,1,6,4,3,0,31257,0,16,40,0
90,6,18827,12,16,6,0,2,1,0,19506,0,34,25,1
90,6,18827,12,9,5,0,3,3,1,31234,1705,16,40,1
85,0,18827,6,16,5,0,3,3,0,17337,1705,16,40,0
85,6,18827,12,16,6,0,5,3,0,22368,0,16,40,1
83,6,18827,12,16,5,0,4,2,0,31228,1705,52,40,1
83,1,18827,12,7,5,0,3,3,1,31228,4356,16,40,0
90,0,18827,12,16,6,0,5,3,0,31234,1705,16,31,1
90,6,18827,12,16,6,0,5,3,0,31234,2928,16,40,1
88,1,18827,2,6,6,0,5,3,0,1170,711,1,40,0
85,6,18827,12,9,6,0,3,3,0,50870,1705,16,40,1
85,1,18827,0,16,1,0,2,3,0,31223,1705,16,34,1
83,6,98870,12,16,5,0,2,3,0,50870,1705,16,40,1
85,1,93824,12,16,1,0,3,1,0,26631,20,16,40,1
44,1,71484,15,16,5,0,5,3,0,99999,90,34,40,1
88,6,18827,0,16,5,0,3,3,0,18631,1705,1,40,1
88,3,18827,6,16,5,0,5,0,0,31223,570,37,27,1
83,6,18827,1,7,5,0,3,2,0,31245,484,16,40,1
85,0,86026,13,16,5,0,2,3,0,29171,1705,16,26,1
83,0,18827,12,16,6,0,5,3,1,50870,1705,34,40,1
54,0,93824,13,16,6,0,2,0,0,31257,1461,16,40,0
85,1,18827,14,16,1,0,5,3,0,31245,0,1,29,1
88,6,18827,12,16,1,0,2,1,0,12224,0,16,36,1
90,6,18827,6,16,1,0,2,1,0,8537,1705,16,40,1
88,0,18827,0,16,5,0,3,3,0,50870,1705,1,40,1
85,6,99444,2,16,5,0,3,2,0,23942,743,16,40,1
54,3,93824,0,12,6,0,5,3,0,8749,536,1,40,1
80,5,59765,13,16,5,0,3,2,0,25046,189,1,40,1
80,6,18827,13,7,5,0,2,2,0,31257,1705,1,36,1
85,6,18827,12,8,6,0,3,3,1,31234,1709,34,27,1
90,4,18827,12,7,6,0,5,3,0,12719,1705,16,40,0
83,1,86026,14,16,3,6,2,2,0,19992,0,16,40,1
88,1,18827,13,8,5,3,3,3,0,18570,4356,16,40,1
85,3,18827,12,16,5,0,2,3,1,50870,1705,16,40,1
85,6,18827,12,16,1,0,3,3,0,31234,1705,16,25,1
85,3,18827,12,7,5,0,3,0,1,31234,1705,16,40,1
44,6,18827,2,16,1,3,2,1,0,31228,4356,1,27,1
76,6,34097,10,16,5,0,2,1,0,0,839,1,12,1
85,6,18827,12,16,6,0,5,1,0,50870,1705,16,40,1
90,0,18827,10,8,6,9,4,3,0,17975,1597,20,32,1
78,6,18827,0,16,6,0,2,1,0,50870,1577,34,40,1
85,6,18827,12,16,5,0,2,1,0,50870,1705,16,40,1
83,4,18827,0,8,5,6,4,3,0,30910,1705,52,33,1
88,5,93824,0,11,1,6,2,1,0,31228,1705,16,40,1
90,0,18827,0,7,6,0,2,3,0,31234,1700,1,40,1
90,6,18827,0,16,5,0,5,1,0,31234,1705,16,40,0
85,1,93011,15,7,5,6,5,3,0,30910,0,1,22,1
76,6,18827,12,16,5,0,2,3,0,50870,1705,16,27,1
85,6,18827,12,16,6,0,3,2,0,31234,1705,16,40,1
90,6,18827,12,16,6,0,3,1,0,31228,1705,16,40,0
85,3,18827,12,12,5,0,2,1,0,31245,1705,16,40,0
90,5,18827,13,12,5,0,2,1,0,31228,1705,16,40,1
90,6,18827,0,16,6,0,5,2,0,31234,1185,1,40,1
57,6,107335,0,6,1,6,2,1,0,22368,1055,1,39,0
90,6,86026,13,16,6,0,2,1,0,31234,0,1,40,1
88,3,18827,12,16,5,0,3,1,1,31269,1095,34,40,1
44,6,18827,12,12,5,0,3,2,0,29036,663,16,40,1
88,1,18827,12,16,5,0,2,1,0,47443,1705,16,40,1
83,3,18827,12,16,5,0,2,1,0,43758,227,34,40,1
76,6,18827,12,8,6,0,3,3,0,25625,1005,16,40,1
90,3,93824,12,16,6,0,3,3,1,31234,1705,1,40,0
54,6,99444,9,16,5,0,3,1,1,31234,1705,16,40,1
90,6,18827,7,16,5,0,3,3,0,16321,1705,34,40,1
