age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
37,1,18827,15,13,2,2,1,1,0,30910,1762,43,40,0
44,1,40223,15,9,2,2,4,1,0,50311,1705,17,40,0
44,1,128498,15,9,5,2,4,1,0,30910,0,27,40,1
76,6,18827,11,9,4,1,3,1,0,5477,0,39,40,0
67,1,128498,14,9,4,1,4,1,0,31223,0,39,40,1
44,1,128498,9,9,2,1,4,1,0,30910,0,39,40,0
59,1,18827,3,1,2,2,1,1,0,31223,1762,40,40,1
67,1,128498,15,5,4,2,4,1,0,30910,0,40,40,1
66,1,39781,15,9,2,10,1,1,0,30910,1705,40,40,1
66,1,128498,15,11,4,2,0,1,0,202,1762,40,40,0
44,6,18827,9,1,2,2,4,1,0,0,0,40,40,1
67,1,128498,11,8,2,10,4,1,0,25919,0,40,40,1
37,1,40223,11,11,2,2,1,1,0,30910,0,40,40,1
44,1,39781,11,9,2,10,3,1,0,30910,0,39,40,1
67,1,128498,15,9,2,2,4,1,0,31222,1705,39,40,0
66,1,128498,9,1,2,10,4,1,0,30842,0,40,40,1
44,1,40223,11,1,4,2,4,1,0,8655,0,39,40,0
67,6,128498,15,5,5,2,1,1,0,8650,0,17,40,0
44,1,18827,11,1,4,2,4,1,0,8655,0,43,40,0
44,1,40223,15,5,2,2,4,1,0,0,0,43,40,0
44,1,128498,9,1,2,10,4,1,0,31223,0,40,40,0
44,1,40223,11,5,2,2,2,1,0,0,1705,46,40,0
66,1,128498,15,1,2,2,4,1,0,19828,0,39,40,0
67,1,40223,11,11,2,2,2,1,0,0,1762,40,40,0
44,1,40223,15,5,5,2,1,1,0,0,0,47,40,1
44,1,40223,11,5,0,10,0,1,0,8655,0,43,40,0
44,1,18827,3,1,2,10,2,1,0,31223,0,46,40,1
67,1,128498,9,9,0,10,2,1,0,31223,0,40,40,1
38,1,40223,15,8,4,10,0,1,1,30910,0,39,40,0
44,1,18827,11,5,2,2,1,1,0,30910,0,40,40,0
44,1,40223,11,1,2,2,4,1,0,8655,1705,1,40,1
59,1,18827,15,1,2,10,4,1,0,30910,1705,28,40,0
37,6,128498,15,10,2,2,1,1,0,30910,0,43,40,0
44,1,128498,15,9,5,10,4,1,0,8655,0,40,40,1
66,1,128498,15,5,5,10,3,1,0,50311,1705,46,40,1
67,1,40223,11,8,2,1,1,1,1,8655,1705,43,40,1
66,1,18827,15,1,0,2,1,1,0,8655,1762,40,40,0
44,1,40223,9,9,2,2,4,1,0,202,0,69,40,1
44,1,18827,15,5,4,2,4,1,1,20661,1705,39,40,0
44,1,40223,15,9,2,1,4,1,0,30909,950,43,40,0
37,1,128498,11,9,4,0,1,1,0,30910,0,1,40,0
67,1,40223,11,5,2,10,4,1,0,0,0,43,40,0
44,1,18827,9,9,2,2,3,1,0,0,0,1,40,0
37,1,40223,15,1,4,1,0,1,0,0,0,39,40,0
44,1,40223,15,1,5,1,4,1,0,50311,0,39,40,0
67,1,40223,10,8,5,1,1,1,0,30910,1762,40,40,0
37,1,128498,11,5,0,10,1,1,1,30910,1705,39,40,0
77,1,40223,11,8,2,2,0,1,0,30910,0,46,40,0
67,1,18827,15,1,5,2,2,1,0,30910,0,40,40,1
44,1,40223,11,11,2,10,4,1,0,0,0,39,40,0
38,1,40223,15,5,5,10,1,1,1,31223,0,31,40,0
66,1,18827,15,1,2,2,4,1,0,8655,0,40,40,1
59,6,128498,3,1,2,10,2,1,0,8655,0,40,40,1
67,1,18827,15,1,2,2,4,1,0,31223,0,43,40,1
67,1,40223,11,1,2,10,2,1,0,4940,0,20,40,1
67,1,18827,11,1,2,10,4,1,0,202,0,46,35,1
37,1,40223,15,9,4,0,0,1,0,202,0,29,40,0
67,1,40223,15,1,2,2,4,1,0,30910,0,39,40,0
37,1,18827,9,8,6,10,4,1,0,0,1705,39,40,0
44,1,18827,11,1,4,2,0,1,1,30910,0,40,40,0
44,1,40223,15,1,0,2,2,1,0,30860,1705,1,40,0
67,1,18827,11,5,2,2,4,1,0,30910,1760,40,40,1
66,1,40223,8,1,4,2,4,1,0,30910,0,39,40,0
67,1,40223,15,5,4,2,2,1,1,0,0,47,40,0
44,1,128498,11,5,2,2,0,1,1,8654,882,39,40,0
37,1,39781,11,1,4,0,3,4,1,28574,1705,40,40,0
67,1,18827,15,9,2,1,0,1,0,30910,0,39,40,1
44,1,18827,15,13,2,10,4,1,0,8655,0,40,40,0
37,1,40223,14,5,4,2,0,1,0,30910,0,1,40,0
67,1,18827,11,5,2,10,4,1,0,30910,0,39,40,1
76,1,128498,15,11,2,10,4,1,0,8655,1758,46,40,1
44,1,40223,15,1,0,10,4,1,0,30910,0,46,40,1
67,1,40223,9,1,2,10,0,1,0,25085,0,43,40,0
66,1,40223,11,11,2,2,4,1,0,0,1757,40,40,1
44,1,40223,15,11,2,2,4,1,0,30910,1705,40,40,1
44,1,40223,15,9,5,10,4,1,0,31223,0,40,40,1
44,1,128498,15,5,2,10,3,1,0,30910,0,43,40,0
37,1,40223,15,1,4,2,0,1,0,0,0,43,40,0
44,1,128498,3,5,4,10,1,1,0,8643,0,69,40,0
44,1,18827,9,1,4,10,4,1,1,31223,0,45,40,0
44,1,128498,14,9,2,10,4,1,0,30910,1705,40,40,0
44,1,18827,15,1,2,2,4,1,0,0,1762,69,40,1
44,1,18827,9,8,2,10,1,1,0,6145,0,39,40,0
67,1,40223,9,9,2,10,4,1,0,30910,0,40,40,1
44,1,128498,11,8,4,0,1,1,0,31221,0,43,40,0
67,1,128498,15,9,5,2,3,1,1,30910,0,30,40,0
37,1,128498,15,1,2,10,0,1,0,30882,0,40,40,0
77,1,18827,15,1,2,10,4,1,0,30910,1762,40,40,0
76,1,128498,15,9,4,10,0,1,0,30348,0,44,40,1
44,1,128498,15,5,2,10,3,1,0,50311,0,39,40,1
44,1,40223,11,5,2,10,4,1,0,28638,0,47,40,0
37,1,40223,15,5,5,2,0,1,0,202,1705,39,40,0
59,1,128498,9,8,2,1,4,1,0,0,1705,39,40,1
44,1,18827,9,8,4,0,1,1,0,29919,0,31,40,0
44,1,40223,11,8,2,2,1,1,0,31223,0,40,40,1
44,1,128498,9,5,2,2,1,1,0,31223,0,40,40,1
44,1,128498,15,1,2,2,4,1,0,8655,0,40,40,1
59,1,128498,14,1,4,2,4,1,0,30910,0,39,40,0
44,1,40223,3,1,4,10,4,1,0,31223,0,17,40,1
66,1,40223,11,1,5,2,1,1,0,30504,0,30,40,0
67,1,40223,15,1,4,10,4,1,1,30910,0,39,40,0
44,1,18827,3,5,2,10,1,1,0,0,0,40,40,1
77,1,128498,14,9,2,2,4,1,0,31223,0,31,40,1
44,1,40223,15,5,4,2,4,1,0,8655,0,39,40,0
44,1,18827,15,11,2,10,1,1,0,31223,1705,39,40,0
44,1,18827,15,1,4,2,1,1,0,31223,1762,40,40,0
44,1,40223,9,10,0,10,4,1,0,30910,0,46,40,0
44,1,18827,12,1,2,2,3,1,1,8655,0,40,40,0
44,1,18827,11,1,2,2,4,1,0,30910,0,46,40,1
44,1,128498,14,5,2,2,4,1,0,0,0,39,40,1
44,1,128498,15,1,2,2,4,1,0,30833,0,43,40,0
77,1,40223,11,8,4,1,4,1,0,0,0,40,40,0
44,1,40223,15,1,4,2,2,1,0,31223,1705,46,40,0
66,1,40223,14,5,4,10,4,1,0,30910,1705,40,40,0
44,1,40223,15,5,4,2,4,1,0,8654,0,39,40,0
67,1,18827,15,5,5,2,4,1,0,8655,1705,46,40,0
59,1,18827,15,5,2,2,1,1,0,0,0,40,40,0
44,1,128498,9,8,2,1,1,1,0,0,0,44,40,1
67,1,128498,15,9,5,1,0,1,0,8655,0,44,40,1
67,1,128498,15,1,2,1,1,1,0,31223,0,46,40,0
37,1,40223,15,1,2,10,4,1,0,30910,0,46,40,0
37,1,40223,11,8,2,1,1,1,0,0,1705,50,40,0
38,1,18827,14,1,2,10,0,1,0,31223,1705,46,40,0
44,1,18827,11,8,2,10,0,1,0,30910,0,40,40,1
44,1,40223,9,8,4,8,4,1,1,30910,0,1,40,0
44,1,128498,14,10,5,10,1,1,0,4445,0,45,40,0
67,1,40223,11,9,5,2,4,1,0,30910,0,1,40,1
67,1,18827,15,5,2,2,4,1,0,30910,0,39,40,1
38,1,128498,15,5,2,10,4,1,0,8655,0,69,40,0
44,1,40223,11,9,2,1,4,1,0,30910,1762,39,40,0
44,1,40223,15,1,0,10,3,1,1,0,1762,46,40,0
90,1,18827,11,8,4,10,4,4,0,0,0,39,40,0
67,6,40223,15,5,2,2,4,1,0,31223,1705,46,40,1
37,1,40223,9,8,2,10,0,1,0,30910,1762,28,40,0
44,1,40223,15,9,4,0,0,1,0,8655,0,39,40,0
44,1,18827,15,10,4,2,0,1,0,0,0,30,40,0
67,1,40223,11,8,0,10,4,1,0,30910,0,46,40,1
76,1,40223,15,1,4,10,0,1,0,0,0,39,40,0
44,1,18827,11,1,2,10,4,1,0,8655,1705,40,40,1
44,1,18827,15,13,4,0,1,1,0,30910,1701,39,40,0
67,1,40223,15,9,2,2,1,1,0,31223,1762,39,40,1
66,1,39781,9,1,2,10,4,1,0,30910,0,1,40,1
37,1,40223,15,9,2,2,3,1,0,30910,0,46,40,0
44,1,40223,9,5,6,2,4,1,0,31223,0,40,40,0
67,1,18827,9,8,2,10,4,1,1,8654,0,39,40,0
44,6,18827,9,8,2,0,0,1,0,31223,1762,39,40,0
67,1,18827,15,5,2,2,4,1,0,31223,0,43,40,1
59,1,40223,15,1,0,10,1,1,1,0,0,40,40,1
67,1,128498,15,9,2,2,1,1,0,17857,0,39,40,1
44,1,40223,15,9,2,10,4,1,0,31222,0,43,40,1
67,6,128498,12,1,2,2,4,1,0,30910,1762,39,40,1
37,1,18827,15,5,2,10,3,1,0,0,1705,46,40,0
37,1,40223,15,1,2,10,0,1,0,30908,0,39,40,0
44,1,40223,11,5,2,2,2,1,0,30910,0,40,40,1
44,1,39781,9,9,4,10,4,1,0,0,0,69,40,0
37,1,40223,8,5,2,2,3,1,0,8655,0,40,40,0
37,6,128498,15,1,2,10,0,1,1,31223,0,46,40,0
66,1,128498,15,1,2,10,4,1,0,31223,0,39,40,1
37,1,40223,15,1,2,10,0,1,0,50311,0,39,40,0
67,1,40223,11,1,2,2,2,1,0,31223,0,46,40,1
67,1,128498,15,8,2,2,3,1,0,8655,0,40,40,0
76,1,40223,15,1,4,2,4,1,0,8655,0,39,40,0
44,1,18827,9,8,2,2,1,1,1,0,0,39,40,0
37,1,18827,11,1,4,2,3,1,0,9274,0,39,40,0
67,1,128498,15,9,2,10,4,1,0,0,0,39,40,1
67,1,40223,10,1,4,2,4,1,0,8655,1389,46,40,0
67,1,18827,11,1,2,10,1,1,0,30910,0,46,40,0
44,1,18827,15,1,2,10,3,1,0,30910,0,46,40,0
37,1,18827,15,11,2,10,0,1,1,31223,0,1,40,0
66,1,40223,11,5,5,10,3,1,0,31223,1704,40,40,1
67,1,40223,11,8,2,1,0,1,0,30910,0,43,40,1
67,1,40223,11,5,2,2,4,1,0,30906,0,31,40,0
67,1,40223,15,5,2,10,2,1,0,0,0,28,40,0
44,1,18827,15,5,2,10,4,1,0,29610,0,40,40,0
44,1,18827,11,1,2,10,4,1,0,30910,1762,46,40,1
66,1,18827,15,1,2,2,1,1,0,0,1662,39,40,0
77,1,128498,15,5,2,2,2,1,0,30910,1762,69,40,0
44,1,128498,11,5,2,10,4,1,0,8655,0,46,40,1
66,6,40223,9,9,2,1,4,1,0,50310,0,1,40,1
38,1,128498,15,11,2,10,0,1,1,30910,0,43,40,0
44,1,40223,11,8,2,10,2,1,0,30910,1593,18,40,1
44,6,40223,9,8,5,1,4,1,0,31223,1705,39,40,0
44,1,40223,9,9,2,1,1,1,0,8655,1749,40,40,0
44,1,18827,15,11,2,10,4,1,0,30910,0,43,40,1
44,1,18827,15,11,2,10,4,1,0,31223,1703,39,40,0
67,1,40223,15,9,4,1,0,1,0,202,0,46,40,1
67,1,128498,10,1,2,2,0,1,0,0,0,69,40,0
77,1,18827,9,1,0,2,1,1,1,50311,0,39,40,1
77,1,40223,11,1,2,10,2,1,1,50311,1762,39,40,1
67,1,18827,15,1,2,0,3,1,0,0,0,40,40,0
37,1,128498,15,5,2,2,1,1,0,30910,0,28,40,0
44,1,39781,9,5,2,2,4,1,0,30910,0,28,40,0
37,1,128498,11,8,2,0,1,1,0,30910,0,39,40,0
44,1,128498,15,5,2,8,4,1,0,22351,0,31,35,0
67,1,40223,9,9,0,1,4,1,0,31223,0,40,40,1
44,1,18827,14,1,4,10,4,1,0,31173,0,46,40,1
44,1,18827,15,5,2,2,3,1,0,31223,0,69,40,1
67,6,128498,10,1,0,2,4,1,0,202,0,69,40,1
44,1,128498,15,5,4,2,0,1,1,30910,0,46,40,0
37,1,18827,15,1,2,10,1,1,0,22426,0,43,40,0
66,1,128498,9,1,4,10,4,1,0,30910,1698,40,40,0
44,1,40223,11,8,0,10,1,1,0,30974,0,39,40,1
44,1,40223,15,1,2,2,4,1,0,30910,0,40,40,1
66,1,18827,15,5,5,2,4,1,0,30910,1705,39,40,1
44,1,40223,9,8,2,1,4,1,0,0,0,40,40,1
44,1,40223,15,9,4,2,0,1,0,30910,0,39,40,0
44,1,40223,11,1,0,2,0,1,0,31223,0,1,40,1
44,1,18827,10,8,4,10,1,1,0,30815,0,39,40,0
44,1,128498,9,8,2,1,1,1,0,30601,4356,43,40,1
67,1,40223,3,1,2,2,4,1,0,31223,0,31,40,1
76,1,18827,3,1,4,2,4,1,1,30910,0,39,40,1
37,1,39781,15,1,4,0,0,1,0,30910,0,39,40,0
44,1,18827,15,1,4,2,4,1,0,8655,0,45,40,0
67,1,128498,11,5,2,2,2,1,1,31223,0,43,40,1
44,1,40223,3,1,4,2,4,1,1,30910,0,30,40,0
44,1,39781,15,9,2,10,0,1,0,8640,0,40,12,0
44,1,18827,15,9,4,10,1,1,0,30910,0,50,40,0
76,1,18827,15,1,5,10,4,1,0,31223,1762,39,40,0
59,1,128498,11,8,4,1,4,1,0,8655,1762,39,40,0
67,1,18827,15,1,2,2,0,1,0,0,1704,40,40,1
44,1,18827,15,1,2,2,4,1,0,8655,0,40,40,0
67,1,18827,9,5,5,10,4,1,0,0,1705,40,40,0
67,1,18827,9,1,2,2,4,1,0,8655,0,40,40,1
37,1,128498,15,1,2,10,1,1,0,0,0,39,40,0
37,1,40223,11,9,2,1,1,1,0,30910,0,39,40,0
44,1,40223,11,1,2,2,3,1,0,0,0,40,40,1
44,1,40223,9,8,2,10,2,1,0,8655,0,43,40,1
44,1,128498,3,5,4,10,4,1,0,195,0,31,40,0
66,1,18827,15,9,2,0,0,1,0,30910,0,39,40,1
67,1,40223,15,11,2,2,4,1,0,30910,1762,40,40,1
76,1,18827,11,9,2,10,1,1,0,30910,0,39,40,1
66,1,40223,15,11,5,2,0,1,0,0,0,46,40,1
67,1,128498,11,5,2,10,2,1,1,30910,0,46,40,1
37,1,18827,11,8,2,1,1,1,0,30910,0,40,40,0
37,1,18827,15,5,2,2,0,1,1,31223,0,39,40,0
44,1,128498,15,9,2,0,4,1,0,30910,1762,40,40,1
44,1,40223,15,1,2,2,1,1,0,30910,0,39,40,1
67,1,40223,15,1,2,2,1,1,0,30910,0,39,40,0
44,1,18827,15,5,2,2,4,1,0,0,218,31,40,1
44,1,18827,11,5,5,2,3,1,0,0,0,40,40,1
67,1,40223,15,8,4,1,4,1,1,30899,1702,50,40,0
44,1,40223,15,1,5,2,1,1,0,31223,0,69,40,1
37,1,18827,15,1,2,2,1,1,0,11203,0,17,40,0
66,1,40223,15,1,0,10,1,1,0,8655,0,40,40,1
44,1,40223,9,9,5,2,0,1,0,24222,1705,39,40,1
44,1,40223,9,5,2,8,2,1,0,8655,0,7,40,1
67,1,18827,15,11,2,2,2,1,0,0,0,46,40,0
66,1,40223,11,1,4,2,4,1,0,8655,0,40,40,0
44,1,40223,15,1,2,2,1,1,0,31223,1550,39,40,1
44,1,128498,3,5,2,2,4,1,0,0,1705,43,40,0
37,1,40223,11,5,2,2,3,1,0,30910,1705,69,40,0
44,1,40223,11,1,2,2,0,1,0,0,0,39,40,1
67,1,40223,11,1,2,1,4,1,0,8655,0,43,40,1
44,1,40223,9,5,0,10,3,1,1,0,0,39,40,0
44,1,128498,15,5,2,2,0,1,0,0,0,46,40,0
67,6,40223,15,1,4,10,4,1,0,202,0,43,40,0
44,1,18827,11,1,2,2,0,1,0,30910,0,40,40,1
66,1,128498,9,9,2,10,1,1,0,5361,0,40,40,1
44,1,18827,11,5,2,10,1,1,0,8655,0,39,40,0
66,1,18827,11,5,4,10,4,1,0,0,1702,39,40,1
37,1,40223,11,8,2,10,0,1,0,8655,1259,40,40,0
67,1,128498,15,10,0,2,4,1,0,30910,0,59,40,1
67,1,40223,11,8,2,10,4,1,0,0,0,30,40,1
37,1,128498,15,9,4,2,0,1,0,30910,0,39,40,0
37,1,128498,15,9,2,2,1,1,0,30906,1705,30,40,0
44,1,18827,15,5,4,2,0,1,0,0,1705,46,40,0
77,1,40223,11,1,2,2,4,1,0,30910,0,46,40,1
44,1,18827,11,5,2,2,3,1,0,30910,0,40,40,0
77,6,40223,15,1,4,10,4,1,0,30910,1705,40,40,0
44,1,40223,11,5,4,2,2,1,0,30910,0,40,40,0
67,1,128498,15,5,5,2,1,1,0,8655,1762,43,40,1
67,1,18827,9,1,2,10,4,1,0,8655,0,40,40,1
44,1,18827,15,9,5,2,4,1,0,31223,1047,43,40,1
44,1,18827,15,1,2,2,1,1,0,5292,0,40,40,0
44,1,18827,15,1,0,10,1,1,0,0,0,46,40,0
37,1,40223,11,9,2,1,1,1,0,0,0,39,40,0
59,1,18827,15,9,5,1,4,1,1,50311,0,20,40,0
37,1,18827,11,1,4,2,1,1,0,0,1705,69,40,0
44,1,40223,15,1,2,2,0,1,1,50311,0,39,40,0
