age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
32,2,278345,8,13,2,9,0,4,1,0,6,40,38,0
25,2,186354,8,13,4,3,1,4,0,0,2,49,38,0
25,2,154985,14,10,2,13,5,4,0,0,1,28,38,0
32,2,41401,6,13,2,13,0,2,1,0,3,47,38,1
37,2,386254,14,10,0,0,4,4,1,0,0,46,38,0
37,2,337043,10,9,0,13,1,4,1,0,7,42,38,0
37,2,489715,0,6,2,7,0,4,1,0,7,40,38,0
50,3,229350,11,14,2,3,0,4,1,0,7,68,23,1
42,4,229350,8,13,2,3,0,4,1,0,6,51,38,0
25,2,41401,10,9,2,11,0,4,1,0,8,39,38,0
46,2,41401,14,10,5,9,1,4,0,0,1,39,38,0
32,2,386254,14,10,0,7,1,4,1,0,1,46,38,0
50,2,41401,7,11,2,13,0,4,1,0,8,52,38,1
37,2,337043,11,15,2,9,0,4,1,0,8,40,38,1
42,2,109546,10,9,2,6,0,4,1,0,9,40,38,0
32,2,186354,6,13,2,11,5,4,0,0,6,45,38,0
63,2,109546,14,10,2,3,0,4,1,0,6,23,38,1
42,2,278345,6,13,2,11,0,4,1,0,7,45,38,0
50,4,41401,8,13,2,3,0,4,1,0,7,45,38,0
25,2,229350,0,8,4,7,3,4,0,0,0,39,38,0
25,4,337043,6,14,2,2,0,4,1,0,6,69,38,1
25,2,109546,14,10,5,11,4,4,0,0,0,46,38,0
37,3,109546,14,10,0,0,1,4,0,0,1866,40,38,0
32,2,154985,0,8,4,6,3,4,1,0,2,39,38,0
37,1,186354,11,14,2,0,5,4,0,0,6,50,38,1
25,2,154985,14,10,4,6,1,4,1,0,0,68,38,0
46,2,109546,10,9,0,0,5,4,0,0,2626,53,38,1
46,4,337043,14,10,0,3,0,4,1,0,3,46,38,0
37,2,337043,14,10,2,11,0,4,1,0,5,52,38,0
57,2,41401,10,8,2,7,0,4,1,0,10,40,38,1
25,0,386254,10,9,2,13,0,4,1,0,6,40,38,0
19,2,154985,14,10,4,0,3,4,0,0,0,21,38,0
46,2,186354,10,9,2,3,0,4,0,0,9,44,38,1
42,2,337043,8,13,0,13,1,4,0,0,5,36,38,0
19,2,186354,14,10,4,6,3,4,1,0,0,23,38,0
42,2,41401,10,9,0,13,5,4,0,0,8,54,38,0
50,2,186354,14,10,0,3,1,4,1,0,4,99,38,0
19,5,186354,8,13,4,10,1,4,1,0,0,47,38,0
50,2,186354,10,9,0,9,1,2,1,0,8,16,38,0
42,2,229350,14,11,0,11,1,4,1,0,3,40,38,0
25,2,186354,8,14,4,6,3,4,1,0,1,53,38,0
42,2,41401,10,9,0,0,0,4,1,0,8,49,38,0
57,2,186354,8,13,0,0,4,4,0,0,6,50,38,0
25,2,109546,4,6,0,6,3,4,1,0,1,43,38,0
19,2,229350,7,8,4,13,3,2,1,0,0,34,38,0
57,1,186354,8,9,4,9,1,4,1,0,4,17,38,0
37,1,278345,6,8,2,2,0,1,1,0,3,23,38,0
37,0,278345,10,9,2,9,0,4,0,0,2545,50,38,1
25,2,186354,11,14,4,0,3,4,1,0,0,40,38,0
50,2,186354,10,9,2,6,5,4,0,0,8,40,38,0
19,2,41401,10,9,4,3,1,4,0,0,4,43,38,0
25,2,109546,4,6,0,13,2,4,0,0,1,40,38,0
37,2,186354,5,5,2,6,0,4,1,0,4,40,38,0
57,2,229350,11,15,2,3,0,4,1,0,8,46,23,0
25,2,186354,14,10,4,11,2,4,1,0,0,20,38,0
37,2,278345,6,12,2,7,0,4,1,0,7,51,38,1
32,2,229350,10,9,4,6,1,4,1,0,3,20,38,0
19,2,337043,14,10,4,6,3,4,1,0,0,22,38,0
25,2,109546,8,14,4,11,1,4,0,0,0,37,38,0
50,2,186354,10,9,0,11,4,4,1,0,8,51,38,0
57,2,229350,14,11,6,9,1,4,0,0,2,56,38,0
50,2,229350,10,9,4,13,4,4,1,0,5,39,38,0
37,2,109546,0,8,2,6,0,4,1,0,4,45,38,0
32,2,278345,10,9,6,0,4,4,0,0,5,39,38,0
50,2,337043,14,10,6,7,4,4,0,0,0,46,38,0
32,2,278345,7,11,4,11,3,4,1,0,0,55,38,0
32,4,154985,8,13,2,13,0,4,1,0,7,40,38,0
