duration,age,purpose,property_magnitude,foreign_worker,existing_credits,residence_since,own_telephone,other_payment_plans,checking_status,housing,employment,job,target,personal_status,credit_history,num_dependents,savings_status,other_parties,installment_commitment,credit_amount
15,35,6,3,1,2,3,0,1,2,1,0,3,1,2,3,1,1,2,3,2798
36,30,4,0,1,1,1,1,1,1,1,2,1,1,3,4,1,1,2,2,8135
24,37,9,1,1,1,4,1,1,1,1,0,1,1,3,3,1,4,2,4,3235
9,32,4,3,1,1,2,0,1,3,1,2,3,1,1,3,1,1,0,2,1302
12,38,4,0,1,1,4,0,1,1,1,0,1,1,3,1,1,1,2,1,2657
6,31,0,1,1,2,2,0,0,2,1,0,1,1,0,1,1,1,1,1,1262
18,21,0,0,1,2,4,0,1,2,2,4,1,1,0,4,1,4,2,4,2476
48,27,7,0,1,2,3,1,1,2,1,2,3,0,2,1,1,1,2,4,4280
9,26,2,1,1,2,3,0,1,3,1,2,1,1,0,1,1,4,2,4,1297
8,32,4,0,1,2,4,1,0,1,1,0,1,0,3,2,2,1,2,4,683
12,20,6,3,1,1,2,1,1,1,2,2,3,0,3,3,2,1,2,2,1076
12,27,4,2,1,1,3,0,1,2,1,1,1,1,0,3,1,1,2,2,1223
48,46,0,0,1,2,2,1,1,3,1,0,1,1,3,1,1,2,2,1,6857
24,44,4,2,1,2,4,0,1,1,1,2,2,1,3,1,2,4,2,2,3235
18,31,3,0,1,1,3,0,1,1,1,3,1,1,0,2,1,1,2,4,1955
12,25,6,3,1,1,3,0,0,1,1,2,1,0,2,3,1,1,2,4,1496
12,23,6,3,1,1,4,1,1,3,2,3,1,1,3,3,1,4,2,4,1958
24,27,8,0,1,2,3,1,1,2,1,1,1,0,3,2,1,1,2,2,4439
36,50,9,0,1,1,4,1,1,3,1,0,1,1,3,3,1,1,2,4,10476
18,31,6,3,1,1,2,0,1,2,1,2,1,0,3,3,1,1,0,4,1773
12,25,6,3,1,1,3,0,0,1,1,2,1,0,2,3,1,1,2,4,1499
12,23,6,3,1,1,4,0,1,3,2,2,1,1,3,0,1,3,2,4,1338
24,27,8,0,1,2,3,0,1,2,1,1,1,1,0,2,1,1,2,4,3831
36,50,9,0,1,1,4,1,1,3,1,0,1,1,3,3,1,4,2,2,8373
24,31,3,2,1,1,2,0,1,2,1,3,1,0,3,3,1,1,2,4,1246
15,23,2,1,1,1,4,1,1,0,2,1,1,1,0,3,1,1,2,1,5328
9,25,6,0,1,1,3,0,1,2,1,1,1,0,0,3,1,1,2,4,2136
24,38,6,0,1,1,4,1,1,1,1,1,1,1,3,3,1,1,2,3,6747
15,35,3,0,1,2,2,0,0,1,1,2,3,1,3,1,2,1,2,2,2299
22,35,6,0,1,1,3,1,1,2,1,1,1,1,3,3,1,4,2,4,3235
6,41,4,3,1,2,2,0,0,3,1,2,3,1,0,1,1,0,2,1,1372
9,24,2,3,1,2,4,1,1,3,1,2,1,1,0,1,1,3,2,4,1332
15,27,6,1,1,2,3,0,1,3,1,0,1,1,3,1,1,1,2,3,2743
9,27,6,2,1,1,2,1,1,3,1,2,3,0,0,1,1,3,2,2,3026
42,58,4,2,1,1,4,0,1,1,0,0,0,0,3,4,1,1,2,4,1194
12,29,6,0,1,1,2,0,0,3,1,1,1,1,0,3,1,1,2,2,1155
12,36,4,2,1,2,4,1,1,1,0,4,0,1,3,1,1,1,2,4,2386
36,24,9,0,1,2,4,1,1,2,1,2,3,0,0,3,1,1,2,4,2507
24,30,6,1,1,1,2,1,1,3,1,2,1,1,0,1,1,3,2,4,1973
36,51,5,0,1,2,4,1,1,0,1,0,0,1,3,2,2,1,2,4,5714
18,34,3,3,1,1,1,0,1,0,1,2,3,0,3,3,2,1,2,2,2864
18,25,6,0,1,1,4,1,1,3,1,1,1,1,3,3,1,4,2,4,1927
20,39,4,3,1,1,4,1,1,1,1,3,3,0,0,3,1,1,2,4,3780
48,21,0,0,1,1,2,0,1,2,1,4,2,0,0,3,1,1,2,2,11925
18,30,3,0,1,2,2,0,1,1,1,1,1,1,0,4,1,1,0,4,2169
36,26,6,0,1,2,2,1,1,3,1,2,0,0,3,2,1,1,2,4,4462
12,57,3,2,1,3,4,0,0,1,0,2,1,1,3,2,2,1,2,1,3239
9,27,2,1,1,3,3,0,1,2,1,1,1,1,0,1,1,2,2,4,1774
18,22,3,0,1,1,4,0,1,2,0,2,1,0,3,3,1,1,2,4,3903
