fWidth,fConc,fAsym,fConc1,fLength,fDist,fSize,fM3Long,fAlpha,class,fM3Trans
23.928,0.337,34.096,0.177,48.498,217.154,2.489,43.773,23.893,0,5.805
13.291,0.351,54.454,0.214,68.222,240.263,2.818,66.824,8.202,0,-9.323
11.035,0.43,38.2,0.246,33.583,143.936,2.715,29.628,27.015,1,6.274
17.756,0.217,26.954,0.145,52.742,220.251,2.937,14.248,73.79,1,10.89
24.235,0.33,-65.254,0.180,88.579,315.243,2.817,-57.818,16.85,0,-18.388
12.744,0.388,15.56,0.239,27.725,151.062,2.601,11.992,20.81,0,7.326
16.523,0.569,0.665,0.322,-17.578,237.042,2.112,-10.702,53.040,0,-17.182
14.507,0.586,16.317,0.338,21.41,117.297,2.345,10.994,60.211,0,11.035
9.036,0.495,28.17,0.292,36.617,81.042,2.746,29.664,14.718,1,-5.901
10.663,0.781,14.028,0.448,13.208,177.407,2.145,3.662,56.222,0,11.378
8.415,0.663,-150.47,0.349,112.772,220.881,2.49,93.163,65.626,1,-12.611
28.576,0.169,-25.983,0.081,89.282,309.000,3.439,-83.647,4.974,1,-17.049
25.211,0.213,20.13,0.114,66.19,268.382,3.126,44.184,1.711,0,8.974
10.652,0.549,0.54,0.253,24.559,233.281,2.187,-7.602,55.371,0,-4.199
10.836,0.781,-14.64,0.403,13.243,163.708,2.122,3.532,16.249,0,11.262
22.886,0.27,34.894,0.145,37.06,245.11,2.904,34.334,3.666,0,-19.356
14.862,0.366,4.364,0.192,24.452,50.88,2.607,14.589,43.624,0,-3.022
14.235,0.298,-59.308,0.154,60.541,139.354,2.917,-11.688,87.738,1,2.963
15.082,0.463,2.438,0.293,29.023,174.816,2.675,1.219,46.187,0,-11.507
20.222,0.33,49.728,0.174,35.803,217.455,2.902,28.248,11.539,0,-16.052
23.653,0.26,21.464,0.131,31.829,121.38,2.839,24.927,10.461,0,-14.511
16.05,0.412,-83.05,0.247,59.404,270.075,2.67,36.436,1.766,0,11.059
12.915,0.395,5.529,0.232,33.942,240.156,2.615,22.182,84.632,1,-6.116
28.352,0.191,-59.568,0.1,156.852,80.832,3.558,-175.252,46.754,1,-18.512
20.76,0.21,-11.5,0.107,41.237,168.966,3.223,-22.823,7.507,0,-8.785
24.398,0.29,10.5,0.146,31.471,134.823,3.038,16.076,26.885,0,-16.076
12.339,0.533,-2.634,0.31,19.676,191.261,2.478,9.881,8.669,0,10.663
21.939,0.29,-7.86,0.156,26.929,148.823,2.883,-9.632,17.214,0,-9.392
19.248,0.341,34.935,0.182,34.112,141.459,2.77,26.195,10.966,0,11.388
12.659,0.445,26.666,0.262,37.935,154.239,2.716,27.882,13.916,0,6.13
11.565,0.594,0.965,0.394,16.021,181.458,2.352,-5.128,80.331,0,-6.626
17.824,0.366,6.478,0.202,29.387,109.694,2.742,28.995,10.789,0,14.942
10.443,0.565,22.902,0.308,22.111,129.155,2.207,18.67,41.705,0,10.721
16.258,0.337,8.29,0.17,27.34,93.479,2.575,12.734,15.783,0,-7.697
29.292,0.323,-69.121,0.175,80.142,304.656,2.984,-32.802,33.331,1,24.955
11.818,0.688,15.287,0.373,12.724,140.003,2.077,-9.14,25.14,0,-8.419
57.279,0.097,-35.194,0.05,126.397,304.824,4.299,-83.881,72.034,1,42.468
26.16,0.167,64.89,0.088,94.42,169.72,3.262,96.727,83.31,1,-9.986
14.304,0.445,7.857,0.249,23.749,176.651,2.536,13.377,41.11,0,-6.334
54.532,0.195,-184.167,0.129,98.134,214.882,3.204,87.525,16.565,1,-21.73
32.15,0.339,-49.1,0.231,43.109,278.639,2.861,-17.274,19.44,1,-12.26
23.583,0.225,22.092,0.146,71.81,236.957,2.986,69.468,6.69,0,14.287
7.411,0.732,0.219,0.412,18.434,173.326,2.246,-4.772,26.903,1,4.716
21.234,0.251,16.152,0.136,53.783,198.074,2.848,45.889,4.391,0,-12.044
15.945,0.385,14.99,0.202,29.494,159.74,2.709,17.386,8.881,0,-11.732
24.256,0.245,61.769,0.139,43.488,171.149,2.844,-18.185,2.115,0,14.528
28.544,0.161,-89.29,0.094,77.727,241.255,3.681,48.11,5.68,0,-7.142
16.281,0.314,59.505,0.161,40.181,183.184,2.636,-18.318,14.366,0,15.348
12.136,0.505,21.624,0.308,21.358,101.386,2.474,17.934,30.199,0,7.674
16.817,0.364,-14.517,0.187,24.821,203.86,2.528,-14.92,13.682,0,9.05
12.549,0.466,7.728,0.273,24.221,116.96,2.422,20.297,84.999,0,7.726
10.33,0.576,23.256,0.304,18.809,242.384,2.286,9.905,31.845,0,-6.587
30.347,0.189,16.455,0.096,82.781,304.183,3.508,71.518,1.705,0,23.222
12.624,0.404,34.717,0.242,47.251,155.237,2.732,35.527,4.787,0,9.73
10.996,0.55,14.757,0.3,21.791,201.817,2.26,18.481,23.245,0,7.237
11.426,0.395,42.702,0.238,50.111,173.129,2.823,38.39,16.986,1,9.823
30.496,0.293,-5.158,0.18,38.044,178.458,2.946,-21.573,44.55,1,-18.907
7.438,0.702,9.153,0.399,9.906,102.094,2.436,-1.266,53.671,1,-2.991
21.569,0.319,48.516,0.162,47.295,212.256,2.841,21.186,16.385,0,11.865
14.505,0.539,5.417,0.323,21.129,66.927,2.214,-10.351,24.498,0,-11.968
15.654,0.384,11.984,0.231,27.713,203.898,2.24,-19.821,28.298,0,-11.007
17.815,0.276,67.469,0.146,45.183,212.939,2.645,-18.678,15.562,0,-15.131
19.561,0.443,-74.44,0.261,54.452,268.332,2.772,33.958,23.702,1,-5.22
16.055,0.404,-55.587,0.206,56.731,161.762,2.454,30.087,15.561,0,12.351
10.848,0.595,16.603,0.351,21.894,210.715,2.29,18.451,42.836,0,-6.902
18.723,0.243,-121.038,0.124,64.131,261.237,3.036,56.074,8.787,0,10.091
29.076,0.28,-33.486,0.147,53.023,237.493,3.116,28.796,23.799,0,12.846
15.574,0.4,40.624,0.215,35.328,203.774,2.55,23.977,13.109,0,-8.55
18.898,0.38,-11.56,0.194,25.829,161.291,2.738,-13.112,37.146,0,-8.291
