beds,zip_code,baths,lot_size,size,price,lot_size_units,size_units
3,98136,1,4850,940,500000,1,0
2,98126,1,5000,1201,605000,1,0
3,98103,3.5,1182,1500,700000,1,0
3,98126,3.5,1486,1680,675000,1,0
5,98103,3.5,3450,3190,1800000,1,0
3,98125,3,8500,2100,915000,1,0
3,98122,2.5,1500,1736,1295000,1,0
4,98115,3,7450,3024,2050000,1,0
2,98116,2,0.43,1168,429000,0,0
2,98117,1,3080,648,560000,1,0
4,98115,3,6000,3335,1325000,1,0
3,98125,2.5,1315,674,510000,1,0
4,98136,2,8100,2280,850000,1,0
3,98117,2,4300,1590,985000,1,0
3,98112,2,0.5,1370,880000,0,0
3,98107,2,5000,2340,1250000,1,0
2,98146,1,7800,880,535000,1,0
3,98126,2.5,2734,1820,850000,1,0
2,98112,2,5000,1300,970000,1,0
3,98168,1,7800,910,480000,1,0
4,98115,3,6000,3335,1325000,1,0
3,98125,2.5,1317,1410,675000,1,0
4,98136,2,6000,2587,1250000,1,0
3,98117,2.5,3900,2960,1130000,1,0
3,98115,2.5,9.2,3040,1550000,0,0
3,98133,1,6250,1060,567000,1,0
3,98115,3,4200,1720,1265000,1,0
2,98122,2,1,1447,875000,0,0
3,98125,3,4180,2460,1200000,1,0
5,98118,3.5,4080,3370,2300000,1,0
4,98115,3,5250,2250,1150000,1,0
5,98103,4,5000,2810,1295000,1,0
3,98116,2.5,1418,1395,725000,1,0
3,98116,2.5,5160,2080,1200000,1,0
6,98199,4,3796,2960,1050000,1,0
3,98115,1,5856,1460,880000,1,0
3,98106,1,6096,1120,615000,1,0
3,98103,2.5,1873,1420,890000,1,0
3,98103,2,5500,1560,925000,1,0
5,98117,3,6250,1920,865000,1,0
3,98117,2,5400,1240,705000,1,0
3,98106,2,6808,1890,700000,1,0
4,98102,3.5,4000,3930,2925000,1,0
3,98126,2,6314,1420,750000,1,0
3,98107,2,9150,1990,527000,1,0
3,98103,2,2700,1860,1165000,1,0
2,98106,1.5,1413,1022,575000,1,0
2,98126,1,6018,1280,590000,1,0
3,98115,2.5,2498,1320,884999,1,0
2,98118,1,6000,1400,650000,1,0
4,98115,3,6700,2230,1150000,1,0
4,98168,1,9100,1190,500000,1,0
3,98126,2.5,1279,1319,750000,1,0
2,98105,2,6000,2370,1200000,1,0
3,98103,2.5,1500,1390,1000000,1,0
4,98117,2,5000,1750,945000,1,0
4,98116,2.5,2895,2040,1095000,1,0
4,98106,2,8960,2780,1250000,1,0
2,98103,1,3000,980,950000,1,0
4,98126,3.5,1602,1544,699000,1,0
3,98125,2,1171,1711,675500,1,0
3,98103,2,1191,1678,1160000,1,0
4,98177,2.5,8100,3707,2100000,1,0
3,98116,2,5000,1516,1150000,1,0
3,98103,2.5,1057,1610,1260000,1,0
3,98177,2,7200,1380,1100000,1,0
3,98177,1,6120,1300,775000,1,0
3,98103,2.5,1873,1550,1475000,1,0
2,98122,4.5,1500,1888,1050000,1,0
2,98105,1,4800,950,400000,1,0
3,98118,1,0.25,3960,722500,0,0
3,98144,3.5,1570,2400,1440000,1,0
3,98117,2,3840,2462,1650000,1,0
3,98117,2.5,3840,2460,1595000,1,0
2,98125,1,8280,2110,400000,1,0
3,98122,2.5,1500,2600,1295000,1,0
2,98107,2,588,1170,744999,1,0
2,98105,2,7200,2304,1250000,1,0
2,98118,1,6300,1440,600000,1,0
3,98119,2.5,1486,2000,1190000,1,0
4,98115,3,6700,2230,1150000,1,0
4,98168,1,9500,1400,599950,1,0
3,98122,3.5,1101,1718,835000,1,0
3,98107,3.5,1119,1710,900000,1,0
4,98106,1,9500,1900,700000,1,0
3,98117,3.5,2486,1720,659000,1,0
4,98108,1,5500,1760,750000,1,0
3,98118,3.5,3880,2060,725000,1,0
3,98115,2,8500,1560,890000,1,0
3,98125,3.5,2880,2160,741000,1,0
4,98115,3,6700,2230,1150000,1,0
4,98126,2.5,6844,2280,923000,1,0
3,98126,2.5,9.2,2050,535000,0,0
4,98117,3,3400,2360,1200000,1,0
3,98118,2.5,2800,1800,720000,1,0
3,98115,2,9.2,1485,676000,1,0
4,98103,3,3600,1307,785000,1,0
4,98177,2,0.41,1920,915000,0,0
2,98106,1.5,7500,708,525000,1,0
3,98126,2,5400,1260,765000,1,0
