proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
520,5.6,1.56,17.0,0.31,12.5,2.39,0.26,1.2,96,1.7,1.39,1,2.2
520,2.65,1.72,20.0,0.63,13.95,2.55,0.32,1.53,96,1.5,1.9,1,1.5
540,5.5,2.28,21.0,0.62,12.7,2.8,0.26,1.3,103,2.65,1.38,1,1.6
1020,5.2,2.8,20.0,0.78,13.5,1.96,0.53,1.72,103,3.05,1.3,1,1.75
780,3.1,2.3,19.0,1.52,12.6,2.8,0.64,1.28,104,3.5,1.42,1,1.6
580,3.7,2.3,16.0,0.58,12.28,1.68,0.48,1.5,102,1.75,1.58,1,2.28
570,3.1,2.28,16.5,0.62,12.32,1.74,0.48,1.2,104,1.85,1.68,0,2.92
1030,7.65,3.6,19.0,1.07,14.4,2.6,0.47,2.32,96,2.8,1.25,0,2.75
680,3.5,2.25,20.0,1.06,13.2,2.6,0.28,0.98,90,2.5,1.75,1,2.5
580,3.6,2.38,13.8,0.92,13.2,1.62,0.38,0.88,103,2.6,0.88,1,0.5
670,2.5,2.3,17.5,1.32,12.4,2.75,0.45,0.96,98,2.8,1.6,0,1.2
880,2.5,1.9,18.5,1.22,11.4,3.3,0.53,1.05,96,3.6,1.4,1,1.5
640,5.3,1.62,19.0,0.35,12.8,2.42,0.3,1.1,98,2.1,1.3,1,2.5
1020,4.6,2.7,19.5,0.85,13.4,2.3,0.4,1.68,92,2.9,1.5,1,1.6
480,3.8,2.32,16.5,0.7,13.68,1.56,0.42,1.28,99,1.75,0.57,2,2.83
510,4.4,2.2,18.5,0.52,12.4,2.68,0.24,1.64,97,2.6,1.37,1,2.2
1020,5.1,2.7,17.5,0.63,15.05,2.06,0.4,1.64,87,3.4,1.63,0,1.6
680,2.6,2.25,18.0,1.26,11.6,3.5,0.52,1.2,103,3.5,1.3,1,1.4
680,2.6,1.28,21.0,0.44,12.92,2.48,0.48,0.76,96,2.8,1.48,1,1.48
680,2.1,1.92,17.0,0.58,12.2,2.55,0.3,0.98,102,2.3,1.4,1,2.2
550,2.8,3.38,0.27,2.93,2.9,1.4,0.42,2.75,61,1.65,1.25,0,2.68
1265,3.6,2.38,16.3,1.08,12.3,2.5,0.35,1.32,89,2.8,2.65,1,0.96
570,4.3,1.5,19.0,0.4,12.6,2.5,0.3,1.05,86,2.4,1.5,1,1.64
530,2.4,2.2,17.0,1.65,12.5,1.65,0.38,2.8,84,2.2,1.6,1,2.5
620,3.6,2.26,13.6,0.88,13.2,1.62,0.38,0.88,103,2.5,0.92,1,0.0
620,2.3,1.62,18.0,0.68,12.5,2.7,0.3,1.06,101,1.9,1.4,1,1.4
580,3.5,2.8,22.0,2.1,12.6,1.4,0.39,2.6,94,2.2,1.3,1,3.3
680,3.3,2.3,17.0,0.88,13.3,2.64,0.23,1.08,89,2.52,1.65,1,1.6
550,2.8,2.16,15.8,0.64,13.4,1.5,0.34,1.32,95,1.38,0.63,1,1.96
1020,4.9,2.8,18.0,0.78,14.8,1.74,0.72,1.05,98,2.96,1.86,0,2.65
