fork,freemem,lread,freeswap,swrite,runqsz,sread,lwrite,target,scall,wchar,exec,rchar
1.6,849,2,1131040,473,1,500,0,89,2745,350382,2.61,475622
2.8,5247,11,1842926,53,1.8,44,7,88,683,144685,2.8,80340
6.6,228,30,1092869,112,1.8,211,3,78,2237,43822,17,167668
0.4,493,45,995621,206,2,214,62,90,2826,23862,0.4,185136
0.2,4621,1,1828408,29,1,39,1,98,268,8980,0.2,85724
0.2,274,13,1705482,271,2,294,1,90,5898,285528,0.2,161114
0.4,454,3,1086210,250,1.6,328,0,89,2074,51772,0.6,106582
1,146,22,983981,127,2,218,7,88,1986,55670,1.4,282530
0.6,507,9,1128370,189,1,283,5,88,3769,63227,0.6,15260
0.4,5617,33,1835560,27,2.8,47,48,96,246,286630,1.2,308390
3.61,1605,13,1534926,84,2.2,100,6,86,1363,115104,4.02,181136
0.8,330,2,1752634,85,1.4,128,1,93,2285,19373,1.2,102947
0.8,288,2,1054496,151,2.2,167,0,91,1581,33393,2.2,47820
0.2,177,5,1072768,86,1,88,4,95,813,17951,0.2,4381
0.2,640,1,1645005,114,2.2,142,0,95,2359,22453,0.2,2420
0.2,240,1,1740906,79,1.2,123,0,90,2359,6648,0.2,3888
0.2,7398,1,1865531,24,1.4,18,1,97,241,10288,0.2,7016
0.2,2071,0,1819999.4,45,1,49,0,97,355,35576,0.2,1837
0.8,148,52,972496,203,1.8,259,72,88,2911,53345,1,15364
3.2,162,9,1536408,190,3.4,305,4,80,5335,5530,3,305650
4.99,435,49,1015690,325,2.6,705,63,69,5276,175612,3.79,727098
0.8,218,1,1119148,151,2,221,0,89,1632,52212,3.19,13702
0.6,6805,1,1853949,32,1.4,24,1,96,225,29552,0.6,12087
1.6,156,3,1099171,140,3,279,0,88,1904,21977,2.59,119987
0.2,5946,13,1864240,38,1.2,38,19,96,419,11716,0.2,19140
0.8,369,1,1012758,57,2.8,57,0,94,1119,44144,0.8,11106
0.6,3254,2,1702602,58,2.4,80,1,94,1718,10251,0.6,18374
4.2,188,36,1013153,403,2,469,27,76,4210,58841,1.2,380209
6.81,137,9,10865,209,1,222,2,76,2918,101508,19.04,179330
0.8,305,5,1624310,224,2.2,112,2,89,2099,226615,1.6,226213
2.2,2187,15,1641434,209,4.6,278,9,84,4851,99282,4.6,271335
0.2,7038,1,1858736,24,1,11,1,97,185,67844,0.2,4447
0.2,1712,1,1763360,248,2,296,0,93,1138,207539,0.2,239090
0.8,447,4,996174,139,1,344,0,88,3579,26756,0.8,331646
0.2,410,0,1061728,91,1.2,93,0,95,1550,82941,0.2,49902
0.6,130,2,1104070,179,1,394,2,84,2934,110958,1.4,150800
0.2,130,1,1064952,147,1.3,185,0,86,2583,99448,0.2,65447
0.6,370,1,997408,137,2.4,156,0,89,2811,73806,2.2,97338
0.2,410,0,1061728,88,2.2,103,0,94,1056,24477,0.2,16959
0.8,280,4,1535229,141,2.2,143,2,93,1914,110053,0.8,122326
0.4,121,5,1043038,265,1,852,1,84,3741,88331,0.4,377071
0.2,404,0,1755831,21,1,21,0,98,191,12788,0.2,12911
0.6,790,1,1054382,92,1,126,0,93,1798,27956,0.8,16562
0.4,151,2,1036872,77,2,120,0,94,1209,16560,0.6,138333
0.4,71,3,10,220,195,250,2,0,1232,467256,0.6,590434
3.19,137,4,1009648,244,2.3,308,0,73,3858,509815,2.79,338031
0.6,94,12,6,72,550,66,7,0,1650,19760,0.6,13101
2.2,2603,19,1044491,110,2.2,176,15,84,2824,33851,7.8,133709
1.6,599,22,1017939,70,1,96,19,90,924,21418,2,22095
4.8,128,12,1101010,68,2,106,3,77,1547,42943,10.2,258271
0.4,190,3,1045722,117,1.6,90,0,91,1210,88830,0.4,265672
1.2,897,76,1096904,171,2,220,105,81,2748,106440,1.6,197940
0.2,278,6,1045527,116,1.8,134,4,91,2573,76969,0.2,152269
0.6,247,11,967437,118,1.5,124,2,92,1222,241295,1.4,288713
1.2,602,2,1039610,130,2,179,0,86,2959,66110,1.4,100254
2.2,776,23,1096837,124,1.5,161,15,84,1835,157148,2.6,211351
0.2,183,0,1136872,121,1,228,0,92,2355,25019,0.2,29610
1.4,275,10,1063549,257,2.6,321,2,72,3731,501134,1.2,479961
0.2,7358,0,1874496,25,1,46,0,96,264,28155,0.2,256267
3.01,194,33,1005643,109,2,155,43,88,2829,36984,3.21,105461
0.2,7306,0,1867538,11,1,10,0,99,139,4013,0.2,444
7,162,36,1087090,116,4,149,43,75,2042,19732,20.2,161119
0.2,341,35,1741270,107,1.4,144,53,94,952,50477,0.2,97252
3.2,623,44,1059738,553,2.8,552,53,80,3236,459568,1.4,436934
0.8,303,4,974881,108,5.2,439,1,89,2632,85619,1.4,520684
1.6,656,2,1758302,55,1.8,90,0,90,1064,16509,1.8,18604
0.2,314,1,1016873,170,1.8,256,0,88,2562,33613,0.2,11579
2.4,923,23,1791434,35,1.8,51,32,87,577,28630,2.4,62990
1.2,437,9,1052730,159,3,204,5,82,2576,226185,1.5,261622
0.2,130,1,1719968,45,3,112,0,98,339,11155,0.2,36835
