sex,race,capital-loss,income,marital-status,native-country,workclass,fnlwgt,capital-gain,hours-per-week,age,occupation,relationship,education,education-num
1,4,0,1,2,38,2,197184,0,40,51,6,0,11,9
1,4,0,0,4,38,2,190227,0,40,29,0,3,11,9
1,4,0,1,2,38,2,188436,0,50,48,3,0,9,13
0,4,0,0,4,38,2,200192,0,40,23,0,1,11,9
1,4,0,0,4,38,2,195176,0,40,21,5,3,15,10
0,4,0,0,0,38,2,194773,0,40,43,0,4,11,9
0,4,0,0,4,38,2,219137,0,20,17,7,3,0,6
1,4,0,0,2,38,2,190968,0,40,28,2,0,11,9
1,4,0,0,4,38,2,190115,0,40,25,9,1,9,13
0,4,0,0,4,38,2,236274,0,40,24,3,1,9,13
1,4,0,0,2,38,2,187424,0,40,60,2,0,1,7
1,4,0,1,2,38,2,109133,0,40,34,2,0,11,9
1,4,0,0,4,38,2,191260,0,40,24,2,3,11,9
1,4,0,0,2,38,2,174789,0,40,54,2,0,11,9
1,4,0,1,2,38,2,188069,0,40,30,9,0,15,10
1,4,0,1,2,38,2,190511,0,40,43,3,0,9,13
1,4,0,0,4,38,2,205839,0,40,23,0,1,11,9
1,4,0,0,2,38,2,205607,0,40,27,2,0,11,9
0,4,0,0,4,38,2,203240,0,40,23,7,1,15,10
1,4,0,0,2,38,2,183582,0,40,31,2,0,11,9
1,4,0,0,2,38,2,183521,0,40,38,2,0,11,9
0,4,0,0,4,38,2,193949,0,40,24,0,3,9,13
1,4,0,0,2,38,2,111746,0,40,41,2,0,11,9
1,4,0,0,2,38,2,176101,0,40,50,2,0,11,9
0,4,0,0,0,38,2,195638,0,40,42,0,1,15,10
1,4,0,0,2,38,2,200511,0,40,30,2,0,15,10
1,4,0,0,2,38,4,126569,0,50,36,11,0,9,13
1,4,0,0,4,38,2,183591,0,40,19,5,3,11,9
0,4,0,0,0,38,2,196971,0,40,30,0,3,11,9
1,4,0,1,2,38,1,115933,0,40,45,3,0,12,14
1,4,0,1,2,38,2,194924,0,40,40,11,0,9,13
1,4,0,0,2,38,2,160786,0,40,50,13,0,15,10
0,4,0,0,0,38,2,106169,0,40,58,11,1,11,9
1,4,0,0,4,38,2,175029,0,40,22,2,3,15,10
1,4,0,0,2,38,2,109621,0,40,61,7,0,11,9
0,4,0,0,4,38,2,200973,0,40,22,0,3,15,10
1,4,0,1,2,38,2,172822,0,40,40,2,0,15,10
0,4,0,0,4,38,2,188540,0,30,19,0,3,15,10
1,4,0,0,4,38,2,208122,0,40,23,2,3,15,10
0,4,0,0,4,38,2,178922,0,20,17,7,3,1,7
0,4,0,0,4,38,2,177083,0,20,18,11,3,1,7
1,4,0,0,4,38,2,187702,0,40,30,2,1,11,9
0,4,0,0,0,38,2,176296,0,40,42,0,4,11,9
1,4,0,0,4,38,2,203488,0,40,28,9,1,9,13
0,4,0,0,0,38,2,193626,0,40,40,0,1,11,9
1,4,0,0,2,38,2,208613,0,40,31,6,0,11,9
1,4,0,0,4,38,2,192337,0,40,24,5,3,15,10
1,4,0,0,2,38,2,114691,0,40,46,11,0,11,9
1,4,0,0,2,38,2,176711,0,40,26,2,0,15,10
1,4,0,1,2,38,2,185041,0,40,50,11,0,9,13
1,4,0,0,4,38,2,211804,0,40,25,9,1,9,13
1,4,0,1,2,38,2,169815,0,50,38,3,0,9,13
0,4,0,0,4,38,2,109015,0,30,21,7,3,11,9
1,4,0,1,2,38,2,133969,0,40,38,6,0,15,10
1,4,0,0,4,38,2,118023,0,40,24,0,1,11,9
1,4,0,1,2,38,2,124692,0,40,55,2,0,11,9
1,4,0,0,4,38,2,176683,0,40,24,6,1,11,9
1,4,0,0,4,38,2,215955,0,40,24,2,3,8,11
1,4,0,1,2,38,2,133403,0,40,50,3,0,15,10
0,4,0,0,4,38,2,106437,0,40,23,9,1,9,13
0,4,0,0,4,38,2,183591,0,40,22,11,3,11,9
1,4,0,0,4,38,2,176162,0,40,23,2,3,11,9
0,4,0,0,4,38,2,199444,0,15,19,7,3,15,10
1,4,0,0,2,38,2,209808,0,50,31,2,0,11,9
0,4,0,0,0,38,2,143582,0,40,49,0,4,11,9
1,4,0,0,4,38,2,114079,0,40,31,2,3,15,10
1,4,0,0,2,38,2,174794,0,40,27,2,0,11,9
1,4,0,0,2,38,2,174754,0,40,27,13,0,11,9
1,4,0,0,4,38,2,208591,0,40,20,5,3,15,10
0,4,0,0,4,38,2,199326,0,30,20,11,3,15,10
1,4,0,0,4,38,2,193882,0,40,30,0,3,11,9
1,4,0,0,2,38,2,199338,0,40,27,6,0,15,10
1,4,0,0,4,38,2,174108,0,40,33,9,1,9,13
0,4,0,0,0,38,2,203763,0,40,46,0,4,15,10
0,4,0,0,4,38,2,174543,0,40,24,6,1,11,9
0,4,0,0,4,38,2,201498,0,40,25,0,1,11,9
1,4,0,0,2,38,2,175025,0,40,31,2,0,11,9
0,4,0,0,0,38,2,190728,0,40,51,7,4,6,5
1,4,0,0,4,38,2,207937,0,50,23,11,1,11,9
1,4,0,1,2,38,2,197871,0,40,41,2,0,15,10
1,4,0,1,2,38,2,147098,0,50,34,9,0,9,13
1,4,0,0,2,38,2,176683,0,40,60,6,0,11,9
1,4,0,0,2,38,2,162343,0,40,27,6,0,11,9
1,4,0,0,2,38,2,112272,0,40,49,13,0,11,9
1,4,0,0,2,38,2,176992,0,40,36,2,0,11,9
1,4,0,0,2,38,2,117381,0,40,47,6,0,11,9
1,4,0,0,4,38,2,117381,0,40,23,11,1,9,13
1,4,0,1,2,38,2,180096,0,40,43,3,0,9,13
1,4,0,1,2,38,2,120131,0,40,34,2,0,11,9
1,4,0,1,2,38,2,154227,0,40,36,9,0,9,13
1,4,0,0,2,38,2,200450,0,40,34,6,0,11,9
0,4,0,0,4,38,2,169527,0,40,20,7,3,11,9
1,4,0,0,2,38,2,204227,0,40,31,11,0,15,10
1,4,0,0,2,38,2,108386,0,40,40,2,0,15,10
1,4,0,1,2,38,2,190511,0,40,33,2,0,11,9
1,4,0,1,2,38,2,170562,0,40,34,9,0,9,13
1,4,0,0,2,38,2,187821,0,40,42,2,0,11,9
0,4,0,0,4,38,2,185057,0,40,24,0,1,11,9
1,4,0,0,4,38,2,192386,0,40,22,3,3,9,13
1,4,0,0,4,38,2,216734,0,40,21,2,3,11,9
0,4,0,0,4,38,2,175625,0,40,23,0,3,9,13
1,4,0,0,4,38,2,204235,0,50,26,9,1,9,13
1,4,0,0,4,38,2,213385,0,40,19,2,3,11,9
1,4,0,0,4,38,2,190228,0,40,21,5,3,11,9
1,4,0,0,4,38,2,192384,0,50,32,11,1,12,14
1,4,0,0,2,38,2,114059,0,40,43,2,0,15,10
1,4,0,0,2,38,2,138157,0,40,43,2,0,11,9
1,4,0,0,2,38,2,216129,0,40,41,2,0,11,9
1,4,0,0,2,38,2,186035,0,40,36,2,0,11,9
1,4,0,0,4,38,2,204527,0,30,24,5,3,15,10
1,4,0,1,2,38,2,197038,0,40,56,3,0,9,13
