Administrative_Duration,Administrative,PageValues,Informational,Revenue,ExitRates,ProductRelated_Duration,ProductRelated,OperatingSystems,SpecialDay,TrafficType,Browser,Month,VisitorType,Region,Weekend,BounceRates,Informational_Duration
0,0,0,0,0,0.05,135.5,4,2,0.6,1,2,2,2,2,0,0,0
0,0,0,0,0,0.1,55,2,3,0.6,3,2,6,2,2,0,0,0
0,0,0,0,0,0.2,0,1,3,0,3,2,5,2,1,0,0.2,0
0,0,0,0,0,0.1,44,6,2,0,1,2,5,2,3,0,0.067,0
0,0,9.063,0,1,0.012,788.9,30,2,0,4,2,6,2,2,1,0.001,0
219.75,9,0,1,0,0.022,3372.193,58,2,0,3,2,7,2,1,0,0.005,17.75
90,2,0,0,1,0.019,4051.432,68,3,0.6,2,2,6,2,3,0,0.012,0
0,0,0,0,0,0.04,118,5,1,0,3,1,6,2,1,1,0,0
0,0,0,0,0,0.028,606.5,17,2,0,1,4,5,2,7,0,0,0
0,0,0,0,0,0.038,427.3,13,2,0,1,5,9,2,1,0,0,0
114.125,3,29.884,1,1,0.029,1602.94,64,3,0,3,2,7,2,1,1,0.013,13
0,0,0,0,0,0.1,0,1,2,0,3,6,7,2,1,0,0,0
0,0,0,0,0,0.033,163,6,2,0,1,4,1,2,6,0,0,0
0,0,0,0,0,0.029,81.5,8,1,0,3,1,5,2,2,1,0,0
0,0,0,0,0,0.021,123,9,2,0,1,5,6,2,7,0,0,0
0,0,0,0,0,0.2,0,1,1,0.6,3,1,6,2,2,0,0.2,0
0,0,0,0,0,0.2,0,1,3,0,3,3,5,2,1,1,0.2,0
0,0,0,0,0,0.011,1156.417,37,1,0,2,1,7,2,9,1,0,0
73.9,7,0,0,0,0.011,3441.807,58,2,0,2,2,8,2,1,0,0,0
47.5,2,23.51,0,0,0.024,735.583,30,2,0,1,2,1,2,2,0,0.007,0
48.5,2,0,0,0,0.027,203.25,8,2,0,6,2,1,2,1,0,0,0
0,0,0,0,0,0.2,0,1,1,0.2,3,1,6,2,4,0,0.2,0
8,1,0,0,0,0.015,709.333,34,2,0,1,2,5,2,3,0,0,0
0,0,0,0,0,0.007,310.167,15,1,0,4,1,2,2,9,0,0,0
0,0,0,0,0,0.2,0,1,2,0,3,2,6,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,3,0,3,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,3,0,3,2,5,2,7,0,0.2,0
0,0,0,0,0,0.053,155,5,2,0,2,2,5,2,1,0,0.04,0
86,2,0,0,0,0.01,1720.417,36,2,0.2,1,10,6,2,4,0,0,0
0,0,0,0,0,0.027,689.992,11,3,0,6,2,7,2,3,0,0,0
0,0,0,0,0,0.2,0,1,3,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.05,72,4,2,0,1,2,5,2,6,0,0,0
0,0,0,0,0,0.024,2368.5,44,2,0,1,2,5,2,8,0,0,0
0,0,0,0,0,0.044,1331,9,2,0.6,1,2,6,2,3,0,0.022,0
0,0,0,0,0,0.2,0,1,2,0,1,5,6,2,2,0,0.2,0
