input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
77,29,100,100,70,38,0,46,0,78,73,96,8,70,24,41,50
17,51,0,53,93,100,60,0,69,1,19,91,3,100,88,37,58
61,4,29,55,82,54,100,0,100,0,64,81,9,82,74,87,7
31,92,12,89,100,72,69,52,79,0,0,91,3,100,90,50,39
0,0,25,57,55,23,38,7,1,19,100,100,6,95,68,5,58
0,60,36,24,30,100,60,77,89,39,0,97,7,100,95,28,49
20,76,2,50,91,100,71,0,79,0,15,83,3,100,94,48,50
65,91,97,60,100,0,0,8,42,100,35,97,0,76,27,17,8
68,95,32,85,100,0,48,71,55,0,64,100,4,70,52,53,57
67,100,34,65,81,53,74,50,78,0,0,0,1,19,46,100,29
57,100,29,46,72,2,47,26,47,0,0,100,4,91,60,62,11
25,55,0,46,100,39,63,0,21,19,1,97,5,98,100,50,68
35,91,0,69,100,14,63,0,79,18,91,92,9,100,61,77,26
95,100,100,45,85,36,10,17,74,67,7,69,0,25,0,49,0
54,100,24,79,88,1,36,72,68,0,35,100,4,74,45,58,0
36,0,51,58,10,50,6,100,42,75,87,100,8,88,46,0,49
42,47,0,68,100,45,67,0,20,16,17,94,5,100,94,73,97
69,100,35,88,89,50,67,86,84,0,0,100,4,73,52,100,21
26,57,36,55,33,69,40,100,66,38,0,80,7,100,81,0,37
0,38,3,36,0,47,61,100,44,5,0,77,1,100,95,27,35
71,83,35,57,86,0,34,24,8,0,100,100,4,66,37,43,56
2,27,29,100,89,12,28,38,0,30,99,100,6,86,59,0,46
30,89,12,87,100,68,66,53,76,0,0,100,3,100,83,48,45
0,74,4,28,57,100,78,69,100,17,0,89,7,95,100,40,39
13,100,0,43,98,88,62,0,55,8,10,76,3,100,87,43,39
21,73,0,46,87,100,59,0,69,5,13,87,3,100,86,51,61
100,100,83,30,66,54,28,0,87,48,35,84,0,28,0,81,24
19,38,18,53,0,87,53,100,70,0,41,75,2,100,86,25,46
37,36,7,64,100,94,81,0,34,0,29,87,5,100,98,45,92
13,100,0,51,99,81,56,0,58,2,33,100,3,95,73,38,84
15,67,0,42,100,98,62,0,63,17,17,64,3,100,94,49,38
2,42,1,46,0,42,52,100,42,0,24,64,1,100,92,13,42
59,82,34,87,100,0,29,73,0,0,41,100,4,78,45,31,30
23,37,45,18,7,84,36,100,68,52,0,83,7,100,74,0,32
75,41,100,60,73,100,4,0,52,83,51,69,8,37,0,41,74
21,62,31,49,100,26,13,0,15,15,79,100,6,85,51,0,51
1,56,28,25,30,100,39,88,87,33,0,85,7,100,82,0,48
51,68,25,18,38,82,100,10,100,0,0,53,1,72,95,75,40
0,1,1,50,0,56,41,100,35,1,14,93,2,100,70,18,47
13,19,12,51,0,71,40,100,52,0,47,88,2,100,76,10,45
18,94,0,27,77,100,68,0,65,16,61,79,3,100,93,46,57
0,34,4,66,33,56,59,100,54,5,0,65,2,95,100,23,24
66,91,32,93,100,0,100,87,39,0,76,69,9,51,72,99,24
64,100,32,88,100,0,34,84,45,0,50,100,4,84,54,41,22
10,99,0,33,76,100,58,0,75,19,38,88,3,100,82,35,80
11,77,55,5,2,0,42,78,28,82,100,51,8,100,88,0,72
1,9,3,50,0,69,42,100,46,0,18,82,2,100,73,16,46
82,0,100,46,1,51,0,100,8,99,34,90,5,62,24,40,35
10,41,42,76,100,8,27,19,0,60,34,100,6,100,64,0,32
0,0,19,70,39,22,44,29,1,28,100,100,6,94,70,15,52
84,1,100,48,5,44,0,100,27,91,22,89,5,58,32,33,0
9,83,0,32,63,52,47,0,54,0,100,95,5,100,80,33,75
66,92,100,64,100,0,0,21,46,88,44,94,0,65,18,22,6
46,40,26,77,100,31,46,67,0,0,69,100,4,96,71,32,65
11,28,46,100,78,9,31,90,0,85,80,88,0,100,70,0,43
48,100,32,55,86,0,22,67,3,0,7,100,4,82,50,29,12
48,88,22,70,78,75,100,58,100,0,0,63,1,79,99,75,38
