target,Dcl,Ao,Iy,Aa,Sh
0,0.158,0.54,0.107,1.402,0.06
0,1.436,1.304,0.469,0.228,-0.204
0,0.468,0.309,-0.734,0.095,1.835
0,0.149,-0.317,0.078,3.456,0.071
0,1.436,1.304,-0.469,0.228,0
1,0.899,0.536,1.182,0.245,0
0,0.158,0.825,0.094,1.043,0.069
0,0.153,0.268,0.673,0.154,1.386
0,0.156,0.29,-0.217,0.106,0
0,0.153,0.29,0.697,0.106,0
0,0.372,1.602,0.997,1.506,0.502
0,0.337,0.803,0.269,1.777,-0.151
0,1.043,2.221,0.594,0.308,0
0,1.895,0.807,0.926,0.219,0
0,0.415,0.936,0.27,2.934,-0.102
0,-0.467,2.606,-0.202,0.501,-0.137
1,0.866,0.886,1.743,0.254,0
1,1.928,0.601,0.889,0.601,0.44
0,0.327,0.591,0.236,1.925,-0.176
0,-0.43,1.783,0.422,0.839,1.277
0,1.568,0.816,2.092,0.179,-0.662
0,2.021,1.639,-0.545,0.401,0
0,-0.468,2.5,-0.19,0.84,-0.118
1,0.866,0.502,1.639,0.12,0
0,-0.111,0.651,0.11,2.044,-0.053
0,1.134,1.632,0.546,0.193,0
0,1.134,0.717,1.892,0.12,-0.622
0,0.797,2.779,-0.255,0.713,0.183
1,0.75,0.947,0.738,0.226,1.239
0,1.058,2.482,0.573,0.486,-0.20
1,1.024,0.521,1.773,0.179,-0.796
0,-0.47,2.253,1.059,0.973,-0.285
0,-0.479,2.585,0.288,0.312,-0.137
0,-0.427,2.703,-0.286,0.345,1.199
0,-0.478,2.557,0.285,0.816,-0.135
0,0.476,0.394,1.883,0.147,1.696
0,1.056,1.508,0.426,0.231,-0.191
0,1.384,0.645,1.696,0.15,-0.543
0,1.24,0.469,1.639,0.132,-0.543
0,0.508,0.335,1.722,0.145,0
0,1.179,0.705,2.023,0.12,-1.019
1,1.195,0.678,1.467,0.648,1.811
0,-0.403,2.253,-0.148,0.89,0
0,-0.601,3.375,-0.257,0.562,-0.125
0,1.335,0.577,2.131,0.107,0
0,1.763,1.827,-0.608,0.287,-0.243
0,0.587,2.435,1.596,0.754,-0.359
0,0.648,2.26,0.285,1.503,0.23
0,0.64,0.36,1.521,0.216,1.483
0,1.576,0.552,1.256,0.336,0.816
0,-0.606,3.364,-0.255,0.501,-0.162
0,1.585,0.927,2.192,0.365,-0.644
0,0.443,1.266,0.438,2.305,-0.234
0,0.181,0.482,0.153,1.928,-0.075
0,0.443,0.332,1.883,0.128,-0.768
0,0.892,2.964,0.371,0.819,-0.145
0,1.78,1.205,0.676,0.551,-0.271
0,-0.51,2.763,0.312,0.383,0.95
0,1.335,1.179,0.43,0.456,-0.179
0,0.174,0.614,0.153,1.796,-0.075
0,1.185,2.178,-0.35,0.689,-0.175
1,1.718,1.214,0.731,0.359,-0.383
0,0.509,0.344,1.504,0.135,1.84
0,-0.413,2.328,-0.177,0.813,-0.116
0,-0.48,2.745,0.343,0.315,0
0,-0.485,2.639,0.363,0.221,1.016
1,1.688,0.601,1.234,0.851,0.753
1,1.522,0.749,1.922,0.4,-0.623
0,-0.481,2.589,-0.193,0.886,0.163
0,1.555,1.043,-0.601,0.172,0
0,2.305,1.059,-0.747,0.233,0
1,0.845,0.745,1.307,0.305,0
0,0.49,1.435,0.284,1.516,-0.174
0,-0.481,2.203,0.27,0.704,0.183
0,0.828,1.892,0.375,0.362,-0.176
0,0.415,0.295,0.484,0.076,0
0,-0.485,2.606,-0.21,0.777,-0.12
1,0.77,0.765,1.786,0.318,0
0,0.433,0.336,1.258,0.143,0
0,0.158,0.282,0.166,2.526,-0.065
1,1.588,1.043,0.851,0.258,-0.353
1,1.761,0.414,1.116,0.422,1.505
0,0.468,1.414,0.275,0.867,0.19
0,0.179,0.524,0.149,1.973,-0.07
0,0.828,2.606,0.376,0.567,0.217
0,-0.279,1.739,-0.127,1.402,0.099
0,-0.128,0.729,0.094,2.327,0.059
0,1.435,1.27,0.618,0.541,0.714
0,0.327,0.591,0.236,1.963,-0.089
0,-0.112,0.557,0.09,2.314,0.071
0,1.607,1.23,-0.49,0.15,0
0,1.509,1.283,0.545,0.211,0
0,0.327,0.274,-0.454,0.066,0
0,2.517,1.056,-0.794,0.249,0
0,0.174,0.58,0.166,2.236,-0.059
0,0.356,0.245,1.007,0.141,1.798
0,0.509,0.336,1.773,0.096,0
0,0.535,0.389,1.339,0.148,0
0,0.513,0.336,-0.607,0.189,0
0,0.915,2.866,-0.295,1.087,0.187
0,-0.43,2.703,-0.189,0.685,-0.124
0,0.524,0.435,1.576,0.138,1.208
0,2.274,1.222,-0.624,0.321,-0.309
0,-0.111,0.355,0.086,2.607,-0.052
0,0.174,-0.306,-0.078,3.131,0.052
0,1.043,2.628,0.583,0.656,-0.201
0,1.935,0.933,1.409,0.255,0
0,-0.414,1.936,0.273,0.253,-0.164
0,1.064,1.769,0.448,0.259,-0.13
0,0.438,0.295,1.084,0.115,1.249
0,0.158,0.295,0.194,2.769,-0.063
0,1.185,2.431,0.65,0.532,-0.227
0,0.27,0.356,0.174,2.51,-0.062
0,0.149,0.28,0.149,1.93,-0.079
0,0.179,0.281,0.472,0.088,-0.204
0,0.153,-0.31,0.095,3.393,-0.089
0,0.743,1.952,-0.242,0.64,-0.124
1,1.058,0.921,1.037,0.31,0
0,0.204,0.83,0.138,1.893,-0.177
0,0.443,0.308,-0.534,0.075,0
1,0.768,0.454,0.996,0.195,0
1,1.509,1.911,0.834,0.371,-0.314
0,0.415,0.269,-0.447,0.087,0
1,0.581,0.552,1.807,0.182,-0.714
0,-0.428,2.313,0.24,1.117,-0.301
0,-0.281,1.435,-0.127,1.305,0.12
0,0.485,0.411,1.957,0.147,-0.786
0,1.058,1.741,0.469,0.316,-0.208
1,0.743,0.422,0.957,0.236,0
1,1.131,1.041,1.017,0.515,1.467
0,2.236,1.065,-0.702,0.257,-0.379
1,0.758,0.714,1.386,0.235,0
0,0.508,1.608,0.284,1.608,0.181
0,-0.421,2.811,0.301,1.098,0.617
0,0.643,1.697,0.371,0.268,-0.173
0,-0.351,1.985,-0.151,1.414,0.19
1,1.981,0.331,0.949,0.565,0.569
0,0.443,1.312,0.269,1.312,0.269
0,0.152,0.282,0.153,2.409,-0.063
1,1.022,1.018,1.917,0.316,-0.701
0,-0.144,1.178,0.112,1.935,0.065
1,1.195,2.471,0.83,0.961,-0.241
0,0.533,1.607,0.332,1.518,-0.275
0,-0.347,2.253,-0.143,1.037,-0.103
0,0.158,0.855,0.087,1.183,0.09
1,0.709,0.515,1.609,0.145,-0.912
0,-0.349,2.239,-0.152,1.504,-0.105
0,0.643,2.141,0.289,0.27,-0.127
0,0.166,-0.213,0.1,2.703,0.074
0,0.657,0.732,1.339,0.144,0.776
0,0.188,0.579,0.153,1.854,-0.152
0,-0.43,1.893,-0.184,0.499,-0.118
0,-0.47,2.435,0.275,0.308,-0.125
0,-0.321,1.917,-0.132,1.688,-0.089
0,1.585,0.606,1.461,0.245,0.789
1,0.9,0.809,1.509,0.267,0
0,1.935,1.029,-0.553,0.172,0
0,0.337,0.274,-0.735,0.095,1.838
0,0.159,-0.301,-0.074,3.59,0.061
0,-0.421,2.825,-0.187,0.839,-0.122
0,1.111,2.055,0.6,0.544,-0.265
0,-0.347,1.783,0.215,0.626,-0.103
0,-0.43,1.86,0.182,0.816,-0.122
1,0.936,1.029,0.686,0.965,0.731
0,-0.46,2.546,0.221,1.017,-0.131
0,0.45,0.336,1.503,0.135,1.256
0,0.356,0.755,0.356,2.921,0.617
0,1.935,1.197,-0.563,0.21,0
0,0.629,1.935,0.251,0.51,-0.1
1,0.766,0.458,0.714,0.123,0.647
1,0.766,0.546,1.481,0.18,0
0,-0.427,2.711,-0.174,0.799,-0.115
0,-0.51,3.191,0.24,0.736,-0.256
0,1.464,1.464,0.633,0.199,0
0,0.64,0.532,1.396,0.228,1.386
0,1.168,1.722,0.482,0.429,-0.20
0,0.485,0.478,1.911,0.232,1.54
0,0.64,0.548,-0.242,0.11,0
0,-0.445,1.965,0.233,0.598,-0.135
0,1.666,1.203,-0.585,0.199,0
0,0.153,0.355,0.207,2.892,-0.063
0,1.024,2.527,0.498,0.539,-0.241
1,1.667,0.808,1.135,0.325,1.191
0,0.279,0.827,0.14,1.893,-0.19
0,0.438,1.005,0.327,2.93,-0.114
0,-0.381,1.925,-0.139,0.302,-0.097
0,-0.1,0.648,0.068,2.019,0.056
0,0.795,1.766,0.291,0.225,0.154
0,0.513,1.203,0.312,2.151,-0.207
1,0.78,0.808,1.792,0.244,0
0,1.333,1.935,-0.286,0.665,-0.144
0,-0.281,1.848,0.179,0.864,-0.126
0,0.443,0.345,1.617,0.134,1.384
0,0.356,0.274,-0.607,0.069,2.256
0,1.044,1.798,-0.371,0.593,-0.155
0,0.535,1.794,0.338,0.483,-0.137
0,1.008,1.581,0.444,0.203,0
0,1.17,1.781,0.468,0.598,-0.298
0,0.443,0.266,-0.607,0.145,1.836
0,1.044,0.458,1.114,0.128,0
0,-0.356,2.168,0.226,0.279,-0.116
0,0.684,0.478,1.762,0.239,0
0,1.354,0.606,2.21,0.143,-0.764
0,-0.43,2.782,-0.211,0.722,-0.123
0,0.179,0.54,0.149,2.404,-0.06
0,1.496,0.564,1.99,0.15,-0.584
0,0.485,0.384,2.136,0.114,-0.902
0,1.185,1.883,0.473,0.487,-0.174
0,-0.143,0.557,-0.074,3.456,0.063
0,1.354,0.686,1.767,0.238,-0.477
0,0.16,0.53,0.145,1.508,0.106
0,1.664,1.203,-0.486,0.15,-0.214
0,2.32,0.933,1.041,0.194,0.58
1,0.911,0.714,2.221,0.12,-0.797
0,0.438,1.414,0.332,2.078,0.315
0,1.02,1.932,0.487,0.254,-0.246
0,0.153,-0.311,-0.082,3.781,-0.055
1,1.522,1.402,1.402,0.354,1.402
0,0.159,-0.292,-0.074,3.428,0.072
0,0.443,0.311,-0.609,0.061,0
0,-0.355,2.24,-0.157,0.79,-0.122
0,1.585,1.435,-0.488,0.245,-0.243
0,0.415,0.309,0.416,0.089,0.423
0,0.315,1.307,0.257,1.958,-0.117
0,0.915,2.925,-0.32,0.675,-0.167
0,0.356,0.909,0.215,1.005,-0.096
0,0.327,0.327,0.681,0.079,0.892
0,1.666,2.042,0.687,0.299,-0.272
0,1.166,1.781,0.551,0.256,0
0,-0.321,1.936,0.179,1.432,-0.115
0,1.981,1.258,-0.508,0.219,-0.243
0,0.661,2.314,0.378,0.562,-0.391
0,-0.117,0.441,-0.06,3.061,-0.038
0,0.641,0.388,1.473,0.134,0
0,-0.147,0.729,0.226,2.302,0.163
0,0.443,0.309,1.781,0.109,0
0,-0.107,0.639,0.13,2.32,-0.065
0,0.648,1.762,0.371,0.219,0.19
0,1.136,2.141,0.568,1.203,0.372
0,-0.387,2.607,-0.158,1.102,-0.12
1,1.266,0.7,1.835,0.235,-0.675
1,0.887,0.887,0.9,0.418,0
0,-0.293,1.71,-0.137,0.81,0
1,1.947,0.573,0.992,0.567,1.31
0,-0.1,0.637,0.068,2.256,0.047
0,0.648,2.27,0.345,0.364,0
1,0.768,0.525,2.072,0.234,-0.78
0,0.467,0.406,-0.794,0.159,2.318
0,0.188,0.769,0.153,1.881,0.191
1,0.76,0.553,1.84,0.246,1.156
0,-0.47,2.589,-0.187,1.127,-0.112
0,1.657,1.203,0.605,0.268,-0.227
0,0.279,0.267,0.14,2.435,-0.076
1,0.766,0.765,1.249,0.255,0
1,1.954,0.6,1.503,0.546,1.149
1,0.743,0.525,1.84,0.215,1.666
1,1.811,0.315,1.493,0.441,-0.701
0,0.153,0.289,0.216,2.511,-0.065
0,1.72,1.369,-0.545,0.175,0
1,0.79,0.476,1.256,0.245,1.058
1,1.293,0.65,1.763,0.295,-0.619
1,2.162,1.311,1.215,0.325,-0.469
0,0.648,2.191,0.617,1.446,0.325
0,1.043,1.854,0.548,0.279,-0.275
0,0.158,0.495,0.194,2.903,-0.063
0,0.797,1.607,0.305,0.337,0.158
0,1.666,0.674,0.776,0.175,0.624
0,0.149,0.705,0.153,1.956,-0.149
0,0.188,-0.273,-0.085,3.505,-0.083
0,-0.093,0.366,0.071,2.131,-0.048
1,0.947,0.567,1.827,0.18,-0.792
0,0.515,0.389,0.523,0.085,0
0,0.587,2.012,0.252,0.308,-0.106
0,1.064,2.468,-0.356,0.734,0.217
1,0.661,0.548,1.792,0.243,1.496
0,-0.111,0.377,-0.067,3.045,-0.048
0,-0.467,3.064,-0.211,0.747,0.12
0,1.314,0.508,1.973,0.119,-0.668
0,0.845,2.807,0.479,0.567,-0.194
0,1.064,0.626,2.221,0.122,-0.752
0,-0.413,2.691,-0.188,0.81,-0.124
0,1.883,1.236,-0.563,0.264,0
0,1.435,1.435,-0.367,0.55,-0.19
0,0.403,1.126,0.226,2.065,-0.095
0,0.795,2.781,0.34,0.567,-0.162
0,0.737,2.789,0.318,0.89,0.183
0,0.158,0.661,0.106,3.131,-0.081
0,1.414,1.414,-0.418,1.578,-0.184
0,-0.122,0.77,0.084,1.766,0.062
0,-0.481,2.606,0.25,0.857,-0.13
0,1.173,1.952,-0.286,0.772,-0.129
0,0.387,1.311,0.22,1.511,-0.128
0,1.935,1.192,-0.557,0.249,0
0,-0.467,2.092,0.233,0.635,-0.135
0,-0.479,2.328,-0.192,0.934,-0.126
0,1.435,0.511,1.925,0.411,-0.536
0,0.795,2.876,-0.252,0.87,-0.134
0,1.435,0.562,2.186,0.119,0
0,0.513,0.412,2.061,0.128,-0.849
0,0.476,0.331,1.861,0.119,0
0,1.122,0.48,0.0,0.0,0.0
1,1.504,0.671,1.503,0.245,0.648
0,1.035,2.606,0.58,0.497,-0.2
0,0.387,0.359,0.927,0.236,1.743
0,-0.391,2.555,0.243,0.693,-0.136
0,0.509,0.335,-0.741,0.135,1.835
0,0.394,0.389,0.919,0.236,1.457
0,0.64,1.607,0.345,0.236,0.164
0,0.45,0.356,1.498,0.124,1.504
0,1.136,0.47,2.173,0.144,-0.634
0,0.372,1.895,0.16,0.851,0.134
0,0.648,1.695,0.3,0.412,-0.135
0,-0.143,0.729,0.151,2.059,-0.091
0,0.195,-0.236,0.131,2.833,-0.095
1,1.021,2.591,0.715,0.961,0.62
0,0.513,1.782,0.23,0.81,0.134
0,1.895,1.028,-0.884,0.16,0
0,1.496,0.624,2.321,0.151,-0.653
0,0.845,2.607,0.369,0.556,0.191
0,-0.134,0.729,0.128,2.056,-0.082
0,-0.363,2.152,-0.169,0.693,-0.103
0,1.935,0.546,1.371,0.347,-0.461
0,1.464,2.669,0.681,0.458,-0.228
0,1.504,1.072,-0.331,0.308,0
0,1.809,0.813,1.136,0.134,-0.41
1,0.866,0.868,1.292,0.314,0
0,-0.321,1.866,-0.132,1.183,0.099
0,0.519,0.381,-0.534,0.128,0
0,-0.111,0.356,0.08,2.718,-0.046
0,-0.43,1.96,-0.158,1.253,-0.101
0,0.828,1.598,-0.289,0.334,0.821
0,1.314,1.578,0.578,0.47,-0.233
1,1.921,0.688,1.638,0.409,1.461
1,1.71,0.73,1.21,0.324,-0.782
1,1.718,0.65,0.779,0.554,0.713
1,1.354,1.041,-0.667,0.965,1.446
1,1.718,1.02,1.121,0.564,1.483
0,0.502,1.952,0.27,0.341,-0.135
0,1.044,0.593,2.228,0.115,0
0,1.264,0.561,1.573,0.114,0
0,-0.606,3.496,-0.254,0.58,-0.152
0,-0.427,2.947,-0.194,0.402,-0.158
0,0.43,0.336,0.996,0.134,1.313
0,0.364,0.268,0.939,0.104,1.555
0,0.467,0.395,1.957,0.135,-0.737
0,1.064,1.981,0.469,0.41,-0.19
0,-0.45,2.84,0.245,0.886,-0.138
1,0.936,0.711,2.261,0.245,-0.851
0,0.342,0.279,0.991,0.104,1.311
0,1.935,1.149,-0.557,0.279,0
0,-0.143,0.445,0.152,2.935,-0.06
0,0.468,0.332,1.773,0.144,0
0,1.683,1.333,-0.545,0.218,0
0,1.364,1.578,0.593,0.218,0
0,0.828,2.718,-0.285,0.722,-0.144
1,1.681,0.872,-0.545,0.872,-0.284
0,-0.107,0.607,0.13,2.404,-0.052
0,0.158,0.294,0.194,2.511,-0.063
0,0.433,0.732,-0.094,3.256,0.071
0,-0.415,2.503,-0.194,0.837,0.189
0,-0.409,2.278,0.22,1.59,0.159
0,1.235,0.589,1.89,0.121,-0.504
0,0.468,0.332,-0.794,0.157,1.797
0,1.066,1.885,0.603,0.231,-0.223
0,-0.488,2.131,-0.183,0.598,-0.102
0,-0.387,1.861,0.271,0.284,-0.115
0,0.661,1.782,-0.179,1.386,-0.119
1,1.928,0.65,1.327,1.125,0.623
0,0.174,-0.317,0.106,3.168,0.104
0,1.314,0.67,-0.331,0.168,0.537
0,0.15,0.359,0.099,2.925,0.086
0,0.47,0.335,1.587,0.119,0
0,1.02,2.393,0.593,0.481,-0.24
1,1.581,1.149,0.772,0.383,1.3
0,0.661,0.56,2.108,0.145,-0.624
0,1.2,1.883,0.396,0.401,-0.177
0,0.64,0.484,2.156,0.134,-0.752
0,-0.112,0.469,-0.067,3.236,-0.041
0,-0.51,3.171,-0.221,0.638,0.163
0,0.829,0.589,2.227,0.122,-0.691
1,0.731,0.561,1.881,0.2,0
0,0.49,1.795,0.284,1.298,0.271
0,0.387,1.195,0.245,1.97,0.534
0,0.743,2.606,0.518,0.414,-0.394
0,0.345,0.921,0.159,2.141,-0.205
0,0.509,0.335,1.773,0.134,-0.682
0,0.443,0.338,-0.874,0.148,2.03
0,1.043,1.203,0.469,0.676,-0.391
0,0.166,-0.213,0.1,2.955,0.092
0,1.02,0.564,1.973,0.145,-0.753
0,-0.51,2.389,-0.189,0.665,-0.122
0,-0.413,2.657,-0.182,0.368,-0.11
0,0.643,1.783,0.255,0.48,-0.125
0,0.179,-0.282,0.114,3.256,-0.066
0,-0.387,2.89,-0.164,0.766,-0.113
0,0.468,0.331,1.762,0.139,0
0,1.866,1.2,-0.493,0.303,0
0,0.194,0.745,0.132,1.302,0.106
0,0.415,0.376,1.248,0.095,0.996
0,0.443,0.311,-0.621,0.158,1.893
1,1.321,0.59,1.369,0.7,1.531
0,1.886,1.064,-0.56,0.257,-0.233
0,-0.149,0.921,0.107,2.902,0.104
0,1.264,0.496,1.386,0.096,-0.407
0,-0.485,2.567,-0.203,0.598,-0.131
1,1.435,0.458,0.633,0.4,0.647
0,-0.111,0.651,0.11,2.045,0.066
0,0.508,1.435,0.332,0.257,-0.125
1,1.518,0.932,1.911,0.316,-0.639
0,0.513,0.587,1.576,0.235,1.421
1,1.895,0.822,1.297,0.327,1.496
0,1.935,1.009,-0.56,0.243,-0.257
0,0.403,1.387,0.394,1.971,-0.391
0,-0.467,2.657,-0.204,0.89,-0.131
0,0.158,0.282,0.194,2.439,-0.063
0,-0.107,0.745,0.13,1.327,-0.067
1,2.035,1.007,-0.496,0.318,-0.307
0,0.309,1.22,0.18,2.136,-0.087
0,-0.279,1.881,0.182,1.386,-0.117
1,1.928,0.35,1.115,0.383,0.704
0,1.72,1.333,-0.578,0.215,0
0,-0.143,0.477,-0.083,3.059,-0.063
0,1.92,0.859,-0.639,0.286,-0.387
1,1.436,1.402,1.072,0.316,-0.349
0,-0.414,2.762,0.394,1.078,1.019
0,-0.488,2.521,0.22,0.308,-0.141
0,-0.438,2.72,0.22,1.022,0.164
0,0.467,1.312,0.297,1.312,0.561
0,1.504,1.064,-0.547,0.145,0
0,1.576,0.816,0.887,0.205,0
0,0.508,0.355,1.534,0.114,0
0,2.289,1.058,-0.65,0.369,0.362
1,1.718,0.651,0.674,0.554,0.972
0,-0.51,3.229,0.853,0.453,-0.32
0,0.443,0.309,1.46,0.135,0
0,0.828,1.503,0.378,0.367,0.206
0,0.797,0.966,1.518,0.236,0
0,0.509,0.311,-0.74,0.109,0
0,0.438,0.325,1.252,0.128,0
1,1.576,0.675,1.369,0.599,1.369
0,1.345,2.3,0.581,0.491,-0.218
0,1.504,0.813,1.854,0.146,0
