state_code,bird,lon,lat,lat_zone
21,9,-70.33,43.95,2
0,28,-142.3,62.81,0
46,16,-72.55,43.52,2
28,26,-98.41,48.93,2
49,19,-78.82,39.03,2
43,20,-98.28,32.61,2
13,18,-116.57,45.35,2
36,25,-102.24,36.95,2
41,24,-100.26,45.71,2
10,4,-82.74,32.99,2
8,11,-75.47,38.6,2
37,26,-123.3,43.31,2
36,25,-99.1,36.17,2
11,15,-155.95,19.79,1
13,18,-114.83,42.33,2
38,19,-78.09,40.04,2
31,13,-74.36,40.14,2
9,20,-82.74,28.09,1
14,19,-88.22,41.43,2
16,26,-96.45,39.13,2
42,20,-89.55,35.59,2
35,19,-82.1,39.29,2
47,27,-117.93,48.27,2
48,0,-90.64,42.83,2
12,13,-94.11,40.73,2
35,19,-81.08,40.48,2
16,26,-97.27,39.46,2
31,13,-75.06,39.96,2
43,20,-99.54,29.05,1
48,0,-87.72,44.47,2
42,20,-84,35.65,2
30,22,-71.29,44.65,2
50,26,-104.15,42.69,2
23,10,-93.05,48.16,2
33,18,-115.08,35.71,2
49,19,-81.52,38.71,2
14,19,-90.19,39.91,2
46,16,-73.17,42.77,2
9,20,-81.53,30.18,2
9,20,-83.7,30.43,2
46,16,-73.27,44.14,2
42,20,-88.04,35.36,2
8,11,-75.36,38.47,2
49,19,-81.41,38.59,2
41,24,-98.81,44.74,2
47,27,-123.87,47.84,2
27,19,-80.2,35.84,2
1,29,-84.99,32.3,2
8,11,-75.65,38.94,2
31,13,-74.87,40.53,2
19,2,-72.91,42.53,2
41,24,-99.11,45.69,2
33,18,-116.84,41.21,2
13,18,-116.14,46.81,2
13,18,-111.26,44.13,2
19,2,-72.98,42.58,2
40,8,-81.34,34.63,2
39,23,-71.53,41.47,2
42,20,-83.76,36.18,2
20,1,-77.34,39.28,2
1,29,-86.92,33.33,2
11,15,-158,21.55,1
22,0,-86.1,42.22,2
45,19,-77.93,38.54,2
46,16,-73.19,44.27,2
27,19,-77.71,34.92,2
24,12,-92.21,39.52,2
20,1,-77.23,39.68,2
11,15,-155.35,19.89,1
17,19,-85.47,38.02,2
13,18,-113.34,43.58,2
8,11,-75.55,38.8,2
28,26,-103.82,46.45,2
20,1,-76.84,38.36,2
28,26,-102.28,46.93,2
12,13,-94.2,42.29,2
50,26,-105.84,41.34,2
2,20,-94.47,33.81,2
