sex,race,capital-loss,income,marital-status,native-country,workclass,fnlwgt,capital-gain,hours-per-week,age,occupation,relationship,education,education-num
1,4,0,0,4,38,2,177727,0,40,20,5,3,15,10
1,4,0,0,4,38,2,236396,0,40,19,6,3,11,9
0,4,0,0,0,38,2,182655,0,40,44,0,1,11,9
1,4,0,1,2,38,2,168211,0,40,39,6,0,11,9
1,4,0,0,2,38,2,180284,0,40,54,6,0,11,9
1,4,0,0,4,38,2,206051,0,40,27,6,1,11,9
1,4,0,0,2,38,2,180342,0,40,38,13,0,11,9
1,4,0,0,2,38,2,119793,0,40,41,2,0,11,9
1,4,0,0,2,38,2,202467,0,40,29,6,0,11,9
1,4,0,0,2,38,2,192923,0,40,43,2,0,15,10
0,4,0,0,0,38,2,185057,0,40,48,7,1,11,9
0,4,0,0,0,38,2,143582,0,40,42,0,1,11,9
1,4,0,1,2,38,2,190072,0,40,37,9,0,15,10
1,4,0,1,2,38,2,177907,0,50,34,11,0,9,13
1,4,0,1,2,38,2,193882,0,40,40,3,0,9,13
1,4,0,0,4,38,2,200453,0,40,30,0,3,11,9
0,4,0,0,4,38,2,205970,0,40,24,0,1,11,9
1,4,0,1,2,38,2,175696,0,40,36,2,0,11,9
1,4,0,1,2,38,2,153486,0,45,52,3,0,15,10
1,4,0,0,2,38,2,186269,0,40,46,2,0,11,9
1,4,0,0,4,38,2,231053,0,40,29,2,1,15,10
1,4,0,0,2,38,2,116138,0,40,31,6,0,11,9
1,4,0,0,2,38,2,187702,0,40,36,2,0,11,9
1,4,0,0,2,38,2,199713,0,40,28,2,0,11,9
1,4,0,1,2,38,2,181661,0,50,33,2,0,11,9
0,4,0,0,4,38,2,203182,0,40,24,0,3,9,13
1,4,0,0,2,38,4,112650,0,40,44,2,0,11,9
1,4,0,0,2,38,2,143058,0,40,33,13,0,11,9
1,4,0,0,2,38,2,193285,0,40,24,2,0,11,9
1,4,0,0,2,38,2,182246,0,40,40,2,0,11,9
0,4,0,0,4,38,2,177216,0,40,22,0,3,15,10
1,4,0,1,2,38,2,170562,0,40,44,9,0,12,14
1,4,0,0,2,38,4,1033222,0,40,35,2,0,11,9
1,4,0,1,2,38,2,195784,0,40,40,9,0,12,14
0,4,0,0,0,38,2,199725,0,40,44,0,1,11,9
1,4,0,0,2,38,2,175925,0,40,28,2,0,11,9
0,4,0,0,4,38,2,202203,0,40,31,12,1,15,10
1,4,0,0,4,38,2,195576,0,40,27,11,3,11,9
1,4,0,1,2,38,2,175339,0,40,36,11,0,9,13
1,4,0,0,4,38,2,193882,0,40,25,2,3,11,9
1,4,0,0,4,38,2,213722,0,40,23,2,3,15,10
1,4,0,0,2,38,2,202051,0,40,34,2,0,11,9
0,4,0,0,4,38,2,196456,0,40,23,7,1,11,9
1,4,0,0,4,38,2,214858,0,40,28,13,4,11,9
1,4,0,0,4,38,2,109952,0,40,27,5,2,11,9
1,4,0,1,2,38,2,187870,0,40,30,9,0,15,10
0,4,0,0,0,38,2,160029,0,40,48,3,1,11,9
0,4,0,0,4,38,2,108293,0,40,22,3,3,9,13
1,4,0,0,2,38,2,183130,0,40,27,2,0,11,9
1,4,0,1,2,38,2,105339,0,40,42,3,0,15,10
0,4,0,0,4,38,2,198216,0,40,21,11,3,15,10
1,4,0,0,2,38,2,204984,0,40,38,2,0,15,10
1,4,0,0,2,38,2,206051,0,40,28,11,0,9,13
1,4,0,0,2,38,2,194630,0,40,61,6,0,11,9
1,4,0,0,4,38,2,200408,0,40,26,3,1,9,13
1,4,0,0,2,38,2,190367,0,40,44,6,0,11,9
1,4,0,0,2,38,4,112840,0,40,34,11,0,9,13
1,4,0,0,4,38,2,194901,0,40,23,6,3,11,9
1,4,0,0,2,38,2,194200,0,40,27,2,0,11,9
0,4,0,0,4,38,2,178922,0,30,18,11,1,11,9
1,4,0,0,4,38,2,19302,0,40,35,6,4,1,7
1,4,0,0,2,38,2,190759,0,40,32,3,0,11,9
0,4,0,0,4,38,2,198996,0,40,25,0,1,11,9
1,4,0,1,2,38,2,209205,0,40,43,11,0,9,13
1,4,0,1,2,38,2,185041,0,40,42,11,0,15,10
1,4,0,0,2,38,2,193898,0,40,33,11,0,9,13
1,4,0,0,4,38,2,176711,0,40,22,5,3,11,9
1,4,0,0,4,38,2,113364,0,40,25,5,1,11,9
1,4,0,0,2,38,2,168324,0,50,45,13,0,11,9
1,4,0,0,4,38,2,184655,0,40,20,7,3,15,10
1,4,0,1,2,38,2,119793,0,40,29,2,0,11,9
1,4,0,0,4,38,2,200408,0,40,20,7,3,15,10
1,4,0,0,4,38,2,189759,0,40,22,5,3,15,10
1,4,0,1,2,38,2,168211,0,50,48,11,0,11,9
1,4,0,0,2,38,2,175697,0,40,45,2,0,11,9
0,4,0,0,4,38,2,206599,0,40,21,0,3,15,10
1,4,0,0,2,38,2,199903,0,40,58,2,0,11,9
1,4,0,0,4,38,2,204641,0,40,20,5,3,11,9
1,4,0,0,4,38,2,19302,0,40,29,2,1,8,11
1,4,0,0,4,38,2,183523,0,40,25,2,3,11,9
1,4,0,0,4,38,2,236262,0,40,21,2,3,11,9
1,4,0,0,4,38,2,208395,0,40,22,6,1,15,10
1,4,0,0,4,38,2,208946,0,30,18,5,3,1,7
0,4,0,0,4,38,2,185057,0,25,19,7,3,15,10
1,4,0,1,2,38,2,204984,0,40,49,2,0,11,9
1,4,0,0,2,38,2,117381,0,40,38,2,0,11,9
1,4,0,0,2,38,2,236769,0,40,31,2,0,11,9
1,4,0,0,2,38,2,116677,0,40,61,2,0,11,9
1,4,0,0,2,38,2,199713,0,40,36,6,0,11,9
0,4,0,0,4,38,2,198203,0,40,26,0,1,9,13
0,4,0,0,4,38,2,109015,0,40,23,0,3,9,13
1,4,0,0,2,38,2,193494,0,40,38,2,0,11,9
1,4,0,0,2,38,2,116632,0,40,31,2,0,11,9
1,4,0,1,2,38,2,183612,0,40,47,2,0,11,9
1,4,0,0,2,38,2,177905,0,40,33,6,0,11,9
1,4,0,1,2,38,2,185267,0,50,39,11,0,9,13
1,4,0,0,4,38,2,118793,0,40,28,5,1,15,10
1,4,0,1,2,38,2,119098,0,40,40,9,0,9,13
1,4,0,1,2,38,2,201865,0,40,50,3,0,9,13
1,4,0,0,2,38,2,189933,0,40,27,5,0,0,6
