AverageMInFile,NumSatisfactoryTrades,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,PercentTradesWBalance,NumBank2NatlTradesWHighUtilization,MaxDelqEver,NumTrades90Ever2DerogPubRec,NumTrades60Ever2DerogPubRec,MaxDelq2PublicRecLast12M,NumInqLast6M,MSinceMostRecentInqexcl7days,NumTradesOpeninLast12M,MSinceMostRecentDelq,PercentInstallTrades,NetFractionInstallBurden,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,PercentTradesNeverDelq,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumTotalTrades,RiskPerformance
97,10,74,145,24,50,0,4,1,1,6,0,0,0,10,38,-8,0,1,92,1,-8,13,1
82,26,83,194,1,43,0,8,0,0,7,2,0,2,-7,30,-8,2,6,100,3,1,30,1
85,27,77,188,7,70,1,8,0,0,7,1,-7,1,-7,41,66,1,46,100,3,4,27,1
56,18,70,121,7,83,2,8,0,0,7,2,0,1,-7,56,79,2,95,100,3,2,18,0
79,14,86,184,9,38,0,8,0,0,7,0,8,1,-7,14,93,0,1,100,2,1,14,1
101,18,76,175,3,80,0,8,0,0,7,4,3,2,-7,25,-8,4,43,100,2,2,21,1
87,16,70,278,16,100,3,5,0,1,6,0,7,0,77,29,6,0,60,94,6,2,18,0
76,25,84,161,3,88,0,8,0,0,7,2,-7,2,-7,42,94,2,7,100,2,4,26,1
81,8,87,189,11,40,0,8,0,0,7,0,-8,1,-7,20,-8,0,26,100,1,1,10,1
63,20,61,210,6,78,2,6,0,0,6,4,0,1,21,17,83,4,54,92,6,2,23,0
48,26,69,140,1,46,1,6,0,0,6,2,0,3,14,14,-8,2,25,96,4,2,27,0
49,11,74,114,2,43,1,8,0,0,7,2,-7,4,-7,31,-8,2,30,100,2,1,13,0
56,10,89,146,8,50,0,8,0,0,7,0,0,1,-7,9,-8,0,2,100,2,1,11,1
76,23,68,184,1,43,0,2,2,3,6,3,0,3,39,26,62,3,9,70,3,2,28,0
69,15,88,138,19,80,0,8,0,0,7,0,-7,0,-7,40,-8,0,2,100,2,2,15,1
99,26,79,265,3,61,1,8,0,0,7,0,0,2,-7,29,49,0,27,100,7,3,28,0
61,27,80,176,5,55,0,6,0,0,6,0,12,2,40,33,82,0,4,96,3,3,27,1
40,12,64,66,5,60,1,3,1,1,4,1,0,1,11,43,75,1,54,86,2,2,14,1
63,18,63,120,7,80,2,6,0,0,4,0,-7,2,2,32,30,0,62,95,5,2,18,0
56,11,70,121,12,60,0,6,0,0,4,1,0,0,2,27,49,1,15,82,1,2,13,0
83,19,70,316,3,100,1,6,0,0,6,2,0,2,42,45,95,2,73,95,5,3,20,0
95,18,84,229,9,46,0,8,0,0,7,0,14,1,-7,22,57,0,15,100,4,2,18,1
81,26,82,197,1,45,0,8,0,0,7,1,0,2,-7,24,71,1,16,100,2,2,30,1
94,15,89,243,30,50,0,8,0,0,7,0,-8,0,-7,19,39,0,0,100,1,2,16,1
68,11,63,189,4,80,0,2,4,5,6,2,-7,2,16,33,78,0,25,73,2,2,16,0
95,12,66,254,2,30,0,4,2,3,6,6,0,3,59,29,-8,6,21,88,1,1,18,0
79,18,85,246,2,63,1,8,0,0,7,1,2,2,-7,25,-8,1,19,100,4,1,20,1
80,17,85,158,4,56,0,8,0,0,7,2,0,2,-7,53,38,2,4,100,2,3,17,1
118,25,89,213,13,75,0,8,0,0,7,0,0,0,-7,12,55,0,6,100,9,2,26,1
84,27,66,170,10,70,1,4,1,1,6,1,3,1,17,41,63,1,45,74,3,4,29,0
40,13,67,62,5,71,0,6,0,0,4,3,-7,1,2,36,80,3,23,86,3,2,13,0
48,7,55,77,20,100,1,5,1,2,6,1,0,0,50,60,21,1,80,90,2,1,10,0
95,13,68,271,4,40,0,6,0,0,4,1,4,1,4,31,-8,1,19,85,1,1,13,1
84,25,85,243,5,20,0,8,0,0,7,0,-8,2,-7,19,-8,0,3,100,2,1,26,1
109,14,79,264,11,70,1,6,0,0,6,1,2,1,40,29,20,1,25,86,5,2,14,1
76,16,68,171,6,83,2,5,0,1,6,0,5,2,17,60,34,0,64,90,4,2,18,0
76,16,82,171,23,60,0,8,0,0,7,0,-7,0,-7,24,36,0,24,100,2,2,16,1
32,8,59,71,7,100,0,6,1,1,4,0,0,1,5,57,19,0,72,86,2,2,9,0
80,26,62,181,7,50,1,5,0,1,4,1,3,1,6,4,-8,1,30,93,3,1,28,0
84,23,64,173,4,80,1,6,0,0,4,2,0,1,1,35,14,2,56,85,5,3,23,0
66,32,79,139,3,40,0,8,0,0,7,2,0,3,-7,13,74,2,14,100,3,2,32,1
76,16,68,171,6,60,1,6,0,0,4,1,1,2,4,25,20,1,1,6,2,2,1,0
84,10,82,152,14,50,1,8,0,0,7,0,10,0,64,18,-8,0,27,100,2,1,11,1
63,14,60,92,14,50,1,2,2,3,0,0,0,0,4,35,-8,0,33,75,3,1,17,0
81,28,77,254,5,88,0,8,0,0,7,2,-7,2,-7,53,54,2,53,100,4,3,30,1
95,23,89,202,18,20,0,8,0,0,7,0,-7,0,-7,13,-8,0,2,100,1,1,23,1
75,6,88,173,2,75,0,8,0,0,7,2,0,2,-7,43,78,2,7,100,2,2,7,1
81,21,82,202,5,60,0,8,0,0,7,0,-7,1,-7,26,-8,0,29,100,2,1,22,1
84,24,66,217,4,75,1,6,0,0,4,0,0,2,8,38,82,0,51,96,5,3,26,1
75,11,88,177,14,57,0,8,0,0,7,0,10,0,-7,45,-8,0,4,100,2,1,11,0
69,16,88,132,5,25,0,8,0,0,7,0,-7,1,-7,25,-8,0,1,100,1,1,16,1
84,24,66,156,6,83,1,6,0,0,6,2,0,1,24,54,56,2,55,88,2,3,25,0
86,13,83,186,36,40,0,6,0,0,6,0,-8,0,34,23,-8,0,2,77,1,1,13,1
80,21,76,214,5,31,0,8,1,1,6,1,0,1,-7,26,-8,1,4,100,2,2,21,0
69,11,60,176,2,60,0,4,1,2,4,2,0,2,11,25,74,2,30,75,2,2,15,0
97,10,66,180,24,50,0,5,0,1,4,2,1,0,4,18,-8,2,0,64,1,1,14,1
69,8,70,180,2,88,1,4,1,1,6,2,0,3,36,22,-8,2,49,78,5,1,10,0
69,30,73,143,2,69,1,6,0,0,6,1,0,1,61,50,62,1,42,97,3,6,34,1
85,26,76,218,9,88,1,8,0,0,7,0,9,1,-7,58,66,0,46,100,2,5,26,1
89,20,83,216,5,83,0,8,0,0,7,1,0,1,-7,50,29,1,16,100,3,2,20,1
80,24,76,229,3,70,1,8,0,0,7,2,-7,2,-7,50,37,2,29,100,4,3,24,1
85,26,77,254,3,70,1,8,0,0,7,1,2,2,-7,41,29,1,33,100,3,4,28,1
80,26,77,253,5,70,1,8,0,0,7,0,-8,2,-7,41,66,0,28,100,3,4,27,1
80,9,70,111,18,60,-8,5,0,1,6,1,4,0,45,80,56,1,0,90,0,2,10,1
63,14,65,170,8,100,2,5,0,2,6,2,0,2,56,31,91,2,88,69,4,2,18,0
87,24,59,155,4,75,1,6,0,0,4,2,0,2,2,33,3,2,43,92,6,2,26,0
52,28,63,95,5,92,3,6,0,0,6,3,0,5,36,31,82,3,56,97,9,3,29,1
87,26,59,212,2,86,2,6,0,0,4,2,0,2,5,57,72,2,56,87,5,3,30,0
52,32,75,98,3,92,0,8,0,0,7,2,-7,3,-7,59,40,2,38,100,4,8,33,0
71,25,80,220,7,50,0,8,0,0,7,0,7,3,-7,12,50,0,13,100,3,1,19,1
97,29,77,260,5,33,0,6,0,0,6,2,0,2,40,13,-8,2,18,97,3,1,30,1
76,32,82,150,1,53,0,6,0,0,6,1,0,2,24,36,62,1,3,97,5,3,34,1
63,26,77,129,6,75,1,8,0,0,7,0,-7,3,-7,62,83,0,31,100,2,3,26,1
61,12,69,114,14,60,2,6,0,0,6,0,0,0,18,25,-8,0,55,92,2,1,12,1
54,16,77,101,14,60,1,8,0,0,7,0,0,0,-7,25,-8,0,24,100,2,2,16,1
85,26,61,254,2,90,3,6,0,0,6,2,0,2,43,57,70,2,85,97,4,5,30,1
99,20,83,176,4,40,0,6,0,0,6,2,0,1,34,14,-8,2,7,95,3,1,22,1
82,26,85,197,1,20,0,8,0,0,7,1,-7,2,-7,30,-8,1,2,100,1,1,31,1
70,4,76,113,16,50,1,8,0,0,7,0,0,0,-7,0,-8,0,53,100,2,-8,4,0
49,22,67,88,7,80,1,6,0,0,6,1,1,2,28,45,83,1,59,95,4,2,22,0
86,24,59,202,7,83,1,6,0,0,4,1,3,1,2,54,54,1,58,85,3,3,26,0
63,22,61,176,6,75,1,6,0,0,6,3,0,1,12,23,30,3,65,82,4,2,22,0
54,16,75,144,5,43,1,8,0,0,7,2,0,4,-7,24,-8,2,29,100,2,1,17,0
100,23,83,261,5,54,1,8,0,0,7,0,24,2,-7,25,70,0,29,100,5,2,24,1
69,22,74,145,2,58,1,8,0,0,7,1,0,2,-7,22,74,1,37,100,5,2,23,0
55,12,87,144,13,80,0,8,0,0,7,0,0,0,-7,25,42,0,10,100,2,2,12,1
61,11,63,146,16,100,3,5,0,1,6,0,5,0,24,25,39,0,87,83,4,2,12,0
101,18,82,-8,3,33,0,8,0,0,7,1,-7,2,-7,11,99,1,2,100,2,1,0,0
110,8,88,174,4,100,0,8,0,0,7,0,9,1,-7,50,60,0,10,100,2,1,8,1
70,16,68,349,1,73,0,6,1,1,4,2,0,4,6,53,87,2,13,96,4,3,19,0
58,17,79,123,2,57,0,8,0,0,7,4,0,4,-7,33,100,4,21,100,2,2,18,1
82,21,83,169,12,50,0,8,0,0,7,0,-7,0,-7,43,-8,0,19,100,2,2,21,1
78,21,67,186,4,100,1,6,0,0,4,0,0,1,5,52,100,0,91,90,3,3,23,0
92,13,90,230,17,25,0,8,0,0,7,0,16,0,-7,43,-8,0,1,100,1,-8,14,1
80,26,77,256,7,50,1,8,0,0,7,0,12,1,-7,23,32,0,32,100,3,3,26,1
76,12,61,193,3,83,2,4,1,1,2,0,8,4,5,33,58,0,69,80,3,2,14,1
50,14,74,97,2,71,1,8,0,0,7,3,0,3,-7,31,-8,3,44,100,4,1,16,0
79,16,86,183,8,60,0,8,0,0,7,1,0,2,-7,19,-8,1,8,100,5,1,16,1
76,28,83,236,6,25,0,8,0,0,7,0,18,2,-7,24,61,0,2,100,2,2,28,1
85,8,84,218,22,50,0,8,0,0,7,0,0,0,-7,38,-8,0,0,100,1,1,8,1
