Administrative_Duration,Administrative,PageValues,Informational,Revenue,ExitRates,ProductRelated_Duration,ProductRelated,OperatingSystems,SpecialDay,TrafficType,Browser,Month,VisitorType,Region,Weekend,BounceRates,Informational_Duration
0,1,3.797,0,1,0.033,297.3,8,3,0,2,2,3,2,1,0,0.018,0
0,0,48.859,0,0,0.015,1680.5,18,2,0,2,2,1,0,1,0,0,0
0,0,54.359,0,1,0.005,323.808,13,2,0,3,2,6,2,1,0,0,0
0,0,0,0,0,0.04,932.667,25,2,0.4,2,2,6,2,1,0,0.008,0
0,1,3.979,0,1,0.029,1265.393,18,2,0,2,2,7,2,1,0,0.022,0
0,0,0,0,0,0.04,935.167,24,2,0,2,2,1,2,1,0,0.078,0
0,0,31.605,0,1,0.022,849.5,27,2,0,2,2,1,2,3,0,0.016,0
0,0,30.612,0,1,0.013,479.45,13,3,0,2,2,9,2,1,1,0.005,0
0,0,31.159,0,1,0.022,576.717,25,2,0,10,2,7,2,4,0,0.008,0
0,0,0,0,0,0.05,70.5,2,2,0,10,2,5,2,1,0,0,0
76.5,2,0,0,0,0.023,470.973,29,2,0,4,2,6,2,7,0,0.006,0
0,0,0,2,0,0.016,1239.008,33,1,0,2,1,7,2,4,0,0.006,39.5
43.4,1,0,0,0,0.042,1187.767,34,2,0,3,2,9,2,4,1,0.021,0
169.75,7,0,0,0,0.007,1792.667,40,2,0,2,2,1,0,3,1,0,0
0,0,0,0,0,0.04,389.5,10,2,0,2,2,7,0,1,1,0,0
0,1,3.182,0,1,0.033,226.6,11,2,0,1,2,8,2,1,0,0.018,0
0,0,0,0,0,0.008,735.208,41,3,0,2,2,5,2,3,0,0.002,0
0,0,0,0,0,0.04,735.333,21,2,0,2,2,5,2,3,0,0.01,0
0,0,48.047,0,1,0.029,856.25,8,3,0,2,2,7,2,1,1,0.022,0
0,0,44.388,0,1,0.022,846.5,8,3,0,2,2,1,2,5,1,0.022,0
0,1,3.797,0,1,0.033,516.333,20,1,0,2,1,8,2,3,0,0.01,0
0,0,9.807,1,1,0.05,2266.393,64,2,0,2,2,3,2,7,0,0.029,94.4
38.208,4,5.119,1,0,0.029,2700.851,89,2,0,2,2,5,2,1,0,0.004,9
0,0,0,0,0,0.031,1802.857,62,2,0.6,3,2,6,2,6,0,0.007,0
44.5,2,0,0,0,0.011,810.883,27,2,0,4,2,9,2,7,0,0.014,0
572.5,1,0,0,0,0.05,1105.1,6,1,0,3,1,7,0,7,1,0.014,0
76.5,1,0,0,0,0.014,285.25,7,3,0,2,2,5,0,3,0,0,0
0,0,0,0,0,0.016,903.163,22,3,0,8,2,7,2,3,1,0.009,0
0,0,19.034,0,1,0.012,3135.390,58,2,0,2,2,7,2,1,0,0.001,0
0,0,31.159,0,1,0.022,766.817,25,2,0,2,2,6,2,5,1,0.008,0
0,1,3.959,0,1,0.03,297.25,8,2,0,2,2,7,0,4,1,0,0
0,1,3.979,0,1,0.029,1265.393,33,1,0,2,1,7,2,1,1,0.015,0
0,0,0,0,0,0.086,116.25,12,2,0.04,13,2,6,2,1,0,0.017,0
0,0,0,0,0,0.2,0,1,3,0,1,2,7,2,1,0,0.2,0
36.2,3,0,0,0,0.014,279.326,19,1,0,2,1,9,2,6,1,0,0
0,0,0,0,0,0.04,1345.5,15,2,0,1,5,2,2,1,0,0.007,0
0,1,0,0,0,0.025,1260.567,37,3,0,2,2,7,2,4,1,0.009,0
0,0,30.801,0,1,0.022,428.463,13,2,0,2,4,6,2,3,1,0,0
0,0,54.359,0,1,0.005,323.803,11,8,0,2,2,9,2,9,0,0,0
0,0,0,0,0,0.1,44,2,2,0,1,2,5,2,1,0,0,0
0,0,0,0,0,0.072,1354.55,31,2,0,4,4,6,2,7,0,0.039,0
0,0,0,0,0,0.073,1307.75,17,3,0,1,2,7,2,3,0,0.041,0
0,0,0,0,0,0.006,982.317,25,2,0,2,2,7,0,8,0,0,0
0,0,0,3,0,0.028,3972.133,85,3,0,6,2,6,2,1,0,0.025,31.5
0,0,0,0,0,0.17,36,10,2,0,3,2,5,2,4,0,0.14,0
0,0,67.752,0,1,0.02,608.25,17,2,0,5,4,6,2,1,0,0,0
0,0,19.564,0,1,0.012,1803.05,31,2,0,4,2,6,2,1,0,0.006,0
0,0,30.546,0,1,0.006,1085.9,26,2,0,3,2,7,0,1,1,0,0
0,0,31.159,0,1,0.022,766.267,23,4,0,2,2,6,2,4,0,0.007,0
0,0,0,0,0,0.04,398.5,10,3,0,13,2,7,2,2,0,0.02,0
0,1,3.979,0,1,0.029,1265.45,22,2,0,2,2,7,2,1,1,0.007,0
0,0,0,0,0,0.04,399.5,10,2,0,2,2,7,0,9,1,0,0
0,0,19.564,0,1,0.012,980.942,29,2,0,2,2,8,2,9,0,0.006,0
0,0,54.359,0,1,0.005,323.817,13,2,0,3,2,6,2,1,0,0,0
