target,Dcl,Ao,Iy,Aa,Sh
0,2.304,1.06,-0.777,0.266,-0.379
1,1.168,0.671,1.846,0.136,-0.63
1,0.947,2.579,0.45,0.523,-0.189
0,0.404,0.266,-0.512,0.044,0
1,0.452,0.422,-0.538,0.1,0
0,0.149,0.673,0.152,1.903,0.074
0,-0.127,0.521,0.108,2.626,0.065
0,0.485,1.169,0.394,2.302,-0.23
0,0.643,0.532,1.848,0.171,0
0,0.648,2.263,1.617,0.642,-0.434
0,0.45,0.335,-0.427,0.044,-0.427
0,0.43,0.326,-0.427,0.056,0
0,0.453,1.309,0.204,1.309,-0.114
0,0.339,1.194,0.236,2.369,-0.374
0,-0.115,0.355,-0.073,3.496,0.061
0,1.895,1.024,-0.761,0.14,0
1,0.519,0.454,1.064,0.174,0
1,1.522,1.402,0.819,0.9,0.546
0,0.513,0.342,1.435,0.122,0
0,-0.355,1.782,0.199,0.659,-0.141
0,2.01,1.461,-0.48,0.545,-0.242
0,0.339,1.175,0.195,1.528,-0.138
1,1.494,1.116,0.833,0.334,0.997
0,-0.111,0.557,0.14,2.131,-0.063
0,0.158,0.267,0.194,2.435,-0.061
1,1.607,0.604,0.873,0.599,0.4
0,0.453,0.336,-0.959,0.121,0
0,1.01,1.569,-0.443,0.225,0
0,0.356,1.312,0.195,1.472,-0.13
0,0.845,2.029,0.724,0.448,0.719
0,0.268,0.583,-0.078,2.77,-0.055
0,-0.467,2.321,-0.199,0.801,-0.199
1,1.134,0.534,1.781,0.11,-0.623
0,-0.421,2.781,0.21,1.134,0.163
0,1.035,1.753,0.434,0.253,0.215
0,0.179,0.81,0.149,1.28,-0.151
0,0.453,0.309,0.925,0.069,0.917
0,0.945,2.022,0.572,0.257,-0.207
0,0.453,0.309,0.925,0.069,0.917
0,0.509,1.661,0.27,1.261,1.14
0,-0.485,3.029,-0.183,0.711,-0.12
1,0.77,0.586,0.836,0.222,0
0,0.508,1.453,0.283,1.312,0.71
0,1.02,1.932,0.581,0.383,-0.229
0,0.45,0.309,-0.601,0.074,0
0,-0.481,2.328,-0.192,0.555,-0.111
0,1.932,0.895,1.131,0.295,0.67
0,0.845,2.626,0.375,0.496,0.193
0,-0.509,2.717,0.295,0.305,-0.296
0,1.504,1.254,0.659,0.199,-0.246
0,0.279,0.577,0.482,3.496,-0.179
1,0.709,0.508,1.657,0.114,0
0,1.018,1.704,0.442,0.216,0
0,0.496,1.496,0.283,0.829,-0.178
0,-0.387,2.328,-0.171,0.717,-0.109
0,0.457,0.329,1.474,0.098,0
0,0.513,0.325,1.617,0.158,1.304
0,0.517,0.355,1.537,0.149,0.985
0,-0.143,0.661,0.152,2.511,0.152
0,0.404,0.266,-0.594,0.056,0
1,1.044,0.798,1.114,0.21,0.69
1,0.742,0.626,0.627,0.226,1.457
0,0.158,-0.211,-0.081,2.943,-0.062
0,0.866,2.911,0.318,0.724,0.189
0,0.164,-0.213,0.119,2.471,0.095
0,0.513,1.311,0.284,1.807,0.288
1,1.866,0.584,1.871,1.042,-0.505
0,0.452,0.311,1.464,0.134,1.872
1,1.885,0.481,1.136,0.343,1.516
0,1.044,2.203,0.65,0.724,-0.287
1,0.782,0.626,1.697,0.245,-0.78
1,1.465,0.619,1.107,0.257,-0.518
0,0.342,0.272,0.648,0.079,0
0,1.504,1.369,0.651,0.436,-0.27
0,1.009,1.936,-0.487,0.486,1.47
0,0.327,1.23,0.182,1.783,0.171
0,-0.281,1.827,-0.144,1.125,-0.084
0,-0.49,2.848,0.255,0.567,-0.152
0,0.845,2.831,-0.263,0.689,0.137
0,0.339,0.372,0.54,0.083,0
0,-0.443,2.761,0.233,0.418,-0.125
0,-0.385,2.763,0.249,1.039,0.162
0,0.349,1.194,0.199,1.386,-0.09
0,0.643,1.399,0.253,0.203,0.138
0,1.932,1.016,0.936,0.289,0.414
0,0.443,1.263,0.22,2.141,-0.065
0,1.256,1.384,0.564,0.278,-0.201
1,1.666,0.892,1.238,0.219,0
0,1.16,2.517,0.51,1.058,0.542
0,0.133,0.355,0.21,2.531,-0.066
0,-0.413,2.738,-0.188,0.376,-0.124
0,-0.363,2.32,-0.171,1.396,-0.113
0,0.504,1.555,0.28,1.574,-0.13
0,1.02,1.885,0.523,0.346,-0.194
0,0.315,0.851,0.194,1.861,-0.163
0,0.444,0.331,-0.607,0.131,1.814
0,0.68,0.333,1.378,0.287,1.476
0,0.245,0.82,0.104,1.18,0.069
0,1.02,0.508,1.904,0.2,-0.781
0,0.356,1.214,0.195,1.596,-0.138
