state_code,bird,lon,lat,lat_zone
32,14,-107.71,35.14,2
30,22,-71.61,44.45,2
26,26,-111.08,48.96,2
38,19,-75.57,41.87,2
8,11,-75.22,38.48,2
22,0,-83.45,43.55,2
24,12,-89.67,37.19,2
8,11,-75.57,39.41,2
34,12,-72.59,40.9,2
13,18,-116.45,42.9,2
31,13,-74.39,40.63,2
49,19,-81.02,38.29,2
37,26,-119.12,45.19,2
32,14,-105.79,36.31,2
24,12,-94.85,39.79,2
42,20,-88.32,35.58,2
11,15,-158.06,21.54,1
46,16,-73.16,43.18,2
50,26,-106.54,42.95,2
10,4,-84.47,31.25,2
22,0,-84.7,43.5,2
27,19,-82.37,35.48,2
8,11,-75.31,38.81,2
38,19,-78.81,41.55,2
21,9,-68.24,44.93,2
47,27,-118.28,47.23,2
2,20,-93.99,35.57,2
12,13,-94.91,41.47,2
45,19,-77.77,36.96,2
44,6,-113.3,38.23,2
32,14,-106.67,33.92,2
30,22,-71.77,43.38,2
50,26,-107.92,44.4,2
23,10,-94.4,47.53,2
49,19,-82.32,38.18,2
14,19,-88.02,42.38,2
26,26,-108.19,47.57,2
25,20,-88.99,31.27,2
40,8,-80.21,33.63,2
44,6,-111.94,41.39,2
5,17,-104.12,37.91,2
17,19,-83.28,37.18,2
50,26,-106.34,41.44,2
12,13,-95.21,42.67,2
6,0,-71.85,41.68,2
15,19,-87.63,38.36,2
42,20,-86.08,35.23,2
43,20,-99.6,32.25,2
24,12,-89.75,36.93,2
26,26,-107.34,45.13,2
8,11,-75.73,39.74,2
28,26,-99.45,46.64,2
3,5,-113.71,33.98,2
34,12,-73.93,41.7,2
2,20,-93.93,33.42,2
38,19,-78.09,41.98,2
39,23,-71.48,41.83,2
50,26,-105.29,44.76,2
9,20,-85.37,30.58,2
2,20,-90.36,35.27,2
41,24,-101.59,45.62,2
7,21,-77,38.83,2
27,19,-78.73,35.39,2
21,9,-67.99,44.99,2
40,8,-83.29,34.69,2
20,1,-76.39,38.21,2
22,0,-84.95,43.35,2
36,25,-98.16,36.82,2
24,12,-90.69,38.48,2
23,10,-96.26,45.21,2
35,19,-81.06,39.99,2
20,1,-79.3,39.45,2
18,3,-89.91,30.59,2
7,21,-76.94,38.87,2
41,24,-103.45,44.5,2
16,26,-96.03,39.14,2
40,8,-79.54,33.8,2
7,21,-76.99,38.89,2
16,26,-99.88,39.58,2
48,0,-88.61,45.18,2
15,19,-86.01,40.56,2
19,2,-70.71,41.72,2
32,14,-108.91,36.48,2
43,20,-95.9,32.17,2
5,17,-105.19,39.52,2
5,17,-106.23,40.21,2
26,26,-112.17,45.93,2
27,19,-80.16,36.07,2
37,26,-120.76,42.71,2
2,20,-91.95,36.16,2
16,26,-97.33,37.65,2
7,21,-76.96,38.89,2
33,18,-114.32,41.7,2
12,13,-91.78,41.36,2
46,16,-72.9,44.53,2
25,20,-89.6,31.16,2
22,0,-85.58,42.14,2
28,26,-103.18,46.04,2
35,19,-82.85,40.09,2
0,28,-159.99,66.8,0
