proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
1190,4.05,2.36,16,0.95,12.56,1.88,0.26,1.52,96,2.4,1.75,0,1.81
1090,4.4,2.48,20,0.88,13.29,2.04,0.33,1.67,90,2.3,1.85,1,3.68
680,3.2,2.14,18,1.04,12.68,1.92,0.43,1.73,84,1.7,1.65,1,1.67
680,3.2,2.14,18,1.04,12.68,1.92,0.43,1.73,84,1.7,1.65,1,1.67
1080,5.8,2.3,18,1.08,13.64,2.29,0.43,1.62,87,2.35,2.05,1,1.74
580,4.8,2.28,20,0.87,12.7,1.92,0.35,1.85,103,1.95,0.76,2,1.52
480,2.65,2.36,20,0.88,12.06,2.28,0.38,1.37,97,1.45,1.25,1,1.72
590,5.9,2.5,19,1.04,13.23,1.74,0.32,1.75,107,2.65,2.45,1,1.81
550,2.9,2.3,19,0.86,12.5,2.07,0.35,1.7,85,1.8,1.45,1,1.72
630,3.3,2.4,19,0.83,13.15,2.55,0.27,2.3,108,2.6,2.8,0,1.83
880,8.5,2.38,18,1.02,14.3,3.46,0.36,1.68,120,3.45,2.73,2,1.53
625,5.05,2.42,20,1.08,12.8,3.23,0.28,1.7,98,2.8,2.43,2,1.67
1010,6.6,2.64,16,0.92,13.2,2.96,0.36,1.63,88,2.9,2.92,0,1.75
780,6.5,2.38,22,0.89,13.1,2.95,0.3,1.52,92,2.7,2.6,0,1.71
640,5.6,2.2,21,0.98,12.2,3.1,0.25,1.56,85,2.5,2.52,2,1.65
1190,3.3,2.6,24,0.98,13.5,2.53,0.28,1.75,95,2.65,1.62,2,1.83
590,5.6,2.4,20,1.03,12.88,2.52,0.32,1.36,97,2.65,1.6,1,1.67
630,4.1,2.3,18,1.1,12.6,3.22,0.4,1.29,103,2.65,1.46,1,1.83
1080,4.5,2.7,20,0.93,13.65,2.65,0.32,2.8,128,2.95,2.57,0,1.73
1025,4.5,2.6,19,0.92,13.5,3.17,0.35,2.9,120,3.05,2.5,0,1.92
720,5.8,2.52,25,0.98,13.27,2.86,0.25,1.87,105,2.56,2.47,1,1.74
650,6.6,2.64,21,1.12,13.29,2.86,0.29,1.68,96,2.35,2.42,1,1.73
680,6.5,2.64,21,1.16,13.27,2.7,0.25,1.56,99,2.4,2.5,1,1.66
600,5.7,2.64,20,1.06,12.7,2.75,0.2,1.8,93,2.3,2.4,0,1.62
