duration,age,purpose,property_magnitude,foreign_worker,existing_credits,residence_since,own_telephone,other_payment_plans,checking_status,housing,employment,job,target,personal_status,credit_history,num_dependents,savings_status,other_parties,installment_commitment,credit_amount
12,24,3,3,1,1,4,0,1,2,1,3,1,0,0,3,1,1,2,3,1262
24,48,4,0,1,2,4,0,0,3,1,1,0,1,0,1,1,1,2,3,2345
24,27,6,1,1,1,4,1,1,1,1,1,1,1,0,3,1,1,2,2,3431
18,27,3,0,1,1,3,0,1,1,1,0,1,1,3,3,1,3,2,2,3464
18,22,6,1,1,1,2,0,1,1,1,1,1,1,2,3,1,1,2,4,2503
12,38,8,1,1,1,3,0,1,3,1,0,1,1,3,3,2,1,1,4,3447
18,43,4,0,1,2,4,1,2,2,1,0,1,0,3,1,1,4,2,4,2894
24,33,0,0,1,2,2,0,1,2,1,2,1,0,3,4,1,1,2,2,7489
6,48,6,3,1,1,4,0,1,3,1,0,1,1,3,1,1,1,2,4,2069
15,54,4,3,1,2,4,0,0,3,1,0,1,1,3,1,1,0,2,1,5324
24,36,9,0,1,2,4,1,1,3,1,1,1,1,3,1,1,1,2,4,2378
8,24,3,1,1,1,2,0,1,1,2,2,3,0,0,3,1,1,2,4,655
18,43,4,3,1,1,3,1,1,1,1,1,1,1,3,3,2,1,2,4,1175
10,24,3,0,1,2,1,0,1,1,2,1,1,0,2,1,1,1,2,4,3563
18,26,6,3,1,1,1,0,1,3,1,1,1,1,0,3,1,1,2,3,1459
18,43,4,0,1,2,2,0,1,0,1,3,1,0,0,3,2,1,2,3,1598
24,28,6,1,1,1,4,0,1,3,1,1,1,1,3,3,1,4,2,2,3608
18,22,3,1,1,1,4,0,1,1,2,1,1,1,0,3,1,1,2,1,3647
24,26,6,0,1,1,2,0,0,1,1,2,1,1,0,3,1,1,2,3,4438
36,26,3,0,1,2,2,1,1,3,1,4,0,0,0,3,1,1,2,4,10974
24,23,1,1,1,2,4,0,1,3,2,2,1,0,0,3,1,1,0,4,1967
6,35,6,0,1,1,4,0,1,3,1,0,1,1,0,1,1,2,2,4,846
18,47,3,0,1,1,4,1,1,3,1,0,1,1,3,3,1,4,2,4,1945
36,28,2,2,1,1,3,1,1,1,1,2,1,0,3,2,1,1,2,4,6882
24,43,9,3,1,1,2,1,1,3,1,0,1,1,3,3,2,4,2,1,2870
9,28,0,0,1,1,4,0,1,2,2,1,1,1,0,2,1,1,2,4,1143
6,35,4,3,1,1,3,0,1,3,1,0,1,1,0,3,1,4,2,1,1048
12,25,4,3,1,1,3,0,0,2,1,1,1,0,2,3,1,4,2,4,1557
12,53,3,2,1,1,4,0,0,1,0,0,1,0,3,3,1,1,2,3,7865
18,23,2,1,1,1,4,0,1,1,1,1,1,0,0,3,1,1,0,4,7970
9,67,4,1,1,1,4,1,1,3,1,0,1,1,3,3,1,3,2,4,1007
12,30,4,3,1,1,3,0,1,1,1,2,3,1,0,3,1,1,2,4,2098
36,24,0,3,1,1,2,0,1,1,1,0,1,0,2,3,1,1,0,2,4286
24,26,6,1,1,1,3,1,1,3,1,3,1,1,2,3,1,2,2,4,1311
24,37,4,3,1,2,2,0,0,0,1,3,3,0,3,1,2,4,2,4,1343
