mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
2.29,21,1.2,10,48,120,112,0.933,0.4,12,1
1.77,390,26.1,10,689,2610,1771,0.679,0.264,261,1
2.05,43,3.1,10,88,310,233,0.752,0.283,31,1
1.93,368,21.231,13,712,3524,1659,0.471,0.202,272,1
2.78,23,3,9,64,243,165,0.68,0.263,27,1
1.34,102,13.5,6,137,486,453,0.932,0.282,81,1
1.44,154,15.25,8,222,976,634,0.65,0.227,122,1
1.89,72,6,8,136,384,332,0.865,0.354,48,1
1.38,50,4.286,7,69,210,210,1,0.329,30,1
1.89,44,3.125,8,83,200,200,1,0.415,25,1
2.39,49,4.375,8,117,280,260,0.929,0.418,35,1
1.27,40,7.667,6,51,276,169,0.614,0.186,46,1
1.71,54,3.556,9,92,288,256,0.889,0.319,32,1
1.39,105,6.625,8,146,424,684,0.1613,0.344,53,1
2.84,197,17.5,8,561,1120,1054,0.942,0.501,140,1
1.64,22,3.167,6,36,114,101,0.886,0.316,19,1
1.88,24,2.125,8,45,136,109,0.801,0.331,17,1
1.03,30,2.333,9,31,189,132,0.695,0.164,21,1
1.35,37,3,8,50,192,166,0.865,0.26,24,1
1.28,554,56.556,9,708,4581,2379,0.517,0.154,511,1
2.11,112,9.5,8,236,608,549,0.903,0.388,76,1
2.07,15,1.125,8,31,72,69,0.958,0.431,9,1
4.33,324,23.75,12,1404,3420,2421,0.708,0.411,285,1
1.4,35,3,7,49,147,116,0.789,0.333,21,1
7.56,9,1.6,10,68,160,127,0.794,0.425,16,1
2,40,3.625,8,80,232,158,0.681,0.345,29,1
4.65,460,39.364,11,2137,4763,3365,0.706,0.449,433,1
2,21,1.5,8,42,96,96,1,0.438,12,1
2,5,1.167,6,10,42,28,0.667,0.238,7,1
1.38,32,2.143,7,44,105,105,1,0.419,15,1
1.58,106,7.875,8,168,504,370,0.734,0.333,63,1
1.98,61,4.077,9,121,333,201,0.603,0.364,37,1
1.86,50,4.625,8,93,296,186,0.628,0.314,37,1
2.52,21,2.25,8,53,144,136,0.944,0.369,18,1
1.93,84,6.125,8,162,392,298,0.76,0.413,49,1
1.51,102,16,6,154,576,541,0.939,0.267,96,1
1.38,356,29.778,9,492,2412,2002,0.829,0.204,268,1
2.1,10,0.6,10,21,60,60,1,0.35,6,1
2.2,25,2,8,55,128,128,1,0.431,16,1
1.73,11,0.857,7,19,42,42,1,0.452,6,1
2.06,131,10.333,9,270,837,743,0.888,0.323,93,1
1.94,17,1.857,7,33,91,91,1,0.363,13,1
1.18,82,5.889,9,97,477,467,0.979,0.203,53,1
2.36,36,2.6,10,85,260,213,0.819,0.327,26,1
1.67,293,18.3,10,488,1830,1248,0.682,0.267,183,1
1.79,29,3,6,52,108,108,1,0.481,18,1
1.92,38,3,8,73,192,166,0.865,0.41,24,1
2.35,26,1.6,10,61,160,153,0.956,0.382,16,1
2.29,121,9.111,9,278,738,682,0.924,0.378,82,1
2.42,159,7.5,12,385,1080,807,0.746,0.356,90,1
2.11,112,9.5,8,236,608,549,0.903,0.388,76,1
1.34,456,59.556,9,609,4824,2377,0.493,0.126,536,1
1.86,365,30.111,9,679,2448,1640,0.67,0.277,272,1
1.51,35,2.333,9,53,189,126,0.666,0.28,21,1
2.35,31,2.3,10,73,230,205,0.891,0.317,23,1
1.71,120,16.167,6,205,582,460,0.791,0.352,97,1
1.42,31,2.571,7,44,126,126,1,0.349,18,1
2.12,18,1.2,10,38,120,109,0.908,0.317,12,1
1.35,37,8.2,5,50,205,172,0.839,0.244,41,1
1.44,316,24.889,9,456,2024,1507,0.745,0.225,224,1
1.28,409,27.1,10,524,2710,2084,0.769,0.193,271,1
2.14,117,9,11,250,1089,654,0.601,0.23,99,1
1.03,35,95,1,36,95,95,1,0.379,95,1
1.94,31,2.375,8,60,152,107,0.704,0.395,19,1
2.17,35,2.667,9,76,216,156,0.722,0.352,24,1
2.45,107,3.6,15,262,810,558,0.689,0.323,54,1
1.86,35,2.5,8,65,160,145,0.906,0.406,20,1
2.16,19,1.5,8,41,96,87,0.906,0.427,12,1
3.4,20,2.1,10,68,210,126,0.6,0.324,21,1
2.42,108,10.375,8,261,664,465,0.7,0.393,83,1
2.09,32,7.8,5,67,195,142,0.728,0.344,39,1
1.38,319,23.4,10,441,2340,1437,0.614,0.188,234,1
1.28,100,12.5,8,128,800,653,0.818,0.16,100,1
2.13,61,5.25,8,130,336,321,0.955,0.387,42,1
2.07,42,3.556,9,87,288,225,0.781,0.302,32,1
1.28,50,5.75,8,64,368,263,0.715,0.174,46,1
1.31,27,2.143,7,35,105,88,0.838,0.333,15,1
1.44,31,2.714,7,45,133,133,1,0.338,19,1
1.44,156,15.75,8,225,1008,909,0.905,0.225,126,1
2.47,45,2.9,10,111,290,242,0.834,0.383,29,1
2.25,69,3.8,10,155,380,337,0.887,0.408,38,1
2.22,59,5,8,131,320,319,0.997,0.409,40,1
2.29,90,9.286,7,206,455,436,0.958,0.453,65,1
1.38,8,1.167,6,11,42,39,0.929,0.262,7,1
