input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
0,84,19,0,69,100,71,69,49,34,24,59,1,82,100,35,98
22,63,10,52,100,98,70,0,87,0,0,84,3,100,98,48,43
0,84,30,52,68,96,68,100,98,30,0,94,7,98,100,32,48
0,35,0,51,0,35,60,100,35,2,3,62,1,100,96,25,29
0,37,0,51,0,35,51,100,35,2,4,60,1,100,96,9,37
70,17,100,100,83,100,0,35,40,79,32,74,8,52,13,36,79
0,43,35,50,0,37,41,100,55,40,2,93,7,100,74,6,43
20,90,0,58,100,19,68,0,72,10,93,77,9,100,73,63,49
94,100,95,32,78,22,0,7,72,48,8,100,0,57,9,43,0
15,24,14,51,0,87,39,100,66,0,33,69,2,100,75,15,57
0,2,22,52,32,41,41,0,15,23,100,100,6,90,66,13,67
57,60,29,85,100,0,40,69,9,0,57,100,4,83,58,51,38
15,71,0,47,90,76,58,0,25,17,21,95,3,100,80,46,100
0,24,22,66,80,42,43,0,15,23,100,100,6,96,71,15,73
6,37,26,76,100,0,24,13,0,19,74,100,6,78,52,0,28
17,41,1,32,32,41,76,100,41,0,0,53,1,70,100,47,32
0,77,26,25,53,100,41,100,90,30,0,96,7,100,73,8,64
0,80,40,32,0,16,37,89,60,79,100,90,8,100,67,5,32
0,29,2,50,0,76,42,100,62,7,38,65,1,100,82,10,48
0,82,40,0,45,79,43,100,74,39,18,85,7,100,76,13,58
0,82,40,50,0,17,39,100,63,86,76,68,8,100,71,3,49
51,1,93,100,54,73,0,15,81,98,40,100,8,75,40,9,0
44,0,89,45,20,35,11,100,52,100,45,83,5,72,51,0,14
0,0,2,53,7,59,35,100,33,1,15,94,2,100,66,8,57
13,36,38,67,100,56,35,0,29,24,80,74,6,100,70,0,100
50,88,25,60,72,65,100,45,100,0,0,50,1,68,93,75,38
0,54,31,42,27,99,56,100,76,33,0,93,7,100,96,17,46
63,100,31,67,80,0,42,55,70,0,68,100,4,74,44,57,34
54,100,24,79,88,1,36,72,68,0,35,100,4,74,45,58,0
36,0,51,58,10,50,6,100,42,75,87,100,8,88,46,0,49
42,47,0,68,100,45,67,0,20,16,17,94,5,100,94,73,97
64,0,93,100,54,63,0,37,19,100,59,81,8,75,30,31,55
