,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class,real_identifier
0,2,15,2,3,3421,1,3,2,1,0,3,1,38,2,1,2,2,1,1,0,1,0
1,3,21,1,0,4189,0,2,3,2,0,4,1,29,2,0,1,2,1,1,0,1,0
2,2,12,2,1,2831,2,3,2,1,0,3,1,36,2,1,1,2,1,0,0,1,0
3,3,18,1,0,4608,1,2,1,2,0,4,0,34,2,0,1,1,2,0,0,1,0
4,1,30,2,3,5273,0,4,3,1,0,2,1,27,2,1,2,2,1,1,0,1,0
5,2,24,2,0,3729,2,3,2,2,0,4,1,40,2,1,1,2,1,0,0,1,0
6,3,15,1,3,3059,1,2,3,1,0,3,0,39,2,0,2,1,1,1,0,1,0
7,1,18,2,1,4291,0,3,2,2,0,4,1,33,2,1,1,2,1,0,0,1,0
8,3,12,2,0,3511,2,2,1,1,0,3,1,37,2,0,1,2,2,1,0,1,0
9,2,21,1,3,4939,1,3,3,2,0,2,1,30,2,1,2,2,1,0,0,2,0
10,2,32,1,2,4211,3,1,3,1,1,3,1,31,1,1,2,2,1,0,0,2,0
11,1,28,2,3,5832,1,2,1,2,0,3,2,35,2,0,1,3,2,1,0,1,0
12,0,18,1,1,3099,4,3,4,1,2,2,1,42,1,1,2,1,1,0,1,2,0
13,3,24,2,2,4678,0,1,3,2,1,4,0,29,2,1,1,2,2,1,0,1,0
14,2,33,1,0,5211,3,2,2,1,0,3,2,38,1,0,2,3,1,0,1,2,0
15,1,22,2,3,3963,1,3,1,2,2,2,1,32,2,1,1,2,2,1,0,1,0
16,0,19,1,1,2731,4,1,4,1,0,3,0,40,1,1,2,1,1,0,1,2,0
17,3,26,2,2,4298,0,2,3,2,1,4,2,30,2,1,1,2,2,1,0,1,0
18,2,34,1,0,4919,3,1,2,1,0,3,1,36,1,0,2,3,1,0,1,2,0
19,1,23,2,3,3651,1,3,1,2,2,2,1,34,2,1,1,2,2,1,0,1,0
20,2,21,3,2,4819,1,3,3,2,0,3,2,32,1,1,2,1,1,0,0,1,0
21,1,45,2,1,5712,0,2,3,2,0,2,3,38,2,1,1,2,1,0,0,1,0
22,3,19,4,4,1298,0,1,4,1,0,4,2,61,2,1,2,3,1,0,0,1,0
23,2,48,3,6,7012,0,4,4,2,0,4,3,55,2,2,1,2,1,0,0,2,0
24,1,13,4,3,2219,0,3,4,2,0,3,2,39,2,0,1,2,1,1,0,1,0
25,3,17,4,0,4445,4,4,1,1,0,4,2,63,2,1,1,2,1,1,0,1,0
26,2,48,2,3,6351,0,2,2,1,0,2,0,25,2,1,1,2,1,0,0,2,0
27,1,10,4,3,1819,0,3,4,2,0,3,2,37,2,0,1,2,1,1,0,1,0
28,3,16,4,0,4945,4,4,1,1,0,4,2,58,2,1,1,2,1,1,0,1,0
29,2,22,3,2,4919,1,3,3,2,0,3,2,34,1,1,2,1,1,0,0,1,0
30,2,19,3,2,2018,1,3,3,1,0,2,1,29,2,1,2,2,1,0,0,1,0
31,1,20,2,3,2867,0,2,2,1,0,3,2,25,2,1,1,2,1,0,0,2,0
32,2,22,3,2,1490,1,3,3,1,0,2,1,31,2,1,2,2,1,0,0,1,0
33,1,19,2,4,2088,0,2,2,1,0,3,2,24,2,1,1,2,1,0,0,2,0
34,3,21,3,3,2641,1,3,3,1,0,2,1,30,2,1,2,2,1,0,0,1,0
35,2,23,2,2,1923,0,2,2,1,0,3,2,26,2,1,1,2,1,0,0,2,0
36,1,20,3,3,2219,1,3,3,1,0,2,1,28,2,1,2,2,1,0,0,1,0
37,3,22,2,4,2402,0,2,2,1,0,3,2,27,2,1,1,2,1,0,0,2,0
