checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
2,19.912256871394597,1,4,1511.8142486239244,1,1,4.0,0,2,4.0,2,25.765306426480336,1,1,4.0,1,2.0,0,1,0
1,9.140937594545232,1,3,2537.0346991012293,4,2,3.0,2,2,4.0,1,24.44124169180011,1,0,1.0,1,1.0,1,1,1
1,32.63723039532527,3,2,1073.497542594577,1,1,3.0,3,2,3.0,0,32.14551968994942,0,1,1.0,1,1.0,0,1,0
1,24.644554854677157,1,0,1754.431833401572,4,4,2.0,3,2,4.0,3,41.568669403803014,1,0,2.0,1,1.0,1,1,0
1,24.99788761032194,1,3,3564.649961552131,1,0,1.0,0,2,2.0,2,37.77868999073938,1,0,1.0,1,1.0,1,1,0
3,24.297653995505033,3,2,3483.7084073026795,1,0,4.0,3,2,4.0,0,56.55502431012722,2,1,2.0,1,1.0,0,1,1
2,19.335738524897593,3,0,1374.1657928785319,1,1,4.0,3,2,4.0,0,25.959707184178832,1,2,1.0,1,1.0,0,1,1
1,12.20892000286291,3,4,2269.9147928259617,4,2,4.0,3,2,4.0,2,35.465913562521514,1,1,1.0,1,1.0,0,1,1
3,17.712453907630874,3,6,3035.005802260199,1,3,4.0,3,2,4.0,1,34.68533206967976,1,0,1.0,0,1.0,0,1,1
3,12.20974567682657,3,6,1335.763297849343,1,0,2.0,3,2,3.0,1,46.283715619129545,1,2,1.0,1,1.0,1,1,1
0,23.083122814347487,0,9,6431.667805137153,2,0,2.0,0,2,4.0,3,24.743034093602187,1,1,2.0,1,1.0,1,1,1
1,17.27242760863174,3,4,1636.2883163882277,2,3,2.0,0,2,4.0,0,28.98207520064698,1,2,1.0,3,1.0,1,1,0
3,24.85809046761478,2,6,2903.8750379859353,1,3,4.0,3,2,4.0,2,37.41045184883527,1,1,1.0,3,1.0,0,1,1
3,9.768838695238623,3,6,3675.978827654717,1,2,2.0,3,2,3.0,0,31.384355835861818,1,1,1.0,1,1.0,1,1,1
1,10.401569206190505,1,6,3909.4379836010544,1,2,4.0,0,2,2.0,2,26.189416376323635,0,1,2.0,0,1.0,1,1,0
3,23.819357008377008,2,6,2610.920416844348,2,2,1.0,0,2,3.0,0,25.322794780115757,1,1,1.0,0,1.0,0,1,1
1,9.00980473021766,3,6,1448.4491443828556,1,2,4.0,3,2,4.0,0,34.488890315360166,2,1,1.0,1,1.0,1,1,1
3,24.34460853874719,3,3,1457.048270804214,1,2,3.0,3,1,4.0,3,52.97771176016394,1,1,1.0,3,1.0,0,1,1
1,11.696443025927662,3,0,10668.15198716858,3,0,4.0,0,2,4.0,1,37.21985802188765,1,1,2.0,1,1.0,1,1,1
2,23.600996594443203,2,2,1466.3466171031841,4,0,4.0,3,2,4.0,1,27.44876117710025,1,1,1.0,1,1.0,1,1,0
3,14.939331706683113,1,3,3757.0939607848723,1,4,3.0,0,2,1.0,2,41.010084104068696,0,1,1.0,1,1.0,1,1,1
3,24.491379375552246,3,3,3689.718250016298,1,0,3.0,3,2,4.0,1,34.02705030078139,1,1,1.0,1,1.0,1,1,1
2,9.849949822235562,3,6,1317.2368555114067,1,0,4.0,3,2,2.0,3,31.046372586216986,1,1,2.0,1,1.0,0,1,1
1,24.7099927287416,1,4,5412.068738050002,1,1,4.0,3,2,1.0,1,66.7980003832933,1,1,2.0,1,2.0,1,1,1
1,24.05747310112412,3,9,4342.662403612398,1,3,4.0,3,0,4.0,0,64.78818656782735,1,1,2.0,1,1.0,0,1,1
2,18.378156251209234,3,9,3840.7212827684243,1,2,4.0,3,2,2.0,0,39.68533959228287,1,1,2.0,3,2.0,1,1,0
3,12.656414144438372,1,7,1521.427985763089,3,2,2.0,0,2,4.0,0,38.41017548692656,1,1,1.0,0,1.0,0,1,1
2,19.52447261063865,2,4,1364.3472401215083,4,0,4.0,2,2,3.0,3,26.16554405818853,1,1,1.0,1,1.0,1,1,1
1,10.72650447684984,3,6,1478.47446441963,2,2,4.0,3,2,4.0,1,26.504383369239733,0,2,1.0,1,1.0,1,1,1
3,31.01600798532157,3,3,1247.2524435005007,4,0,4.0,3,2,4.0,0,25.39069621682426,1,2,1.0,1,1.0,0,1,1
1,18.72876370916883,3,6,1319.5970541533118,4,4,3.0,0,2,2.0,1,27.136685951445855,1,2,2.0,0,1.0,0,1,1
1,11.519773856576576,3,6,1422.7966732407715,1,1,2.0,2,2,4.0,0,25.68139062353402,1,1,1.0,1,1.0,1,1,0
3,15.74191043727138,3,7,1719.0793464209337,3,2,3.0,1,2,3.0,3,26.996315745958846,1,1,1.0,1,1.0,1,1,1
3,23.590280523040228,1,0,3532.848511494283,2,2,1.0,3,2,4.0,3,54.443281664441656,1,2,1.0,1,2.0,0,1,0
3,12.875388927564467,3,4,1738.7734049806616,1,2,2.0,3,2,4.0,0,38.506010533582206,1,1,1.0,1,1.0,0,1,1
3,17.77094206211212,3,4,1456.5304804298692,4,2,2.0,0,2,2.0,1,57.317057979204,1,1,2.0,3,2.0,0,1,1
