checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
3,17.162752874626158,2,6,1507.7817506529807,1,0,3.0,0,2,4.0,1,69.9636775857122,1,2,2.0,1,1.0,1,1,1
2,37.194216521702714,1,4,2806.9782839095897,1,2,4.0,3,1,2.0,3,63.66585512932268,1,1,1.0,1,1.0,0,1,1
3,11.74490912235518,1,4,1341.5499508988003,4,1,4.0,3,2,1.0,0,35.64310710861494,1,1,1.0,1,1.0,0,1,0
1,19.04492892099629,3,3,1136.3781176088755,1,3,2.0,2,2,2.0,3,29.713839927442972,1,1,1.0,1,1.0,0,1,0
2,4.325450414623215,3,6,5343.069349627118,1,0,4.0,0,2,4.0,3,48.07796468996668,1,1,1.0,1,2.0,0,1,0
2,12.451967959811638,3,9,1666.6690707850603,3,2,3.0,0,2,4.0,0,31.632339946766646,1,2,1.0,1,1.0,0,1,1
1,8.439770261865307,1,3,4204.001245562595,2,0,4.0,3,2,4.0,2,39.216193017450124,1,0,1.0,3,1.0,0,1,0
2,14.178414472738094,4,6,4406.594459100148,2,2,4.0,0,2,1.0,0,35.04777907774919,1,1,2.0,1,1.0,0,1,0
1,24.48187667577138,3,2,3227.9438975523526,1,3,4.0,0,2,3.0,2,24.09015906890294,1,2,2.0,1,1.0,1,1,0
2,18.391023149641647,3,4,3710.749438661577,2,3,2.0,2,2,4.0,3,61.7826485855056,1,1,1.0,1,1.0,1,1,0
1,17.305652846007778,1,6,2281.7428480476938,1,0,1.0,0,2,4.0,2,22.525658911274597,1,0,2.0,1,1.0,0,1,1
1,18.55627400061996,3,6,2021.8751948853605,3,3,2.0,0,2,4.0,0,33.607689434093096,1,2,1.0,1,1.0,0,1,1
1,24.399619983679496,3,6,753.8555500636727,1,2,2.0,2,2,1.0,3,38.44570605799288,1,1,1.0,1,1.0,0,1,0
3,10.275459828418896,1,0,2971.2779404926623,4,2,4.0,3,2,2.0,2,61.80966429051335,1,0,2.0,3,1.0,0,1,1
1,7.400925896277434,1,3,2734.1989984871416,4,0,1.0,3,2,4.0,3,25.350774683665414,1,1,2.0,3,1.0,0,1,0
0,43.194181790958524,1,4,3371.6776663605838,0,0,4.0,3,0,4.0,2,26.465104960231844,1,0,1.0,0,2.0,0,1,1
