,i,j,X,Y,L,real_identifier
0,145.0,500.0,620000.0,900000.0,-12.0,0
1,45.0,250.0,470000.0,350000.0,-19.0,0
2,55.0,160.0,380000.0,190000.0,-27.0,0
3,230.0,340.0,810000.0,550000.0,6.0,0
4,150.0,480.0,620000.0,790000.0,-11.0,0
5,420.0,430.0,1160000.0,680000.0,42.0,0
6,135.0,640.0,670000.0,1200000.0,-17.0,0
7,160.0,210.0,590000.0,130000.0,-22.0,0
8,110.0,530.0,550000.0,950000.0,-14.0,0
9,25.0,170.0,390000.0,240000.0,-25.0,0
10,55.0,370.0,540000.0,600000.0,-12.0,0
11,75.0,260.0,520000.0,360000.0,-17.0,0
12,40.0,400.0,560000.0,590000.0,-14.0,0
13,220.0,330.0,790000.0,530000.0,2.0,0
14,60.0,560.0,540000.0,1030000.0,-16.0,0
15,50.0,660.0,610000.0,1250000.0,-22.0,0
16,45.0,240.0,470000.0,350000.0,-19.0,0
17,85.0,630.0,620000.0,1170000.0,-21.0,0
18,25.0,430.0,550000.0,630000.0,-19.5,0
19,110.0,260.0,580000.0,320000.0,-16.5,0
20,210.0,610.0,690000.0,1110000.0,-13.0,0
21,190.0,490.0,650000.0,820000.0,-9.0,0
22,50.0,630.0,600000.0,1180000.0,-23.0,0
23,135.0,470.0,600000.0,760000.0,-12.0,0
24,180.0,595.0,650000.0,1090000.0,-17.0,0
25,370.0,400.0,1080000.0,670000.0,34.0,0
26,260.0,380.0,840000.0,620000.0,11.0,0
27,145.0,580.0,620000.0,1060000.0,-18.0,0
28,160.0,250.0,670000.0,290000.0,-18.0,0
29,160.0,5.0,30000.0,170000.0,-50.0,0
30,328.0,445.0,975000.0,700000.0,23.5,0
31,60.0,412.0,570000.0,640000.0,-18.9,0
32,90.0,430.0,600000.0,650000.0,-17.5,0
33,310.0,400.0,950000.0,660000.0,21.5,0
34,85.0,470.0,560000.0,730000.0,-9.0,0
35,350.0,370.0,1060000.0,610000.0,29.0,0
36,340.0,410.0,1030000.0,680000.0,28.0,0
37,230.0,280.0,850000.0,450000.0,8.0,0
38,120.0,440.0,620000.0,690000.0,-4.0,0
39,320.0,420.0,970000.0,690000.0,24.0,0
40,152.0,490.0,610000.0,800000.0,-13.0,0
41,170.0,160.0,430000.0,30000.0,-32.0,0
42,180.0,280.0,740000.0,380000.0,-15.0,0
43,115.0,360.0,630000.0,540000.0,-5.0,0
44,340.0,370.0,1030000.0,620000.0,25.0,0
45,30.0,630.0,590000.0,1180000.0,-21.0,0
46,130.0,420.0,640000.0,650000.0,-7.0,0
47,175.0,600.0,650000.0,1100000.0,-18.0,0
48,70.0,560.0,540000.0,1030000.0,-15.0,0
49,75.0,140.0,360000.0,160000.0,-28.0,0
50,71.0,478.0,523456.1,789123.5,-18.7,0
51,190.0,200.0,450123.4,102345.6,-29.9,0
52,240.0,360.0,795678.9,612345.1,10.2,0
53,25.0,300.0,460000.0,500000.0,-14.5,0
54,230.0,400.0,810000.0,620000.0,9.1,0
55,85.0,150.0,420000.0,160000.0,-25.0,0
56,320.0,380.0,970000.0,660000.0,23.5,0
57,170.0,30.0,40000.0,135000.0,-45.0,0
58,160.0,620.0,680000.0,1190000.0,-15.0,0
59,130.0,340.0,650000.0,540000.0,-2.0,0
60,120.0,390.0,645000.5,590000.3,-1.0,0
61,200.0,80.0,120000.0,9000.0,-40.0,0
62,300.0,420.0,920000.0,670000.0,20.0,0
63,190.0,60.0,95000.0,56000.0,-48.0,0
64,40.0,320.0,480000.0,480000.0,-15.0,0
65,30.0,640.0,580000.0,1200000.0,-24.0,0
66,115.0,380.0,630000.0,570000.0,-0.5,0
67,100.0,340.0,610000.0,500000.0,-8.0,0
68,60.0,610.0,600000.0,1130000.0,-24.0,0
69,110.0,590.0,610000.0,1090000.0,-22.0,0
70,105.0,320.0,550000.0,470000.0,-10.0,0
71,290.0,370.0,920000.0,650000.0,18.0,0
72,360.0,380.0,1070000.0,660000.0,35.0,0
73,70.0,500.0,490000.0,880000.0,-20.5,0
74,50.0,580.0,580000.0,1090000.0,-24.0,0
75,250.0,410.0,820000.0,620000.0,12.0,0
76,340.0,440.0,1060000.0,740000.0,29.0,0
77,355.0,395.0,1080000.0,660000.0,34.0,0
78,150.0,60.0,110000.0,85000.0,-48.0,0
79,120.0,610.0,630000.0,1130000.0,-22.0,0
80,100.0,180.0,480000.0,140000.0,-20.0,0
81,50.0,300.0,470000.0,450000.0,-16.0,0
82,120.0,200.0,490000.0,180000.0,-24.0,0
83,260.0,400.0,860000.0,640000.0,14.0,0
84,170.0,280.0,710000.0,430000.0,-10.0,0
85,150.0,60.0,100000.0,90000.0,-51.0,0
86,110.0,510.0,555000.0,920000.0,-15.0,0
87,30.0,260.0,450000.0,410000.0,-18.0,0
88,160.0,600.0,660000.0,1120000.0,-18.0,0
89,160.0,330.0,705000.0,490000.0,-5.0,0
90,52.0,312.0,475000.3,450000.4,-17.5,0
91,118.0,278.0,620000.5,350000.2,-15.3,0
92,200.0,540.0,700000.1,1000000.7,-12.0,0
93,30.0,420.0,550000.9,620000.1,-19.0,0
94,140.0,100.0,260000.8,50000.3,-32.0,0
95,50.0,290.0,490000.2,400000.6,-17.8,0
96,220.0,580.0,680000.4,1080000.9,-10.5,0
97,135.0,260.0,630000.7,360000.5,-14.0,0
98,40.0,530.0,510000.6,1000000.2,-15.5,0
99,20.0,290.0,460000.4,430000.7,-16.0,0
100,315.0,405.0,960000.0,670000.0,23.5,0
101,145.0,420.0,670000.0,650000.0,1.2,0
102,130.0,320.0,645000.0,460000.0,-7.0,0
103,160.0,675.0,690000.0,1280000.0,-22.0,0
104,410.0,430.0,1140000.0,680000.0,36.0,0
105,45.0,70.0,250000.0,150000.0,-34.0,0
106,110.0,360.0,625000.0,545000.0,-4.0,0
107,300.0,440.0,930000.0,700000.0,21.0,0
108,108.0,340.0,620000.0,495000.0,-5.5,0
109,240.0,280.0,860000.0,470000.0,7.5,0
110,150.0,460.0,600000.0,700000.0,-10.0,0
111,55.0,500.0,480000.0,950000.0,-21.0,0
112,80.0,60.0,190000.0,130000.0,-34.0,0
113,70.0,350.0,560000.0,500000.0,-11.0,0
114,250.0,400.0,830000.0,650000.0,15.0,0
115,210.0,640.0,740000.0,1220000.0,-19.0,0
116,30.0,140.0,330000.0,180000.0,-26.0,0
117,110.0,240.0,570000.0,290000.0,-16.0,0
118,190.0,460.0,680000.0,720000.0,0.0,0
119,100.0,580.0,620000.0,1110000.0,-22.0,0
120,100.0,300.0,480000.0,450000.0,-15.0,0
121,350.0,400.0,1020000.0,670000.0,26.5,0
122,60.0,40.0,200000.0,170000.0,-30.0,0
123,290.0,410.0,930000.0,690000.0,21.0,0
124,95.0,190.0,470000.0,180000.0,-23.0,0
125,185.0,240.0,720000.0,220000.0,-17.5,0
126,210.0,440.0,730000.0,680000.0,1.0,0
127,75.0,100.0,290000.0,125000.0,-31.0,0
128,170.0,460.0,640000.0,770000.0,-6.5,0
129,85.0,520.0,530000.0,930000.0,-19.0,0
130,150.0,140.0,395000.0,60000.0,-32.0,0
131,90.0,640.0,620000.0,1250000.0,-23.5,0
132,180.0,330.0,730000.0,520000.0,-5.0,0
133,120.0,310.0,640000.0,460000.0,-6.5,0
134,230.0,360.0,790000.0,570000.0,7.0,0
135,85.0,190.0,480000.0,210000.0,-19.5,0
136,105.0,560.0,590000.0,1050000.0,-14.5,0
137,160.0,320.0,710000.0,480000.0,-7.0,0
138,205.0,660.0,720000.0,1260000.0,-20.5,0
139,320.0,440.0,990000.0,710000.0,27.0,0
140,98.0,234.0,520000.5,290000.7,-19.8,0
141,180.0,620.0,685000.0,1150500.0,-15.5,0
142,225.0,305.0,810000.0,495000.0,4.0,0
143,170.0,320.0,730000.0,500000.0,-7.0,0
144,30.0,360.0,510000.0,540000.0,-11.5,0
145,105.0,550.0,560000.0,1010000.0,-14.0,0
146,155.0,580.0,620000.0,1070000.0,-17.5,0
147,40.0,550.0,510000.0,1025000.0,-17.0,0
148,120.0,655.0,650000.0,1235000.0,-20.5,0
149,110.0,210.0,530000.0,205000.0,-22.0,0
150,140.0,590.0,650000.0,1100000.0,-15.0,0
151,210.0,450.0,720000.0,700000.0,0.0,0
152,360.0,460.0,1070000.0,730000.0,30.0,0
153,300.0,370.0,930000.0,630000.0,18.0,0
154,100.0,570.0,600000.0,1080000.0,-22.0,0
155,190.0,400.0,720000.0,610000.0,3.0,0
156,90.0,130.0,340000.0,120000.0,-28.0,0
157,40.0,130.0,330000.0,170000.0,-28.5,0
158,190.0,220.0,680000.0,110000.0,-20.0,0
159,110.0,190.0,490000.0,180000.0,-23.0,0
160,88.0,150.0,462000.7,160000.2,-24.0,0
161,35.0,620.0,575000.0,1180000.0,-22.5,0
162,160.0,500.0,610000.0,920000.0,-12.0,0
163,140.0,410.0,660000.0,610000.0,2.0,0
164,65.0,640.0,615000.0,1240000.0,-23.0,0
165,150.0,290.0,690000.0,400000.0,-10.5,0
166,30.0,390.0,540000.0,580000.0,-15.5,0
167,180.0,50.0,60000.0,80000.0,-50.0,0
168,185.0,30.0,28000.0,120000.0,-48.5,0
169,120.0,180.0,485000.0,140000.0,-24.5,0
170,75.0,510.0,510000.0,900000.0,-17.5,0
171,110.0,550.0,550500.0,970000.0,-14.9,0
172,85.0,600.0,620000.0,1150000.0,-21.0,0
173,45.0,90.0,270000.0,150000.0,-31.5,0
174,130.0,520.0,570000.0,910000.0,-12.3,0
175,65.0,480.0,490000.0,820000.0,-19.0,0
176,95.0,505.0,525000.0,860000.0,-15.5,0
177,100.0,515.0,540000.0,940000.0,-16.0,0
178,40.0,540.0,480000.0,970000.0,-20.0,0
179,135.0,590.0,620000.0,1080000.0,-19.5,0
180,120.0,180.0,450000.0,160000.0,-20.0,0
181,160.0,350.0,690000.0,530000.0,-2.0,0
182,60.0,480.0,480000.0,820000.0,-18.0,0
183,70.0,320.0,540000.0,490000.0,-10.0,0
184,90.0,370.0,600000.0,560000.0,-5.0,0
185,190.0,340.0,740000.0,530000.0,-4.0,0
186,360.0,430.0,1060000.0,700000.0,32.0,0
187,200.0,320.0,760000.0,520000.0,-1.0,0
188,150.0,280.0,680000.0,370000.0,-13.0,0
189,310.0,390.0,965000.0,665000.0,23.0,0
190,172.0,500.0,640000.0,830000.0,-10.0,0
191,160.0,40.0,59000.0,106000.0,-50.0,0
192,140.0,300.0,655000.0,425000.0,-8.5,0
193,70.0,210.0,476000.0,259000.0,-22.0,0
194,320.0,390.0,980000.0,651000.0,23.0,0
195,120.0,620.0,638000.0,1156000.0,-19.0,0
196,130.0,490.0,578000.0,803000.0,-13.0,0
197,170.0,460.0,651000.0,719000.0,-1.0,0
198,150.0,670.0,676000.0,1279000.0,-21.5,0
199,130.0,560.0,588000.0,1029000.0,-14.0,0
200,112.0,180.0,530000.0,250000.0,-15.2,0
201,45.0,390.0,555000.0,580000.0,-10.5,0
202,75.0,310.0,550000.0,480000.0,-11.8,0
203,140.0,550.0,610000.0,1050000.0,-13.7,0
204,60.0,380.0,570000.0,560000.0,-9.0,0
205,20.0,150.0,340000.0,220000.0,-26.5,0
206,170.0,340.0,720000.0,520000.0,-4.5,0
207,110.0,240.0,580000.0,300000.0,-17.5,0
208,250.0,270.0,900000.0,470000.0,9.5,0
209,50.0,670.0,610000.0,1270000.0,-23.5,0
210,305.0,372.0,980123.4,620345.2,20.5,0
211,210.0,310.0,790567.8,439876.5,-4.7,0
212,285.0,380.0,890234.1,650789.3,16.2,0
213,430.0,440.0,1170450.0,678345.7,45.0,0
214,130.0,470.0,615789.5,735678.4,-2.8,0
215,150.0,420.0,670234.3,650123.5,0.5,0
216,275.0,410.0,875678.9,655789.6,16.8,0
217,50.0,70.0,260123.4,155678.9,-32.0,0
218,65.0,250.0,505678.1,354789.0,-17.0,0
219,250.0,430.0,820567.2,657890.1,12.5,0
220,75.0,310.0,540000.0,450000.0,-14.0,0
221,135.0,540.0,570000.0,970000.0,-13.0,0
222,210.0,290.0,795000.0,440000.0,-0.5,0
223,165.0,450.0,655000.0,705000.0,0.2,0
224,150.0,410.0,665000.0,630000.0,1.8,0
225,205.0,570.0,645000.0,1035000.0,-8.5,0
226,85.0,680.0,635000.0,1290000.0,-23.5,0
227,90.0,600.0,600000.0,1100000.0,-24.5,0
228,160.0,85.0,180000.0,36000.0,-41.0,0
229,250.0,430.0,815000.0,655000.0,12.5,0
230,112.0,378.0,530000.0,550000.0,-10.0,0
231,160.0,600.0,680000.0,1200000.0,-15.0,0
232,200.0,580.0,650000.0,1060000.0,-10.0,0
233,140.0,520.0,570000.0,900000.0,-11.0,0
234,240.0,270.0,880000.0,450000.0,9.0,0
235,390.0,420.0,1110000.0,680000.0,35.0,0
236,140.0,440.0,640000.0,680000.0,-3.0,0
237,100.0,220.0,520000.0,250000.0,-20.0,0
238,90.0,570.0,570000.0,1040000.0,-14.0,0
239,135.0,530.0,570000.0,930000.0,-13.0,0
240,145.0,520.0,690000.0,1000000.0,-12.0,0
241,75.0,480.0,560000.0,750000.0,-8.0,0
242,180.0,430.0,680000.0,660000.0,2.0,0
243,60.0,700.0,620000.0,1300000.0,-23.0,0
244,100.0,330.0,590000.0,480000.0,-10.0,0
245,135.0,580.0,610000.0,1070000.0,-17.0,0
246,175.0,320.0,730000.0,490000.0,-11.0,0
