,i,j,X,Y,L,real_identifier
0,278.0,418.0,943219.1,819382.9,10.8,0
1,122.0,90.0,309919.7,62819.1,-29.5,0
2,82.0,506.0,529091.9,881919.1,-14.9,0
3,238.0,394.0,822919.1,639382.9,6.2,0
4,118.0,458.0,623091.9,749382.9,-0.5,0
5,54.0,662.0,623091.9,1303829.1,-20.9,0
6,70.0,272.0,523091.9,394382.9,-15.1,0
7,140.0,326.0,683091.9,486382.9,-3.9,0
8,112.0,198.0,507091.9,183382.9,-22.5,0
9,298.0,378.0,939091.9,649382.9,18.2,0
10,123.0,491.0,623191.9,822351.8,-12.1,0
11,201.0,311.0,751039.4,629011.3,3.2,0
12,149.0,247.0,656219.8,193419.1,-20.5,0
13,264.0,349.0,868391.2,592191.9,10.8,0
14,118.0,519.0,559823.1,933491.8,-16.9,0
15,181.0,279.0,699191.9,349823.1,-18.1,0
16,209.0,661.0,739823.1,1273919.1,-19.3,0
17,384.0,398.0,1111919.1,671039.4,36.5,0
18,109.0,591.0,609823.1,1093919.1,-24.5,0
19,251.0,287.0,869823.1,469191.9,9.2,0
20,140.0,378.0,632191.1,567819.5,-10.8,0
21,28.0,618.0,538219.9,1149852.1,-25.1,0
22,204.0,450.0,694823.5,687191.8,-4.5,0
23,96.0,258.0,586399.2,390129.9,-18.9,0
24,40.0,562.0,513491.8,1036151.9,-20.2,0
25,168.0,434.0,649198.4,654819.1,0.9,0
26,192.0,522.0,623951.7,941198.5,-7.5,0
27,20.0,310.0,442819.1,461491.9,-14.8,0
28,220.0,582.0,701392.9,1071568.2,-9.9,0
29,148.0,498.0,609829.5,843819.1,-11.7,0
30,220.0,492.0,752819.1,881351.9,-10.3,0
31,118.0,630.0,693151.4,1239119.8,-20.1,0
32,248.0,380.0,829292.5,591839.2,15.6,0
33,180.0,46.0,65492.2,115813.1,-44.9,0
34,208.0,70.0,125431.9,-31.9,-41.1,0
35,262.0,418.0,859011.8,673821.9,14.2,0
36,168.0,522.0,603291.5,964396.2,-11.9,0
37,112.0,678.0,660830.9,1304944.8,-21.8,0
38,148.0,58.0,132974.6,77267.9,-46.3,0
39,86.0,568.0,572083.8,1046311.6,-12.5,0
40,245.0,512.0,876532.9,822119.8,10.2,0
41,92.0,372.0,523191.4,566839.1,-4.9,0
42,198.0,584.0,692819.2,1056329.5,-11.4,0
43,142.0,508.0,603492.1,923819.3,-9.1,0
44,358.0,462.0,1098231.9,759201.9,31.9,0
45,44.0,258.0,481935.5,361992.3,-16.5,0
46,422.0,438.0,1173519.4,679492.8,45.1,0
47,90.0,394.0,606211.9,613492.1,-3.9,0
48,172.0,412.0,694201.9,651819.3,2.9,0
49,134.0,326.0,654819.2,471492.1,-6.1,0
50,118.0,276.0,421911.9,739281.8,-24.9,0
51,58.0,468.0,591819.4,953281.2,-10.5,0
52,168.0,28.0,201911.1,186428.9,-39.8,0
53,30.0,322.0,481991.8,529011.4,-16.2,0
54,182.0,394.0,703428.9,582819.1,-6.8,0
55,46.0,86.0,296819.2,163428.9,-29.1,0
