i,j,X,Y,L
343,255,605238.8764284465,1098413.507628606,-60.5
409,259,1164293.0,605394.1176781899,-30.405840778641483
440,430,726959.5130533276,1123575.7850747544,-30.405840778641483
367,430,605238.8764284465,539354.8011078871,-60.5
286,680,1164293.0,1010440.9653693204,-30.405840778641483
188,680,1164293.0,700248.5470032245,-5.174080569644623
359,680,436544.04686611873,694671.6571230098,-19.523630779084368
380,680,436544.04686611873,701252.2447152508,-5.174080569644623
365,259,1164293.0,1294061.193253888,-30.405840778641483
158,430,726959.5130533276,1274248.4691623838,-19.523630779084368
440,259,726959.5130533276,1091997.9867582007,-27.41122986320948
340,680,605238.8764284465,1055584.9500063872,-30.405840778641483
53,205,1164293.0,694594.6274279043,-5.174080569644623
324,430,726959.5130533276,485347.6611189704,-60.5
365,259,436544.04686611873,763911.6258906715,-19.523630779084368
241,430,436544.04686611873,1311984.3,-5.174080569644623
123,430,436544.04686611873,1264797.3826016325,-31.31389180508521
345,259,605238.8764284465,633137.3628265528,-19.523630779084368
351,259,1164293.0,1178800.7664656632,-19.523630779084368
324,513,605238.8764284465,393403.0828925349,-30.405840778641483
347,259,605238.8764284465,524986.7491044891,-5.174080569644623
282,680,1164293.0,1220672.9148734969,-60.5
322,430,1164293.0,1058003.7829301425,-30.405840778641483
339,259,605238.8764284465,665544.8556894682,-30.405840778641483
338,513,436544.04686611873,1024331.424318787,-30.405840778641483
278,413,1164293.0,445812.1685408119,-30.405840778641483
330,680,726959.5130533276,1234077.798245985,-5.174080569644623
440,680,1164293.0,581219.5130166054,-5.174080569644623
140,680,436544.04686611873,1119048.9947641557,-60.5
385,430,605238.8764284465,1113911.6454178984,-5.174080569644623
329,430,605238.8764284465,209029.7790304433,-30.405840778641483
341,680,605238.8764284465,693120.6467766066,-60.5
357,513,1164293.0,165265.34817091684,-60.5
303,680,1164293.0,205433.79376725137,-19.523630779084368
312,430,605238.8764284465,470958.4560569376,-60.5
343,680,605238.8764284465,720832.9463488826,-19.523630779084368
232,501,726959.5130533276,435027.48993155855,-5.174080569644623
361,680,605238.8764284465,200946.73089406377,-60.5
426,430,1164293.0,1103953.7518189396,-60.5
301,680,605238.8764284465,975208.5311400692,-30.405840778641483
350,548,1164293.0,1143166.762277648,-19.523630779084368
326,513,1164293.0,952194.7451593832,-5.174080569644623
339,680,1164293.0,1185744.1661162758,-19.523630779084368
347,430,605238.8764284465,1311984.3,-60.5
334,680,726959.5130533276,945599.3085695024,-5.174080569644623
393,430,1164293.0,743349.0870590408,-60.5
400,680,436544.04686611873,739476.100325031,-19.523630779084368
388,212,1164293.0,583297.3559070926,-30.405840778641483
356,259,1164293.0,1308397.74942654,-19.523630779084368
440,259,605238.8764284465,774035.1747131948,-19.523630779084368
298,430,1164293.0,970137.0184024218,-60.5
440,430,1164293.0,212244.27909632653,-60.5
157,430,1164293.0,1295064.437178277,-60.5
123,489,436544.04686611873,1148492.0229799177,-5.174080569644623
