i,j,X,Y,L
42,631,684801.2974444547,655823.9942853074,-21.62595036242929
159,404,610696.7933255142,126115.43565959144,-21.627512109652645
42,404,610879.6996166374,126377.32681549876,-21.61586837394341
104,405,685300.0642207377,656236.7405858762,-13.932589525268575
159,404,610038.671224732,125270.300957693,-14.02224839697371
42,404,683870.3709249904,655097.6887754537,-14.0335284849768
74,404,685055.7460932441,656028.2981177836,-13.95099524924531
159,405,611199.5067449018,126805.85357812372,-13.929428705387403
42,277,611214.1717079057,126809.77201966508,-13.929552495158866
42,404,610593.093466045,126017.36129879262,-13.97722501701462
73,404,610372.7236319069,655515.1992260724,-13.996319385325425
159,404,684784.6310283891,126149.72340505716,-13.96880950487826
74,405,611244.3879396764,126877.47261168482,-13.9252577344593
42,404,610767.9412481519,126222.97933940103,-21.622757634813176
159,404,610133.5036987177,125388.95298341748,-21.661103958403206
367,404,684567.0217527983,125878.57575488037,-13.985517045285052
159,277,610847.3081646111,548914.8301118974,-21.61839374174012
42,405,489743.50574535184,550402.1523429431,-13.894519581961424
160,405,611406.830672245,656469.445975099,-13.912100380690122
74,404,610972.3619457635,656065.8878098284,-21.609918341614677
42,404,611013.7781205459,656105.4751299676,-21.607304180635325
159,404,610770.7614371281,126228.31292727444,-13.964859295774875
42,404,610330.5032626117,125645.8486047369,-13.99917486050261
159,404,610874.5427783408,655974.5773729137,-21.61620935986597
73,276,610635.5563527069,126092.0328046928,-21.62886140266102
42,404,610227.047887717,655405.161658117,-14.006515879462064
73,404,610142.286100828,125373.49555009352,-21.661721877003373
42,404,684671.5648114952,655729.0553515767,-21.632637451620678
159,276,684520.6214776014,655617.9098451105,-21.640224378733528
159,277,489322.3140410523,656279.0646897478,-13.928451133279502
159,405,611309.9773792189,549802.8006815426,-13.92065681330767
159,404,610948.9143249122,656053.3825799086,-13.948948639275796
159,404,684083.235145602,125345.30211869952,-14.017677836946008
127,277,611248.5779347267,656328.2698498609,-13.924097740686536
42,405,611464.3625224408,127187.126444583,-13.906554874243657
159,404,611061.318094904,656129.1534041372,-13.941948603014668
160,405,611703.4338527594,127506.12904541472,-21.564090815489298
159,161,611320.5329338365,656377.1047094766,-13.919972502635286
159,404,610842.1513263144,548952.6040935374,-13.957174286046047
42,404,610304.2364757324,655470.2074988071,-14.000315786163956
159,404,610529.3591623913,125890.440574751,-13.984806477721277
159,404,611073.9685781944,126656.5188581964,-21.602841868997608
42,76,685100.0641299319,1070384.7111239815,-13.94894211329114
