,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,real_identifier
0,0,72,42,7,20,5,0,0,98,-7,7,8,7,3,35,1,2,2,25,95,1,2,1,78,0
1,0,62,135,15,79,8,2,1,58,15,5,3,12,0,38,-6,1,1,78,-5,3,1,2,81,0
2,0,75,63,17,45,7,0,0,100,-7,7,8,7,1,52,3,2,1,2,90,0,3,-7,69,0
3,1,84,210,6,72,19,0,0,100,-7,7,8,23,1,18,3,1,1,2,-7,1,2,1,16,0
4,1,78,230,81,126,11,0,0,72,10,3,5,12,0,2,-6,0,0,3,-7,2,-7,0,35,0
5,1,87,172,24,88,32,0,0,100,-7,7,8,34,0,37,22,0,0,3,-7,3,2,0,35,0
6,0,56,38,16,25,7,1,1,85,5,0,6,7,0,69,-6,2,2,82,88,2,3,1,102,0
7,0,67,83,11,42,10,0,0,100,-7,7,8,10,1,13,0,1,1,40,-7,4,1,2,77,0
8,1,93,345,3,128,17,0,0,100,-7,7,8,19,2,19,-9,0,0,6,-7,2,2,0,31,0
9,0,49,172,7,73,20,0,0,64,3,3,5,22,1,35,0,0,0,85,50,6,3,4,66,0
10,1,75,200,10,100,20,0,0,95,5,5,6,20,3,30,1,1,1,40,50,3,2,1,80,0
11,0,82,180,15,90,25,0,0,98,0,4,5,28,2,35,0,2,2,20,60,4,3,0,85,0
12,1,68,150,12,70,15,1,0,90,8,6,7,18,4,40,2,3,2,55,30,6,2,1,90,0
13,0,90,220,30,110,30,0,0,99,-5,3,4,35,5,50,0,1,1,10,40,5,4,0,95,0
14,1,60,100,8,50,10,0,1,85,7,5,7,12,1,45,3,4,3,70,20,7,1,2,75,0
15,0,85,240,18,120,32,0,0,97,-3,2,3,38,6,55,1,2,2,15,35,6,5,0,88,0
16,1,70,170,25,85,18,0,0,89,9,4,5,22,3,38,4,3,3,50,65,8,3,1,92,0
17,0,55,60,3,30,8,0,0,82,6,5,6,10,1,60,0,2,1,80,55,6,2,1,78,0
18,1,62,130,20,65,12,0,1,87,4,6,7,15,2,42,2,3,2,45,25,5,1,2,79,0
19,0,67,190,12,95,22,0,0,93,2,4,5,25,3,48,1,2,1,35,55,4,3,0,86,0
20,1,85,300,20,120,10,0,0,95,10,6,7,12,1,45,3,2,2,20,10,3,2,1,60,0
21,0,73,150,5,70,20,1,1,90,12,5,6,25,2,50,1,3,3,30,20,4,3,2,70,0
22,1,88,250,50,100,15,0,0,98,-7,7,8,18,1,35,4,1,1,10,5,2,1,0,55,0
23,0,65,180,10,80,12,2,2,85,14,4,5,20,3,40,6,4,4,25,15,3,2,1,65,0
24,1,90,320,30,140,18,0,0,99,-7,7,8,22,0,38,2,0,0,5,8,1,1,0,45,0
25,0,70,100,15,60,8,1,1,88,11,5,6,10,1,55,5,3,3,35,25,4,3,2,75,0
26,1,87,270,40,130,14,0,0,96,9,6,7,16,2,42,3,1,1,15,12,2,2,1,62,0
27,0,68,160,25,90,10,1,1,92,13,5,6,14,1,48,4,2,2,28,18,3,2,1,68,0
28,1,93,340,35,150,20,0,0,100,-7,7,8,24,0,32,1,0,0,3,10,1,2,0,43,0
29,0,72,140,12,75,9,1,1,87,10,4,5,11,1,52,5,3,3,33,22,4,3,2,72,0
30,0,59,130,8,68,19,1,0,75,2,5,7,23,1,15,-6,0,0,58,50,10,2,4,93,0
31,1,78,175,4,92,13,0,0,98,-6,6,8,13,3,27,0,1,1,32,85,5,3,2,82,0
32,1,66,220,40,106,16,0,0,90,12,5,7,17,1,52,2,3,3,58,12,4,2,3,85,0
33,1,84,230,3,81,44,0,0,99,-6,6,8,18,5,22,0,7,7,11,-6,8,1,1,52,0
34,1,82,232,7,86,36,0,0,96,26,5,7,35,2,34,2,3,3,13,48,6,3,1,66,0
35,0,63,48,3,25,10,1,1,99,-6,5,7,11,3,42,2,6,5,58,74,6,3,1,90,0
36,1,84,400,2,106,35,0,0,99,-6,6,8,36,2,20,2,3,3,8,48,5,3,1,64,0
37,0,68,154,6,76,21,3,2,89,15,4,3,24,3,54,6,2,2,2,59,1,4,-6,77,0
38,1,73,501,3,90,34,0,0,99,-6,6,8,37,5,55,2,5,5,31,82,8,7,3,74,0
39,1,62,133,7,52,32,0,0,99,-6,6,8,32,3,37,11,1,1,77,56,15,6,9,97,0
40,1,75,180,10,85,28,0,0,98,0,7,8,30,2,25,1,1,1,15,65,3,3,1,60,0
41,0,65,120,15,60,10,0,1,92,20,5,7,15,1,30,5,2,2,85,45,5,1,0,80,0
42,1,80,250,5,100,35,0,0,99,-5,6,6,40,4,28,0,1,1,10,70,2,5,0,55,0
43,0,60,100,20,50,12,1,1,90,30,5,7,20,2,35,3,1,1,75,55,3,2,1,70,0
44,1,72,150,6,90,22,0,0,96,1,4,5,25,3,32,2,0,0,20,60,4,3,0,65,0
45,0,68,130,8,55,15,1,1,85,25,4,6,18,1,40,4,2,2,90,50,5,1,1,85,0
46,1,77,220,12,95,32,0,0,97,2,5,5,35,4,26,1,1,1,12,68,3,4,0,62,0
47,0,63,140,18,70,14,1,2,88,15,6,7,22,3,38,6,2,2,78,48,4,3,1,75,0
48,1,74,160,7,88,25,0,0,95,5,3,4,28,2,34,3,1,1,18,62,3,4,1,64,0
49,0,66,110,14,58,11,1,1,89,22,5,6,17,1,42,2,1,1,82,52,4,1,1,78,0
50,1,78,310,12,120,22,1,1,95,20,5,7,24,2,42,3,1,1,40,50,4,3,1,70,0
51,0,60,200,18,90,15,2,2,82,10,3,5,20,1,35,5,2,2,25,10,7,2,0,75,0
52,1,85,150,5,60,25,0,0,100,-7,7,8,25,3,45,0,0,0,20,80,6,4,1,90,0
53,0,55,400,25,130,10,3,3,70,15,4,6,13,0,30,10,3,3,15,-5,5,1,0,65,0
54,1,88,180,8,70,18,1,1,98,22,6,7,19,2,50,2,1,1,35,45,3,5,1,80,0
55,0,67,210,14,110,12,2,2,88,18,3,5,16,1,37,6,2,2,28,12,6,2,0,72,0
56,1,92,170,7,95,20,0,0,100,-7,7,8,22,3,48,0,0,0,18,85,4,6,1,92,0
57,0,63,240,19,100,14,2,2,85,12,4,6,18,2,32,4,3,3,22,5,8,3,0,78,0
58,1,74,360,9,115,30,1,1,90,30,5,4,32,4,36,1,2,2,30,15,9,4,1,85,0
59,0,58,220,22,85,11,3,3,75,25,6,3,12,0,25,8,4,4,12,-10,4,0,0,60,0
60,0,68,90,5,28,20,0,0,95,40,5,4,21,5,50,1,3,3,30,70,5,5,1,75,0
61,1,75,140,20,65,6,0,0,85,20,6,6,6,1,55,-6,2,2,15,60,2,3,0,70,0
62,0,64,120,10,50,40,1,1,90,-6,7,8,45,3,30,1,1,1,25,-5,8,2,2,55,0
63,0,72,75,4,40,25,0,0,98,-6,6,8,30,2,35,1,0,0,40,95,4,4,1,50,0
64,1,80,130,25,70,8,0,0,78,30,5,5,10,1,65,-6,1,1,12,68,1,3,0,78,0
65,0,60,170,22,85,5,2,1,50,10,4,5,8,1,20,1,3,3,88,-5,5,-5,2,85,0
66,1,85,150,1,60,12,0,0,100,-6,7,8,20,3,30,1,1,1,10,-5,3,-5,1,42,0
67,0,65,100,8,55,30,2,2,88,25,6,6,32,4,18,1,0,0,35,60,9,3,1,65,0
68,0,69,85,2,48,18,0,0,92,-6,5,7,24,3,12,1,2,2,85,90,6,2,3,78,0
69,1,72,-7,6,66,14,1,1,91,28,6,3,15,3,38,-6,1,1,52,80,5,3,0,98,0
70,1,77,85,5,42,20,0,0,100,-7,7,8,20,3,30,1,1,1,10,85,2,3,0,29,0
71,1,82,135,8,65,16,0,0,100,-7,7,8,16,2,35,5,0,0,15,-6,2,2,0,55,0
72,1,84,125,10,60,21,0,0,100,-7,7,8,21,1,48,0,0,0,3,-7,2,1,0,35,0
73,0,85,150,70,130,10,0,0,100,-7,7,8,10,0,45,-8,0,0,13,-7,3,-7,0,98,0
74,0,58,195,7,90,30,2,1,80,20,5,3,33,2,40,-6,2,2,40,95,10,2,1,85,0
75,0,39,380,2,115,11,6,3,65,1,1,6,18,3,20,1,1,1,60,75,7,4,2,83,0
76,1,67,205,4,64,18,0,0,88,20,5,7,18,3,25,1,1,1,45,62,4,3,1,87,0
77,1,61,270,4,125,31,3,3,90,3,3,5,34,2,13,1,0,0,35,72,15,3,0,94,0
78,1,87,220,6,95,13,0,0,100,-7,7,8,13,2,18,-8,0,0,5,-7,2,-7,0,40,0
79,1,72,225,13,105,34,0,0,100,-7,7,8,35,1,23,20,0,0,70,68,7,4,1,70,0
80,0,72,300,7,90,15,0,0,85,20,5,7,18,5,30,1,2,2,70,60,5,3,1,75,0
81,1,82,180,12,80,25,0,0,100,-7,7,8,28,0,15,0,0,0,10,5,3,1,0,40,0
82,0,65,100,2,50,12,0,0,98,-7,6,7,15,4,40,3,3,3,50,70,4,2,1,60,0
83,1,87,210,8,95,30,0,0,100,-7,7,8,35,1,18,1,1,1,20,10,2,1,0,45,0
84,0,69,150,5,60,16,0,0,90,10,5,7,22,3,35,2,4,4,65,55,5,3,2,70,0
85,0,74,220,3,85,20,0,0,95,25,6,7,25,2,25,0,1,1,55,45,4,2,1,65,0
86,1,85,250,10,100,28,0,0,100,-7,7,8,34,1,20,0,0,0,15,10,3,2,0,50,0
87,0,68,130,4,55,14,0,0,88,15,5,7,17,3,38,1,3,3,60,50,4,2,1,68,0
88,1,83,190,6,75,24,0,0,100,-7,7,8,30,0,22,0,1,1,18,8,2,1,0,55,0
89,0,71,140,5,65,17,0,0,92,18,6,7,21,2,32,2,2,2,58,48,5,3,1,72,0
90,1,75,120,10,90,18,0,0,92,5,5,7,20,2,30,-6,2,1,30,70,4,3,1,65,0
91,0,62,200,15,75,15,1,0,85,20,6,5,25,3,40,1,3,2,50,80,6,5,2,75,0
92,1,88,250,8,95,30,0,0,100,-7,7,8,35,2,35,0,1,1,20,60,5,4,0,68,0
93,0,70,300,12,85,25,0,1,90,30,6,7,30,4,50,3,4,3,40,50,7,6,3,80,0
94,1,85,180,5,90,20,0,0,95,10,5,6,22,1,45,-5,2,2,25,55,3,4,1,70,0
95,0,65,220,7,70,12,1,0,88,15,5,5,15,2,25,2,3,3,45,65,4,3,2,60,0
96,1,78,160,9,80,17,0,0,98,-7,6,7,18,3,35,0,1,1,15,45,2,3,0,55,0
97,0,60,140,14,60,10,2,1,80,25,5,4,12,4,20,1,4,3,55,75,5,2,3,85,0
98,1,82,130,6,65,14,0,0,99,-7,6,7,16,2,30,-6,2,1,35,65,3,4,1,62,0
99,0,58,210,11,55,8,3,1,78,18,5,3,10,5,15,2,5,4,60,85,4,3,4,90,0
100,0,60,140,20,75,10,3,2,80,15,3,4,15,2,30,5,2,2,40,20,3,2,1,60,0
101,1,85,190,5,90,25,0,0,95,-8,6,6,25,3,50,0,1,1,15,85,4,3,0,55,0
102,0,50,100,30,60,6,1,1,70,20,5,3,10,1,40,2,1,1,30,10,2,1,0,65,0
103,1,78,160,15,80,20,0,0,90,-7,4,5,20,2,35,3,1,1,20,75,3,2,0,60,0
104,0,65,120,25,70,15,2,1,85,10,3,4,18,2,25,1,2,2,45,30,5,3,1,70,0
105,1,90,200,7,95,30,0,0,100,-8,5,7,30,3,55,0,1,1,5,95,2,4,0,50,0
106,0,55,85,18,50,8,1,1,75,12,2,3,12,1,45,4,3,3,35,25,3,2,0,65,0
107,1,88,175,9,85,28,0,0,97,-7,4,5,28,2,48,1,0,0,10,90,4,3,0,55,0
108,0,62,130,22,70,12,2,1,85,18,3,4,14,2,35,3,1,1,50,40,3,2,1,68,0
109,1,82,150,6,65,18,0,0,93,-8,4,5,18,3,52,2,0,0,12,85,3,2,0,58,0
110,1,72,150,6,60,15,0,0,95,10,6,6,16,2,35,5,1,1,50,20,5,2,1,70,0
111,0,85,200,3,85,30,0,0,100,-7,7,8,25,1,20,0,0,0,30,-5,4,1,0,60,0
112,1,67,50,4,35,5,0,0,100,-7,7,8,6,3,50,1,2,2,70,60,2,2,1,80,0
113,0,77,180,10,90,25,0,0,100,-7,7,8,20,2,30,0,0,0,40,-8,3,1,0,65,0
114,1,62,30,1,15,7,0,0,100,-7,7,8,8,5,60,2,3,3,85,70,4,3,2,90,0
115,0,81,220,9,100,22,0,0,100,-7,7,8,23,2,25,0,1,1,25,-8,3,1,0,68,0
116,1,74,100,5,50,10,0,0,90,15,6,6,12,3,40,3,2,2,55,25,4,2,1,75,0
117,0,78,170,7,80,20,0,0,100,-7,7,8,18,1,22,0,0,0,35,-8,3,1,0,62,0
