RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,65,203,2,116,35,0,0,94,2,4,3,44,4,18,0,1,1,36,39,3,2,0,49
0,86,84,6,44,11,0,0,99,-6,7,8,15,2,67,-6,3,0,40,84,0,4,0,99
0,64,87,1,75,14,0,0,100,-6,7,8,15,4,33,-6,5,1,25,87,5,1,2,86
1,71,361,20,124,25,0,0,95,-6,7,8,23,0,27,0,0,0,79,15,4,1,0,85
0,77,86,16,21,12,0,0,100,-6,7,8,23,0,36,1,0,0,41,68,7,3,4,88
1,-6,-9,-8,-7,-8,-9,-8,-7,-9,-9,-9,-9,-8,-9,-8,-8,-8,-9,-8,-9,-8,-9,-9
1,82,393,1,80,25,0,0,100,-7,7,8,31,3,21,-6,3,4,7,86,3,2,0,72
1,81,208,22,98,18,0,0,100,-6,7,8,26,0,52,18,0,0,-1,46,2,1,0,85
1,86,140,8,84,15,0,0,100,-6,7,8,58,2,41,9,0,0,2,91,0,2,0,31
0,67,64,1,23,14,0,0,100,-7,7,8,12,3,7,0,3,4,41,-7,5,1,-8,43
0,59,70,5,48,13,0,0,89,7,4,6,13,1,48,-6,1,2,45,-8,4,1,0,65
1,69,173,5,85,33,0,0,95,9,6,6,30,3,46,2,0,2,28,85,5,3,2,66
1,84,159,23,90,13,0,0,100,-6,7,8,16,0,27,18,0,0,1,-8,1,1,0,55
0,83,210,35,90,9,0,0,100,-7,7,8,16,0,19,21,0,0,4,-8,2,1,0,51
1,80,374,1,47,23,0,0,100,-6,7,8,18,5,18,0,1,4,7,-7,2,1,0,39
0,86,285,5,129,24,0,0,99,-6,7,8,24,3,15,-6,0,5,0,-8,3,-8,0,40
0,57,195,13,50,3,0,0,48,10,4,6,21,0,33,0,2,2,79,-7,2,1,1,100
0,56,89,2,48,14,0,1,81,18,7,2,14,2,23,0,7,1,44,36,7,3,1,70
0,66,156,10,46,11,0,0,87,3,6,5,17,2,31,0,0,1,11,42,2,3,0,62
1,85,430,22,100,15,0,0,100,-6,7,8,15,1,14,-8,0,0,0,-7,1,2,0,30
1,75,66,1,18,9,0,0,99,-7,7,8,5,3,55,-7,2,3,26,71,1,3,0,86
1,73,283,2,98,31,1,0,95,35,6,6,28,10,18,0,3,3,3,-8,2,-8,0,84
0,65,80,1,43,10,0,0,100,-7,7,8,14,3,29,-6,1,2,44,56,4,4,0,71
1,67,139,6,54,9,0,0,88,70,6,2,15,4,47,-7,0,0,36,47,2,1,0,53
0,64,83,5,39,9,0,0,94,9,6,5,17,3,18,-6,0,2,24,68,0,3,1,83
0,-7,-4,14,71,3,-8,1,81,-6,6,8,-9,-8,85,0,29,2,-8,-9,-8,0,1,-6
1,79,213,1,76,23,0,0,100,-7,7,8,27,2,21,0,1,2,8,85,1,2,0,47
1,68,204,1,82,25,0,0,100,-6,7,8,26,2,21,2,2,3,9,45,4,2,1,49
1,64,254,2,107,38,0,0,95,-7,7,8,16,3,38,0,0,5,23,-7,7,1,0,56
0,57,168,5,49,20,0,0,93,17,4,6,14,2,19,0,7,2,39,71,5,0,2,83
0,83,74,1,46,28,0,0,100,-6,7,8,28,3,21,-6,3,1,5,91,3,2,0,84
1,72,88,27,163,13,0,0,100,-6,7,8,18,0,32,0,0,0,13,56,1,0,0,86
1,86,-7,-8,-9,-9,0,0,100,-6,7,8,22,0,-9,-8,0,1,7,-9,0,1,-8,-7
0,57,192,4,63,20,0,0,89,8,4,6,24,0,18,0,1,2,53,-7,4,1,3,75
0,86,204,2,83,12,0,0,100,-7,7,8,17,3,18,1,0,1,0,-8,3,-8,0,30
1,83,263,5,68,33,0,0,96,6,4,6,48,5,35,5,0,1,27,67,4,2,2,83
0,56,76,8,28,4,0,0,89,18,4,6,17,2,42,-6,0,0,29,73,9,8,0,100
1,83,426,21,203,15,0,0,99,-6,7,8,18,0,39,18,0,0,75,15,2,2,0,53
0,62,158,18,86,17,1,2,73,3,4,5,23,1,17,0,0,2,10,-8,1,1,0,86
1,65,151,6,75,23,0,1,95,68,5,7,29,5,28,0,0,0,48,49,7,3,0,86
0,63,194,6,104,8,0,0,70,2,4,6,14,1,26,0,0,1,5,63,5,2,1,74
0,86,75,2,22,10,0,0,100,-6,7,8,12,2,41,-6,0,0,-1,62,1,3,0,87
0,56,152,6,56,17,1,1,87,4,4,4,20,4,18,0,0,0,57,71,3,2,2,86
0,68,178,1,44,18,0,0,100,-6,7,8,27,2,46,4,1,1,30,86,4,3,4,83
1,85,169,15,58,3,1,0,99,-7,7,8,5,4,66,0,0,1,6,63,0,0,0,47
1,85,-9,35,-5,-9,2,0,-7,18,6,5,13,-8,-9,-8,0,0,6,-7,0,-8,0,36
1,-9,-9,-8,-9,-8,-8,-8,-6,-9,-9,-9,-8,-8,-9,-8,-8,-8,-7,-7,-9,-8,-9,-9
0,68,76,6,40,6,2,1,73,71,6,6,14,0,66,0,0,0,39,60,0,3,0,87
0,79,145,9,65,3,0,0,100,-7,6,8,22,1,39,5,5,2,2,-7,0,1,0,27
0,61,81,7,23,4,0,1,85,34,5,-9,11,1,34,0,3,0,84,-9,1,-8,-8,100
1,72,100,1,76,21,0,0,100,-7,7,8,17,1,19,0,0,3,0,-8,3,1,0,50
0,74,185,10,80,20,0,0,84,3,4,6,24,1,17,0,0,0,30,8,0,2,1,33
1,85,190,1,75,19,0,0,96,-6,7,8,22,4,41,1,2,2,32,48,5,4,1,50
0,65,59,2,12,33,0,0,100,-6,7,8,48,3,42,0,1,4,41,88,3,4,0,46
0,57,186,2,74,41,0,0,94,34,4,6,58,1,38,-6,0,1,47,84,9,2,3,76
0,-9,117,1,65,12,1,1,-7,35,-9,-9,-8,0,51,0,-8,-8,-8,-8,-8,-8,-8,-7
0,65,144,2,59,21,0,0,91,8,4,6,25,4,51,0,1,2,46,89,12,5,0,66
1,78,180,4,33,22,0,0,95,-7,6,6,30,4,21,-6,0,2,0,86,3,5,0,63
1,56,-1,5,76,26,3,1,95,8,4,2,34,1,30,0,1,1,62,-8,5,-8,0,66
0,66,279,5,75,30,1,1,85,4,6,2,50,3,31,0,0,0,33,87,3,2,1,56
0,59,155,6,46,28,0,1,94,3,6,6,24,2,47,-6,0,0,53,67,5,4,2,70
0,75,271,6,66,19,0,0,94,11,6,6,25,1,29,-6,1,2,10,31,5,3,0,66
1,71,141,7,56,27,4,2,70,13,4,5,30,3,26,7,0,0,54,8,3,3,1,62
1,86,75,2,32,3,0,0,100,-6,7,8,7,3,55,2,2,2,8,-8,0,1,0,29
1,74,177,25,89,1,0,0,100,-6,7,8,-1,0,13,-7,0,0,-9,-7,2,-7,0,39
1,80,226,0,82,21,0,0,100,-7,7,8,35,2,43,4,0,6,5,84,3,2,0,48
1,86,210,10,101,10,0,0,99,-7,1,8,13,0,33,0,0,0,1,41,3,2,0,85
1,82,196,14,83,16,0,0,100,-7,7,8,25,0,35,4,0,1,5,34,1,1,0,85
0,58,83,7,44,24,0,0,99,-6,6,6,28,2,39,0,0,0,32,60,7,4,1,84
1,68,331,7,107,28,0,0,96,16,6,6,30,1,16,-8,0,0,79,82,1,1,0,100
1,84,368,6,95,25,0,0,100,-6,7,8,36,3,17,17,0,0,3,16,5,4,0,30
0,66,207,6,106,26,0,0,95,18,6,6,26,1,30,0,0,0,78,-8,6,4,1,34
1,80,387,1,80,18,0,0,100,-7,7,8,25,2,22,0,1,2,44,-8,3,1,0,47
0,58,163,5,55,15,0,0,87,2,4,6,13,1,34,0,2,2,79,89,4,3,1,99
