RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,83,336,12,81,15,0,0,95,32,6,6,17,0,28,0,0,0,9,-8,1,-8,0,55
1,75,68,15,43,13,0,0,100,-7,7,8,9,2,37,17,0,0,1,75,3,0,0,50
0,62,203,2,43,27,0,0,91,7,4,6,33,4,28,4,2,1,59,-7,4,1,1,54
0,87,273,63,114,11,0,0,99,-7,7,8,12,0,13,0,0,0,13,-7,1,1,0,60
0,56,169,1,21,13,0,0,100,-7,7,8,14,3,32,0,5,4,86,-7,3,0,2,100
0,64,220,6,96,15,4,0,87,19,6,5,13,1,48,0,1,0,41,70,2,1,0,81
1,59,190,2,98,6,0,0,99,-6,7,8,21,0,28,-6,1,1,37,73,12,2,0,57
0,61,0,6,-9,6,-9,0,70,3,4,4,-9,-8,-8,0,5,-8,11,-8,4,-8,0,-7
0,75,301,11,105,21,0,0,100,-7,7,8,22,0,22,0,0,0,95,71,3,2,0,100
0,81,218,5,88,15,0,0,100,-7,7,8,16,0,16,0,0,0,70,-7,3,2,0,56
1,-9,-4,-9,-9,-8,-8,-8,-9,-9,-9,-9,-8,-8,-9,-9,-9,-9,-8,-9,-9,-9,-8,-7
0,61,141,2,34,40,0,0,96,6,4,6,33,5,16,5,0,0,28,81,4,5,0,48
0,87,400,6,95,14,0,0,99,-6,7,8,14,3,30,2,0,0,16,81,1,2,0,58
0,58,173,2,60,28,0,0,70,8,0,4,14,1,15,0,7,3,23,-8,1,1,0,32
1,71,269,8,75,14,0,0,94,8,4,6,13,5,38,5,0,0,15,68,2,5,0,75
0,65,65,8,127,5,-9,0,87,5,-9,6,4,-9,0,-8,7,5,12,-7,-8,-8,-8,37
0,75,139,4,63,52,0,0,100,-7,7,8,43,3,16,0,2,1,4,-6,2,2,0,29
1,69,196,4,69,36,0,0,100,-7,6,8,19,1,41,0,1,1,59,91,2,2,1,73
1,80,172,2,56,14,0,0,100,-7,7,8,14,2,41,0,1,2,4,70,1,0,1,51
1,84,267,1,105,12,0,0,100,-7,7,8,14,3,3,0,0,0,2,-8,1,1,0,39
1,71,278,15,87,11,0,0,89,10,4,2,12,0,15,0,3,2,17,67,3,1,0,58
