RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
1,66,249,6,89,12,0,0,94,2,6,6,11,0,18,0,0,0,2,-8,2,1,0,48
1,73,248,6,89,21,0,0,94,2,6,6,11,0,19,0,0,0,2,-8,2,2,0,47
0,66,72,6,87,6,0,0,99,-7,7,8,11,0,18,0,0,0,12,74,5,2,0,48
0,66,66,6,49,20,0,0,94,2,6,6,21,1,48,0,0,0,56,71,5,1,0,84
0,66,75,6,87,12,0,0,99,-7,7,8,11,1,18,0,0,0,12,-8,2,1,0,48
0,66,73,2,50,12,0,0,99,-7,7,8,11,0,18,0,0,0,56,-8,-8,0,0,34
0,66,135,6,50,12,0,0,94,15,6,6,11,0,19,0,0,0,-8,-8,-8,0,0,-9
0,66,71,6,51,21,0,0,94,-7,7,6,21,0,49,0,0,0,56,90,5,1,0,84
1,66,251,6,89,21,0,0,94,16,6,6,22,2,18,0,0,0,13,74,5,1,0,49
0,66,242,6,90,12,0,0,94,2,6,6,11,1,18,0,0,0,13,-8,5,0,0,47
0,66,77,5,51,21,0,0,99,2,7,8,21,1,18,0,0,0,57,74,5,2,0,-9
1,84,244,6,88,21,0,0,99,-7,7,8,21,1,18,0,0,0,2,75,3,2,0,48
0,66,69,5,51,12,0,0,99,-7,7,8,11,1,49,0,0,0,57,74,5,2,0,84
