RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,67,160,5,85,10,0,0,99,-6,6,8,30,0,55,0,0,1,5,-7,2,2,2,50
0,60,241,12,91,25,0,0,80,10,6,6,26,3,45,-7,5,0,4,89,4,2,2,52
0,62,147,1,65,22,1,1,78,38,4,4,14,2,51,0,4,0,62,51,1,2,2,70
0,75,-9,2,10,59,0,0,99,-7,7,8,25,4,23,0,2,4,29,30,7,1,2,100
0,72,240,7,52,30,1,0,99,-7,4,8,18,2,36,-7,0,0,83,69,6,4,3,77
0,67,124,6,110,8,0,0,99,-6,7,8,12,1,64,9,0,0,21,77,2,3,1,87
1,87,226,5,81,36,0,0,90,-7,6,6,31,0,18,0,1,1,4,87,5,1,0,27
0,71,146,13,63,30,0,0,93,-7,6,6,10,4,8,1,5,5,4,51,6,2,4,83
0,73,99,32,166,1,1,1,89,15,7,5,17,5,62,-7,0,0,74,-7,2,3,0,100
0,75,158,1,66,6,0,0,100,-7,7,8,2,4,46,0,8,3,4,92,4,1,2,56
1,87,358,26,98,25,0,0,100,-6,7,8,13,1,21,15,0,0,43,-9,2,1,0,33
0,58,157,2,65,11,0,0,100,-7,6,8,18,1,48,13,4,0,83,89,4,2,0,91
0,62,119,4,62,16,0,0,86,41,7,5,23,1,31,-7,2,4,28,76,8,3,2,68
1,62,169,34,84,7,1,2,86,-7,4,5,24,1,46,0,1,3,4,33,2,1,0,100
1,54,82,1,63,31,0,0,93,7,4,8,23,1,50,0,2,7,14,52,5,4,2,90
1,83,297,2,106,36,0,0,93,45,6,6,30,1,20,2,1,0,9,91,3,2,0,60
1,83,166,41,56,19,1,0,99,-6,7,3,21,0,29,10,0,0,4,-9,4,1,1,78
0,52,104,5,67,29,1,0,91,63,4,6,26,2,49,0,0,0,34,60,4,4,2,96
0,67,255,32,77,14,0,1,100,-7,7,8,11,0,61,8,0,1,12,27,2,4,0,47
0,71,68,1,92,3,2,1,87,8,6,6,19,1,50,0,0,2,1,62,0,2,-9,42
1,73,201,3,54,8,1,2,93,77,6,6,45,0,38,2,1,1,61,-9,1,1,1,86
0,53,253,8,47,32,0,0,30,1,7,8,41,2,46,5,0,0,49,31,5,4,1,94
1,87,207,1,64,15,0,0,99,-6,7,8,7,1,41,-7,3,1,-2,-6,1,1,0,34
1,52,468,5,104,22,0,0,85,-6,3,7,33,1,37,13,1,1,20,78,6,-9,3,70
0,63,294,2,43,0,1,1,34,-6,7,3,14,1,10,9,2,8,76,85,2,3,0,100
1,68,167,7,75,11,1,0,100,-7,6,8,33,2,15,0,0,5,2,75,5,2,0,75
0,60,200,1,65,35,5,1,72,-6,6,6,16,1,5,16,3,1,2,-7,7,9,0,39
1,85,206,-7,74,12,-8,-9,84,-8,-9,-9,-9,-9,27,-9,1,-8,-9,-8,-9,2,0,40
0,66,84,5,71,35,-9,1,99,15,6,3,-9,1,-6,0,-8,2,58,20,1,1,-9,86
0,84,207,4,63,16,0,0,99,-6,7,8,11,2,41,0,0,0,35,-9,5,1,0,58
1,87,233,25,48,-2,0,0,99,-7,7,8,-3,0,73,0,2,0,13,-9,3,2,0,51
0,59,52,0,8,4,0,0,72,-6,7,8,25,-9,39,2,2,7,-9,88,5,2,-9,-6
1,-9,154,19,-9,2,1,0,44,53,6,6,-9,1,63,1,3,-8,63,61,1,-8,1,65
0,77,179,4,25,9,0,0,94,-7,4,6,24,2,74,0,0,5,51,66,7,2,0,81
0,61,111,2,34,18,1,0,86,-7,7,6,33,6,33,1,1,1,5,92,6,4,1,88
0,74,58,21,45,9,2,1,57,2,6,5,4,0,18,6,0,1,1,-8,1,2,1,82
0,54,361,3,52,20,1,1,72,2,6,2,29,1,76,0,0,2,3,33,4,3,0,79
1,86,330,35,71,9,0,1,100,-6,7,8,12,0,43,0,2,5,-2,-7,1,1,1,87
1,72,80,2,79,18,2,0,85,41,6,6,25,6,21,0,1,1,63,50,4,2,0,84
0,68,187,23,37,31,2,1,93,-7,6,8,25,3,19,0,6,1,2,-8,2,1,4,61
1,86,134,25,82,21,0,0,99,-6,7,8,5,0,30,-8,0,0,14,93,1,1,0,84
0,59,220,6,16,8,1,0,91,80,6,6,-9,3,32,0,3,3,9,-7,10,3,-8,34
1,87,435,3,47,13,0,0,99,-7,7,8,7,1,33,3,1,1,16,-7,3,1,0,36
1,-9,154,22,111,6,0,0,81,-6,-9,8,-3,0,-7,0,1,0,13,-8,0,1,0,43
1,87,81,19,69,2,0,0,100,-6,7,8,13,0,59,11,0,0,-1,-8,2,1,0,45
1,82,199,1,69,17,0,1,100,-6,7,8,3,2,62,3,5,1,30,58,3,1,0,51
0,60,223,10,71,22,2,0,93,3,6,6,6,1,27,0,0,0,54,16,2,2,2,84
1,86,132,18,44,-1,3,0,99,-6,7,8,9,1,71,0,2,1,11,-6,0,2,5,100
1,62,105,10,64,12,2,3,94,21,6,6,9,3,52,0,2,1,3,73,4,3,7,49
1,80,-9,1,29,15,-9,0,100,-6,7,8,0,-9,34,-8,0,-9,3,-8,3,1,2,78
0,-9,197,0,35,18,1,0,93,-7,7,3,40,0,54,0,2,1,6,-7,8,1,0,99
1,-9,10,11,80,9,-8,0,99,-7,6,8,-1,0,37,3,-9,1,0,-8,3,-7,0,25
1,62,162,25,123,1,0,0,80,-6,6,6,11,0,30,19,0,0,13,45,0,1,0,70
1,80,237,47,51,9,0,0,100,-7,7,8,15,2,27,6,0,0,5,-7,2,1,0,68
0,70,161,1,76,5,0,0,85,-7,7,8,10,4,35,0,3,1,8,-7,3,1,4,43
1,-9,-3,-9,-9,-9,-8,-9,-9,-7,-9,-9,-9,-9,-6,-9,-9,1,22,-9,-9,-8,-9,-9
0,58,134,34,37,9,0,1,84,4,3,6,23,0,26,0,0,0,15,47,4,6,1,100
1,71,233,9,71,21,0,0,100,-6,7,8,52,2,25,4,1,1,38,80,1,2,2,81
0,63,30,11,143,3,1,0,18,-7,4,8,6,0,59,0,0,0,50,99,4,2,3,99
1,88,186,2,136,23,0,0,99,-6,7,8,20,7,52,5,0,0,30,42,2,2,0,53
0,71,186,2,71,12,1,0,99,65,7,8,1,3,-7,-9,2,3,49,88,2,2,2,-7
0,53,30,0,122,13,1,1,85,29,6,3,1,4,50,0,1,0,7,97,6,4,0,100
0,58,117,26,63,7,0,0,73,-7,6,7,8,2,37,-7,0,0,40,-9,6,5,1,92
1,74,96,6,87,15,1,1,93,25,6,5,20,2,17,7,0,0,30,78,0,2,10,86
1,55,151,12,92,8,1,0,85,59,4,6,35,1,26,-7,0,0,14,69,2,2,0,73
0,72,141,0,3,-2,0,0,99,-6,7,8,7,4,42,0,2,2,8,53,8,1,1,50
1,53,149,3,95,10,1,0,92,34,4,6,17,2,14,3,0,5,24,81,3,4,1,82
1,66,50,1,62,16,2,0,67,11,6,6,29,0,52,-7,0,0,34,28,0,6,1,91
1,73,221,24,55,12,0,1,-9,-7,7,8,7,0,13,0,1,1,-1,-7,0,1,0,33
