sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
7.9,4.2,3.4353740087514444,2.5,1
7.9,4.2,3.5121975768072504,2.5,2
7.9,4.2,5.291279496166302,2.5,1
7.9,4.2,2.4979941236042364,2.5,0
7.764160317268491,4.2,1.0,2.5,2
5.185181680439283,4.2,5.3756987004839685,2.5,1
7.9,4.2,3.8003927863015243,2.5,0
7.9,4.2,3.2514927285699757,2.5,1
6.1277402732312165,4.2,4.587185947783972,2.5,1
7.9,4.2,4.365903328660621,2.5,1
7.9,4.086895541947685,3.101121452054493,2.5,1
7.9,4.2,3.9713069689415184,2.5,1
7.9,4.105917320952724,1.0,2.5,2
7.384073764200465,4.2,6.124522572451225,2.5,2
7.9,4.2,4.806884294487517,2.5,2
7.9,4.2,3.033384786558037,2.5,2
7.9,4.2,5.428313899150706,2.5,0
7.9,4.2,2.270252995820003,2.5,0
7.9,4.2,4.264431911736669,2.5,0
7.9,4.2,5.183409666845118,2.5,1
7.9,4.2,3.441268757224749,2.5,2
7.9,4.2,2.4806737263111853,2.5,0
7.9,4.2,3.518879300161692,2.5,0
7.9,4.2,3.9317381785315497,2.5,1
7.9,4.2,3.4574550930527232,2.5,2
7.9,4.2,2.7377876183862857,2.5,2
7.9,4.2,4.591653818813699,2.5,1
5.4741926102285765,4.2,3.265873008148006,2.5,1
7.9,3.9797543206351707,5.320182630641737,2.5,1
6.985243465920897,4.175682126103789,4.370335121491252,2.5,1
