sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
6.392478877930102,3.0488177088954105,4.846567734945706,1.7647074085654428,0
6.46309755117281,3.1019153596312496,4.512471233861909,1.9220276355030146,2
5.105223394296467,3.1133417538269135,1.528735701252274,0.37227863882692597,0
5.149317206003624,3.1005632685959714,4.777540220961785,1.811349872544083,1
6.341718327741196,3.090453922410591,4.8583178670572655,1.856271515872384,1
6.3145272166174005,3.121032507963987,4.556372230266979,1.871528871813523,1
6.478099818879137,3.169399036115098,4.8983128352639245,1.809221287917397,1
6.245348236074355,3.1576336208232516,4.68062289757396,1.8534679491992239,1
6.3667046783748775,3.0274206372828436,4.767660029808156,1.8184556899720992,2
6.379229041544457,3.097638010505378,1.2944857365929403,0.34473610193358745,1
5.063906036544794,3.039910587723997,1.3858055523631208,1.7702955626322827,2
5.1478718298049975,3.1814729209039947,4.62538690480346,1.7953032410351122,0
5.060177798860425,3.066041588334273,4.6571034827720235,1.853713615634826,1
5.070386937178448,3.1918943105031126,1.48778787623812,0.29761959955312084,0
6.2966868568341186,3.0936016721068054,4.73798710860506,1.7925238309956217,1
5.057926413593733,3.137489645739263,4.816175472521124,1.8222581138610467,2
6.337306561941807,3.0630246565135524,4.719497678287592,1.7453199831725446,1
5.275293156278642,3.040199935164768,4.656372285821955,1.8463188261087395,2
6.491549055110244,3.059866116618178,4.770310232291175,1.6865502264164327,2
5.1370065818801605,3.067264306206916,4.716800295626067,1.7946681239630131,2
6.484070114699559,3.1189343945883636,5.018794773418906,1.8336432920013117,1
5.1250714425536446,3.1354797705316377,4.851843495838,1.7598218208092,1
6.398030495744522,3.035803024398969,4.869353384908086,1.788048318417974,2
6.198665350078315,3.0380930238956205,4.784879645161527,1.7878513112771668,1
5.188334237731463,3.1300922032651384,4.963921951765218,0.3277221536098442,1
6.743727822529857,3.122420358555233,4.625641700763417,1.9136482085309066,1
6.4110403467739925,3.156018012414998,4.833935545570544,1.8368291733108064,1
6.448597179630256,3.1909768945363233,4.699385175731219,1.920356061741262,1
6.5333476282619625,3.048330591988077,4.796719544812828,1.7443393152490285,1
5.0179772264212215,3.139241628050786,1.460763353574285,1.7738109991844129,1
