,parents,has_nurs,form,children,housing,finance,social,health,class,real_identifier
0,1,3,2,1,1,1,1,0,2,0
1,0,2,1,3,0,0,2,2,1,0
2,1,1,3,2,2,1,0,1,3,0
3,2,4,0,1,1,0,1,0,0,0
4,1,0,2,3,0,1,1,2,2,0
5,0,3,1,2,2,0,0,1,1,0
6,1,2,0,1,0,1,2,0,3,0
7,2,1,3,3,1,0,1,1,1,0
8,0,4,2,2,0,0,2,2,0,0
9,1,1,1,3,2,1,0,0,2,0
10,0,2,1,1,2,0,1,1,2,0
11,1,1,2,0,1,1,0,0,1,0
12,2,0,3,2,0,0,2,1,0,0
13,0,3,0,1,0,1,0,2,2,0
14,1,0,1,0,2,0,1,0,0,0
15,0,1,2,3,1,1,0,1,1,0
16,2,2,0,1,0,0,2,0,0,0
17,1,3,1,2,2,1,1,0,2,0
18,0,0,3,0,1,0,0,1,0,0
19,1,2,2,0,0,1,2,0,1,0
20,2,2,1,1,1,1,1,2,1,0
21,1,2,2,2,0,1,0,1,1,0
22,2,1,0,2,2,0,2,1,1,0
23,2,3,2,1,1,1,0,2,1,0
24,2,0,1,0,0,1,1,1,1,0
25,1,2,1,2,2,1,1,2,1,0
26,2,1,0,1,1,0,0,1,1,0
27,2,2,2,2,0,1,2,1,1,0
28,2,3,1,1,2,1,1,2,1,0
29,1,4,3,1,1,0,0,1,3,0
30,1,2,3,1,2,1,1,2,2,0
31,2,1,2,2,0,0,2,1,1,0
32,0,3,3,1,1,0,0,0,2,0
33,1,0,1,3,1,1,2,1,4,0
34,0,2,0,2,0,0,1,2,3,0
35,2,3,3,0,2,0,1,0,1,0
36,1,1,2,1,2,1,0,1,2,0
37,0,1,1,2,1,0,2,1,3,0
38,2,2,2,3,0,0,0,2,4,0
39,1,0,3,2,1,1,1,0,2,0
40,0,3,1,1,2,0,2,1,1,0
41,1,2,0,2,1,1,1,2,1,0
42,2,1,2,3,0,0,2,0,0,0
43,0,1,1,0,2,1,0,2,1,0
44,1,4,0,1,0,0,1,1,0,0
45,2,2,1,2,1,1,2,1,1,0
46,0,3,2,3,2,0,0,0,0,0
47,1,0,0,2,2,1,2,2,1,0
48,2,4,1,0,0,0,1,2,1,0
49,0,2,2,1,1,1,2,0,0,0
50,1,3,2,2,1,0,1,2,2,0
51,2,1,3,0,2,1,0,1,1,0
52,0,2,1,1,0,0,2,0,0,0
53,1,4,3,3,2,1,1,2,3,0
54,2,0,2,2,1,1,0,1,2,0
55,1,3,0,0,2,0,1,0,0,0
56,0,1,3,1,1,1,2,2,4,0
57,2,2,1,3,0,0,0,1,3,0
58,1,4,2,1,1,1,1,2,3,0
59,0,3,0,2,2,0,0,0,0,0
60,1,2,1,2,1,0,1,1,2,0
61,0,1,3,1,0,1,2,0,4,0
62,2,3,0,1,2,0,0,2,1,0
63,1,4,2,2,1,1,1,1,3,0
64,1,2,1,0,0,0,2,2,1,0
65,0,3,3,2,2,1,0,0,0,0
66,2,1,0,1,1,1,1,1,3,0
67,1,4,3,1,2,0,0,2,1,0
68,0,2,2,2,0,1,2,1,4,0
69,1,3,1,2,2,1,1,1,3,0
70,2,1,2,1,0,1,1,2,2,0
71,0,2,1,2,1,0,2,0,1,0
72,1,3,0,1,2,1,0,1,2,0
73,2,0,3,3,0,0,1,2,3,0
74,1,1,2,2,1,1,2,1,1,0
75,0,0,1,3,2,0,1,0,3,0
76,2,2,1,1,0,0,0,2,1,0
