,parents,has_nurs,form,children,housing,finance,social,health,class,real_identifier
0,1,2,2,1,1,0,1,1,1,0
1,0,3,3,2,2,1,0,2,3,0
2,2,1,1,0,0,1,2,1,0,0
3,1,3,2,2,1,0,1,0,1,0
4,0,4,3,3,2,1,2,1,3,0
5,2,2,1,1,0,0,1,2,0,0
6,1,1,3,2,1,1,2,1,1,0
7,0,2,0,1,0,0,1,0,0,0
8,2,3,2,2,1,0,2,1,3,0
9,1,0,3,0,0,1,1,2,3,0
10,0,1,2,1,1,0,1,1,2,0
11,1,3,1,2,1,1,0,0,1,0
12,2,1,0,3,2,0,2,0,3,0
13,0,2,2,1,0,1,1,1,0,0
14,1,4,3,0,2,0,2,1,3,0
15,2,0,1,2,1,0,0,0,0,0
16,1,2,2,2,0,1,1,0,1,0
17,0,3,0,3,1,0,2,1,2,0
18,1,1,3,1,0,0,2,1,3,0
19,2,3,1,3,2,0,0,0,0,0
20,0,2,1,1,1,1,1,0,0,0
21,1,2,3,0,1,1,1,1,0,0
22,2,1,2,2,0,0,0,0,0,0
23,0,3,2,1,0,0,1,0,0,0
24,1,1,1,0,2,1,2,0,0,0
25,0,0,0,3,1,0,2,1,3,0
26,1,2,2,1,0,1,1,0,0,0
27,2,3,3,0,0,0,0,2,4,0
28,0,1,0,2,1,1,2,1,3,0
29,1,0,1,0,2,1,2,0,0,0
30,1,2,1,1,1,1,1,1,1,0
31,2,3,2,3,0,1,2,2,1,0
32,1,1,0,0,1,0,1,1,1,0
33,2,4,2,2,2,1,0,1,3,0
34,0,2,0,1,0,0,0,2,1,0
35,2,1,1,2,1,1,1,1,1,0
36,1,3,3,1,2,1,0,2,1,0
37,2,0,0,0,0,1,1,1,1,0
38,2,2,1,3,1,1,2,1,1,0
39,0,4,3,1,2,0,0,0,0,0
40,1,3,2,1,1,0,1,1,2,0
41,2,3,3,1,0,0,2,2,1,0
42,1,2,2,2,1,0,1,0,0,0
43,0,1,3,3,0,0,0,1,3,0
44,2,2,1,0,1,0,2,1,2,0
45,0,3,3,2,0,0,0,1,3,0
46,1,4,2,0,1,0,2,1,0,0
47,0,0,3,3,0,0,0,2,4,0
48,2,1,3,2,0,0,1,1,3,0
49,1,2,2,1,1,0,1,0,0,0
50,1,3,1,2,1,1,1,1,1,0
51,0,2,1,1,2,1,2,1,0,0
52,2,1,0,0,1,0,2,2,1,0
53,0,3,2,2,0,1,1,0,0,0
54,1,0,0,1,2,1,2,2,1,0
55,2,4,1,3,1,0,1,0,0,0
56,0,1,2,0,0,1,0,1,0,0
57,1,2,1,2,2,1,2,0,1,0
58,2,0,0,3,1,1,2,1,0,0
59,0,3,1,1,0,1,1,2,1,0
60,2,1,2,1,1,1,0,1,1,0
61,0,3,2,2,0,0,1,2,2,0
62,1,2,1,0,1,0,2,0,0,0
63,2,3,0,2,2,1,1,1,3,0
64,1,1,3,1,0,1,0,2,4,0
65,0,4,2,3,1,0,1,0,0,0
66,2,2,3,0,2,1,2,1,1,0
67,1,0,1,2,0,1,0,2,2,0
68,0,2,3,1,1,0,1,0,3,0
69,2,1,2,3,2,1,2,1,4,0
70,1,2,1,0,1,0,1,0,0,0
71,0,3,2,2,0,1,2,1,3,0
72,1,4,3,1,1,1,0,2,2,0
73,2,1,0,3,2,0,2,1,1,0
74,0,2,3,1,0,1,1,2,3,0
75,1,0,2,2,1,0,2,0,0,0
76,2,3,1,0,2,1,0,2,1,0
77,1,4,2,1,0,1,2,1,3,0
78,0,1,3,1,1,0,1,0,2,0
79,2,2,0,2,2,1,2,2,1,0
80,1,2,2,2,1,1,1,1,2,0
81,2,1,1,1,0,1,2,2,3,0
82,0,3,2,3,0,0,1,1,3,0
83,1,0,3,2,2,0,0,1,1,0
84,2,3,1,1,1,1,2,0,3,0
85,0,1,0,2,0,1,0,2,1,0
86,1,2,3,1,1,0,2,1,0,0
87,2,0,2,2,0,0,1,2,2,0
88,0,4,3,1,2,1,2,1,3,0
89,1,3,0,3,1,0,1,2,1,0
90,1,3,2,1,1,0,1,0,0,0
91,2,2,1,0,1,1,0,1,1,0
92,0,3,2,2,2,0,1,0,0,0
93,1,1,3,1,0,1,2,1,1,0
94,2,4,0,0,2,1,1,2,3,0
95,0,2,1,3,0,0,2,1,0,0
96,1,0,2,2,1,0,0,0,0,0
97,2,3,1,1,1,1,2,0,1,0
98,1,4,2,0,2,0,1,1,3,0
99,0,1,3,2,1,1,0,0,0,0
100,1,2,1,2,0,0,1,1,0,0
101,0,3,1,1,1,0,1,0,0,0
102,2,4,2,0,1,0,2,1,3,0
103,1,1,0,2,0,0,1,0,1,0
104,0,2,3,1,2,1,2,1,0,0
105,2,3,1,0,1,0,1,2,3,0
106,1,0,2,3,1,0,0,1,1,0
107,0,1,0,0,0,0,1,0,0,0
108,2,4,3,1,2,0,2,1,0,0
109,1,2,1,0,1,1,1,0,3,0
110,1,3,2,2,1,1,1,1,1,0
111,2,4,3,1,1,0,2,0,0,0
112,0,2,3,0,0,1,1,2,3,0
113,1,4,1,2,2,1,0,1,3,0
114,2,3,3,0,0,1,2,0,0,0
115,0,1,2,3,1,0,2,2,3,0
116,1,4,3,2,0,1,1,1,1,0
117,2,2,3,1,1,1,0,0,0,0
118,1,3,2,0,2,1,1,2,3,0
119,0,4,3,1,0,1,2,1,1,0
120,1,2,1,2,0,1,2,0,0,0
121,0,3,2,1,0,1,1,1,1,0
122,2,2,0,3,1,1,2,0,0,0
123,1,4,3,2,0,0,1,2,3,0
124,0,2,3,1,0,1,2,0,0,0
125,2,1,0,2,1,1,1,2,1,0
126,1,3,2,3,0,0,0,0,0,0
127,0,2,1,1,2,1,2,1,1,0
128,2,4,1,2,0,1,1,0,0,0
129,1,2,3,2,0,1,0,2,3,0
130,1,1,2,2,1,1,1,1,2,0
131,0,1,3,2,2,1,1,0,3,0
132,2,0,1,1,1,0,0,2,1,0
133,1,2,0,3,2,1,2,1,3,0
134,0,3,2,0,0,0,1,2,0,0
135,2,1,3,1,1,0,2,1,1,0
136,1,0,2,2,2,1,0,1,3,0
137,0,2,1,3,1,0,1,0,0,0
138,2,3,3,0,0,1,2,2,1,0
139,1,1,0,1,2,0,1,1,2,0
140,1,2,0,2,0,0,1,0,0,0
141,2,3,1,3,1,0,2,1,1,0
142,0,0,0,1,0,0,0,0,0,0
143,1,4,2,2,0,1,1,2,1,0
144,0,2,1,3,1,0,2,2,3,0
145,2,1,0,1,0,0,0,1,1,0
146,1,2,1,3,0,0,1,0,0,0
147,0,1,0,2,1,1,1,2,3,0
148,2,4,3,3,2,0,2,2,3,0
149,1,3,0,2,0,0,1,0,0,0
150,1,1,1,1,1,1,1,1,1,0
151,2,3,0,1,2,0,1,2,3,0
152,1,2,2,2,0,1,2,1,1,0
153,0,1,1,0,1,0,2,0,0,0
154,2,3,1,3,0,1,2,1,1,0
155,1,0,0,2,1,0,1,2,3,0
156,0,2,2,1,1,1,2,1,1,0
157,2,4,1,0,2,1,1,0,0,0
158,0,1,0,2,0,0,1,2,3,0
159,1,2,1,3,1,0,2,1,1,0
160,1,3,2,1,1,1,1,0,1,0
161,0,2,1,2,0,0,2,2,0,0
162,2,4,3,0,1,1,0,1,3,0
163,1,4,1,2,0,0,1,2,1,0
164,0,3,2,1,2,1,0,0,0,0
165,2,1,3,3,1,0,2,1,3,0
166,1,2,0,0,1,1,0,2,1,0
167,0,4,2,1,0,1,1,0,3,0
168,2,3,1,2,1,0,0,1,1,0
169,1,1,3,1,2,0,1,0,0,0
170,1,2,2,1,1,1,1,1,0,0
171,2,4,3,2,0,0,0,1,1,0
172,0,1,2,3,2,1,1,0,3,0
173,1,3,1,1,0,1,2,2,0,0
174,2,0,0,2,1,0,0,1,0,0
175,0,2,3,0,2,0,2,2,3,0
176,1,0,2,2,1,1,0,0,0,0
177,2,1,3,1,0,0,2,1,1,0
178,0,3,1,3,0,1,1,2,3,0
179,1,2,3,2,1,1,0,0,0,0
180,1,2,1,1,1,0,1,1,1,0
181,2,3,2,0,0,0,0,1,0,0
182,0,1,1,3,2,1,1,2,3,0
183,1,4,0,1,1,0,2,0,0,0
184,2,2,3,0,0,1,1,1,1,0
185,0,3,0,2,1,0,2,2,3,0
186,2,1,1,0,2,1,1,0,0,0
187,1,3,0,2,0,0,0,2,1,0
188,0,4,2,0,2,1,1,1,3,0
189,2,0,1,1,1,0,2,0,0,0
190,1,2,0,2,1,0,1,0,0,0
191,0,3,0,1,2,1,2,1,3,0
192,2,1,2,0,1,0,1,0,1,0
193,1,3,0,1,1,0,0,1,0,0
194,2,2,1,2,2,1,1,1,1,0
195,1,0,0,3,1,0,2,0,0,0
196,0,4,3,0,1,1,2,2,3,0
197,2,3,1,1,2,1,0,0,0,0
198,1,2,0,2,1,0,1,0,0,0
199,0,1,0,1,1,1,2,1,3,0
200,1,2,1,1,1,1,1,1,2,0
201,0,1,2,2,2,1,0,1,3,0
202,1,4,3,1,1,1,2,0,2,0
203,2,3,0,3,0,0,0,2,3,0
204,0,2,1,2,1,1,1,1,1,0
205,1,0,2,0,2,1,0,1,0,0
206,0,4,3,2,0,1,1,2,3,0
207,1,1,1,1,2,1,0,0,1,0
208,2,2,3,3,1,1,2,1,3,0
209,0,3,0,0,0,0,2,2,1,0
210,1,3,2,2,1,0,1,1,2,0
211,2,0,1,1,0,1,0,2,0,0
212,0,2,0,0,2,1,1,0,3,0
213,1,4,3,3,1,0,2,1,3,0
214,2,1,2,0,0,1,0,1,1,0
215,1,2,1,2,2,0,0,2,2,0
216,0,1,3,1,1,1,0,1,3,0
217,2,3,0,3,0,0,1,2,1,0
218,1,0,2,1,1,1,0,0,3,0
219,0,4,1,0,2,0,2,1,3,0
220,1,2,1,2,1,1,1,1,1,0
221,0,3,2,1,2,0,0,1,0,0
222,2,4,3,3,2,1,2,2,3,0
223,1,0,2,2,1,1,1,0,1,0
224,0,2,0,1,1,0,2,1,3,0
225,2,1,1,0,0,1,1,1,0,0
226,1,3,2,2,2,0,0,2,1,0
227,0,4,3,3,1,1,2,1,3,0
228,2,2,1,1,2,0,1,0,0,0
229,1,1,3,2,1,1,2,2,3,0
230,1,3,2,2,1,1,1,1,1,0
231,2,1,0,1,2,0,1,2,0,0
232,0,2,1,0,1,1,0,1,1,0
233,1,1,3,3,0,0,0,2,3,0
234,2,2,1,1,1,1,2,0,1,0
235,1,4,1,0,0,0,1,2,0,0
236,0,0,2,1,1,0,0,1,1,0
237,2,3,0,2,0,1,0,1,3,0
238,1,2,0,3,2,1,1,0,1,0
239,0,1,3,0,2,0,2,2,0,0
240,1,2,3,2,1,0,1,1,1,0
241,2,1,0,1,0,1,2,0,0,0
242,1,3,3,3,2,0,1,2,3,0
243,0,1,0,0,1,1,0,0,1,0
244,2,2,1,2,0,0,1,2,3,0
245,1,0,0,2,2,0,1,1,3,0
246,2,4,1,1,1,1,0,1,0,0
247,1,1,3,3,0,1,2,0,1,0
248,2,3,0,2,2,0,1,2,3,0
249,0,2,3,1,0,1,1,0,1,0
250,1,2,1,2,1,0,1,1,1,0
251,0,1,2,1,2,0,1,2,3,0
252,2,3,1,3,0,0,2,0,4,0
253,1,0,1,2,1,1,0,1,0,0
254,0,2,3,1,1,0,1,2,3,0
255,1,1,0,1,2,0,2,1,1,0
256,2,2,1,2,1,0,1,0,0,0
