,Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,Oil density,Oil recovery factor,Condensate recovery factor,Gas recovery factor,real_identifier
0,67.0,219.0,25.0,5.0,31.0,1.0,49.3353,-122.6542,118.0,1.0,4.0,8.0,3.0,4211.4,10.0,12.0,567.0,94.8,17.0,50.0,856.1231,0.44,-1.0,0.69,0
1,288.0,356.0,42.0,3.0,85.0,2.0,36.7342,-98.6542,191.0,0.0,3.0,9.0,6.0,2018.3,14.0,10.0,489.0,41.7,15.0,20.0,838.4756,0.51,-1.0,0.85,0
2,137.0,297.0,31.0,5.0,50.0,3.0,41.2569,-112.9453,149.0,1.0,2.0,7.0,9.0,2941.9,12.0,13.0,756.0,59.4,12.0,80.0,819.3214,0.46,-1.0,0.78,0
3,93.0,173.0,14.0,1.0,44.0,4.0,55.2183,3.0321,76.0,0.0,5.0,3.0,5.0,2456.2,16.0,11.0,612.0,83.1,18.0,40.0,851.9473,0.55,-1.0,0.72,0
4,269.0,250.0,39.0,2.0,67.0,1.0,47.3256,-101.3725,184.0,1.0,4.0,10.0,8.0,3191.8,11.0,12.0,459.0,69.3,16.0,60.0,829.1947,0.49,-1.0,0.82,0
5,59.0,206.0,23.0,4.0,29.0,2.0,34.4569,-118.3725,129.0,0.0,3.0,6.0,4.0,4021.1,13.0,10.0,540.0,46.2,14.0,30.0,846.9824,0.52,-1.0,0.84,0
6,163.0,342.0,45.0,3.0,82.0,3.0,38.9103,-104.8214,198.0,1.0,2.0,8.0,6.0,2765.9,15.0,13.0,693.0,58.5,13.0,90.0,814.5147,0.48,-1.0,0.79,0
7,248.0,281.0,36.0,5.0,53.0,1.0,43.6972,-109.3725,172.0,0.0,5.0,4.0,9.0,3629.4,12.0,11.0,522.0,85.8,19.0,70.0,842.0137,0.54,-1.0,0.73,0
8,76.0,166.0,17.0,2.0,41.0,4.0,52.3292,2.0321,89.0,0.0,4.0,5.0,5.0,2945.8,14.0,12.0,621.0,73.5,17.0,50.0,859.4219,0.56,-1.0,0.75,0
9,220.0,239.0,33.0,4.0,69.0,2.0,46.4569,-100.3725,161.0,1.0,3.0,9.0,7.0,4088.5,11.0,10.0,486.0,51.9,15.0,40.0,835.499,0.5,-1.0,0.83,0
10,219.0,191.0,14.0,5.0,67.0,2.0,39.1234,-95.2345,201.0,1.0,5.0,9.0,5.0,1821.0,10.0,8.0,91.2,43.8,18.5,120.0,851.2345,0.41,-1.0,0.67,0
11,315.0,278.0,10.0,3.0,56.0,1.0,46.789,-102.456,189.0,1.0,5.0,11.0,6.0,2010.0,8.0,10.0,75.6,39.9,14.2,85.0,819.0123,0.29,-1.0,0.82,0
12,428.0,319.0,16.0,4.0,92.0,3.0,52.3456,-97.2345,221.0,1.0,5.0,7.0,3.0,2450.0,12.0,9.0,108.9,51.3,20.8,220.0,843.4567,0.53,-1.0,0.59,0
13,192.0,149.0,19.0,2.0,85.0,0.0,-2.1234,130.456,135.0,1.0,5.0,6.0,2.0,1000.0,14.0,11.0,168.2,36.4,22.1,38.0,839.8765,0.65,-1.0,-1.0,0
14,267.0,235.0,5.0,1.0,112.0,9.0,48.3942,16.7161,117.0,1.0,5.0,5.0,6.0,1215.0,15.0,11.0,49.2,16.8,-1.0,1400.0,915.8576,0.6,-1.0,-1.0,0
15,354.0,294.0,9.0,2.0,106.0,0.0,43.05,90.35,132.0,1.0,5.0,2.0,2.0,2755.8,12.0,11.0,285.3,20.1,12.0,7.9,820.2899,0.26,-1.0,-1.0,0
16,239.0,25.0,36.0,5.0,83.0,3.0,25.6,52.55,147.0,0.0,5.0,8.0,7.0,1998.3,12.0,6.0,24.0,16.5,25.0,600.0,834.8083,0.44,-1.0,-1.0,0
17,361.0,161.0,22.0,3.0,18.0,9.0,48.4061,57.3269,84.0,1.0,5.0,12.0,8.0,2487.0,4.0,7.0,418.2,78.6,-1.0,140.0,820.2899,0.24,-1.0,0.85,0
18,91.0,99.0,19.0,2.0,96.0,4.0,1.2956,101.2304,32.0,1.0,5.0,5.0,4.0,66.0,15.0,11.0,36.0,15.6,32.0,1900.0,921.8241,0.6,-1.0,-1.0,0
