Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,1.0290625517717793,0,0.0,17,626.7539448094682,0.0008186332348587204,0.025266630723715225,0.05969340230738866,0.0,6,2,2,1,1,2,False,False
0,1.038031257754654,0,0.0,17,627.4650643613304,0.0008232656535627158,0.025293226186898252,0.06035653724398126,0.0,1,2,2,1,1,2,False,False
0,1.0484974245344554,0,0.0,5,166.00785115558836,0.0008287501214402774,0.013663648172299564,0.061128575104856434,0.0,6,2,2,1,1,2,False,False
0,1.037267888119818,0,0.0,5,627.4104020121933,0.0008228704915193459,0.013640588913617538,0.06029974653130033,0.0,7,2,2,1,1,2,False,False
0,1.042040367899857,0,0.0,17,165.77416047330917,0.0008254405166712236,0.013650318723087012,0.06064924497747264,0.0,7,2,2,1,1,2,False,False
0,1.062868718519894,0,0.0,17,629.4438668507462,0.0008363664644779134,0.013693117718392909,0.06218898292931474,0.0,6,2,2,1,1,2,False,False
0,1.0361482970665876,0,0.0,17,627.3153014016667,0.0008223980446208578,0.013638292057879836,0.06021581527034152,0.0,6,2,2,1,1,2,False,False
0,1.0493342565190873,0,0.0,17,166.03561336457975,0.0008292819103980155,0.01366535601594816,0.06119036539222013,0.0,7,2,2,1,1,2,False,False
0,1.0550445346534052,0,0.0,17,166.24130031681864,0.000832222846783223,0.013677091453471204,0.06161120770359031,0.0,6,2,2,1,3,2,False,False
0,1.0294019158876844,0,0.0,5,165.3220712046375,0.0008187640210192255,0.013624405833788992,0.05971762698314514,0.0,6,2,2,1,1,2,False,False
0,1.0342877832076258,0,0.0,17,165.49889003571363,0.0008212926936337517,0.025282095159024617,0.06007759636030442,0.0,7,2,2,1,1,2,False,False
0,1.0436687833203333,0,0.0,5,627.9183263701992,0.0008262635022535665,0.013653723300384996,0.06077074840256119,0.0,7,2,2,1,1,2,False,False
0,1.055412023847674,0,0.0,33,628.8508807512999,0.0008324307776207537,0.013677818520960292,0.061637928890426914,0.0,6,2,2,1,1,2,False,False
0,1.0368607399033767,0,0.0,5,627.3721836134046,0.0008226624672297534,0.01363970029581211,0.06026801266473592,0.0,7,2,2,1,1,2,False,False
0,1.0716362902672765,0,0.0,17,630.1411016569145,0.0008410145831282932,0.013711195144151821,0.06283725674483195,0.0,6,2,2,1,2,2,False,False
0,1.069488315039548,0,0.0,17,166.7576087612341,0.0008398860093038268,0.013706753876436028,0.06267989136399138,0.0,6,2,2,1,1,2,False,False
0,1.0299843800500157,0,0.0,17,626.8268467939872,0.0008189868574606149,0.013625617916489365,0.05976063774096649,0.0,6,2,2,1,1,2,False,False
0,1.0497130134892307,0,0.0,17,166.05119147223496,0.000829472038617771,0.025327847958884382,0.06121666721761545,0.0,6,2,2,1,1,2,False,False
0,1.0333774001505533,0,0.0,17,165.46532496573116,0.0008207459990721545,0.0136326130269737,0.060012870542851766,0.0,6,2,2,1,1,2,False,False
0,1.0229886882395585,0,0.0,17,165.09707528011936,0.0008153376478989382,0.025248597953727567,0.0592440434180114,0.0,6,2,2,1,1,2,False,False
0,1.0412034471925806,0,0.0,5,165.74639826431778,0.0008249681164987665,0.013648668250745797,0.06058911903082903,0.0,6,2,2,1,1,2,False,False
0,1.0450993472431707,0,0.0,5,628.0254029273681,0.0008270478454083501,0.01365665470099544,0.060876800979547556,0.0,6,2,2,1,1,2,False,False
0,1.0496791214389625,0,0.0,17,166.04878897337994,0.0008294779728236961,0.013666025347867598,0.06121541568581413,0.0,6,2,2,1,1,2,False,False
0,1.0498487591355927,0,0.0,5,166.05478250888333,0.0008295314274030523,0.013666406184069925,0.06122752474743111,0.0,6,2,2,1,1,2,False,False
0,1.032715706666522,0,0.0,17,627.04552446904,0.00082047853927125,0.025277479360982343,0.05996108595737612,0.0,6,2,2,1,1,2,False,False
0,1.0231470581603141,0,0.0,17,165.09867059020561,0.0008154327353718314,0.013611533897986408,0.05925448158638577,0.0,6,2,2,1,1,2,False,False
0,1.0168578647694524,0,0.0,17,625.7852646389093,0.0008121398585218419,0.013598649030873272,0.05879130997953633,0.0,6,2,2,1,1,2,False,False
0,1.0470669493342626,0,0.0,17,165.95772282630378,0.0008280995081859457,0.013660670874643214,0.06102252252787007,0.0,6,2,2,1,1,2,False,False
0,1.050504596925075,0,0.0,17,628.4608211999175,0.0008298968249647351,0.013667744847908805,0.06127512227101646,0.0,6,2,2,1,1,2,False,False
0,1.0465071981689698,0,0.0,5,165.9359477969987,0.000827769762585844,0.013659539840297712,0.06098035049293128,0.0,7,2,2,1,1,2,False,False
0,1.0251151925872741,0,0.0,5,165.17141291664942,0.0008165293018651274,0.013615585951467685,0.059401487429122206,0.0,6,2,2,1,1,2,False,False
0,1.0297128887572915,0,0.0,5,165.334859108596,0.0008189512054990339,0.013625063691446955,0.05973976140421774,0.0,7,2,2,1,1,2,False,False
0,1.014804734048888,0,0.0,17,625.6172054868548,0.0008110550202623033,0.01359441156789703,0.05863885899058577,0.0,7,2,2,1,1,2,False,False
0,1.0491081024977953,0,0.0,5,166.02822154931945,0.0008291333683457663,0.013664871364999144,0.061173250203397866,0.0,6,2,2,1,1,2,False,False
0,1.0365440887845099,0,0.0,5,165.58020000357695,0.0008225169156434822,0.013639065386677099,0.06024378798897945,0.0,6,2,2,1,1,2,False,False
0,1.0465750709921509,0,0.0,17,165.94034602241584,0.000827769762585844,0.02531856850889817,0.06098619534301913,0.0,6,2,2,1,1,2,False,False
0,1.0368607399033767,0,0.0,5,627.3730743862952,0.0008226565330238284,0.0136396886394195,0.06026759330329464,0.0,6,2,2,1,1,2,False,False
0,1.0392696484291122,0,0.0,17,627.5628372905293,0.0008238658494297,0.013644697974143928,0.06044672616394668,0.0,7,2,2,1,1,2,False,False
0,1.0253356683593067,0,0.0,17,626.454800649951,0.0008165887373764397,0.013616082440940445,0.05941652546830563,0.0,7,2,2,1,1,2,False,False
0,1.0362387054415176,0,0.0,5,627.3233042184312,0.0008223683268652018,0.013638465264588784,0.06022124075898809,0.0,7,2,2,1,1,2,False,False
0,1.0510529915918487,0,0.0,17,166.0995211052868,0.0008301107367342216,0.025331846126074975,0.06131728775343273,0.0,6,2,2,1,1,2,False,False
0,1.0376636798377403,0,0.0,5,627.4432899128899,0.0008230784690829074,0.01364141997798445,0.06032855797282082,0.0,6,2,2,1,1,2,False,False
0,1.040711568850469,0,0.0,5,165.728621043954,0.00082475420472928,0.025301207534068476,0.06055445618669817,0.0,7,2,2,1,1,2,False,False
0,1.0413278363404235,0,0.0,17,165.74939185416093,0.0008250512888337788,0.013648945272201434,0.06059871847632084,0.0,7,2,2,1,1,2,False,False
0,1.0297185670065512,0,0.0,33,165.3362573883529,0.0008188531275601628,0.013625052217185478,0.05973976140421774,0.0,7,2,2,1,1,2,False,False
0,1.031856161684852,0,0.0,17,165.4131818424332,0.0008200060923727621,0.013629484924737948,0.0598988632035261,0.0,7,2,2,1,1,2,False,False
0,1.0360973702685408,0,0.0,5,627.3099709035745,0.0008222316532248025,0.02528742745092421,0.060211634760973756,0.0,6,2,2,1,1,2,False,False
0,1.0474401167777911,0,0.0,5,165.9711018212504,0.000828227257154442,0.025321150779053295,0.06105007588506671,0.0,6,2,2,1,1,2,False,False
0,1.041248695741368,0,0.0,17,627.725466969726,0.0008249591918268635,0.013648714512053971,0.06059120273299039,0.0,6,2,2,1,1,2,False,False
0,1.0348476230955634,0,0.0,5,165.5172647028826,0.0008215363698849251,0.025283761631710002,0.06012018775668449,0.0,7,2,2,1,1,2,False,False
0,1.0383988356715677,0,0.0,17,627.4935125368254,0.0008234528380425242,0.025294409387763547,0.06038325843081786,0.0,6,2,2,1,1,2,False,False
0,1.0385401708445445,0,0.0,17,627.5032827601192,0.0008235865212169455,0.013643162972942012,0.06039161289703088,0.0,7,2,2,1,1,2,False,False
0,1.0669219238195036,0,0.0,17,629.761420316672,0.0008384603981008926,0.013701447303700029,0.06248745688262373,0.0,6,2,2,1,1,2,False,False
0,1.0253922734066132,0,0.0,33,165.18140426109412,0.0008165976620483426,0.025255797862459645,0.05942195750947472,0.0,6,2,2,1,1,2,False,False
0,1.0420233331520783,0,0.0,17,165.7751646924073,0.0008254167331214926,0.0253050397902044,0.06064882561603136,0.0,6,2,2,1,1,2,False,False
0,1.0302557826200949,0,0.0,17,165.35483544166834,0.0008192038064221104,0.013626195090054726,0.05978026909843644,0.0,6,2,2,1,1,2,False,False
0,1.0588040679991204,0,0.0,17,166.37708599284707,0.0008342665031969476,0.013684787586692386,0.06188925089168191,0.0,6,2,2,1,1,2,False,False
0,1.036419699636667,0,0.0,5,165.57200735536497,0.000822430752842492,0.013638788365221461,0.06023502071384767,0.0,7,2,2,1,1,2,False,False
0,1.0357467383767611,0,0.0,17,165.5504293563893,0.0008221187631341342,0.013637403257943274,0.06018449421269587,0.0,6,2,2,1,1,2,False,False
0,1.0357919869255485,0,0.0,17,165.55282549942723,0.0008221276410800063,0.013637518729082573,0.06018950689242368,0.0,6,2,2,1,1,2,False,False
0,1.0329815197099865,0,0.0,17,627.0650790548797,0.0008205647020722402,0.013631781962606785,0.05998280101700744,0.0,7,2,2,1,1,2,False,False
